,ORIGINAL_SCRIPT_CHARACTER,FAN_WORK_FILENAME,matches_count
0,070,059,45
45,070,080,84
129,070,115,128
257,070,024,28
285,070,013,12
297,070,100,108
405,070,021,12
417,070,m24,56
473,070,046,16
489,070,125,29
518,070,022,52
570,070,099,108
678,070,m21,58
736,070,001,6
742,070,119,81
823,070,006,20
843,070,030,58
901,070,079,113
1014,070,m17,13
1027,070,m31,50
1077,070,107,98
1175,070,m19,50
1225,070,055,116
1341,070,018,49
1390,070,042,101
1491,070,127,75
1566,070,128,65
1631,070,053,12
1643,070,027,43
1686,070,005,25
1711,070,028,25
1736,070,029,39
1775,070,017,50
1825,070,033,48
1873,070,m30,126
1999,070,m29,43
2042,070,034,7
2049,070,089,116
2165,070,064,12
2177,070,m16,57
2234,070,m11,78
2312,070,092,76
2388,070,113,121
2509,070,093,76
2585,070,069,72
2657,070,035,50
2707,070,m14,62
2769,070,108,86
2855,070,m25,6
2861,070,058,67
2928,070,081,64
2992,070,109,134
3126,070,129,52
3178,070,068,98
3276,070,039,51
3327,070,061,144
3471,070,003,18
3489,070,014,6
3495,070,serr2,138
3633,070,050,65
3698,070,037,60
3758,070,008,6
3764,070,049,57
3821,070,126,22
3843,070,085,82
3925,070,074,113
4038,070,m22,47
4085,070,102,98
4183,070,130,54
4237,070,123,41
4278,070,016,35
4313,070,072,81
4394,070,m33,50
4444,070,117,64
4508,070,065,150
4658,070,002,12
4670,070,062,74
4744,070,083,70
4814,070,m15,66
4880,070,m27,81
4961,070,110,70
5031,070,106,107
5138,070,071,78
5216,070,043,92
5308,070,015,19
5327,070,044,72
5399,070,077,47
5446,070,m26,34
5480,070,051,87
5567,070,124,87
5654,070,120,44
5698,070,047,71
5769,070,m23,35
5804,070,112,37
5841,070,045,105
5946,070,063,80
6026,070,012,21
6047,070,041,89
6136,070,095,95
6231,070,m18,60
6291,070,098,6
6297,070,004,6
6303,070,121,43
6346,070,m12,46
6392,070,111,74
6466,070,103,148
6614,070,066,73
6687,070,105,143
6830,070,026,21
6851,070,078,70
6921,070,116,78
6999,070,057,34
7033,070,086,60
7093,070,056,35
7128,070,009,6
7134,070,091,102
7236,070,097,111
7347,070,040,55
7402,070,060,112
7514,070,118,52
7566,070,031,54
7620,070,067,157
7777,070,094,65
7842,070,084,80
7922,070,023,6
7928,070,104,60
7988,070,m20,52
8040,070,032,90
8130,070,073,34
8164,070,090,75
8239,070,025,12
8251,070,m13,41
8292,070,011,16
8308,070,087,115
8423,070,m08,43
8466,070,070,2922
11388,070,m32,60
11448,070,054,77
11525,070,m34,95
11620,070,048,8
11628,070,075,6
11634,070,082,104
11738,070,131,38
11776,070,101,55
11831,070,052,58
11889,070,088,72
11961,070,010,6
11967,070,122,76
12043,070,037,12
12055,070,m35,97
12152,070,076,13
12165,070,114,43
0,064,m28,31
31,064,059,12
43,064,115,12
55,064,024,15
70,064,013,25
95,064,100,38
133,064,021,12
145,064,m24,6
151,064,125,13
164,064,022,18
182,064,099,35
217,064,001,35
252,064,119,13
265,064,006,27
292,064,030,12
304,064,079,14
318,064,000,62
380,064,m31,6
386,064,107,29
415,064,m19,6
421,064,055,37
458,064,042,37
495,064,127,12
507,064,128,7
514,064,053,6
520,064,005,19
539,064,028,28
567,064,029,8
575,064,017,23
598,064,033,12
610,064,034,19
629,064,064,2102
2731,064,m11,12
2743,064,113,12
2755,064,093,14
2769,064,069,24
2793,064,m14,6
2799,064,108,18
2817,064,m25,6
2823,064,058,12
2835,064,081,13
2848,064,m36,7
2855,064,109,25
2880,064,129,24
2904,064,068,26
2930,064,039,6
2936,064,061,13
2949,064,003,41
2990,064,014,12
3002,064,serr2,8
3010,064,050,34
3044,064,037,16
3060,064,008,18
3078,064,126,6
3084,064,085,12
3096,064,074,25
3121,064,102,18
3139,064,072,20
3159,064,m33,6
3165,064,117,14
3179,064,065,6
3185,064,002,6
3191,064,062,26
3217,064,106,32
3249,064,071,6
3255,064,043,6
3261,064,015,17
3278,064,044,6
3284,064,077,6
3290,064,m26,13
3303,064,051,6
3309,064,124,12
3321,064,120,6
3327,064,047,8
3335,064,m23,19
3354,064,112,6
3360,064,045,12
3372,064,063,28
3400,064,012,7
3407,064,041,31
3438,064,095,26
3464,064,098,46
3510,064,004,18
3528,064,121,8
3536,064,096,13
3549,064,111,20
3569,064,103,14
3583,064,066,43
3626,064,105,7
3633,064,026,6
3639,064,078,32
3671,064,116,25
3696,064,057,20
