filename, wordcount, chapter_number
012c_claudia_and_the_new_girl_1.txt, 1968, 1
m07c_dawn_and_the_disappearing_dogs_11.txt, 1509, 11
112c_kristy_and_the_sister_war_4.txt, 1938, 4
131c_the_fire_at_mary_annes_house_4.txt, 1344, 4
m04c_kristy_and_the_missing_child_11.txt, 1768, 11
058c_staceys_choice_12.txt, 1562, 12
007c_claudia_and_mean_jeanine_6.txt, 2262, 6
031c_dawns_wicked_stepsister_14.txt, 1921, 14
004c_mary_anne_saves_the_day_6.txt, 2137, 6
001c_kristys_great_idea_3.txt, 1893, 3
099c_staceys_broken_heart_1.txt, 2444, 1
005c_dawn_and_the_impossible_three_3.txt, 1940, 3
serr3c_shannons_story_3.txt, 3974, 3
m13c_mary_anne_and_the_library_mystery_1.txt, 2007, 1
047c_mallory_on_strike_13.txt, 2171, 13
083c_stacey_vs_the_bsc_3.txt, 1323, 3
060c_mary_annes_makeover_6.txt, 1750, 6
m33c_stacey_and_the_stolen_hearts_14.txt, 1531, 14
051c_staceys_ex_best_friend_9.txt, 1381, 9
m26c_dawn_schafer_undercover_babysitter_15.txt, 1721, 15
m34c_mary_anne_and_the_haunted_bookstore_8.txt, 2198, 8
095c_kristy_plus_bart_equals_questionmark_9.txt, 1272, 9
122c_kristy_in_charge_12.txt, 1228, 12
m24c_mary_anne_and_the_silent_witness_5.txt, 2178, 5
008c_boy_crazy_stacey_14.txt, 1407, 14
070c_stacey_and_the_cheerleaders_4.txt, 1531, 4
056c_keep_out_claudia_11.txt, 1426, 11
008c_boy_crazy_stacey_2.txt, 1479, 2
009c_the_ghost_at_dawns_house_2.txt, 1567, 2
072c_dawn_and_the_we_heart_kids_club_13.txt, 1366, 13
119c_staceys_ex_boyfriend_14.txt, 986, 14
m12c_dawn_and_the_surfer_ghost_1.txt, 1956, 1
062c_kristy_and_the_worst_kid_ever_13.txt, 1836, 13
031c_dawns_wicked_stepsister_1.txt, 1574, 1
024c_kristy_and_the_mothers_day_surprise_5.txt, 1351, 5
127c_abbys_un_valentine_10.txt, 1046, 10
091c_claudia_and_the_first_thanksgiving_7.txt, 1490, 7
m06c_the_mystery_at_claudias_house_12.txt, 1614, 12
051c_staceys_ex_best_friend_15.txt, 975, 15
061c_jessi_and_the_awful_secret_13.txt, 1683, 13
012c_claudia_and_the_new_girl_15.txt, 1709, 15
123c_claudias_big_party_2.txt, 2800, 2
m33c_stacey_and_the_stolen_hearts_4.txt, 1810, 4
030c_mary_anne_and_the_great_romance_8.txt, 1791, 8
086c_mary_anne_and_camp_bsc_12.txt, 1103, 12
066c_maid_mary_anne_4.txt, 1642, 4
078c_claudia_and_crazy_peaches_8.txt, 1917, 8
080c_mallory_pike_no_1_fan_9.txt, 1457, 9
093c_mary_anne_and_the_memory_garden_6.txt, 2331, 6
046c_mary_anne_misses_logan_12.txt, 1761, 12
m27c_claudia_and_the_lighthouse_ghost_14.txt, 1483, 14
