FAN_WORK_FILENAME,FAN_WORK_WORD_INDEX,FAN_WORK_WORD,FAN_WORK_ORTH_ID,ORIGINAL_SCRIPT_WORD_INDEX,ORIGINAL_SCRIPT_WORD,ORIGINAL_SCRIPT_ORTH_ID,ORIGINAL_SCRIPT_CHARACTER,ORIGINAL_SCRIPT_SCENE,BEST_MATCH_DISTANCE,BEST_LEVENSHTEIN_DISTANCE,BEST_COMBINED_DISTANCE
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,162,.,12646065887601541794,1344,.,12646065887601541794,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,163,I,4690420944186131903,1345,i,5097672513440128799,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,164,'ll,5816706412157836887,1346,should,10292920167869855674,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,165,tell,63172552626595070,1347,tell,63172552626595070,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,166,you,7624161793554793053,1348,you,7624161793554793053,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,167,how,16331095434822636218,1349,that,4380130941430378203,037c_dawn_and_the_older_boy_ch2.txt,1,0.08760009455499573,15,1.314001418324936
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3143,.,12646065887601541794,370,.,12646065887601541794,037c_dawn_and_the_older_boy_ch2.txt,1,0.030588510060444385,11,0.33647361066488823
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3144,That,4759254855483594167,371,that,4380130941430378203,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3145,'s,16428057658620181782,372,'s,16428057658620181782,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3146,the,7425985699627899538,373,the,7425985699627899538,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3147,good,5711639017775284443,374,great,8881679497796027013,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3148,part,4485934323942657167,375,part,4485934323942657167,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,3149,about,942632335873952620,376,about,942632335873952620,037c_dawn_and_the_older_boy_ch2.txt,1,0.030055821597273713,11,0.33061403757001084
fanworks/115c_jessis_big_break_ch2-clean.txt,532,two,11711838292424000352,576,'s,16428057658620181782,037c_dawn_and_the_older_boy_ch2.txt,1,0.08794301045502673,12,1.0553161254603207
fanworks/115c_jessis_big_break_ch2-clean.txt,533,older,12398030407389049905,577,older,12398030407389049905,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,534,brothers,5868089910077726078,578,brothers,5868089910077726078,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,535,Charlie,18445884430511022336,579,charlie,6401249818979285856,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,536,and,2283656566040971221,580,and,2283656566040971221,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,537,Sam,3551797324537108024,581,sam,12779093550319448395,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,538,.,12646065887601541794,582,and,2283656566040971221,037c_dawn_and_the_older_boy_ch2.txt,1,0.06577488427734612,11,0.7235237270508074
fanworks/115c_jessis_big_break_ch2-clean.txt,1167,.,12646065887601541794,2177,.,12646065887601541794,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/115c_jessis_big_break_ch2-clean.txt,1168,I,4690420944186131903,2178,i,5097672513440128799,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/115c_jessis_big_break_ch2-clean.txt,1169,do,2158845516055552166,2179,know,7743033266031195906,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/115c_jessis_big_break_ch2-clean.txt,1170,n't,2043519015752540944,2180,that,4380130941430378203,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/115c_jessis_big_break_ch2-clean.txt,1171,.,12646065887601541794,2181,.,12646065887601541794,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/115c_jessis_big_break_ch2-clean.txt,1172,And,12172435438170721471,2182,and,2283656566040971221,037c_dawn_and_the_older_boy_ch2.txt,1,0.0817519816829595,14,1.144527743561433
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1150,there,2112642640949226496,1505,there,2112642640949226496,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1151,.,12646065887601541794,1506,!,17494803046312582752,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1152,I,4690420944186131903,1507,i,5097672513440128799,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1153,could,7494117911267222209,1508,could,7494117911267222209,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1154,n't,2043519015752540944,1509,n't,2043519015752540944,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/013c_goodbye_stacey_goodbye_ch2-clean.txt,1155,believe,7936246238499659209,1510,believe,7936246238499659209,037c_dawn_and_the_older_boy_ch2.txt,1,0.08242990578269438,9,0.7418691520442494
fanworks/100c_kristys_worst_idea_ch2-clean.txt,20,her,4115755726172261197,787,her,4115755726172261197,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,21,.,12646065887601541794,788,.,12646065887601541794,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,22,Kristy,6704244008727235475,789,kristy,1525589585798189602,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,23,I,4690420944186131903,790,i,5097672513440128799,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,24,do,2158845516055552166,791,want,7597692042947428029,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,25,n't,2043519015752540944,792,you,7624161793554793053,037c_dawn_and_the_older_boy_ch2.txt,1,0.06923394173435182,15,1.0385091260152772
fanworks/100c_kristys_worst_idea_ch2-clean.txt,2869,I,4690420944186131903,2165,i,5097672513440128799,037c_dawn_and_the_older_boy_ch2.txt,1,0.08749131405172494,14,1.2248783967241492
