,term,score
0,kristy,253.276417193704
1,laine,226.1928416237738
2,mary,221.45738669259123
3,claudia,164.91205231304238
4,birthday,139.0723017718453
5,mimi,91.867463389032
6,jamie,89.7547481595055
7,david,87.61961784192421
8,michael,87.61961784192421
9,party,86.05236561190904
10,summer,80.93387270639693
11,jeremy,80.45279452947831
12,janine,72.335954499798
13,pool,59.19994027541852
14,parade,52.277450190039325
15,watson,51.408915301879595
16,jenny,46.5238087410037
17,newton,45.88918801504285
18,stacey,43.621897708611215
19,apartment,42.6015111624779
20,louie,41.65413245724278
21,claud,39.60591274840071
22,boys,38.41337570468572
23,charlie,35.893189121389405
24,dinner,34.800446480264334
25,sam,34.68504057144562
26,box,34.65590142627097
27,pike,33.516902736396304
28,claire,33.478265857195574
29,exclaimed,29.9695978454329
30,sitter,29.371037562186753
31,window,27.909114182425245
32,letter,27.829450891749477
33,class,27.66266683960711
34,street,27.54031367263438
35,margo,25.02174740183731
36,tree,24.442919392415742
37,emily,23.64332006727068
38,pikes,23.323045904198057
39,surprise,22.642215693456976
40,nicky,22.346471654816153
41,vacation,21.22956233437312
42,camp,21.03046885735975
43,stairs,20.852975382543676
44,mallory,20.199917389036482
45,um,20.039395731614942
46,card,19.92651815711439
47,evening,19.84347009770525
48,york,19.667858948688686
49,art,19.16291296731249
50,conversation,19.077699756312235
51,glanced,18.57520011820598
52,quite,18.492875502117585
53,pink,18.413672225731133
54,hot,18.19730032854876
55,brothers,17.327950713135486
56,waited,17.327950713135486
57,park,16.931471805599454
58,grinned,16.53622508142104
59,couch,16.52531858823647
60,backyard,16.426094455265893
61,waved,16.38988245724057
62,hoped,16.355661997159185
63,invited,16.177008467079936
64,pete,16.167627945692825
65,picnic,16.160059673892135
66,diabetes,16.14433420846151
67,taylor,16.110526016064263
68,bedroom,16.065496169919548
69,shrugged,16.03015298694329
70,store,15.672790141622901
71,yard,15.487635412190548
72,moments,15.363199262686106
73,tonight,15.255642052453394
74,seventh,15.148208705883432
75,cards,15.002503273493291
76,lawn,14.932813141150811
77,sitters,14.89528214440383
78,although,14.588829225415237
79,rules,14.527354285928961
80,lived,14.523991185771731
81,driveway,14.460484779088757
82,cake,14.364497487904119
83,desk,14.141610678089918
84,paused,14.132102184442266
85,beach,14.05676724128175
86,wondering,13.956475526934051
87,boyfriend,13.954557091212623
88,vanessa,13.900970778798506
89,tomorrow,13.892799255350852
90,twenty,13.832122082507492
91,clock,13.709266795255648
92,calling,13.709266795255648
93,porch,13.704256793892371
94,grown,13.526762094573522
95,empty,13.526762094573522
96,sixth,13.503359632202832
97,homework,13.44241764807106
98,connecticut,13.40676109455852
