,term,score
0,mary,243.60312536185035
1,claudia,224.4931808906577
2,boo,179.35387308130785
3,stacey,175.55153955904512
4,watson,161.08126794588938
5,karen,120.0179174193961
6,david,100.47049512540643
7,michael,100.47049512540643
8,jamie,89.7547481595055
9,kristy,83.35679553210511
10,sam,81.75759563269325
11,andrew,75.22210079932339
12,sitters,65.96482092521696
13,rosie,55.12217987171378
14,charlie,39.36672355249161
15,louie,39.20388937152262
16,janine,34.9623780082357
17,newton,31.204647850229136
18,mommy,31.032057535340833
19,sitter,29.371037562186753
20,party,26.042163277288264
21,yup,24.672221856409475
22,daddy,23.580711712289066
23,yard,23.23145311828582
24,boys,20.852975382543676
25,dinner,20.036620700758252
26,exclaimed,19.595506283552282
27,pizza,19.448565298035405
28,married,19.077699756312235
29,dogs,18.82205682423203
30,york,18.57520011820598
31,pow,17.99271178293559
32,cat,17.653219561189147
33,brothers,16.24495379356452
34,mimi,15.637015044941617
35,weekend,15.324243794764367
36,tomorrow,14.96147612114707
37,wow,14.588829225415237
38,lunch,13.40676109455852
39,glanced,13.111905965792456
40,children,12.995963034851615
41,practically,12.654707811005213
42,math,12.34439395996674
43,gotten,12.28953100334531
44,dog,12.165283121954907
45,window,11.807702154102987
46,bike,11.548952623646347
47,wednesday,11.122673018710811
48,glass,11.098342740883778
49,garden,11.013405123610283
50,homework,10.998341712058142
51,divorced,10.975250201338778
52,nine,10.878162060069167
53,cheese,10.871003841716925
54,tree,10.863519729962553
55,problems,10.704837441759292
56,sign,10.686768657962194
57,yelled,10.65683732798103
58,cute,10.467356645200539
59,backyard,10.452969198805569
60,whether,10.37409156188062
61,forgot,10.190411717199755
62,art,10.145071570930142
63,emergency,9.963259078557195
64,stairs,9.8777251812049
65,luckily,9.776581348982067
66,mcgill,9.746972276138711
67,shouted,9.703806725767276
68,milk,9.685076778010597
69,clock,9.49103085825391
70,crying,9.430303873701149
71,stomach,9.346092569805249
72,receiver,9.22639846011549
73,ate,9.221414721671662
74,candy,9.117788307988715
75,hot,9.09865016427438
76,numbers,8.870703833421548
77,questions,8.819320043424556
78,spier,8.780200161071022
79,pikes,8.746142214074272
80,handed,8.741270643861638
81,desk,8.702529648055334
82,bell,8.671260142861405
83,lying,8.55426577604522
84,spend,8.549414926369755
85,class,8.511589796802188
86,street,8.473942668502886
87,news,8.473942668502886
88,immediately,8.4391946916431
89,stace,8.421682754388954
90,interrupted,8.401254219357726
91,margo,8.340582467279102
92,seventh,8.262659294118235
93,couch,8.262659294118235
94,hoped,8.177830998579593
95,gets,8.14127739071153
96,claire,8.034783805726937
97,bedroom,8.032748084959774
98,dress,8.032748084959774
99,downstairs,7.996942380292381
100,driveway,7.887537152230232
101,silly,7.855523429069743
102,usual,7.82061063849247
103,grinned,7.7169050379964865
104,jobs,7.682675140937144
105,president,7.682675140937144
106,dear,7.576301104169282
107,notebook,7.51399227988372
108,greeted,7.466406570575406
109,grabbed,7.447641072201915
110,thomas,7.447641072201915
111,giggled,7.432508693881204
112,mine,7.414699834940025
113,stepped,7.414699834940025
114,legs,7.398895160589185
115,note,7.299169873172944
116,wide,7.2010750451637655
117,allowed,7.2010750451637655
118,office,7.2010750451637655
119,clients,7.2010750451637655
120,cookies,7.1846418878197476
121,yourself,7.168729953354507
122,terrific,6.978237763467026
123,woman,6.947068862204401
124,reach,6.854522040250613
125,guilty,6.853394960113743
126,giggling,6.758153985260272
127,cream,6.758153985260272
128,dollars,6.737346203511162
129,broken,6.7268059201922945
130,lived,6.70338054727926
131,managed,6.673603811226487
132,stepsister,6.664693320199508
133,summer,6.633923992327617
134,evening,6.614490032568417
135,third,6.614490032568417
136,rules,6.603342857240437
137,closed,6.497981517425807
138,piece,6.46920448384485
139,ahead,6.46920448384485
140,plate,6.453181421746061
141,happily,6.453181421746061
142,paused,6.423682811110121
143,cleared,6.423682811110121
144,sighed,6.383692347601641
145,pay,6.383692347601641
146,helped,6.3554570013771645
147,hospital,6.150932306743661
148,stupid,6.137890741910378
149,kiss,6.120743484202128
150,ourselves,6.110189840032301
151,porch,6.090780797285499
152,information,6.055244232154324
153,throat,6.027996208316501
154,tuesday,6.027996208316501
