,term,score
0,kristy,304.5729067519225
1,stacey,171.29574466064403
2,mary,156.07472966906428
3,alan,121.97671937268656
4,jamie,108.85150308705985
5,mimi,107.50447843397362
6,charlotte,75.34892075760985
7,newton,73.42270082406856
8,claudia,57.453231128414764
9,boo,56.6380651835709
10,police,50.530096526333715
11,karen,46.806987793564474
12,halloween,44.92295458753297
13,nina,44.79821692180709
14,janine,44.607171941542106
15,watson,36.5574508813366
16,louie,31.85316011436213
17,sitters,28.726615564207382
18,officer,27.376475867366047
19,andrew,27.129282255493678
20,homework,26.88483529614212
21,rosie,25.93984935139472
22,michael,25.701754566964436
23,david,25.701754566964436
24,pete,23.096611350989747
25,gray,22.706634601039624
26,ring,22.196969853287467
27,drew,21.417373316408078
28,receiver,19.990529996916898
29,dance,19.271048433330364
30,sam,18.581271734703012
31,sitter,18.492875502117585
32,light,18.248266965431892
33,thomas,17.023179593604375
34,boys,16.462875302008165
35,closed,16.24495379356452
36,bag,16.24495379356452
37,emily,16.177008467079936
38,exclaimed,16.13747576292541
39,window,16.101412028322255
40,johanssen,15.842530923208077
41,handed,15.297223626757866
42,daddy,15.159028957900116
43,cream,14.867938767572596
44,tv,14.785306516945868
45,ice,14.460484779088757
46,lights,14.369283775639495
47,boring,14.327953055410838
48,basement,14.209152801047306
49,milk,13.835823968586567
50,den,13.833496936345139
51,dinner,13.709266795255648
52,math,13.466611592690988
53,lunch,13.40676109455852
54,mystery,13.404822967272287
55,mommy,12.777906043963872
56,sighed,12.767384695203281
57,news,12.710914002754329
58,coat,12.674024738566462
59,secret,12.28953100334531
60,scared,12.275781483820756
61,evening,12.126565059708764
62,claud,12.00179174193961
63,jewelry,11.996447976359114
64,twice,11.94106318618971
65,problems,11.894263824176992
66,silence,11.787879842126436
67,tonight,11.735109271117995
68,class,11.703435970603008
69,weeks,11.526768402089578
70,emergency,11.386581804065367
71,radio,11.074944124613419
72,upstairs,10.926588304827048
73,glanced,10.926588304827048
74,windows,10.762889472307672
75,tomorrow,10.686768657962194
76,besides,10.592428335628608
77,noise,10.420329494844246
78,whether,10.37409156188062
79,yard,10.325090274793698
80,safe,10.302425762258824
81,music,10.230971542157008
82,teachers,10.20383258308665
83,doors,10.155051897873998
84,afraid,9.965961182074487
85,shouted,9.703806725767276
86,information,9.688390771446919
87,man,9.660847216993353
88,clock,9.49103085825391
89,woman,9.262758482939201
90,garden,9.17783760300857
91,gasped,9.075997139083189
