,term,score
0,kristy,276.7873082412208
1,jamie,217.7030061741197
2,laine,192.43271600828518
3,claudia,185.12707808044757
4,sitters,139.37728292263583
5,charlotte,138.39597690173235
6,dr,130.03636464495634
7,mary,128.656196078553
8,newton,93.61394355068741
9,stacey,64.90087220061667
10,doctor,60.92850371180536
11,johanssen,58.617364415869886
12,michelle,57.30014614480706
13,lucy,56.10423317800524
14,york,42.613694388825486
15,pete,39.264239296682575
16,mimi,39.09253761235404
17,sitter,31.546669974200586
18,kit,30.87014461983535
19,thanksgiving,29.865477947871394
20,hospital,26.141462303660557
21,diabetes,24.216501312692262
22,christmas,22.274241693653394
23,candy,22.143200176544024
24,exclaimed,21.9008599639702
25,street,20.125613837694353
26,monday,20.036620700758252
27,mad,20.020811433679462
28,pet,19.897182004289725
29,jobs,18.657925342275924
30,sam,18.581271734703012
31,glanced,18.57520011820598
32,apartment,17.04060446499116
33,weekend,16.50303177897701
34,honey,16.37147032708773
35,clock,15.818384763756516
36,office,15.602329264521492
37,shrugged,14.96147612114707
38,dinner,14.763825779506082
39,party,14.719483591510757
40,mall,14.622700083079904
41,born,14.394019320073168
42,questions,14.331395070564904
43,thomas,13.831333419803554
44,michael,12.850877283482218
45,david,12.850877283482218
46,mommy,12.777906043963872
47,hat,12.74929823994144
48,news,12.710914002754329
49,building,12.336110928204738
50,seems,12.28953100334531
51,teacher,12.275781483820756
52,louie,12.251215428600819
53,uncle,12.231050187590425
54,sick,12.126565059708764
55,counter,12.122081766670851
56,asking,11.965978266076084
57,children,11.912966115280646
58,closed,11.912966115280646
59,weeks,11.526768402089578
60,kidding,11.526768402089578
61,hungry,11.405190642970563
62,tv,11.373312705342975
63,plan,11.172300912132101
64,homework,10.998341712058142
65,president,10.975250201338778
66,quite,10.878162060069167
67,janine,10.850393174969701
68,favorite,10.82996919570968
69,clients,10.801612567745648
70,chocolate,10.713045074302583
71,fifteen,10.65683732798103
72,excited,10.639487246002734
73,class,10.639487246002734
74,tonight,10.561598344006196
75,months,10.420329494844246
76,twenty,10.37409156188062
77,responsible,10.372568158952216
78,wednesday,10.010405716839731
79,upset,9.921735048852625
80,ourselves,9.776303744051681
81,box,9.746972276138711
82,games,9.688390771446919
83,spoke,9.660847216993353
84,continued,9.49103085825391
85,nearly,9.388087416894397
86,charlie,9.262758482939201
87,war,9.229120103844515
88,ate,9.221414721671662
89,blood,9.181115226303191
90,bedroom,9.180283525668314
91,eighth,9.180283525668314
92,movie,9.180283525668314
93,wow,8.977741061793992
94,nina,8.959643384361419
95,lunch,8.93784072970568
96,wonder,8.780200161071022
97,smart,8.671260142861405
98,sent,8.671260142861405
99,tomorrow,8.549414926369755
100,liked,8.511589796802188
101,store,8.4391946916431
102,daddy,8.421682754388954
103,beat,8.379926870556057
104,coffee,8.262659294118235
105,yup,8.224073952136493
106,ring,8.177830998579593
107,prepared,8.147639797471914
108,bunch,8.1049136725718
109,body,8.032748084959774
110,join,7.9258757800442545
111,lou,7.871256698968571
112,names,7.855523429069743
113,although,7.855523429069743
114,missed,7.855523429069743
115,connecticut,7.82061063849247
116,certainly,7.779426119214162
117,child,7.743817706095274
118,evening,7.7169050379964865
119,explain,7.682675140937144
120,boys,7.682675140937144
121,soda,7.613475996606873
122,embarrassed,7.568878200346541
123,notebook,7.51399227988372
124,boyfriend,7.51399227988372
125,sign,7.480738060573535
126,pay,7.447641072201915
127,giggled,7.432508693881204
128,town,7.414699834940025
129,taken,7.381912889753041
130,practically,7.381912889753041
131,truth,7.365468890292453
132,letter,7.323539708355126
133,softly,7.2010750451637655
134,dying,6.983272392130048
135,whether,6.916061041253746
136,interested,6.854522040250613
137,slightly,6.821445969619888
138,month,6.821445969619888
139,himself,6.7936078114665035
140,speak,6.7936078114665035
141,forgot,6.7936078114665035
142,park,6.772588722239782
143,horrible,6.758153985260272
144,named,6.70338054727926
145,neither,6.673603811226487
146,meetings,6.643974121382992
147,handed,6.555952982896228
148,vacation,6.53217302596096
149,group,6.526897236041501
150,surprise,6.46920448384485
151,yesterday,6.453181421746061
152,dance,6.423682811110121
153,calling,6.327353905502607
154,question,6.327353905502607
155,carrying,6.307398500288785
156,seconds,6.307398500288785
157,sugar,6.278745126743859
158,spread,6.250255021170671
159,shoulders,6.221926333492283
160,bell,6.193757244901004
161,carrot,6.191478517748083
162,babies,6.1813507042845375
163,cold,6.110189840032301
