,term,score
0,kristy,290.6801074965717
1,jenny,288.4476141942229
2,claudia,186.19102680504784
3,stacey,119.16225715523063
4,mimi,97.7313440308851
5,mary,95.96486756678952
6,newton,64.24486322105999
7,sitters,53.19743623001367
8,prezzioso,50.28785537752561
9,jamie,47.7418873188859
10,nine,30.45885376819367
11,mad,28.91894984864811
12,clock,28.47309257476173
13,claire,28.12174332004428
14,fight,27.6041210064611
15,party,27.174431245866014
16,doctor,25.263038124407103
17,pike,24.57906200669062
18,sharon,23.599742572694527
19,pikes,23.323045904198057
20,dinner,23.200297653509555
21,exclaimed,23.053536804179156
22,dress,22.950708814170785
23,window,21.46854937109634
24,note,20.68098130732334
25,sitter,20.668507914131418
26,david,19.860446710836154
27,michael,19.860446710836154
28,nicky,19.553162697964133
29,vanessa,19.461359090317906
30,margo,19.461359090317906
31,lucy,19.420696100078736
32,thomas,18.08712831820465
33,tea,17.570959051602188
34,stairs,17.560400322142044
35,jordan,17.492284428148544
36,adam,17.492284428148544
37,hospital,16.915063843545067
38,lunch,16.758451368198152
39,schafer,15.922637787480165
40,mallory,15.711046858139486
41,emergency,15.65654998058988
42,pizza,15.558852238428324
43,game,15.09481046230465
44,bell,14.865017387762409
45,water,14.719483591510757
46,pictures,14.460484779088757
47,allowed,14.402150090327531
48,jobs,14.26782526174041
49,spier,14.26782526174041
50,glanced,14.20456479627516
51,picture,14.078959954422583
52,shut,13.709044080501226
53,dear,13.637341987504707
54,clients,13.20197091613357
55,divorced,13.170300241606533
56,mommy,12.777906043963872
57,calling,12.654707811005213
58,bedroom,12.622889847793932
59,couch,12.393988941177353
60,birthday,12.168826405036464
61,record,12.019247135309753
62,upstairs,12.019247135309753
63,often,11.965978266076084
64,nina,11.946191179148558
65,locker,11.914252895840338
66,man,11.807702154102987
67,byron,11.717663533368201
68,responsible,11.669139178821244
69,written,11.630396272445044
70,speaking,11.578448103674003
71,kit,11.373211175728814
72,moments,11.173235827408076
73,coat,11.089771646245655
74,pink,11.04820333543868
75,member,11.024150054280694
76,homework,10.998341712058142
77,somebody,10.96543193618199
78,slightly,10.914313551391821
79,dining,10.871003841716925
80,closed,10.82996919570968
81,summer,10.614278387724188
82,rules,10.5653485715847
83,hoped,10.514354141030905
84,whether,10.37409156188062
85,entered,10.325090274793698
86,watson,10.281783060375918
87,several,10.281783060375918
88,downstairs,10.281783060375918
89,numbers,10.137947238196055
90,hundred,10.045992202790174
91,appeared,10.045992202790174
92,wonder,9.8777251812049
93,york,9.833929474344343
94,luckily,9.776581348982067
95,janine,9.644793933306401
96,tomorrow,9.618091792165973
97,gym,9.601520602003493
98,yup,9.594752944159241
99,mine,9.533185502065747
100,eight,9.49103085825391
101,ones,9.49103085825391
102,twice,9.287493589258665
103,needs,9.221414721671662
104,wow,8.977741061793992
105,greeted,8.959687884690487
106,salad,8.916366396849565
107,eating,8.819320043424556
108,upset,8.819320043424556
109,wonderful,8.780200161071022
110,raised,8.780200161071022
111,paint,8.704330198177711
112,shouted,8.6256059784598
113,light,8.587419748438537
114,shrugged,8.549414926369755
115,bet,8.473942668502886
116,stepped,8.473942668502886
117,rose,8.421682754388954
118,karen,8.401254219357726
119,twins,8.29180532237265
120,painting,8.207057530803784
121,nobody,8.177830998579593
122,diabetes,8.072167104230754
123,staring,7.82061063849247
124,paid,7.815247121133185
125,managed,7.785871113097568
