,term,score
0,buddy,362.9670824574566
1,suzi,312.6592747385288
2,barrett,241.08381149075774
3,kristy,225.4908186830023
4,mary,219.34826872409036
5,marnie,201.28702051622264
6,karen,63.60949623227993
7,hannie,58.57493888416416
8,pike,55.8615045606605
9,stacey,53.19743623001367
10,claudia,51.069538780813126
11,jeff,42.11754926532682
12,pow,41.12619836099564
13,pikes,39.35763996333422
14,picnic,34.11568153377228
15,andrew,33.29502822265133
16,pop,33.03436914149935
17,mallory,31.422093716278972
18,jordan,30.61149774925995
19,jenny,30.240475681652406
20,spier,29.633175543614698
21,michael,29.2065392806414
22,david,28.038277709415745
23,barn,27.69037239894757
24,sitters,26.598718115006836
25,police,25.265048263166857
26,children,24.908929150132263
27,exclaimed,23.053536804179156
28,watson,22.848406800835374
29,claire,22.76522078289299
30,california,22.742935310990326
31,nicky,22.346471654816153
32,brewer,19.46445299512785
33,street,19.066371004131494
34,weather,18.636006585800445
35,sitter,18.492875502117585
36,margo,18.071262012438055
37,sign,17.09882985273951
38,questions,16.53622508142104
39,van,16.510609380661553
40,upstairs,16.38988245724057
41,salad,16.34667172755754
42,rain,16.33828331955775
43,shouted,16.173011209612127
44,several,15.993884760584763
45,connecticut,15.64122127698494
46,pizza,15.558852238428324
47,boo,15.10348404895224
48,honey,15.007181133163755
49,louie,14.701458514320983
50,ew,14.548625590851266
51,pink,13.503359632202832
52,lunch,13.40676109455852
53,prezzioso,13.11857096805016
54,problems,13.08369020659469
55,fifteen,13.025023400865704
56,yard,12.906362843492122
57,window,12.881129622657806
58,man,12.881129622657806
59,dressed,12.881129622657806
60,pants,12.569890305834086
61,clean,12.510643975877272
62,coffee,12.393988941177353
63,yup,12.336110928204738
64,lived,12.28953100334531
65,wonder,12.072775221472655
66,janine,12.055992416633002
67,clock,11.600148826754777
68,moving,11.526768402089578
69,warm,11.457364702129496
70,although,11.22217632724249
71,gotten,11.172300912132101
72,bell,11.148763040821807
73,burst,11.073290202304985
74,meetings,11.073290202304985
75,drive,10.926588304827048
76,beautiful,10.782007473074751
77,yelled,10.65683732798103
78,rooms,10.555160794753636
79,lawn,10.452969198805569
80,backyard,10.452969198805569
81,hot,10.235981434808677
82,boxes,10.184324179670663
83,twins,9.95016638684718
84,hat,9.916120853287788
85,somewhere,9.910011591841606
86,stairs,9.8777251812049
87,cry,9.833929474344343
88,record,9.833929474344343
89,tears,9.79034585406225
90,homework,9.776303744051681
91,mimi,9.77313440308851
92,game,9.703806725767276
93,break,9.703806725767276
94,nope,9.594752944159241
95,drop,9.558306604472676
96,town,9.533185502065747
97,tree,9.505579763717234
98,porch,9.136171195928249
99,tv,9.09865016427438
100,suit,9.047280681217403
101,schedule,9.034453990444486
102,eleven,9.017841396382348
103,station,8.959687884690487
104,charge,8.93784072970568
105,eating,8.819320043424556
106,band,8.785479525801094
107,jobs,8.780200161071022
108,toys,8.75035702963894
109,surprise,8.6256059784598
110,pencil,8.49953215996096
111,eight,8.436471874003475
112,dinner,8.436471874003475
113,daddy,8.421682754388954
114,juice,8.41953097474417
115,sunny,8.334724040829606
116,weekend,8.251515889488505
117,neighborhood,8.251515889488505
118,animals,8.207057530803784
119,ride,8.1049136725718
120,garage,8.082569772695148
121,wall,8.068737881462704
122,buy,8.032748084959774
123,driveway,7.887537152230232
124,married,7.855523429069743
125,loves,7.785871113097568
126,mad,7.785871113097568
127,earlier,7.779426119214162
128,plate,7.743817706095274
129,organized,7.708419373332145
130,suppose,7.688665383429576
131,rolled,7.648611813378933
132,glanced,7.648611813378933
133,often,7.6147134420484175
134,checked,7.6147134420484175
135,ground,7.5344941520926305
136,careful,7.5344941520926305
137,spread,7.5003060254048055
138,liked,7.447641072201915
139,sighed,7.447641072201915
140,helped,7.414699834940025
141,bet,7.414699834940025
142,dues,7.365468890292453
143,cold,7.332227808038761
144,scary,7.253608498481427
145,doors,7.253608498481427
146,bathroom,7.2335954499798
147,clients,7.2010750451637655
148,mostly,7.1365582945061945
149,jacket,7.082943466634134
150,crying,7.072727905275862
151,tea,7.028383620640875
152,angry,7.009569427353936
153,mess,7.009569427353936
154,mansion,7.009569427353936
155,however,6.983272392130048
156,luckily,6.983272392130048
157,bowl,6.983272392130048
158,gets,6.978237763467026
159,bedroom,6.885212644251235
160,settled,6.885212644251235
161,downstairs,6.854522040250613
162,interested,6.854522040250613
163,whose,6.853394960113743
164,rushed,6.821445969619888
165,water,6.7936078114665035
166,fall,6.7936078114665035
167,usual,6.70338054727926
168,chocolate,6.6956531714391145
169,shopping,6.6956531714391145
170,papadakis,6.603081882288538
171,leaving,6.585150120803267
172,president,6.585150120803267
173,threw,6.526897236041501
174,desk,6.526897236041501
175,months,6.512705934277654
176,closed,6.497981517425807
177,hasn,6.453181421746061
178,changed,6.383692347601641
179,decide,6.365202612294164
180,news,6.3554570013771645
181,numbers,6.336217023872535
182,hungry,6.336217023872535
183,question,6.327353905502607
184,calling,6.327353905502607
185,loved,6.307398500288785
