,term,score
0,wedding,191.6685906594581
1,karen,169.2252635613485
2,ashley,161.27358091850553
3,michael,144.86443483198136
4,david,144.86443483198136
5,watson,138.23286114505402
6,mary,134.9835499840556
7,stacey,115.97041098142981
8,nannie,103.02425762258824
9,patrick,100.23708955059205
10,claudia,94.69143648942433
11,andrew,82.62099595991256
12,grace,64.66994933050269
13,children,59.56483057640323
14,sam,59.460069551049635
15,kristy,58.77722761879206
16,group,47.863913064304334
17,sitters,42.557948984010935
18,aunt,41.01182236678871
19,charlie,33.5774995006546
20,dress,33.278527780547634
21,louie,29.402917028641966
22,pink,28.23429741278774
23,brothers,28.157919908845166
24,boys,26.340600483213066
25,babies,26.270740493209285
26,flowers,26.013159807859044
27,exclaimed,25.358890484597072
28,dollars,25.265048263166857
29,uncle,24.46210037518085
30,mimi,21.500895686794724
31,dinner,20.036620700758252
32,bag,19.493944552277423
33,rehearsal,19.161466468297093
34,summer,18.57498717851733
35,yellow,17.986311871108338
36,backyard,17.919375769380974
37,window,17.174839496877073
38,yard,16.77827169653976
39,honey,16.37147032708773
40,jamie,15.277403942043488
41,present,15.078801135362339
42,hundred,15.068988304185261
43,lunch,14.523991185771731
44,shoes,12.96666782633908
45,newton,12.848972644211997
46,news,12.710914002754329
47,eight,12.654707811005213
48,clock,12.654707811005213
49,evening,12.126565059708764
50,joined,12.126565059708764
51,tuesday,12.055992416633002
52,beautiful,11.860208220382226
53,street,11.651671169191468
54,promise,11.562629059998217
55,weeks,11.526768402089578
56,oldest,11.457364702129496
57,art,11.272301745477936
58,handed,10.926588304827048
59,picture,10.82996919570968
60,box,10.82996919570968
61,picnic,10.77337311592809
62,dressed,10.73427468554817
63,spoke,10.73427468554817
64,pay,10.639487246002734
65,ones,10.545589842504343
66,buy,10.327818966376853
67,bedroom,10.327818966376853
68,wednesday,10.010405716839731
69,cry,9.833929474344343
70,couch,9.639769176471274
71,helped,9.533185502065747
72,shopping,9.37391444001476
73,moving,9.221414721671662
74,driveway,9.202126677601937
75,movie,9.180283525668314
76,porch,9.136171195928249
77,lap,9.117788307988715
78,tv,9.09865016427438
79,married,8.977741061793992
80,age,8.93784072970568
81,final,8.87335545997789
82,tears,8.702529648055334
83,shouted,8.6256059784598
84,chairs,8.580614474961298
85,dr,8.555023989799759
86,spend,8.549414926369755
87,brewer,8.515698185368434
88,younger,8.511589796802188
89,games,8.477341925016054
90,mine,8.473942668502886
91,bathroom,8.4391946916431
92,taken,8.436471874003475
93,daddy,8.421682754388954
94,contest,8.35920663594382
95,gathered,8.325984676923895
96,crying,8.251515889488505
97,shrieked,8.224073952136493
98,tonight,8.214576489782598
99,ring,8.177830998579593
100,tree,8.147639797471914
101,ew,8.082569772695148
102,envelope,8.001267168336245
103,hide,7.960708790793141
104,johanssen,7.9212654616040385
