,term,score
0,mimi,584.4334373046929
1,janine,231.4750543993536
2,jenny,179.11666365286425
3,jamie,162.32241688421206
4,lucy,151.04985855616795
5,kristy,129.30990076134253
6,mary,113.89237029904692
7,louie,85.75850800020574
8,stacey,81.92405179422106
9,newton,75.25826834467027
10,claudia,51.069538780813126
11,group,50.03954547631817
12,michael,45.56220127780059
13,david,45.56220127780059
14,karen,43.20645027098259
15,hospital,43.05652614720562
16,nina,35.838573537445676
17,cards,33.338896163318424
18,andrew,33.29502822265133
19,sitters,31.918461738008205
20,party,24.909895308710514
21,art,23.671833665503662
22,yard,23.23145311828582
23,pike,20.11014164183778
24,summer,19.90177197698285
25,prezzioso,19.67785645207524
26,suzi,19.67785645207524
27,dress,19.508102492045165
28,tea,19.328054956762408
29,mallory,19.077699756312235
30,dr,18.82105277755947
31,charlotte,18.45279692023098
32,nicky,18.156508219538125
33,dinner,17.927502732257384
34,barrett,17.8580601104265
35,porch,16.74964719253512
36,margo,16.681164934558204
37,buddy,16.498503748066213
38,children,16.24495379356452
39,shoes,15.324243794764367
40,dressed,15.02798455976744
41,exclaimed,13.832122082507492
42,dollars,13.474692407022324
43,backyard,13.43953182703573
44,claire,13.391306342878229
45,handed,13.111905965792456
46,game,12.9384089676897
47,news,12.710914002754329
48,smart,12.387514489802008
49,likes,11.860208220382226
50,lou,11.806885048452855
51,tomorrow,11.755445523758413
52,pay,11.703435970603008
53,clock,11.600148826754777
54,watson,11.424203400417687
55,card,11.386581804065367
56,water,11.322679685777505
57,breakfast,11.250459038107207
58,joined,11.024150054280694
59,upset,11.024150054280694
60,wonderful,10.975250201338778
61,nancy,10.96543193618199
62,yelled,10.65683732798103
63,question,10.545589842504343
64,doctor,10.40242746299116
65,questions,9.921735048852625
66,pink,9.820625187056605
67,vacation,9.79825953894144
68,sitter,9.79034585406225
69,picture,9.746972276138711
70,clients,9.601433393551687
71,helped,9.533185502065747
72,eight,9.49103085825391
73,frowned,9.287493589258665
74,wedding,9.12707574568848
75,speak,9.058143748622005
76,picnic,8.977810929940075
77,usual,8.93784072970568
78,hardly,8.858632161843989
79,evening,8.819320043424556
80,pikes,8.746142214074272
81,record,8.741270643861638
82,street,8.473942668502886
83,bet,8.473942668502886
84,however,8.379926870556057
85,moments,8.379926870556057
86,crying,8.251515889488505
87,shrieked,8.224073952136493
88,rushed,8.185735163543866
89,honey,8.185735163543866
90,charlie,8.1049136725718
91,needs,8.068737881462704
92,downstairs,7.996942380292381
93,clean,7.961318893740082
94,tired,7.961318893740082
95,doorway,7.960708790793141
96,drew,7.890611221834554
97,lunch,7.82061063849247
98,outfit,7.815247121133185
99,dining,7.765002744083517
100,plenty,7.7169050379964865
101,repeated,7.682675140937144
102,crossed,7.673228656617756
103,glanced,7.648611813378933
104,nine,7.6147134420484175
105,eye,7.580978436996775
106,spend,7.480738060573535
107,greeted,7.466406570575406
108,drawing,7.288451845061893
109,supplies,7.116613627540854
110,emergency,7.116613627540854
111,juice,7.016275812286807
112,nobody,7.009569427353936
113,several,6.854522040250613
114,entire,6.854522040250613
115,nope,6.853394960113743
116,tv,6.823987623205785
117,month,6.821445969619888
118,although,6.733305796345494
119,charge,6.70338054727926
120,meetings,6.643974121382992
121,raised,6.585150120803267
122,president,6.585150120803267
123,send,6.572947626858526
124,painting,6.565646024643026
125,rolled,6.555952982896228
126,quite,6.526897236041501
127,certainly,6.4828550993451355
128,gasped,6.4828550993451355
129,shouted,6.46920448384485
130,beautiful,6.46920448384485
131,sheet,6.466055818156118
132,happily,6.453181421746061
133,king,6.431606640768692
134,class,6.383692347601641
135,thomas,6.383692347601641
136,johanssen,6.337012369283231
137,taken,6.327353905502607
138,camp,6.309140657207926
139,loved,6.307398500288785
140,dogs,6.2740189414106755
141,board,6.120743484202128
142,games,6.055244232154324
143,library,6.031520454144935
144,immediately,6.027996208316501
145,lawn,5.9731252564603246
146,gathered,5.947131912088496
147,fingers,5.920465182211684
148,fifteen,5.920465182211684
149,neighborhood,5.893939921063218
150,tonight,5.867554635558998
151,english,5.747713510255798
152,nose,5.737677203542696
153,jeans,5.737677203542696
154,pencil,5.666354773307307
155,reminded,5.636150872738968
156,silly,5.611088163621245
157,pieces,5.586617913704038
158,green,5.586150456066051
159,led,5.561336509355406
160,wondered,5.536645101152493
161,grandmother,5.512075027140347
162,sick,5.512075027140347
163,coffee,5.508439529412157
164,regular,5.487625100669389
165,mommy,5.476245447413088
166,favorite,5.41498459785484
167,others,5.41498459785484
168,closed,5.41498459785484
169,box,5.41498459785484
170,spotted,5.3565225371512915
171,spent,5.343384328981097
172,town,5.296214167814304
173,besides,5.296214167814304
174,joke,5.258358101486821
175,lap,5.210164747422123
176,earlier,5.186284079476108
177,child,5.162545137396849
178,disappointed,5.162545137396849
179,classes,5.162545137396849
180,grinning,5.115485771078504
181,drove,5.092162089835331
182,warm,5.092162089835331
183,anybody,5.022996101395087
184,appeared,5.022996101395087
185,sent,4.955005795920803
186,lying,4.888151872025841
187,stories,4.888151872025841
188,french,4.874233361026635
189,brewer,4.8661132487819625
190,dog,4.8661132487819625
191,pointing,4.8661132487819625
192,closet,4.8661132487819625
193,shy,4.779153302236338
194,um,4.7151519368505745
195,tiny,4.7151519368505745
196,ring,4.673046284902624
197,wild,4.652158508978017
198,visit,4.631379241469601
199,suppose,4.613199230057745
200,twenty,4.610707360835831
201,bedroom,4.590141762834157
202,grew,4.569681360167075
203,hot,4.54932508213719
204,ear,4.54932508213719
205,marnie,4.523303831825228
