,term,score
0,mary,239.3848894248486
1,claire,129.89567152591883
2,pike,120.66084985102668
3,beach,117.72542564573466
4,nicky,106.14574036037672
5,kristy,91.90621045847486
6,alex,89.56158418381537
7,byron,77.62952090856433
8,sea,76.68132041773234
9,margo,65.33456266035297
10,mallory,62.844187432557945
11,stacey,56.38928240381449
12,vanessa,54.21378603731417
13,louie,49.004861714403276
14,pikes,43.730711070371356
15,adam,40.8153303323466
16,jordan,40.8153303323466
17,water,38.49711093164352
18,claudia,35.11030791180902
19,garden,34.875782891432564
20,sun,33.20597752460776
21,silly,31.422093716278972
22,watson,27.41808816100245
23,triplets,27.227991417249566
24,dear,25.759423754175558
25,ball,25.325834616758133
26,karen,25.20376265807318
27,ice,24.9772009820624
28,cream,24.329354346936977
29,andrew,23.429834675199086
30,michael,19.860446710836154
31,david,19.860446710836154
32,dogs,17.253552088879356
33,stace,16.843365508777907
34,boys,16.462875302008165
35,guy,16.24495379356452
36,weeks,16.13747576292541
37,yellow,15.41683874666429
38,yup,15.077468912250236
39,exclaimed,14.98479892271645
40,hot,14.785306516945868
41,pink,14.730937780584906
42,sitters,13.831333419803554
43,town,13.77015683631719
44,breakfast,13.750561046575475
45,soda,13.704256793892371
46,mimi,13.682388164323914
47,drive,13.111905965792456
48,nine,13.053794472083002
49,twenty,12.679445242298536
50,cars,12.241486968404256
51,main,11.996447976359114
52,edge,11.94106318618971
53,bought,11.787879842126436
54,candy,11.722870681699778
55,sunday,11.669139178821244
56,promise,11.562629059998217
57,bedroom,11.475354407085392
58,disappeared,11.353317300519812
59,afraid,11.073290202304985
60,evening,11.024150054280694
61,ourselves,10.998341712058142
62,places,10.948754809759416
63,weather,10.871003841716925
64,summer,10.614278387724188
65,driveway,10.516716202973642
66,charlie,10.420603293306602
67,shop,10.302425762258824
68,drove,10.184324179670663
69,green,10.05507082091889
70,careful,10.045992202790174
71,handed,9.833929474344343
72,dog,9.732226497563925
73,air,9.618091792165973
74,gorgeous,9.550024357467844
75,tree,9.505579763717234
76,eight,9.49103085825391
77,clock,9.49103085825391
78,yelled,9.472744291538694
79,neighborhood,9.430303873701149
80,bear,9.411028412116014
81,skin,9.287493589258665
82,hanging,9.09865016427438
83,lunch,8.93784072970568
