,term,score
0,jeff,156.0826825715053
1,mary,151.85649373206255
2,nicky,145.252065756305
3,kristy,125.03519329815767
4,jamie,108.85150308705985
5,stacey,104.2669750108268
6,claudia,102.13907756162625
7,ghost,93.08346561994368
8,myriah,92.87628853538388
9,barn,67.24804725458695
10,gabbie,66.7907721491016
11,secret,56.978734651873715
12,boo,45.31045214685672
13,wall,43.8017199279404
14,karen,39.60591274840071
15,claire,33.478265857195574
16,ben,31.23232360144204
17,vanessa,30.58213571335671
18,pike,29.047982371543462
19,triplets,28.524562437118593
20,stairs,27.438125503346946
21,michael,26.870016138190092
22,trip,26.523183316592604
23,david,25.701754566964436
24,exclaimed,25.358890484597072
25,mallory,24.68878791993348
26,key,23.08987330170187
27,man,22.54197683965116
28,andrew,20.963536288336023
29,margo,20.851456168197757
30,pikes,20.4076651661733
31,bedroom,19.508102492045165
32,light,19.321694433986707
33,scared,18.413672225731133
34,newton,18.35567520601714
35,adam,17.492284428148544
36,stories,17.10853155209044
37,sitters,17.023179593604375
38,rain,16.33828331955775
39,upstairs,15.297223626757866
40,lucy,15.104985855616796
41,downstairs,13.709044080501226
42,pop,13.602387293558555
43,brewer,13.381811434150396
44,afraid,13.287948242765983
45,jordan,13.119213321111408
46,hiding,13.119213321111408
47,climbed,12.500510042341341
48,water,12.454947654355257
49,shrieked,12.336110928204738
50,yup,12.336110928204738
51,louie,12.251215428600819
52,dog,12.165283121954907
53,paused,11.562629059998217
54,hundred,11.301741228138946
55,boys,10.975250201338778
56,steps,10.850393174969701
57,wide,10.801612567745648
58,shouted,10.782007473074751
59,windows,10.762889472307672
60,byron,10.252955591697177
61,gotten,10.05507082091889
62,somewhere,9.910011591841606
63,glanced,9.833929474344343
64,closed,9.746972276138711
65,california,9.746972276138711
66,window,9.660847216993353
67,air,9.618091792165973
68,calling,9.49103085825391
69,cream,9.46141557936438
70,dead,9.37391444001476
71,weeks,9.221414721671662
72,ice,9.202126677601937
73,drew,9.017841396382348
74,mail,8.977810929940075
75,asleep,8.911283657211829
76,carefully,8.898138414968649
77,led,8.898138414968649
78,spier,8.780200161071022
79,listen,8.663975356567743
80,lights,8.621570265383696
81,color,8.593047038674529
82,grabbed,8.511589796802188
83,town,8.473942668502886
84,eight,8.436471874003475
85,dinner,8.436471874003475
86,neighborhood,8.251515889488505
87,tonight,8.214576489782598
88,history,8.185735163543866
89,honey,8.185735163543866
90,angry,8.177830998579593
91,vacation,8.1652162824512
92,sleep,8.068737881462704
93,tv,7.961318893740082
94,forgot,7.9258757800442545
95,glasses,7.890611221834554
96,empty,7.890611221834554
97,charge,7.82061063849247
98,lunch,7.82061063849247
99,leaving,7.682675140937144
100,handed,7.648611813378933
101,porch,7.613475996606873
102,brothers,7.580978436996775
103,bag,7.580978436996775
104,rooms,7.539400567681169
105,backyard,7.466406570575406
106,mine,7.414699834940025
107,bet,7.414699834940025
108,foot,7.398895160589185
109,pink,7.365468890292453
110,lying,7.332227808038761
111,laughter,7.253608498481427
112,scary,7.253608498481427
113,faces,7.2335954499798
114,bathroom,7.2335954499798
115,interrupted,7.2010750451637655
116,claud,7.2010750451637655
117,basement,7.104576400523653
118,calm,7.072727905275862
119,date,7.072727905275862
120,um,7.072727905275862
121,sun,6.9179119842932835
122,ate,6.916061041253746
123,settled,6.885212644251235
124,several,6.854522040250613
125,nancy,6.853394960113743
126,clean,6.823987623205785
127,party,6.7936078114665035
128,ha,6.772588722239782
129,daddy,6.737346203511162
130,wow,6.733305796345494
131,slipped,6.6956531714391145
132,chocolate,6.6956531714391145
133,loves,6.673603811226487
134,managed,6.673603811226487
135,tossed,6.664693320199508
136,summer,6.633923992327617
137,evening,6.614490032568417
138,buddy,6.5994014992264844
139,repeated,6.585150120803267
140,tears,6.526897236041501
141,quite,6.526897236041501
142,sitter,6.526897236041501
143,picture,6.497981517425807
144,children,6.497981517425807
145,others,6.497981517425807
146,gasped,6.4828550993451355
147,game,6.46920448384485
148,figure,6.412061194777316
149,stepped,6.3554570013771645
150,clock,6.327353905502607
151,disappeared,6.307398500288785
152,appeared,6.278745126743859
153,sugar,6.278745126743859
154,bear,6.2740189414106755
155,weather,6.212002195266814
156,sleeping,6.1813507042845375
157,stupid,6.137890741910378
158,ourselves,6.110189840032301
159,bottom,6.110189840032301
160,spot,6.082641560977454
161,nina,5.973095589574279
162,yelled,5.920465182211684
163,sea,5.898563109056334
164,loudly,5.763384201044789
165,fancy,5.747713510255798
166,hot,5.686656352671488
167,exciting,5.666354773307307
168,area,5.666354773307307
169,silly,5.611088163621245
170,usual,5.586150456066051
171,catch,5.586150456066051
172,third,5.512075027140347
173,couch,5.508439529412157
174,jobs,5.487625100669389
175,wonder,5.487625100669389
176,mommy,5.476245447413088
177,slightly,5.4571567756959105
178,everywhere,5.431759864981276
179,movies,5.431759864981276
180,picnic,5.386686557964045
181,sounding,5.381444736153836
182,honest,5.381444736153836
183,teeth,5.3565225371512915
184,admit,5.343384328981097
185,thomas,5.319743623001367
186,excited,5.319743623001367
187,pay,5.319743623001367
188,hide,5.307139193862094
189,flew,5.307139193862094
190,explained,5.296214167814304
191,brown,5.296214167814304
192,news,5.296214167814304
193,opening,5.28267428579235
194,ones,5.272794921252172
195,taken,5.272794921252172
196,awful,5.272794921252172
