,term,score
0,logan,280.38277709415746
1,kristy,207.32331196446654
2,claudia,182.99918063124704
3,stacey,176.6154882836454
4,jackie,94.07963639935733
5,gabbie,80.7055163468311
6,mary,68.54633397627823
7,birthday,57.36732448088619
8,party,54.34886249173203
9,myriah,49.16979981285029
10,charlotte,46.13199230057746
11,dance,44.96577967777085
12,rodowsky,44.95641825420715
13,sitters,37.23820536100957
14,boys,36.21832566441797
15,tigger,27.4807372271635
16,karen,25.20376265807318
17,cake,25.13787060383221
18,cat,24.442919392415742
19,summer,22.5553415739139
20,louie,22.052187771481474
21,alan,21.03046885735975
22,um,20.039395731614942
23,exclaimed,19.595506283552282
24,sitter,19.5806917081245
25,gym,19.203041204006986
26,cards,18.336392889825134
27,bus,16.799922969045706
28,ring,16.355661997159185
29,pink,15.958515928966982
30,mimi,15.637015044941617
31,locker,15.31832515179472
32,michael,15.187400425933529
33,david,15.187400425933529
34,sweater,15.152602208338564
35,class,14.89528214440383
36,kit,14.622700083079904
37,meetings,14.395277262996482
38,dr,13.688038383679615
39,prezzioso,13.11857096805016
40,neighborhood,12.96666782633908
41,johanssen,12.674024738566462
42,lunch,12.28953100334531
43,member,12.126565059708764
44,stairs,12.072775221472655
45,handed,12.019247135309753
46,clients,12.00179174193961
47,center,11.722870681699778
48,pete,11.548305675494873
49,dancing,11.440819299948396
50,gray,11.353317300519812
51,couch,11.016879058824314
52,newton,11.013405123610283
53,record,10.926588304827048
54,surprise,10.782007473074751
55,shy,10.75309493003176
56,silence,10.609091857913793
57,watson,10.281783060375918
58,doorbell,10.058498642947646
59,andrew,9.865193547452247
60,bag,9.746972276138711
61,game,9.703806725767276
62,notebook,9.660847216993353
63,liked,9.57553852140246
64,erica,9.37409439980387
65,jenny,9.30476174820074
66,eighth,9.180283525668314
67,settled,9.180283525668314
68,outfit,9.117788307988715
69,paused,8.993155935554169
70,heads,8.993155935554169
71,decide,8.911283657211829
72,embarrassed,8.830357900404298
73,jobs,8.780200161071022
74,upstairs,8.741270643861638
75,invited,8.710696866889197
76,nine,8.702529648055334
77,others,8.663975356567743
78,box,8.663975356567743
79,shouted,8.6256059784598
80,lights,8.621570265383696
81,air,8.549414926369755
82,excited,8.511589796802188
83,bruno,8.477341925016054
84,steps,8.4391946916431
85,eight,8.436471874003475
86,juice,8.41953097474417
87,interrupted,8.401254219357726
88,shoes,8.251515889488505
89,nearby,8.224073952136493
90,honest,8.072167104230754
91,buy,8.032748084959774
92,entire,7.996942380292381
93,pet,7.95887280171589
94,join,7.9258757800442545
95,sea,7.864750812075112
96,schedule,7.743817706095274
97,nervous,7.7169050379964865
98,leaned,7.7169050379964865
99,cleared,7.708419373332145
100,promise,7.708419373332145
101,president,7.682675140937144
102,drive,7.648611813378933
103,jamie,7.638701971021744
104,checked,7.6147134420484175
105,soda,7.613475996606873
106,mcgill,7.580978436996775
107,present,7.539400567681169
108,giggled,7.432508693881204
109,subject,7.432508693881204
110,doctor,7.430305330707972
111,legs,7.398895160589185
112,clock,7.381912889753041
113,monday,7.381912889753041
114,teacher,7.365468890292453
115,homework,7.332227808038761
116,throat,7.2335954499798
117,corrie,7.0603264827522425
118,nobody,7.009569427353936
119,popcorn,6.990824659241518
120,moments,6.983272392130048
121,charlie,6.947068862204401
122,bedroom,6.885212644251235
123,yup,6.853394960113743
124,hot,6.823987623205785
125,list,6.7936078114665035
126,giggling,6.758153985260272
127,conversation,6.733305796345494
128,usual,6.70338054727926
129,takes,6.70338054727926
130,mad,6.673603811226487
131,grinned,6.614490032568417
132,eating,6.614490032568417
133,joined,6.614490032568417
134,justin,6.570081566686272
135,brothers,6.497981517425807
136,kishi,6.497981517425807
137,responsible,6.4828550993451355
138,lucy,6.473565366692912
139,yard,6.453181421746061
140,tomorrow,6.412061194777316
141,grinning,6.39435721384813
142,awful,6.327353905502607
143,thursday,6.250255021170671
144,emily,6.221926333492283
145,bell,6.193757244901004
146,dog,6.082641560977454
147,screamed,6.031520454144935
148,bathroom,6.027996208316501
149,softly,6.000895870969805
150,relieved,6.000895870969805
151,greeted,5.9731252564603246
152,road,5.9731252564603246
153,backyard,5.9731252564603246
154,tape,5.944244264566377
155,salad,5.944244264566377
156,fair,5.920465182211684
157,shouldn,5.920465182211684
158,safe,5.887100435576471
159,famous,5.887100435576471
160,row,5.8588317666841006
161,gets,5.815198136222522
162,terrific,5.815198136222522
163,woman,5.789224051837001
164,bunch,5.789224051837001
165,awhile,5.763384201044789
166,wall,5.763384201044789
167,english,5.747713510255798
168,impressed,5.720409649974198
169,emergency,5.693290902032683
170,card,5.693290902032683
171,johnson,5.674032121632352
172,thirteen,5.6613398428887525
173,fall,5.6613398428887525
174,missed,5.611088163621245
175,pike,5.586150456066051
176,named,5.586150456066051
177,green,5.586150456066051
178,led,5.561336509355406
179,milk,5.534329587434627
180,slow,5.534329587434627
181,evening,5.512075027140347
182,repeated,5.487625100669389
183,glanced,5.463294152413524
184,waved,5.463294152413524
185,gorgeous,5.4571567756959105
186,rushed,5.4571567756959105
187,announced,5.4390810300345835
188,asking,5.4390810300345835
189,wished,5.431759864981276
190,waited,5.41498459785484
191,picture,5.41498459785484
192,children,5.41498459785484
193,beautiful,5.3910037365373755
194,crowded,5.3565225371512915
195,shopping,5.3565225371512915
196,jewelry,5.331754656159607
197,barely,5.319743623001367
198,flew,5.307139193862094
199,mine,5.296214167814304
200,stepped,5.296214167814304
201,explained,5.296214167814304
202,dinner,5.272794921252172
203,ones,5.272794921252172
204,taken,5.272794921252172
205,continued,5.272794921252172
206,calling,5.272794921252172
207,pictures,5.258358101486821
208,excitement,5.23418884366297
209,cover,5.210164747422123
210,lap,5.210164747422123
211,months,5.210164747422123
212,earlier,5.186284079476108
213,picking,5.186284079476108
214,yellow,5.138946248888097
215,drove,5.092162089835331
216,crowd,5.068973619098028
217,dollars,5.053009652633372
218,seconds,5.045918800231028
219,excuse,5.000204016936537
220,associate,4.932596773726123
221,seriously,4.932596773726123
222,animals,4.92423451848227
223,spot,4.8661132487819625
224,brewer,4.8661132487819625
225,store,4.8223969666532005
226,linny,4.790366617074273
227,fifteen,4.736372145769347
228,weekend,4.7151519368505745
229,step,4.7151519368505745
230,vice,4.673046284902624
231,cheese,4.659001646450111
232,covered,4.652158508978017
233,speaking,4.631379241469601
234,sleep,4.610707360835831
235,weeks,4.610707360835831
236,needs,4.610707360835831
237,kidding,4.610707360835831
238,dress,4.590141762834157
239,jeans,4.590141762834157
240,several,4.569681360167075
241,downstairs,4.569681360167075
242,tv,4.54932508213719
243,extra,4.529071874311002
244,pair,4.529071874311002
245,study,4.5016622203324825
246,chips,4.5016622203324825
247,math,4.488870530896996
248,longer,4.488870530896996
249,charge,4.46892036485284
250,none,4.46892036485284
251,age,4.46892036485284
252,ben,4.46176051449172
253,orange,4.436677729988945
254,ended,4.4293160809219945
255,questions,4.409660021712278
256,spier,4.390100080535511
257,known,4.390100080535511
258,wonder,4.390100080535511
259,wonderful,4.390100080535511
260,ideas,4.390100080535511
261,explain,4.390100080535511
262,singing,4.352165099088856
263,doors,4.352165099088856
264,group,4.351264824027667
265,junk,4.351264824027667
266,hate,4.351264824027667
267,desk,4.351264824027667
268,closed,4.3319876782838715
269,window,4.293709874219268
270,spoke,4.293709874219268
271,definitely,4.293709874219268
272,man,4.293709874219268
273,king,4.287737760512461
274,shrugged,4.274707463184877
275,pay,4.255794898401094
276,sighed,4.255794898401094
277,changed,4.255794898401094
278,exciting,4.24976607998048
279,street,4.236971334251443
280,news,4.236971334251443
281,helped,4.236971334251443
282,question,4.2182359370017375
283,pieces,4.189963435278028
284,bowl,4.189963435278028
285,movies,4.073819898735957
286,horrible,4.054892391156162
287,jumping,4.036083552115377
288,rather,4.036083552115377
289,leaning,3.998815992119705
290,director,3.998815992119705
291,twice,3.9803543953965703
292,lay,3.9620057143442624
293,whoa,3.9076235605665923
294,hasn,3.871908853047637
295,letting,3.8542096866660724
296,worst,3.8542096866660724
297,crossed,3.836614328308878
298,numbers,3.8017302143235208
299,loved,3.7844391001732705
300,hundred,3.7672470760463153
301,plans,3.7501530127024028
302,happening,3.7331558000953704
303,bottom,3.6661139040193804
304,promised,3.6661139040193804
305,lying,3.6661139040193804
306,mommy,3.650830298275392
307,information,3.6331465392925946
308,immediately,3.6167977249899
309,janine,3.6167977249899
310,office,3.6005375225818828
311,allowed,3.6005375225818828
312,barrett,3.5716120220853
313,treasurer,3.5682791472530972
314,problems,3.5682791472530972
315,key,3.5522882002618266
316,yelled,3.55227910932701
317,handle,3.536363952637931
318,poor,3.536363952637931
319,tonight,3.520532781335399
320,band,3.5141918103204377
321,beach,3.5141918103204377
322,mansion,3.504784713676968
323,stomach,3.504784713676968
324,wondering,3.489118881733513
325,absolutely,3.489118881733513
326,cute,3.489118881733513
327,loudly,3.458030520626873
328,whether,3.458030520626873
329,twenty,3.458030520626873
330,finish,3.458030520626873
331,movie,3.4426063221256173
332,reach,3.4272610201253064
333,interested,3.4272610201253064
334,schafer,3.4119938116028923
335,hanging,3.4119938116028923
336,speak,3.3968039057332517
337,secretary,3.3968039057332517
338,art,3.3816905236433805
339,laine,3.3760125615488628
340,silly,3.366652898172747
341,although,3.366652898172747
342,names,3.366652898172747
343,lived,3.35169027363963
344,catch,3.35169027363963
345,listened,3.3368019056132434
346,managed,3.3368019056132434
347,carefully,3.3368019056132434
348,loves,3.3368019056132434
349,sense,3.321987060691496
350,hardly,3.321987060691496
351,afraid,3.321987060691496
352,twins,3.31672212894906
353,private,3.3072450162842086
354,third,3.3072450162842086
355,starting,3.3072450162842086
356,filled,3.3072450162842086
357,regular,3.2925750604016333
358,leaving,3.2925750604016333
359,its,3.2925750604016333
360,cry,3.277976491448114
361,york,3.277976491448114
362,ghost,3.26608651298048
363,vacation,3.26608651298048
364,quite,3.2634486180207505
365,often,3.2634486180207505
366,listen,3.2489907587129037
367,eye,3.2489907587129037
368,favorite,3.2489907587129037
369,broke,3.2489907587129037
370,california,3.2489907587129037
371,deal,3.234602241922425
372,ahead,3.234602241922425
373,likes,3.234602241922425
374,turning,3.234602241922425
375,ew,3.233027909078059
376,dressed,3.2202824056644515
377,sign,3.206030597388658
378,thomas,3.1918461738008204
379,town,3.1777285006885823
380,bear,3.1370094707053378
381,hospital,3.0754661533718304
382,receiver,3.0754661533718304
383,kiss,3.060371742101064
384,machine,3.0305204416677127
385,stamford,3.0157602270724677
386,lawn,2.9865626282301623
387,dream,2.915380738024757
388,drawing,2.915380738024757
389,pikes,2.915380738024757
390,energy,2.887602513703423
391,fancy,2.873856755127899
392,murmured,2.860204824987099
393,supplies,2.8466454510163417
394,mumbled,2.8466454510163417
395,obviously,2.8331773866536536
396,waving,2.8331773866536536
397,bags,2.8331773866536536
398,area,2.8331773866536536
399,carried,2.81979941035206
400,bored,2.806510324914723
401,dying,2.793308956852019
402,luckily,2.793308956852019
403,pants,2.793308956852019
404,hallway,2.793308956852019
405,driving,2.780194155759701
406,official,2.7671647937173134
407,song,2.7542197647060784
408,seventh,2.7542197647060784
409,smell,2.7542197647060784
410,coffee,2.7542197647060784
411,pale,2.7542197647060784
412,decision,2.7542197647060784
413,shrieked,2.7413579840454974
414,nope,2.7413579840454974
415,roll,2.7413579840454974
416,enjoy,2.7413579840454974
417,somebody,2.7413579840454974
418,familiar,2.7285783878479553
419,honey,2.7285783878479553
420,diabetes,2.690722368076918
421,dead,2.6782612685756457
422,teeth,2.6782612685756457
423,simple,2.6782612685756457
424,edge,2.653569596931047
425,doorway,2.653569596931047
426,frowned,2.653569596931047
427,project,2.641337142896175
428,rules,2.641337142896175
429,opening,2.641337142896175
430,pile,2.641337142896175
431,mistake,2.641337142896175
432,send,2.6291790507434105
433,raced,2.6291790507434105
434,snapped,2.6291790507434105
435,snack,2.6050823737110615
436,noise,2.6050823737110615
437,sunday,2.593142039738054
438,gasped,2.593142039738054
439,yesterday,2.5812725686984246
440,classes,2.5812725686984246
441,entered,2.5812725686984246
442,grin,2.557742885539252
443,sports,2.557742885539252
444,count,2.557742885539252
445,wore,2.5460810449176656
446,asleep,2.5460810449176656
447,folded,2.534486809549014
448,carrying,2.522959400115514
449,families,2.522959400115514
450,appeared,2.5114980506975435
451,sweet,2.5001020084682684
452,climbed,2.5001020084682684
453,smart,2.4775028979604015
454,sent,2.4775028979604015
455,jeff,2.4775028979604015
456,amazing,2.4662983868630617
457,dues,2.455156296764151
458,expect,2.455156296764151
459,color,2.455156296764151
460,ourselves,2.4440759360129203
