,term,score
0,louie,458.19545702967065
1,david,140.19138854707873
2,michael,140.19138854707873
3,shannon,117.4717381037939
4,stacey,105.33092373542708
5,linny,91.0169657244112
6,hannie,84.34791199319639
7,gabbie,77.92256750728521
8,claudia,73.41246199741887
9,karen,73.21092962583161
10,mary,70.6554519447791
11,charlie,70.62853343241142
12,watson,60.548278022213744
13,myriah,54.633110903166994
14,dr,53.04114873675851
15,puppy,51.67528905314356
16,jeff,48.31130651022783
17,boo,45.31045214685672
18,andrew,41.927072576672046
19,kristy,41.678397766052555
20,tiffany,39.71822485142646
21,dog,29.196679492691775
22,sam,28.491283326544618
23,bus,26.13321350740443
24,papadakis,24.211300235057973
25,sitters,23.406871941206017
26,upstairs,21.853176609654096
27,neighborhood,21.218183715827585
28,schafer,20.471962869617354
29,cat,20.369099493679787
30,song,19.27953835294255
31,jamie,19.09675492755436
32,vanessa,18.071262012438055
33,mallory,17.955482123587984
34,dinner,17.927502732257384
35,sick,17.63864008684911
36,tea,17.570959051602188
37,exclaimed,17.290152603134366
38,tv,17.059969058014463
39,street,16.947885337005772
40,pike,16.758451368198152
41,couch,16.52531858823647
42,sitter,16.31724309010375
43,brothers,16.24495379356452
44,pizza,15.558852238428324
45,jobs,15.365350281874289
46,nicky,15.363199262686106
47,margo,15.291067856678355
48,glass,14.79779032117837
49,claire,14.730436977166052
50,himself,14.719483591510757
51,yard,14.196999127841336
52,box,14.078959954422583
53,dress,13.77042528850247
54,eight,13.709266795255648
55,driveway,13.145895253717052
56,likes,12.9384089676897
57,clean,12.510643975877272
58,milk,12.45224157172791
59,legs,12.33149193431531
60,doorway,11.94106318618971
61,dollars,11.790355856144533
62,blonde,11.682615712256561
63,cookies,11.495427020511595
64,ghost,11.43130279543168
65,mommy,10.952490894826177
66,brewer,10.948754809759416
67,handed,10.926588304827048
68,children,10.82996919570968
69,clock,10.545589842504343
70,nobody,10.514354141030905
71,triplets,10.372568158952216
72,downstairs,10.281783060375918
73,glasses,10.145071570930142
74,pet,9.948591002144862
75,stairs,9.8777251812049
76,mimi,9.77313440308851
77,garage,9.699083727234177
78,notebook,9.660847216993353
79,trip,9.644793933306401
80,steps,9.644793933306401
81,interrupted,9.601433393551687
82,clients,9.601433393551687
83,thomas,9.57553852140246
84,problems,9.515411059341593
85,crying,9.430303873701149
86,poor,9.430303873701149
87,ice,9.202126677601937
88,worse,9.058143748622005
89,library,9.047280681217403
90,doctor,8.916366396849565
91,drove,8.911283657211829
92,upset,8.819320043424556
93,cry,8.741270643861638
94,announced,8.702529648055334
95,often,8.702529648055334
96,giggled,8.671260142861405
97,california,8.663975356567743
98,man,8.587419748438537
99,brown,8.473942668502886
100,awful,8.436471874003475
101,yourself,8.363518278913592
102,animals,8.207057530803784
103,prepared,8.147639797471914
104,weeks,8.068737881462704
105,summer,7.960708790793141
106,lou,7.871256698968571
107,meetings,7.751303141613491
108,joined,7.7169050379964865
109,boys,7.682675140937144
110,asleep,7.638243134752997
111,dressed,7.51399227988372
112,bell,7.432508693881204
113,ones,7.381912889753041
114,fire,7.358875544470589
115,singing,7.253608498481427
116,tuesday,7.2335954499798
117,yelled,7.10455821865402
118,weekend,7.072727905275862
119,tonight,7.041065562670798
120,juice,7.016275812286807
121,mess,7.009569427353936
122,hallway,6.983272392130048
123,ate,6.916061041253746
124,settled,6.885212644251235
125,sad,6.885212644251235
126,honey,6.821445969619888
127,letters,6.821445969619888
128,although,6.733305796345494
129,age,6.70338054727926
130,afraid,6.643974121382992
131,evening,6.614490032568417
132,rolled,6.555952982896228
133,drive,6.555952982896228
134,center,6.512705934277654
135,kit,6.4989778147021795
136,certainly,6.4828550993451355
137,beautiful,6.46920448384485
138,throw,6.453181421746061
139,entered,6.453181421746061
140,spoke,6.440564811328903
141,tomorrow,6.412061194777316
142,monday,6.327353905502607
143,dogs,6.2740189414106755
144,feels,6.250255021170671
145,officer,6.221926333492283
146,associate,6.165745967157655
147,pink,6.137890741910378
148,expect,6.137890741910378
149,cold,6.110189840032301
150,jackie,6.005083174427064
151,office,6.000895870969805
152,station,5.9731252564603246
153,gathered,5.947131912088496
154,tiny,5.893939921063218
155,rodowsky,5.863880641853106
156,ring,5.841307856128281
157,covered,5.815198136222522
158,accident,5.802886798785141
159,fashion,5.802886798785141
160,sleep,5.763384201044789
161,whether,5.763384201044789
162,pool,5.729026478266308
163,impressed,5.720409649974198
164,seeing,5.686656352671488
165,hat,5.666354773307307
166,join,5.6613398428887525
