,term,score
0,ashley,767.5427832602949
1,jackie,208.17621671347155
2,kristy,112.21107090860303
3,mary,107.56501639354431
4,stacey,94.69143648942433
5,claudia,88.3077441418227
6,shea,85.75850800020574
7,archie,77.8030960486786
8,ms,66.55016594983418
9,myriah,62.82807753864204
10,art,55.23427855284188
11,gabbie,47.310130272280304
12,class,35.11030791180902
13,jeff,33.44628912246542
14,rodowsky,31.274030089883233
15,sitters,30.85451301340793
16,mimi,29.31940320926553
17,artist,28.065103249147228
18,lunch,24.57906200669062
19,light,23.615404308205974
20,um,23.575759684252873
21,exclaimed,23.053536804179156
22,piece,21.564014946149502
23,boys,19.7554503624098
24,list,19.24855546582176
25,claud,19.202866787103375
26,teacher,18.413672225731133
27,note,17.031396370736868
28,whether,16.13747576292541
29,bathroom,15.672790141622901
30,green,15.64122127698494
31,subject,14.865017387762409
32,english,14.369283775639495
33,classes,14.196999127841336
34,paused,14.132102184442266
35,closed,14.078959954422583
36,notebook,13.954557091212623
37,fire,13.24597598004706
38,bell,12.387514489802008
39,project,11.886017143032788
40,spoke,11.807702154102987
41,ring,11.682615712256561
42,meetings,11.073290202304985
43,record,10.926588304827048
44,glanced,10.926588304827048
45,threw,10.878162060069167
46,bag,10.82996919570968
47,missing,10.801612567745648
48,library,10.555160794753636
49,wondering,10.467356645200539
50,entered,10.325090274793698
51,yard,10.325090274793698
52,schafer,10.235981434808677
53,makeup,10.058498642947646
54,mad,10.010405716839731
55,calling,9.49103085825391
56,test,9.411028412116014
57,missed,8.977741061793992
58,wondered,8.858632161843989
59,hardly,8.858632161843989
60,famous,8.830650653364707
61,nervous,8.819320043424556
62,jobs,8.780200161071022
63,officer,8.710696866889197
64,sitter,8.702529648055334
65,often,8.702529648055334
66,john,8.692018860740331
67,game,8.6256059784598
68,pencil,8.49953215996096
69,ha,8.465735902799727
70,students,8.421682754388954
71,interrupted,8.401254219357726
72,happens,8.251515889488505
73,bike,8.249251874033106
74,gets,8.14127739071153
75,finish,8.068737881462704
76,interesting,8.068737881462704
77,summer,7.960708790793141
78,opening,7.924011428688525
79,wow,7.855523429069743
80,gotten,7.82061063849247
81,listened,7.785871113097568
82,upstairs,7.648611813378933
83,desk,7.6147134420484175
84,others,7.580978436996775
85,greeted,7.466406570575406
86,pay,7.447641072201915
87,besides,7.414699834940025
88,earrings,7.323539708355126
89,paint,7.253608498481427
90,doorbell,7.1846418878197476
91,impressed,7.150512062467747
92,keeps,7.072727905275862
93,luckily,6.983272392130048
94,pete,6.928983405296925
95,smell,6.885549411765196
96,jeans,6.885212644251235
97,usual,6.70338054727926
98,third,6.614490032568417
99,evening,6.614490032568417
100,filled,6.614490032568417
101,president,6.585150120803267
102,junk,6.526897236041501
103,tears,6.526897236041501
