,term,score
0,kristy,193.4305127091157
1,claudia,176.6154882836454
2,mary,120.21972420454952
3,charlotte,106.10358229132815
4,yard,70.98499563920667
5,stacey,70.22061582361805
6,boo,49.086323159094775
7,laine,47.26417586168408
8,mallory,46.01092294169421
9,karen,44.406629445176556
10,jeff,43.356300714307025
11,suzi,41.54214139882551
12,moving,40.34368940731352
13,york,37.15040023641196
14,party,35.10030702591027
15,buddy,34.646857870939044
16,sitters,34.04635918720875
17,barrett,33.93031420981035
18,apartment,29.821057813734527
19,hannie,28.115970664398798
20,pikes,27.69611701123519
21,jordan,26.238426642222816
22,basement,23.08987330170187
23,johanssen,22.17954329249131
24,linny,21.556649776834227
25,tree,20.369099493679787
26,dollars,20.212038610533487
27,andrew,19.730387094904493
28,eight,18.98206171650782
29,michael,18.692185139610498
30,david,18.692185139610498
31,jenny,18.60952349640148
32,nicky,18.156508219538125
33,marnie,18.09321532730091
34,garage,17.781653499929323
35,window,16.101412028322255
36,schafer,15.922637787480165
37,vanessa,15.291067856678355
38,sitter,15.229426884096835
39,children,15.16195687399355
40,toys,15.000612050809611
41,bedroom,14.917960729211009
42,pike,14.523991185771731
43,driveway,14.460484779088757
44,cake,14.364497487904119
45,handed,14.20456479627516
46,notebook,13.954557091212623
47,exclaimed,13.832122082507492
48,news,13.77015683631719
49,dr,13.688038383679615
50,myriah,13.658277725791748
51,empty,13.526762094573522
52,cards,13.33555846532737
53,company,13.14267158114993
54,boxes,12.730405224588328
55,glanced,12.019247135309753
56,claud,12.00179174193961
57,junk,11.965978266076084
58,others,11.912966115280646
59,liked,11.703435970603008
60,twenty,11.526768402089578
61,johnson,11.348064243264703
62,favorite,10.82996919570968
63,diabetes,10.762889472307672
64,claire,10.713045074302583
65,tape,10.40242746299116
66,buy,10.327818966376853
67,van,10.31913086291347
68,watson,10.281783060375918
69,interested,10.281783060375918
70,adam,10.20383258308665
71,stace,10.106019305266743
72,connecticut,10.05507082091889
73,member,9.921735048852625
74,bell,9.910011591841606
75,president,9.8777251812049
76,upstairs,9.833929474344343
77,mimi,9.77313440308851
78,ahead,9.703806725767276
79,sheet,9.699083727234177
80,shannon,9.688390771446919
81,envelope,9.601520602003493
82,jamie,9.54837746377718
83,treasurer,9.515411059341593
84,crying,9.430303873701149
85,summer,9.287493589258665
86,downstairs,9.13936272033415
87,sweater,9.091561325003138
88,pair,9.058143748622005
89,stamford,9.047280681217403
90,page,8.959687884690487
91,charge,8.93784072970568
92,green,8.93784072970568
