,term,score
0,jessi,220.43335304776437
1,kristy,152.82079180885935
2,claudia,151.08071889323884
3,myriah,90.14463299022553
4,gabbie,86.27141402592291
5,becca,64.97105655832702
6,mary,64.3280980392765
7,test,62.74018941410675
8,mallory,60.59975216710944
9,sitters,58.51717985301504
10,nicky,54.469524658614375
11,suzi,50.28785537752561
12,squirt,49.94312303713964
13,claire,48.208702834361624
14,marnie,47.49469023416489
15,jamie,45.83221182613046
16,lucy,43.15710244461941
17,stacey,31.918461738008205
18,mama,29.51151919087809
19,vanessa,27.80194155759701
20,newton,23.86237776782228
21,brothers,23.825932230561293
22,sisters,23.56657028720923
23,ramsey,21.897509619518832
24,charlotte,21.52826307360281
25,triplets,20.745136317904432
26,street,20.125613837694353
27,nervous,19.84347009770525
28,buddy,19.798204497679453
29,sitter,19.5806917081245
30,margo,19.461359090317906
31,um,17.681819763189655
32,ballet,17.50071405927788
33,mommy,16.428736342239265
34,wow,15.711046858139486
35,yard,15.487635412190548
36,pow,15.422324385373365
37,eight,14.763825779506082
38,meetings,14.395277262996482
39,notebook,13.954557091212623
40,jobs,13.170300241606533
41,fair,13.025023400865704
42,ring,12.850877283482218
43,class,12.767384695203281
44,exclaimed,12.679445242298536
45,wondered,12.180619222535485
46,legs,11.098342740883778
47,president,10.975250201338778
48,finger,10.663509312319214
49,step,10.609091857913793
50,mine,10.592428335628608
51,join,10.190411717199755
52,accident,10.155051897873998
53,pike,10.05507082091889
54,neither,10.010405716839731
55,member,9.921735048852625
56,desk,9.79034585406225
57,dog,9.732226497563925
58,ew,9.699083727234177
59,mal,9.515411059341593
60,problems,9.515411059341593
61,tree,9.505579763717234
62,monday,9.49103085825391
63,broken,9.417528288269212
64,receiver,9.22639846011549
65,ate,9.221414721671662
66,driveway,9.202126677601937
67,snack,9.117788307988715
68,horse,9.091561325003138
69,sweater,9.091561325003138
70,silly,8.977741061793992
71,charge,8.93784072970568
72,barrett,8.92903005521325
73,questions,8.819320043424556
74,upset,8.819320043424556
75,band,8.785479525801094
76,boys,8.780200161071022
77,prezzioso,8.745713978700106
78,upstairs,8.741270643861638
79,king,8.575475521024922
80,stories,8.55426577604522
81,bet,8.473942668502886
82,brown,8.473942668502886
83,pale,8.262659294118235
84,shoes,8.251515889488505
85,shrieked,8.224073952136493
86,mess,8.177830998579593
87,sounding,8.072167104230754
88,kidding,8.068737881462704
89,teeth,8.034783805726937
90,eighth,8.032748084959774
91,director,7.99763198423941
92,lucky,7.961318893740082
93,glasses,7.890611221834554
94,months,7.815247121133185
95,dining,7.765002744083517
96,hospital,7.688665383429576
97,stairs,7.682675140937144
98,record,7.648611813378933
99,seat,7.648611813378933
100,listen,7.580978436996775
101,machine,7.576301104169282
102,ground,7.5344941520926305
103,dressed,7.51399227988372
104,spoke,7.51399227988372
105,lawn,7.466406570575406
106,backyard,7.466406570575406
107,thomas,7.447641072201915
108,doctor,7.430305330707972
109,drawing,7.288451845061893
110,mostly,7.1365582945061945
111,yelled,7.10455821865402
112,handle,7.072727905275862
113,crying,7.072727905275862
114,nearly,7.041065562670798
115,juice,7.016275812286807
116,logan,7.009569427353936
117,quietly,6.947068862204401
118,milk,6.9179119842932835
119,yup,6.853394960113743
120,ha,6.772588722239782
121,eleven,6.763381047286761
122,jumping,6.7268059201922945
123,named,6.70338054727926
124,listened,6.673603811226487
125,summer,6.633923992327617
126,explain,6.585150120803267
127,known,6.585150120803267
128,paid,6.512705934277654
129,others,6.497981517425807
130,become,6.46920448384485
131,disappointed,6.453181421746061
132,happily,6.453181421746061
133,paused,6.423682811110121
134,younger,6.383692347601641
135,excited,6.383692347601641
136,stick,6.336217023872535
137,calling,6.327353905502607
138,awful,6.327353905502607
139,alan,6.309140657207926
140,thursday,6.250255021170671
141,bell,6.193757244901004
142,babies,6.1813507042845375
143,glass,6.165745967157655
144,themselves,6.110189840032301
145,porch,6.090780797285499
146,welcome,6.082641560977454
147,information,6.055244232154324
148,shannon,6.055244232154324
149,lessons,6.031520454144935
150,steps,6.027996208316501
151,clients,6.000895870969805
152,pushed,5.920465182211684
153,mimi,5.863880641853106
154,byron,5.8588317666841006
155,pikes,5.830761476049514
156,written,5.815198136222522
157,wondering,5.815198136222522
158,weeks,5.763384201044789
159,jeans,5.737677203542696
160,dancing,5.720409649974198
161,downstairs,5.7121017002088434
162,forgot,5.6613398428887525
163,carried,5.63959882070412
164,maria,5.619234173256123
165,missed,5.611088163621245
166,writing,5.611088163621245
167,however,5.586617913704038
168,takes,5.586150456066051
169,wednesday,5.561336509355406
170,grinned,5.512075027140347
171,joined,5.512075027140347
172,spier,5.487625100669389
173,glanced,5.463294152413524
174,cat,5.431759864981276
175,broke,5.41498459785484
176,closed,5.41498459785484
177,mcgill,5.41498459785484
178,picture,5.41498459785484
179,likes,5.3910037365373755
180,definitely,5.367137342774085
181,forth,5.3565225371512915
182,helped,5.296214167814304
183,besides,5.296214167814304
184,ones,5.272794921252172
185,question,5.272794921252172
186,born,5.23418884366297
187,lap,5.210164747422123
188,cleared,5.138946248888097
189,crossed,5.115485771078504
190,mood,5.115485771078504
191,lately,5.092162089835331
