,term,score
0,margo,208.51456168197757
1,myriah,196.67919925140117
2,claire,191.49568070315868
3,jeff,162.2764398164063
4,claudia,127.67384695203282
5,charlotte,121.4809130581873
6,kristy,118.62313210338034
7,mary,109.67413436204518
8,mallory,74.06636375980044
9,karen,72.01075045163765
10,jessi,69.54849106854597
11,stage,64.01013734668996
12,gabbie,50.0930791118262
13,audience,49.837248560760386
14,pike,43.57197355731519
15,ms,34.014529263248576
16,california,33.572904506700006
17,song,30.296417411766864
18,mal,24.97795403077168
19,pikes,24.780736273210437
20,sitters,24.47082066580629
21,stacey,23.406871941206017
22,david,22.196969853287467
23,michael,22.196969853287467
24,win,21.63472746499588
25,andrew,19.730387094904493
26,exclaimed,19.595506283552282
27,rehearsal,19.161466468297093
28,adam,18.949974797160923
29,dress,18.360567051336627
30,contest,16.71841327188764
31,parade,15.683235057011796
32,mimi,15.637015044941617
33,ew,14.548625590851266
34,questions,14.331395070564904
35,round,14.165886933268268
36,dance,14.132102184442266
37,watson,13.709044080501226
38,honey,13.642891939239776
39,nervous,13.228980065136835
40,shoes,12.96666782633908
41,johanssen,12.674024738566462
42,sisters,12.34439395996674
43,glanced,12.019247135309753
44,tears,11.965978266076084
45,quite,11.965978266076084
46,dressed,11.807702154102987
47,fire,11.774200871152942
48,paused,11.562629059998217
49,becca,11.550410054813693
50,dancing,11.440819299948396
51,sang,11.440819299948396
52,nicky,11.173235827408076
53,proud,10.899439617877784
54,sitter,10.878162060069167
55,claud,10.801612567745648
56,game,10.782007473074751
57,spoke,10.73427468554817
58,man,10.73427468554817
59,crying,10.609091857913793
60,suit,10.555160794753636
61,eight,10.545589842504343
62,dr,10.266028787759712
63,singing,10.155051897873998
64,connecticut,10.05507082091889
65,kit,9.74846672205327
66,vanessa,9.730679545158953
67,couch,9.639769176471274
68,cat,9.505579763717234
69,taken,9.49103085825391
70,um,9.430303873701149
71,bus,9.333290538358725
72,lessons,9.047280681217403
73,silly,8.977741061793992
74,greeted,8.959687884690487
75,age,8.93784072970568
76,leaving,8.780200161071022
77,boys,8.780200161071022
78,ballet,8.75035702963894
79,jordan,8.746142214074272
80,excited,8.511589796802188
81,besides,8.473942668502886
82,question,8.436471874003475
83,awful,8.436471874003475
84,tough,8.185735163543866
85,hoped,8.177830998579593
86,frowned,7.960708790793141
87,gotten,7.82061063849247
88,triplets,7.779426119214162
89,explain,7.682675140937144
90,handed,7.648611813378933
91,upstairs,7.648611813378933
92,listen,7.580978436996775
93,beautiful,7.547405231152325
94,bell,7.432508693881204
95,town,7.414699834940025
96,mine,7.414699834940025
97,bet,7.414699834940025
98,mommy,7.301660596550784
99,luck,7.2335954499798
100,nearly,7.041065562670798
101,loud,7.009569427353936
102,gets,6.978237763467026
103,bunch,6.947068862204401
104,clear,6.947068862204401
105,woman,6.947068862204401
106,shrieked,6.853394960113743
107,tv,6.823987623205785
108,halloween,6.738443188129946
109,stace,6.737346203511162
110,loves,6.673603811226487
111,cards,6.667779232663685
112,upset,6.614490032568417
113,jobs,6.585150120803267
114,costume,6.516119271668781
115,outfit,6.512705934277654
116,picture,6.497981517425807
117,shouted,6.46920448384485
118,disappointed,6.453181421746061
119,notebook,6.440564811328903
120,tomorrow,6.412061194777316
121,shrugged,6.412061194777316
122,sighed,6.383692347601641
123,helped,6.3554570013771645
124,comes,6.3554570013771645
125,dinner,6.327353905502607
126,continued,6.327353905502607
127,subject,6.193757244901004
128,silent,6.165745967157655
129,teacher,6.137890741910378
130,stupid,6.137890741910378
131,brewer,6.082641560977454
132,dog,6.082641560977454
133,rooms,6.031520454144935
134,store,6.027996208316501
135,fight,6.000895870969805
136,quietly,5.789224051837001
137,weeks,5.763384201044789
138,kidding,5.763384201044789
139,fancy,5.747713510255798
140,begin,5.737677203542696
141,impressed,5.720409649974198
142,tired,5.686656352671488
143,party,5.6613398428887525
144,missed,5.611088163621245
145,pants,5.586617913704038
146,luckily,5.586617913704038
147,christmas,5.568560423413349
148,wondered,5.536645101152493
149,official,5.534329587434627
150,joined,5.512075027140347
151,evening,5.512075027140347
152,raised,5.487625100669389
153,threw,5.4390810300345835
154,announced,5.4390810300345835
155,brothers,5.41498459785484
156,piece,5.3910037365373755
157,turning,5.3910037365373755
158,sounding,5.381444736153836
159,jumping,5.381444736153836
160,dead,5.3565225371512915
161,imagine,5.343384328981097
162,director,5.331754656159607
163,practice,5.307139193862094
164,street,5.296214167814304
165,lay,5.28267428579235
166,excitement,5.23418884366297
167,whoa,5.210164747422123
168,happily,5.162545137396849
169,entered,5.162545137396849
170,letting,5.138946248888097
171,music,5.115485771078504
172,ha,5.079441541679836
173,appeared,5.022996101395087
174,hundred,5.022996101395087
175,toys,5.000204016936537
176,act,4.977541066793827
177,smart,4.955005795920803
178,somewhere,4.955005795920803
179,ears,4.955005795920803
180,terrible,4.932596773726123
181,fit,4.844195385723459
182,information,4.844195385723459
183,hug,4.8223969666532005
184,interrupted,4.800716696775844
185,yourself,4.779153302236338
186,mostly,4.757705529670797
187,treasurer,4.757705529670797
188,helping,4.757705529670797
189,fifteen,4.736372145769347
190,silence,4.7151519368505745
191,calm,4.7151519368505745
192,bear,4.705514206058007
193,dining,4.659001646450111
194,jenny,4.65238087410037
195,wondering,4.652158508978017
196,wild,4.652158508978017
197,cute,4.652158508978017
198,charlie,4.631379241469601
199,mentioned,4.631379241469601
200,ate,4.610707360835831
201,thinks,4.610707360835831
202,junior,4.590141762834157
203,downstairs,4.569681360167075
204,grew,4.569681360167075
205,lucky,4.54932508213719
206,hot,4.54932508213719
207,machine,4.545780662501569
208,reminded,4.508920698191174
209,secret,4.46892036485284
210,lived,4.46892036485284
211,none,4.46892036485284
212,named,4.46892036485284
213,doctor,4.458183198424782
214,mad,4.4490692074843246
215,managed,4.4490692074843246
216,newspaper,4.436677729988945
217,meetings,4.4293160809219945
218,shop,4.415325326682353
219,member,4.409660021712278
220,grinned,4.409660021712278
221,byron,4.394123825013075
222,prezzioso,4.372856989350053
223,rolled,4.370635321930819
224,junk,4.351264824027667
225,hit,4.351264824027667
226,often,4.351264824027667
227,favorite,4.3319876782838715
228,children,4.3319876782838715
229,waited,4.3319876782838715
230,eye,4.3319876782838715
231,break,4.3128029892299
232,likes,4.3128029892299
233,deal,4.3128029892299
234,makeup,4.310785132691848
235,chairs,4.290307237480649
236,pleased,4.269968176524513
237,card,4.269968176524513
238,class,4.255794898401094
239,area,4.24976607998048
240,bags,4.24976607998048
241,news,4.236971334251443
242,brown,4.236971334251443
243,share,4.22969911552809
244,moments,4.189963435278028
245,dying,4.189963435278028
246,sun,4.15074719057597
247,yup,4.1120369760682465
248,groaned,4.092867581771933
249,everywhere,4.073819898735957
250,wished,4.073819898735957
251,camera,4.052171689199694
252,rather,4.036083552115377
253,shopping,4.017391902863468
254,chocolate,4.017391902863468
255,soccer,4.003388782951376
256,tossed,3.998815992119705
257,style,3.998815992119705
258,summer,3.9803543953965703
259,doorway,3.9803543953965703
260,officers,3.9803543953965703
261,ice,3.943768576115116
262,lose,3.943768576115116
263,send,3.943768576115116
264,kits,3.943768576115116
265,candy,3.9076235605665923
266,lap,3.9076235605665923
267,months,3.9076235605665923
268,certainly,3.889713059607081
269,child,3.871908853047637
270,fault,3.871908853047637
271,heads,3.8542096866660724
272,cleared,3.8542096866660724
273,promise,3.8542096866660724
274,grinning,3.836614328308878
275,booth,3.819350985510872
276,lately,3.8191215673764987
277,families,3.7844391001732705
278,carrying,3.7844391001732705
279,wears,3.7501530127024028
280,seriously,3.6994475802945925
281,pink,3.6827344451462265
282,forever,3.6661139040193804
283,ramsey,3.649584936586472
284,games,3.6331465392925946
285,immediately,3.6167977249899
286,learned,3.6005375225818828
287,clients,3.6005375225818828
288,shy,3.5843649766772536
289,gently,3.5682791472530972
290,gathered,3.5682791472530972
291,key,3.5522882002618266
292,fair,3.55227910932701
293,yelled,3.55227910932701
