,term,score
0,matt,321.95688292290026
1,haley,229.43451416270844
2,braddock,139.09670132689052
3,becca,109.72889552073008
4,kristy,109.00504031121437
5,claudia,100.0111801124257
6,sign,91.90621045847486
7,jenny,83.74285573380666
8,mama,75.12023066768968
9,signed,66.61452260069734
10,mary,65.38265702352693
11,karen,55.2082420129222
12,jessi,54.22424727378161
13,squirt,53.06456822696087
14,mal,52.33476082637876
15,ballet,45.00183615242883
16,mallory,43.76648767624571
17,class,39.366102810210116
18,daddy,37.05540411931139
19,ghost,31.027821873314558
20,dance,30.83367749332858
21,andrew,29.59558064235674
22,charlotte,26.141462303660557
23,audience,25.841536290764644
24,sitters,25.534769390406563
25,nicky,25.139780611668172
26,dancing,24.311741012390343
27,pikes,23.323045904198057
28,stage,22.403548071341486
29,secret,22.344601824264203
30,ms,22.183388649944725
31,finger,21.327018624638427
32,pike,20.11014164183778
33,opening,19.81002857172131
34,learn,19.289587866612802
35,stamford,18.094561362434806
36,basement,17.761441001309134
37,children,17.327950713135486
38,margo,16.681164934558204
39,neighborhood,16.50303177897701
40,boys,16.462875302008165
41,sisters,15.711046858139486
42,eight,14.763825779506082
43,adam,14.576903690123785
44,bathroom,14.4671908999596
45,nervous,14.331395070564904
46,snack,14.327953055410838
47,vanessa,13.900970778798506
48,students,13.474692407022324
49,letter,13.182371475039226
50,nine,13.053794472083002
51,brothers,12.995963034851615
52,david,12.850877283482218
53,song,12.393988941177353
54,yup,12.336110928204738
55,brewer,12.165283121954907
56,often,11.965978266076084
57,michael,11.682615712256561
58,teacher,11.04820333543868
59,nope,10.96543193618199
60,glanced,10.926588304827048
61,spoke,10.73427468554817
62,thinks,10.37409156188062
63,exclaimed,10.37409156188062
64,grin,10.230971542157008
65,buddy,9.899102248839727
66,explain,9.8777251812049
67,waved,9.833929474344343
68,sitter,9.79034585406225
69,surprise,9.703806725767276
70,imagine,9.618091792165973
71,rehearsal,9.580733234148546
72,street,9.533185502065747
73,tonight,9.388087416894397
74,claire,9.37391444001476
75,loudly,9.221414721671662
76,party,9.058143748622005
77,space,9.034453990444486
78,classes,9.034453990444486
79,music,8.952100099387382
80,age,8.93784072970568
81,loves,8.898138414968649
82,meetings,8.858632161843989
83,its,8.780200161071022
84,prezzioso,8.745713978700106
85,costume,8.688159028891707
86,game,8.6256059784598
87,dressed,8.587419748438537
88,dr,8.555023989799759
89,ramsey,8.515698185368434
90,stacey,8.511589796802188
91,excited,8.511589796802188
92,brown,8.473942668502886
93,steps,8.4391946916431
94,question,8.436471874003475
95,dinner,8.436471874003475
96,fingers,8.288651255096358
97,van,8.255304690330776
98,shoes,8.251515889488505
99,speaking,8.1049136725718
100,charlie,8.1049136725718
101,needs,8.068737881462704
102,jeans,8.032748084959774
103,several,7.996942380292381
104,summer,7.960708790793141
105,speak,7.9258757800442545
106,art,7.890611221834554
107,eleven,7.890611221834554
108,usual,7.82061063849247
109,wondered,7.751303141613491
110,eating,7.7169050379964865
111,evening,7.7169050379964865
112,joined,7.7169050379964865
113,wonderful,7.682675140937144
114,families,7.568878200346541
115,likes,7.547405231152325
116,bus,7.46663243068698
117,liked,7.447641072201915
118,american,7.432508693881204
119,ears,7.432508693881204
120,bell,7.432508693881204
121,stepped,7.414699834940025
122,terrible,7.398895160589185
123,clock,7.381912889753041
124,ones,7.381912889753041
125,stories,7.332227808038761
126,jordan,7.288451845061893
127,learned,7.2010750451637655
128,sang,7.150512062467747
129,mostly,7.1365582945061945
130,logan,7.009569427353936
131,luckily,6.983272392130048
132,absolutely,6.978237763467026
133,birthday,6.953615088592265
134,body,6.885212644251235
135,somebody,6.853394960113743
136,honey,6.821445969619888
137,young,6.763381047286761
138,cream,6.758153985260272
139,conversation,6.733305796345494
140,names,6.733305796345494
141,charge,6.70338054727926
142,named,6.70338054727926
143,mad,6.673603811226487
144,wednesday,6.673603811226487
145,grinned,6.614490032568417
146,regular,6.585150120803267
147,upstairs,6.555952982896228
148,favorite,6.497981517425807
149,ahead,6.46920448384485
150,friendly,6.453181421746061
151,child,6.453181421746061
152,pay,6.383692347601641
153,younger,6.383692347601641
154,calling,6.327353905502607
155,babies,6.1813507042845375
156,flowers,6.120743484202128
157,lessons,6.031520454144935
158,faces,6.027996208316501
159,relieved,6.000895870969805
160,office,6.000895870969805
161,rock,5.9731252564603246
162,poor,5.893939921063218
163,famous,5.887100435576471
164,byron,5.8588317666841006
165,wild,5.815198136222522
166,gets,5.815198136222522
167,bunch,5.789224051837001
168,nose,5.737677203542696
169,downstairs,5.7121017002088434
170,interested,5.7121017002088434
171,pleased,5.693290902032683
172,round,5.666354773307307
173,totally,5.6613398428887525
174,carried,5.63959882070412
175,married,5.611088163621245
176,baseball,5.586617913704038
177,ended,5.536645101152493
178,sense,5.536645101152493
179,third,5.512075027140347
180,jobs,5.487625100669389
181,spier,5.487625100669389
182,guilty,5.482715968090995
183,mommy,5.476245447413088
184,handed,5.463294152413524
185,hit,5.4390810300345835
186,junk,5.4390810300345835
187,quite,5.4390810300345835
188,lips,5.431759864981276
189,california,5.41498459785484
190,jumping,5.381444736153836
191,star,5.381444736153836
192,notebook,5.367137342774085
193,barrett,5.357418033127949
194,stepsister,5.331754656159607
195,practice,5.307139193862094
196,mine,5.296214167814304
197,continued,5.272794921252172
198,monday,5.272794921252172
199,ice,5.258358101486821
200,born,5.23418884366297
201,months,5.210164747422123
202,disappointed,5.162545137396849
203,paused,5.138946248888097
204,warm,5.092162089835331
205,rose,5.053009652633372
206,climbed,5.000204016936537
207,feels,5.000204016936537
208,act,4.977541066793827
209,low,4.932596773726123
210,sixth,4.910312593528302
211,fit,4.844195385723459
212,sight,4.8223969666532005
213,shy,4.779153302236338
214,problems,4.757705529670797
215,coat,4.752759276962424
216,johanssen,4.752759276962424
217,fair,4.736372145769347
218,fifteen,4.736372145769347
219,um,4.7151519368505745
220,restaurant,4.682167784731842
221,mansion,4.673046284902624
222,mess,4.673046284902624
223,nobody,4.673046284902624
224,dining,4.659001646450111
225,terrific,4.652158508978017
226,awhile,4.610707360835831
227,apple,4.590557613151596
228,begin,4.590141762834157
229,reach,4.569681360167075
230,schafer,4.54932508213719
231,tv,4.54932508213719
232,pair,4.529071874311002
233,grown,4.508920698191174
234,station,4.479843942345243
235,takes,4.46892036485284
236,none,4.46892036485284
237,lived,4.46892036485284
238,upset,4.409660021712278
239,president,4.390100080535511
240,rolled,4.370635321930819
241,less,4.370635321930819
242,announced,4.351264824027667
243,tears,4.351264824027667
244,others,4.3319876782838715
245,mcgill,4.3319876782838715
246,picture,4.3319876782838715
247,shouted,4.3128029892299
248,lights,4.310785132691848
249,boyfriend,4.293709874219268
250,light,4.293709874219268
251,impressed,4.290307237480649
252,air,4.274707463184877
253,admit,4.274707463184877
254,worked,4.255794898401094
255,changed,4.255794898401094
256,area,4.24976607998048
257,exciting,4.24976607998048
258,besides,4.236971334251443
259,awful,4.2182359370017375
260,hallway,4.189963435278028
261,dying,4.189963435278028
262,milk,4.15074719057597
263,shrieked,4.1120369760682465
264,building,4.1120369760682465
265,thrilled,4.092867581771933
266,cat,4.073819898735957
267,everywhere,4.073819898735957
268,wished,4.073819898735957
269,horrible,4.054892391156162
270,giggling,4.054892391156162
271,teeth,4.017391902863468
272,forth,4.017391902863468
273,ball,3.998815992119705
274,skin,3.9803543953965703
275,flew,3.9803543953965703
276,pet,3.979436400857945
277,mirror,3.9620057143442624
278,send,3.943768576115116
279,driveway,3.943768576115116
280,candy,3.9076235605665923
281,center,3.9076235605665923
282,triplets,3.889713059607081
283,schedule,3.871908853047637
284,entered,3.871908853047637
285,count,3.836614328308878
286,crossed,3.836614328308878
287,sports,3.836614328308878
288,drove,3.8191215673764987
289,crowd,3.8017302143235208
290,loved,3.7844391001732705
291,anybody,3.7672470760463153
292,sam,3.716254346940602
293,giggled,3.716254346940602
294,christmas,3.7123736156088993
295,seriously,3.6994475802945925
296,legs,3.6994475802945925
297,associate,3.6994475802945925
298,silent,3.6994475802945925
299,scared,3.6827344451462265
300,dues,3.6827344451462265
301,stupid,3.6827344451462265
302,themselves,3.6661139040193804
303,touch,3.6661139040193804
304,homework,3.6661139040193804
305,shaking,3.649584936586472
306,pulling,3.649584936586472
307,places,3.649584936586472
308,using,3.649584936586472
309,hug,3.6167977249899
310,wide,3.6005375225818828
311,allowed,3.6005375225818828
312,company,3.5843649766772536
313,treasurer,3.5682791472530972
314,key,3.5522882002618266
315,weekend,3.536363952637931
316,happens,3.536363952637931
317,crying,3.536363952637931
318,shot,3.520532781335399
319,ring,3.504784713676968
320,blonde,3.504784713676968
321,visit,3.4735344311022005
322,woman,3.4735344311022005
323,mentioned,3.4735344311022005
324,quietly,3.4735344311022005
325,interesting,3.458030520626873
326,ate,3.458030520626873
327,settled,3.4426063221256173
328,clean,3.4119938116028923
329,extra,3.3968039057332517
330,fall,3.3968039057332517
331,although,3.366652898172747
332,longer,3.366652898172747
333,writing,3.366652898172747
334,silly,3.366652898172747
335,gotten,3.35169027363963
336,plan,3.35169027363963
337,managed,3.3368019056132434
338,led,3.3368019056132434
339,notice,3.321987060691496
340,hardly,3.321987060691496
341,stayed,3.3072450162842086
342,sick,3.3072450162842086
343,leaned,3.3072450162842086
344,repeated,3.2925750604016333
345,leaving,3.2925750604016333
346,raised,3.2925750604016333
347,painting,3.282823012321513
348,animals,3.282823012321513
349,drive,3.277976491448114
350,record,3.277976491448114
351,cry,3.277976491448114
352,asking,3.2634486180207505
353,group,3.2634486180207505
354,french,3.2494889073510898
355,closed,3.2489907587129037
356,kishi,3.2489907587129037
357,tigger,3.233027909078059
358,ew,3.233027909078059
359,figure,3.206030597388658
360,sighed,3.1918461738008204
361,thomas,3.1918461738008204
362,town,3.1777285006885823
363,comes,3.1777285006885823
364,explained,3.1777285006885823
365,bottle,3.1214451898212277
366,weather,3.106001097633407
367,hospital,3.0754661533718304
368,receiver,3.0754661533718304
369,sweater,3.0305204416677127
370,greeted,2.9865626282301623
371,lawn,2.9865626282301623
372,houses,2.9721221322831886
373,excellent,2.9577851533259634
374,seats,2.9435502177882356
375,row,2.9294158833420503
376,lit,2.9294158833420503
377,dream,2.915380738024757
378,teachers,2.915380738024757
379,scary,2.9014433993925706
380,makeup,2.873856755127899
381,fancy,2.873856755127899
382,emergency,2.8466454510163417
383,hat,2.8331773866536536
384,waving,2.8331773866536536
385,total,2.81979941035206
386,kinds,2.806510324914723
387,artist,2.806510324914723
388,stuffed,2.806510324914723
389,strong,2.806510324914723
390,however,2.793308956852019
391,brain,2.780194155759701
392,official,2.7671647937173134
393,couch,2.7542197647060784
394,nearby,2.7413579840454974
395,whose,2.7413579840454974
396,slightly,2.7285783878479553
397,letters,2.7285783878479553
398,tough,2.7285783878479553
399,earth,2.715879932490638
400,prepared,2.715879932490638
401,glance,2.6782612685756457
402,tossed,2.6658773280798034
403,director,2.6658773280798034
404,student,2.641337142896175
405,dumb,2.6291790507434105
406,kits,2.6291790507434105
407,beside,2.593142039738054
408,hasn,2.5812725686984246
409,happily,2.5812725686984246
410,cleared,2.5694731244440483
411,grinning,2.557742885539252
412,feelings,2.557742885539252
413,apart,2.557742885539252
414,oldest,2.5460810449176656
415,asleep,2.5460810449176656
416,lately,2.5460810449176656
417,decide,2.5460810449176656
418,numbers,2.534486809549014
419,hungry,2.534486809549014
420,careful,2.5114980506975435
421,appeared,2.5114980506975435
422,breakfast,2.5001020084682684
423,thursday,2.5001020084682684
424,wears,2.5001020084682684
425,toys,2.5001020084682684
426,smart,2.4775028979604015
427,ways,2.4775028979604015
428,jeff,2.4775028979604015
429,amazing,2.4662983868630617
430,ourselves,2.4440759360129203
431,note,2.4330566243909812
432,games,2.4220976928617297
433,bruno,2.4220976928617297
434,proud,2.4220976928617297
435,hoping,2.4111984833266003
436,throat,2.4111984833266003
437,keeping,2.4111984833266003
438,store,2.4111984833266003
439,team,2.4111984833266003
440,clients,2.400358348387922
441,yourself,2.389576651118169
442,pushed,2.3681860728846735
443,silence,2.3575759684252873
444,nearly,2.347021854223599
445,unless,2.336523142451312
446,stomach,2.336523142451312
447,hoped,2.336523142451312
448,played,2.336523142451312
449,pull,2.336523142451312
450,expected,2.336523142451312
451,loud,2.336523142451312
452,quick,2.3260792544890085
453,covered,2.3260792544890085
454,works,2.3260792544890085
455,weeks,2.3053536804179156
456,finish,2.3053536804179156
457,sleep,2.3053536804179156
458,wall,2.3053536804179156
459,possible,2.3053536804179156
460,whether,2.3053536804179156
461,wrote,2.3053536804179156
462,dress,2.2950708814170784
463,movie,2.2950708814170784
464,single,2.2950708814170784
465,buy,2.2950708814170784
466,sad,2.2950708814170784
467,bright,2.2950708814170784
468,watson,2.2848406800835375
469,completely,2.2848406800835375
470,entire,2.2848406800835375
471,ear,2.274662541068595
472,hanging,2.274662541068595
473,seeing,2.274662541068595
474,thirteen,2.264535937155501
475,himself,2.264535937155501
476,secretary,2.264535937155501
477,worse,2.264535937155501
478,reminded,2.254460349095587
479,carolyn,2.2461477293766485
480,somehow,2.244435265448498
481,connecticut,2.23446018242642
482,ben,2.23088025724586
483,afraid,2.2146580404609972
484,became,2.2146580404609972
485,questions,2.204830010856139
486,plenty,2.204830010856139
487,member,2.204830010856139
488,private,2.204830010856139
489,known,2.1950500402677555
490,divorced,2.1950500402677555
491,stairs,2.1950500402677555
492,suzi,2.1864284946750265
493,seat,2.1853176609654095
494,threw,2.1756324120138335
495,hate,2.1756324120138335
496,checked,2.1756324120138335
497,desk,2.1756324120138335
498,listen,2.1659938391419358
499,broke,2.1659938391419358
500,guy,2.1659938391419358
501,forward,2.146854937109634
502,mark,2.1438688802562305
503,putting,2.1373537315924387
504,barely,2.127897449200547
505,bet,2.1184856671257215
506,helped,2.1184856671257215
507,news,2.1184856671257215
508,headed,2.1091179685008687
509,taken,2.1091179685008687
510,sea,1.966187703018778
511,mimi,1.954626880617702
512,boo,1.88793550611903
513,clue,1.835567520601714
514,band,1.7570959051602189
515,john,1.7384037721480663
516,den,1.7291871170431423
517,ha,1.6931471805599454
518,train,1.6669448081659213
519,twins,1.65836106447453
520,vacation,1.63304325649024
521,gym,1.600253433667249
522,awesome,1.5842530923208078
523,cheese,1.5530005488167036
524,win,1.5453376760711344
525,cars,1.530185871050532
526,board,1.530185871050532
527,rooms,1.5078801135362339
528,backyard,1.4932813141150811
529,final,1.4788925766629817
530,orange,1.4788925766629817
531,safe,1.4717751088941178
532,earrings,1.4647079416710251
533,jump,1.4576903690123786
534,singing,1.4507216996962853
535,pack,1.4438012568517116
536,woke,1.4438012568517116
537,energy,1.4438012568517116
538,example,1.4438012568517116
539,doorbell,1.4369283775639494
540,english,1.4369283775639494
541,hurried,1.4369283775639494
542,murmured,1.4301024124935495
543,chairs,1.4301024124935495
544,heading,1.4301024124935495
545,mumbled,1.4233227255081708
546,jacket,1.4165886933268268
547,pants,1.3966544784260095
548,beat,1.3966544784260095
549,bowl,1.3966544784260095
550,pieces,1.3966544784260095
551,driving,1.3900970778798505
552,decision,1.3771098823530392
553,coffee,1.3771098823530392
554,enjoy,1.3706789920227487
555,rushed,1.3642891939239776
556,super,1.357939966245319
557,hugged,1.357939966245319
558,above,1.357939966245319
559,rather,1.345361184038459
560,sounding,1.345361184038459
561,honest,1.345361184038459
562,slipped,1.3391306342878229
563,direction,1.3391306342878229
564,follow,1.3329386640399017
565,jewelry,1.3329386640399017
566,million,1.3267847984655234
567,twice,1.3267847984655234
568,doorway,1.3267847984655234
569,hide,1.3267847984655234
570,neat,1.3206685714480875
571,rules,1.3206685714480875
572,pile,1.3206685714480875
573,pass,1.3206685714480875
574,project,1.3206685714480875
575,lifted,1.3206685714480875
576,joke,1.3145895253717053
577,lap,1.3025411868555308
578,paid,1.3025411868555308
579,planning,1.3025411868555308
580,boring,1.3025411868555308
581,certainly,1.296571019869027
582,gasped,1.296571019869027
583,earlier,1.296571019869027
