,term,score
0,kristy,215.8727268908363
1,claudia,158.52835996544076
2,cokie,133.85112171275912
3,jessi,115.52122245283908
4,jamie,103.12247660879355
5,logan,96.96571041172946
6,halloween,92.09205690444259
7,luck,89.21434388308421
8,jackie,78.06608126755182
9,grace,69.46031594757696
10,costume,65.16119271668781
11,letter,60.05302560851203
12,mal,48.76648167912567
13,tigger,48.49541863617088
14,mallory,42.64427004352146
15,mary,35.85500546451477
16,andrew,28.36243144892521
17,ghost,27.76173536033408
18,note,26.763622868300793
19,charlie,26.630430638450203
20,karen,26.40394183226714
21,sitters,25.534769390406563
22,library,24.12608181657974
23,newton,23.86237776782228
24,mystery,23.458440192726503
25,david,22.196969853287467
26,michael,22.196969853287467
27,exclaimed,21.9008599639702
28,box,19.493944552277423
29,send,18.404253355203874
30,vanessa,18.071262012438055
31,dance,17.986311871108338
32,ha,16.931471805599454
33,tree,16.29527959494383
34,afraid,15.502606283226982
35,tonight,15.255642052453394
36,brothers,15.16195687399355
37,daddy,15.159028957900116
38,letters,15.007181133163755
39,sent,14.865017387762409
40,scared,14.730937780584906
41,cat,13.579399662453191
42,byron,13.182371475039226
43,pikes,13.119213321111408
44,party,12.454947654355257
45,lunch,12.28953100334531
46,pike,12.28953100334531
47,boxes,11.457364702129496
48,emergency,11.386581804065367
49,boo,11.32761303671418
50,nicky,11.173235827408076
51,dressed,10.73427468554817
52,archie,10.73146152395567
53,stacey,10.639487246002734
54,um,10.609091857913793
55,street,10.592428335628608
56,candy,10.420329494844246
57,dress,10.327818966376853
58,glanced,9.833929474344343
59,teacher,9.820625187056605
60,shea,9.800972342880655
61,rodowsky,9.77313440308851
62,envelope,9.601520602003493
63,nobody,9.346092569805249
64,twenty,9.221414721671662
65,months,9.117788307988715
66,screamed,9.047280681217403
67,eleven,9.017841396382348
68,tape,8.916366396849565
69,basement,8.880720500654567
70,fire,8.830650653364707
71,band,8.785479525801094
72,boys,8.780200161071022
73,president,8.780200161071022
74,adam,8.746142214074272
75,upstairs,8.741270643861638
76,accident,8.704330198177711
77,scary,8.704330198177711
78,paint,8.704330198177711
79,lucy,8.631420488923883
80,window,8.587419748438537
81,spoke,8.587419748438537
82,question,8.436471874003475
83,shy,8.363518278913592
84,margo,8.340582467279102
85,mostly,8.325984676923895
86,shoes,8.251515889488505
87,calm,8.251515889488505
88,shrieked,8.224073952136493
89,nearly,8.214576489782598
90,broken,8.072167104230754
91,weeks,8.068737881462704
92,dead,8.034783805726937
93,tv,7.961318893740082
94,none,7.82061063849247
95,usual,7.82061063849247
96,meetings,7.751303141613491
97,nervous,7.7169050379964865
98,wonder,7.682675140937144
99,thoughts,7.673228656617756
100,group,7.6147134420484175
101,others,7.580978436996775
102,closed,7.580978436996775
103,likes,7.547405231152325
104,light,7.51399227988372
105,breakfast,7.5003060254048055
106,low,7.398895160589185
107,jordan,7.288451845061893
108,becca,7.219006284258558
109,claud,7.2010750451637655
110,doorbell,7.1846418878197476
111,dancing,7.150512062467747
112,juice,7.016275812286807
113,popcorn,6.990824659241518
114,body,6.885212644251235
115,bedroom,6.885212644251235
116,single,6.885212644251235
117,several,6.854522040250613
118,staring,6.70338054727926
119,claire,6.6956531714391145
120,eating,6.614490032568417
121,joined,6.614490032568417
122,explain,6.585150120803267
123,handed,6.555952982896228
124,waited,6.497981517425807
125,break,6.46920448384485
126,piece,6.46920448384485
127,garage,6.466055818156118
128,notebook,6.440564811328903
129,younger,6.383692347601641
130,town,6.3554570013771645
131,brown,6.3554570013771645
132,clock,6.327353905502607
133,eight,6.327353905502607
134,ones,6.327353905502607
135,gray,6.307398500288785
136,ballet,6.250255021170671
137,squirt,6.242890379642455
138,associate,6.165745967157655
139,glass,6.165745967157655
140,bottom,6.110189840032301
141,pointing,6.082641560977454
142,sight,6.027996208316501
143,relieved,6.000895870969805
144,mention,5.867554635558998
145,unless,5.841307856128281
146,gets,5.815198136222522
147,wild,5.815198136222522
148,bunch,5.789224051837001
149,interesting,5.763384201044789
150,makeup,5.747713510255798
151,admitted,5.720409649974198
152,downstairs,5.7121017002088434
153,hot,5.686656352671488
154,hat,5.666354773307307
155,himself,5.6613398428887525
156,worse,5.6613398428887525
157,fall,5.6613398428887525
158,longer,5.611088163621245
159,sisters,5.611088163621245
160,lived,5.586150456066051
161,green,5.586150456066051
162,named,5.586150456066051
163,managed,5.561336509355406
164,loves,5.561336509355406
165,grinned,5.512075027140347
166,leaned,5.512075027140347
167,repeated,5.487625100669389
168,somebody,5.482715968090995
