,term,score
0,laine,307.2171431009465
1,kristy,173.12565225898754
2,claudia,161.72020613924155
3,mary,158.18384763756515
4,york,80.85675345572015
5,apartment,76.68272009246022
6,museum,72.11190354855573
7,henry,70.51497762853234
8,park,66.03274004183787
9,grace,64.66994933050269
10,sean,46.26702770172899
11,stacey,43.621897708611215
12,building,41.12036976068246
13,sitters,40.43005153481039
14,party,32.83577108875477
15,train,25.004172122488818
16,rock,23.892501025841298
17,connecticut,22.344601824264203
18,dear,21.21364309167399
19,booth,21.006430420309798
20,claud,19.202866787103375
21,careful,18.836235380231578
22,restaurant,18.728671138927368
23,man,17.174839496877073
24,weekend,16.50303177897701
25,exclaimed,16.13747576292541
26,street,15.888642503442911
27,lines,15.763479128136947
28,woman,15.051982534776203
29,evening,14.331395070564904
30,hallway,13.966544784260096
31,dressed,13.954557091212623
32,spoke,13.954557091212623
33,clock,13.709266795255648
34,children,12.995963034851615
35,tired,12.510643975877272
36,station,11.946250512920649
37,fifteen,11.840930364423368
38,doors,11.605773597570282
39,animals,11.489880543125295
40,bedroom,11.475354407085392
41,watson,11.424203400417687
42,lunch,11.172300912132101
43,lived,11.172300912132101
44,group,10.878162060069167
45,tomorrow,10.686768657962194
46,main,10.663509312319214
47,ones,10.545589842504343
48,outfit,10.420329494844246
49,den,10.375122702258853
50,safe,10.302425762258824
51,seats,10.302425762258824
52,boat,10.197335953457578
53,jeff,9.910011591841606
54,information,9.688390771446919
55,stepped,9.533185502065747
56,neighborhood,9.430303873701149
57,tonight,9.388087416894397
58,bus,9.333290538358725
59,plate,9.034453990444486
60,although,8.977741061793992
61,desk,8.702529648055334
62,ahead,8.6256059784598
63,pleased,8.539936353049026
64,pointing,8.515698185368434
65,excited,8.511589796802188
66,shannon,8.477341925016054
67,trip,8.4391946916431
68,calling,8.436471874003475
69,whose,8.224073952136493
70,nearby,8.224073952136493
71,history,8.185735163543866
72,logan,8.177830998579593
73,wild,8.14127739071153
74,cream,8.109784782312325
75,loudly,8.068737881462704
76,movie,8.032748084959774
77,paid,7.815247121133185
78,cheese,7.765002744083517
79,weather,7.765002744083517
80,hardly,7.751303141613491
81,nervous,7.7169050379964865
82,stairs,7.682675140937144
83,nine,7.6147134420484175
84,quite,7.6147134420484175
85,california,7.580978436996775
86,sweater,7.576301104169282
87,boo,7.55174202447612
88,breakfast,7.5003060254048055
89,spend,7.480738060573535
90,salad,7.430305330707972
91,headed,7.381912889753041
92,eight,7.381912889753041
93,store,7.2335954499798
94,wide,7.2010750451637655
95,problems,7.1365582945061945
96,michael,7.009569427353936
97,david,7.009569427353936
98,ride,6.947068862204401
99,ate,6.916061041253746
100,sleep,6.916061041253746
101,interesting,6.916061041253746
102,dress,6.885212644251235
103,add,6.853394960113743
104,forgotten,6.823987623205785
105,pair,6.7936078114665035
106,everywhere,6.789699831226596
107,james,6.7849557477378415
108,art,6.763381047286761
109,giggling,6.758153985260272
110,wow,6.733305796345494
111,age,6.70338054727926
112,shopping,6.6956531714391145
113,ended,6.643974121382992
114,meetings,6.643974121382992
115,boys,6.585150120803267
116,ice,6.572947626858526
117,glanced,6.555952982896228
118,often,6.526897236041501
119,tears,6.526897236041501
120,bag,6.497981517425807
121,waited,6.497981517425807
122,closed,6.497981517425807
