,term,score
0,betsy,1104.191479539852
1,kristy,224.42214181720607
2,mimi,154.41552356879848
3,mary,109.67413436204518
4,jessi,89.58788680016092
5,mallory,75.18858139252468
6,mal,65.41845103297345
7,hospital,63.04705614412252
8,claudia,52.1334875054134
9,ashley,38.82512133223281
10,janine,37.373576491562304
11,joke,36.80850671040775
12,sitters,31.918461738008205
13,claire,29.460873954332104
14,stacey,27.66266683960711
15,flowers,27.543345678909578
16,jamie,26.735456898576103
17,cream,25.68098514398903
18,exclaimed,24.206213644388114
19,nicky,23.74312613324216
20,justin,22.995285483401954
21,movie,21.803173373462243
22,claud,21.603225135491297
23,kit,21.121677897782085
24,ice,21.033432405947284
25,ring,21.02870828206181
26,popcorn,20.972473977724555
27,doctor,20.80485492598232
28,box,20.57694147184839
29,war,20.304064228457936
30,art,18.035682792764696
31,pike,17.87568145941136
32,lunch,17.87568145941136
33,sam,17.34252028572281
34,awhile,17.290152603134366
35,scared,17.186094077349058
36,sitter,16.31724309010375
37,broken,14.798973024423049
38,glass,14.79779032117837
39,triplets,14.262281218559297
40,juice,14.032551624573614
41,bored,14.032551624573614
42,dr,13.688038383679615
43,tigger,12.932111636312236
44,ew,12.932111636312236
45,taken,12.654707811005213
46,margo,12.510873700918655
47,prepared,12.221459696207871
48,junk,11.965978266076084
49,safe,11.774200871152942
50,accident,11.605773597570282
51,cookies,11.495427020511595
52,english,11.495427020511595
53,meetings,11.073290202304985
54,homework,10.998341712058142
55,cry,10.926588304827048
56,hit,10.878162060069167
57,hoping,10.850393174969701
58,snack,10.420329494844246
59,pikes,10.20383258308665
60,math,10.099958694518241
61,gotten,10.05507082091889
62,mad,10.010405716839731
63,questions,9.921735048852625
64,brothers,9.746972276138711
65,decision,9.639769176471274
66,drop,9.558306604472676
67,logan,9.346092569805249
68,pen,9.318003292900222
69,woman,9.262758482939201
70,driveway,9.202126677601937
71,promise,8.993155935554169
72,control,8.993155935554169
73,seats,8.830650653364707
74,ideas,8.780200161071022
75,jobs,8.780200161071022
76,thursday,8.75035702963894
77,closed,8.663975356567743
78,legs,8.632044354020715
79,bottom,8.55426577604522
80,ha,8.465735902799727
81,vanessa,8.340582467279102
82,milk,8.30149438115194
83,myriah,8.194966635475048
84,rushed,8.185735163543866
85,unless,8.177830998579593
86,played,8.177830998579593
87,charlie,8.1049136725718
88,main,7.99763198423941
89,water,7.9258757800442545
90,drew,7.890611221834554
91,sisters,7.855523429069743
92,afraid,7.751303141613491
93,eating,7.7169050379964865
94,paused,7.708419373332145
95,stairs,7.682675140937144
96,apple,7.650929355252661
97,announced,7.6147134420484175
98,bag,7.580978436996775
99,plastic,7.568878200346541
100,embarrassed,7.568878200346541
101,spoke,7.51399227988372
102,notebook,7.51399227988372
103,admit,7.480738060573535
104,dinner,7.381912889753041
105,awful,7.381912889753041
106,ones,7.381912889753041
107,newton,7.342270082406856
108,clients,7.2010750451637655
109,lights,7.1846418878197476
110,barrett,7.1432240441706
111,um,7.072727905275862
112,tea,7.028383620640875
113,beat,6.983272392130048
114,however,6.983272392130048
115,science,6.953615088592265
116,den,6.916748468172569
117,settled,6.885212644251235
118,nancy,6.853394960113743
119,giggling,6.758153985260272
120,sounding,6.7268059201922945
121,loves,6.673603811226487
122,carefully,6.673603811226487
123,cards,6.667779232663685
124,bike,6.5994014992264844
125,regular,6.585150120803267
126,president,6.585150120803267
127,record,6.555952982896228
128,less,6.555952982896228
129,handed,6.555952982896228
130,vacation,6.53217302596096
131,checked,6.526897236041501
132,noise,6.512705934277654
133,listen,6.497981517425807
134,man,6.440564811328903
135,sign,6.412061194777316
136,thomas,6.383692347601641
137,pay,6.383692347601641
138,class,6.383692347601641
139,decide,6.365202612294164
140,calling,6.327353905502607
141,squirt,6.242890379642455
142,sent,6.193757244901004
143,jeff,6.193757244901004
144,forever,6.110189840032301
145,pointing,6.082641560977454
146,trip,6.027996208316501
147,allowed,6.000895870969805
148,gently,5.947131912088496
149,helping,5.947131912088496
150,mention,5.867554635558998
151,rodowsky,5.863880641853106
152,byron,5.8588317666841006
153,mess,5.841307856128281
154,angry,5.841307856128281
155,adam,5.830761476049514
156,drawing,5.830761476049514
157,covered,5.815198136222522
158,visit,5.789224051837001
159,moving,5.763384201044789
160,weeks,5.763384201044789
161,thinks,5.763384201044789
162,interesting,5.763384201044789
163,doorbell,5.747713510255798
164,reach,5.7121017002088434
165,downstairs,5.7121017002088434
166,boo,5.66380651835709
167,forgot,5.6613398428887525
168,empty,5.636150872738968
169,glasses,5.636150872738968
170,artist,5.613020649829446
171,writing,5.611088163621245
172,missed,5.611088163621245
173,hallway,5.586617913704038
174,pants,5.586617913704038
175,plan,5.586150456066051
176,lived,5.586150456066051
177,none,5.586150456066051
178,gabbie,5.5658976790918
179,wednesday,5.561336509355406
180,evening,5.512075027140347
181,nervous,5.512075027140347
182,leaned,5.512075027140347
183,member,5.512075027140347
184,couch,5.508439529412157
185,explain,5.487625100669389
186,roll,5.482715968090995
187,yup,5.482715968090995
188,york,5.463294152413524
189,quite,5.4390810300345835
190,movies,5.431759864981276
191,broke,5.41498459785484
192,guy,5.41498459785484
193,california,5.41498459785484
194,shouted,5.3910037365373755
195,mail,5.386686557964045
196,cake,5.386686557964045
197,crowded,5.3565225371512915
198,chocolate,5.3565225371512915
199,spend,5.343384328981097
200,director,5.331754656159607
201,jewelry,5.331754656159607
202,summer,5.307139193862094
203,news,5.296214167814304
204,mine,5.296214167814304
205,besides,5.296214167814304
206,student,5.28267428579235
207,monday,5.272794921252172
208,question,5.272794921252172
209,eight,5.272794921252172
210,clock,5.272794921252172
211,headed,5.272794921252172
212,months,5.210164747422123
213,certainly,5.186284079476108
214,numbers,5.068973619098028
215,daddy,5.053009652633372
216,carrying,5.045918800231028
217,toys,5.000204016936537
218,breakfast,5.000204016936537
219,bell,4.955005795920803
220,somewhere,4.955005795920803
221,painting,4.92423451848227
222,teacher,4.910312593528302
223,welcome,4.8661132487819625
224,ramsey,4.8661132487819625
225,note,4.8661132487819625
226,immediately,4.8223969666532005
227,learn,4.8223969666532005
228,interrupted,4.800716696775844
229,problems,4.757705529670797
230,keeps,4.7151519368505745
231,handle,4.7151519368505745
232,silence,4.7151519368505745
233,test,4.705514206058007
234,pull,4.673046284902624
235,cute,4.652158508978017
236,terrific,4.652158508978017
237,bunch,4.631379241469601
238,receiver,4.613199230057745
239,hang,4.610707360835831
240,kidding,4.610707360835831
241,loudly,4.610707360835831
242,needs,4.610707360835831
243,blood,4.590557613151596
244,single,4.590141762834157
245,shut,4.569681360167075
246,several,4.569681360167075
247,schafer,4.54932508213719
248,screamed,4.523640340608702
249,study,4.5016622203324825
250,although,4.488870530896996
251,somehow,4.488870530896996
252,greeted,4.479843942345243
253,seems,4.46892036485284
254,age,4.46892036485284
255,managed,4.4490692074843246
256,hardly,4.4293160809219945
257,wonderful,4.390100080535511
258,jordan,4.373071107037136
259,teachers,4.373071107037136
260,upstairs,4.370635321930819
261,drive,4.370635321930819
262,hate,4.351264824027667
263,nine,4.351264824027667
264,waited,4.3319876782838715
265,eye,4.3319876782838715
266,becca,4.331403770555134
267,lucy,4.3157102444619415
268,ahead,4.3128029892299
