,term,score
0,bart,289.22983465585565
1,jackie,234.1982438026555
2,krushers,177.62813113706463
3,ball,158.6197010207483
4,gabbie,133.5815442982032
5,matt,127.95722270012703
6,team,114.53192795801351
7,myriah,106.53456626117563
8,game,102.42907099421014
9,karen,82.8123630193833
10,jamie,82.11604618848375
11,mary,80.14648280303301
12,bat,70.78275730867601
13,watson,66.26037972242258
14,coach,64.92896675368482
15,michael,61.91786327495977
16,david,61.91786327495977
17,haley,57.35862854067711
18,claire,56.24348664008856
19,jake,54.98931501846637
20,kristy,54.502520155607186
21,shea,51.455104800123436
22,claudia,48.94164133161258
23,andrew,48.0928185438297
24,jessi,47.151519368505745
25,nina,44.79821692180709
26,hit,44.60046444628359
27,practice,43.783898349362275
28,nicky,43.2962888312063
29,hannie,39.83095844123163
30,charlie,37.051033931756805
31,softball,35.081379061434035
32,suzi,32.7964274201254
33,pike,31.28244255396988
34,braddock,30.910378072642338
35,charlotte,29.216928457032388
36,rodowsky,27.364776328647828
37,mal,27.35680679560708
38,kuhn,27.316555451583497
39,mallory,26.933223185381976
40,linny,26.347016393908504
41,vanessa,25.02174740183731
42,margo,25.02174740183731
43,triplets,24.634849377511514
44,archie,24.145788428900257
45,boys,24.14555044294531
46,shannon,23.009928082186434
47,claud,22.803404309685256
48,field,22.63119536354641
49,sign,22.442214181720605
50,sam,22.297526081643614
51,papadakis,22.01027294096179
52,shouted,21.564014946149502
53,exclaimed,20.74818312376124
54,buddy,19.798204497679453
55,barrett,19.64386612146915
56,newton,18.35567520601714
57,sitters,18.08712831820465
58,tigger,17.781653499929323
59,baseball,16.759853741112114
60,signed,16.24744453675545
61,brothers,16.24495379356452
62,jordan,16.034594059136165
63,yelled,15.393209473750378
64,beat,13.966544784260096
65,twenty,13.832122082507492
66,excited,13.831333419803554
67,catch,13.40676109455852
68,third,13.228980065136835
69,neighborhood,12.96666782633908
70,dog,12.165283121954907
71,grinned,12.126565059708764
72,played,11.682615712256561
73,accident,11.605773597570282
74,organized,11.562629059998217
75,marnie,11.30825957956307
76,missed,11.22217632724249
77,nervous,11.024150054280694
78,win,10.81736373249794
79,backyard,10.452969198805569
80,birthday,10.430422632888398
81,awhile,10.37409156188062
82,plate,10.325090274793698
83,pikes,10.20383258308665
84,adam,10.20383258308665
85,party,10.190411717199755
86,taylor,10.069078760040163
87,announced,9.79034585406225
88,themselves,9.776303744051681
89,faces,9.644793933306401
90,air,9.618091792165973
91,shy,9.558306604472676
92,teeth,9.37391444001476
93,pen,9.318003292900222
94,terrific,9.304317017956034
95,wow,8.977741061793992
96,afraid,8.858632161843989
97,byron,8.78824765002615
98,seriously,8.632044354020715
99,ahead,8.6256059784598
100,stacey,8.511589796802188
101,proud,8.477341925016054
102,besides,8.473942668502886
103,sight,8.4391946916431
104,calling,8.436471874003475
105,wished,8.147639797471914
106,needs,8.068737881462704
107,tossed,7.99763198423941
108,join,7.9258757800442545
109,water,7.9258757800442545
110,sisters,7.855523429069743
111,gotten,7.82061063849247
112,none,7.82061063849247
113,candy,7.815247121133185
114,meetings,7.751303141613491
115,jobs,7.682675140937144
116,threw,7.6147134420484175
117,tomorrow,7.480738060573535
118,thomas,7.447641072201915
119,stepped,7.414699834940025
120,legs,7.398895160589185
121,eight,7.381912889753041
122,louie,7.350729257160491
123,games,7.266293078585189
124,tuesday,7.2335954499798
125,gathered,7.1365582945061945
126,basement,7.104576400523653
127,um,7.072727905275862
128,cute,6.978237763467026
129,jeans,6.885212644251235
130,interested,6.854522040250613
131,nope,6.853394960113743
132,clean,6.823987623205785
133,letters,6.821445969619888
134,loves,6.673603811226487
135,joined,6.614490032568417
136,president,6.585150120803267
137,raised,6.585150120803267
138,regular,6.585150120803267
139,glanced,6.555952982896228
140,record,6.555952982896228
141,whoa,6.512705934277654
142,others,6.497981517425807
143,throw,6.453181421746061
144,notebook,6.440564811328903
145,forward,6.440564811328903
146,count,6.39435721384813
147,sports,6.39435721384813
148,younger,6.383692347601641
149,street,6.3554570013771645
150,bet,6.3554570013771645
151,question,6.327353905502607
152,cheese,6.212002195266814
153,expect,6.137890741910378
154,ramsey,6.082641560977454
155,places,6.082641560977454
156,rock,5.9731252564603246
157,fair,5.920465182211684
158,shoes,5.893939921063218
159,calm,5.893939921063218
160,handle,5.893939921063218
161,safe,5.887100435576471
162,nearly,5.867554635558998
163,energy,5.775205027406846
164,weeks,5.763384201044789
165,single,5.737677203542696
166,hanging,5.686656352671488
167,exciting,5.666354773307307
168,totally,5.6613398428887525
169,somehow,5.611088163621245
170,moments,5.586617913704038
171,seventh,5.508439529412157
172,yup,5.482715968090995
173,rushed,5.4571567756959105
174,often,5.4390810300345835
175,nine,5.4390810300345835
176,eye,5.41498459785484
177,california,5.41498459785484
178,piece,5.3910037365373755
179,surprise,5.3910037365373755
180,cake,5.386686557964045
181,honest,5.381444736153836
182,window,5.367137342774085
183,pocket,5.3565225371512915
184,finger,5.331754656159607
185,worked,5.319743623001367
186,liked,5.319743623001367
187,neat,5.28267428579235
188,practically,5.272794921252172
189,yard,5.162545137396849
190,relief,5.115485771078504
191,grinning,5.115485771078504
192,crowd,5.068973619098028
193,embarrassed,5.045918800231028
194,ground,5.022996101395087
195,appeared,5.022996101395087
196,breakfast,5.000204016936537
197,sent,4.955005795920803
198,garage,4.849541863617088
199,janine,4.8223969666532005
200,treasurer,4.757705529670797
201,poor,4.7151519368505745
202,dogs,4.705514206058007
203,absolutely,4.652158508978017
204,babies,4.636013028213403
205,mentioned,4.631379241469601
206,interesting,4.610707360835831
207,whether,4.610707360835831
208,possible,4.610707360835831
209,loudly,4.610707360835831
210,buy,4.590141762834157
211,eighth,4.590141762834157
212,downstairs,4.569681360167075
213,tired,4.54932508213719
214,thirteen,4.529071874311002
215,extra,4.529071874311002
216,himself,4.529071874311002
217,stared,4.488870530896996
218,although,4.488870530896996
219,writing,4.488870530896996
220,takes,4.46892036485284
221,staring,4.46892036485284
