,term,score
0,marilyn,327.93939781514143
1,carolyn,325.69142075961406
2,twins,170.8111896408766
3,arnold,155.19801963345984
4,kristy,123.96651643236144
5,jessi,109.62728253177586
6,claud,82.8123630193833
7,ears,73.08633548983184
8,claudia,60.64507730221559
9,mary,55.891626165273024
10,earrings,35.1529906001046
11,karen,33.605016877430906
12,claire,33.478265857195574
13,shoes,31.827275573741378
14,hannie,30.458968219765364
15,margo,29.19203863547686
16,ear,28.43328176335744
17,mallory,28.055440818106227
18,andrew,27.129282255493678
19,kit,24.37116680513317
20,apart,24.29855741262289
21,nicky,23.74312613324216
22,mommy,21.904981789652354
23,notebook,21.46854937109634
24,sitters,21.278974492005467
25,science,20.860845265776796
26,exclaimed,20.74818312376124
27,brothers,20.57694147184839
28,dress,19.508102492045165
29,mall,19.49693344410654
30,party,19.24855546582176
31,birthday,19.122441493628727
32,cute,18.60863403591207
33,logan,17.52392356838484
34,pink,17.186094077349058
35,triplets,16.85542325829735
36,mimi,15.637015044941617
37,vanessa,15.291067856678355
38,dressed,15.02798455976744
39,jeans,14.917960729211009
40,eleven,14.653992269121316
41,faces,14.4671908999596
42,lines,14.187131215323252
43,sisters,13.466611592690988
44,tiny,12.96666782633908
45,ring,12.850877283482218
46,stick,12.67243404774507
47,meetings,12.180619222535485
48,immediately,12.055992416633002
49,spoke,11.807702154102987
50,bought,11.787879842126436
51,david,11.682615712256561
52,michael,11.682615712256561
53,shopping,10.713045074302583
54,project,10.5653485715847
55,eight,10.545589842504343
56,ice,10.516716202973642
57,snack,10.420329494844246
58,pair,10.190411717199755
59,fashion,10.155051897873998
60,camera,10.130429222999236
61,pleased,9.963259078557195
62,round,9.916120853287788
63,jobs,9.8777251812049
64,upstairs,9.833929474344343
65,add,9.594752944159241
66,nope,9.594752944159241
67,rehearsal,9.580733234148546
68,linny,9.580733234148546
69,pay,9.57553852140246
70,mine,9.533185502065747
71,fifteen,9.472744291538694
72,um,9.430303873701149
73,practice,9.287493589258665
74,hide,9.287493589258665
75,mirror,9.244680000136611
76,neat,9.244680000136611
77,buy,9.180283525668314
78,outfit,9.117788307988715
79,repeated,8.780200161071022
80,jump,8.746142214074272
81,sitter,8.702529648055334
82,announced,8.702529648055334
83,surprise,8.6256059784598
84,english,8.621570265383696
85,stacey,8.511589796802188
86,learn,8.4391946916431
87,daddy,8.421682754388954
88,fair,8.288651255096358
89,couch,8.262659294118235
90,cream,8.109784782312325
91,woman,8.1049136725718
92,charlie,8.1049136725718
93,glance,8.034783805726937
94,bedroom,8.032748084959774
95,jewelry,7.99763198423941
96,kits,7.887537152230232
97,gotten,7.82061063849247
98,pike,7.82061063849247
99,wondered,7.751303141613491
100,yellow,7.708419373332145
101,record,7.648611813378933
102,wore,7.638243134752997
103,box,7.580978436996775
104,sweater,7.576301104169282
105,hundred,7.5344941520926305
106,liked,7.447641072201915
107,bet,7.414699834940025
108,ones,7.381912889753041
109,clock,7.381912889753041
110,question,7.381912889753041
111,shop,7.358875544470589
112,byron,7.323539708355126
113,hiding,7.288451845061893
114,adam,7.288451845061893
115,store,7.2335954499798
116,cake,7.1822487439520595
117,treasurer,7.1365582945061945
118,mal,7.1365582945061945
119,bags,7.082943466634134
120,absolutely,6.978237763467026
121,tired,6.823987623205785
122,green,6.70338054727926
123,loves,6.673603811226487
124,afraid,6.643974121382992
125,twice,6.633923992327617
126,president,6.585150120803267
127,checked,6.526897236041501
128,candy,6.512705934277654
129,planning,6.512705934277654
130,yard,6.453181421746061
131,count,6.39435721384813
132,thomas,6.383692347601641
133,monday,6.327353905502607
134,thursday,6.250255021170671
135,toys,6.250255021170671
136,dining,6.212002195266814
137,babies,6.1813507042845375
138,dues,6.137890741910378
139,apple,6.120743484202128
140,lessons,6.031520454144935
141,keeping,6.027996208316501
142,greeted,5.9731252564603246
143,houses,5.944244264566377
144,ms,5.915570306651927
145,hoped,5.841307856128281
146,jordan,5.830761476049514
147,quick,5.815198136222522
148,becca,5.775205027406846
149,kidding,5.763384201044789
150,whether,5.763384201044789
151,weeks,5.763384201044789
152,doorbell,5.747713510255798
153,shut,5.7121017002088434
154,schafer,5.686656352671488
155,grown,5.636150872738968
156,writing,5.611088163621245
157,hallway,5.586617913704038
158,moments,5.586617913704038
159,pants,5.586617913704038
160,lunch,5.586150456066051
161,christmas,5.568560423413349
162,nervous,5.512075027140347
