,term,score
0,kristy,273.58127764383215
1,jackie,136.11521862034678
2,claudia,135.12148802423474
3,mary,126.54707811005213
4,dogs,94.11028412116013
5,mama,91.21742295362318
6,mal,84.44927315165664
7,jamie,72.56766872470656
8,becca,72.19006284258558
9,nina,71.67714707489135
10,mallory,70.6997108616277
11,animals,59.09081422178724
12,pet,57.7018278124402
13,claud,56.40842118711616
14,myriah,54.633110903166994
15,babies,44.814792606062895
16,president,41.70595076508735
17,bear,40.78112311916939
18,squirt,39.01806487276534
19,jessi,38.90000347901724
20,gabbie,36.1783349140967
21,cat,27.158799324906383
22,box,27.074922989274196
23,sitters,26.598718115006836
24,exclaimed,24.206213644388114
25,treasurer,21.409674883518583
26,office,18.002687612909412
27,ring,17.52392356838484
28,notebook,17.174839496877073
29,dog,17.031396370736868
30,meetings,16.60993530345748
31,dr,15.399043181639566
32,jobs,15.365350281874289
33,lucy,15.104985855616796
34,neat,14.527354285928961
35,paused,14.132102184442266
36,vice,14.019138854707872
37,ballet,13.750561046575475
38,porch,13.704256793892371
39,rodowsky,13.682388164323914
40,dues,13.503359632202832
41,secretary,12.454947654355257
42,sitter,11.965978266076084
43,bag,11.912966115280646
44,um,11.787879842126436
45,mimi,11.727761283706212
46,charlie,11.578448103674003
47,vacation,11.43130279543168
48,relieved,10.801612567745648
49,spoke,10.73427468554817
50,doorway,10.614278387724188
51,pile,10.5653485715847
52,clock,10.545589842504343
53,responsible,10.372568158952216
54,settled,10.327818966376853
55,himself,10.190411717199755
56,pencil,9.916120853287788
57,ideas,9.8777251812049
58,scared,9.820625187056605
59,announced,9.79034585406225
60,listen,9.746972276138711
61,brothers,9.746972276138711
62,rosie,9.727443506773021
63,figure,9.618091792165973
64,interrupted,9.601433393551687
65,thomas,9.57553852140246
66,pay,9.57553852140246
67,street,9.533185502065747
68,snapped,9.202126677601937
69,tired,9.09865016427438
70,lessons,9.047280681217403
71,doctor,8.916366396849565
72,neither,8.898138414968649
73,sick,8.819320043424556
74,waited,8.663975356567743
75,stacey,8.511589796802188
76,besides,8.473942668502886
77,monday,8.436471874003475
78,daddy,8.421682754388954
79,gets,8.14127739071153
80,director,7.99763198423941
81,several,7.996942380292381
82,officers,7.960708790793141
83,charge,7.82061063849247
84,loves,7.785871113097568
85,stairs,7.682675140937144
86,board,7.650929355252661
87,checked,7.6147134420484175
88,others,7.580978436996775
89,careful,7.5344941520926305
90,class,7.447641072201915
91,ms,7.394462883314908
92,headed,7.381912889753041
93,newton,7.342270082406856
94,woke,7.219006284258558
95,silence,7.072727905275862
96,calm,7.072727905275862
97,neighborhood,7.072727905275862
98,twenty,6.916061041253746
99,junior,6.885212644251235
100,shrieked,6.853394960113743
101,honey,6.821445969619888
102,worse,6.7936078114665035
103,although,6.733305796345494
104,seems,6.70338054727926
105,gotten,6.70338054727926
106,claire,6.6956531714391145
107,mad,6.673603811226487
108,wondered,6.643974121382992
109,regular,6.585150120803267
110,spier,6.585150120803267
111,kits,6.572947626858526
112,glanced,6.555952982896228
113,handed,6.555952982896228
114,desk,6.526897236041501
115,hate,6.526897236041501
116,months,6.512705934277654
117,broke,6.497981517425807
118,ahead,6.46920448384485
119,ew,6.466055818156118
120,garage,6.466055818156118
121,yesterday,6.453181421746061
122,uh,6.412061194777316
123,boxes,6.365202612294164
124,awful,6.327353905502607
125,ears,6.193757244901004
126,touch,6.110189840032301
127,ramsey,6.082641560977454
128,steps,6.027996208316501
129,clients,6.000895870969805
130,shy,5.973941627795423
131,track,5.973941627795423
132,greeted,5.9731252564603246
133,logan,5.841307856128281
134,played,5.841307856128281
135,awhile,5.763384201044789
136,sang,5.720409649974198
137,watson,5.7121017002088434
138,art,5.636150872738968
139,kinds,5.613020649829446
140,names,5.611088163621245
141,hallway,5.586617913704038
142,moments,5.586617913704038
143,usual,5.586150456066051
144,led,5.561336509355406
145,managed,5.561336509355406
146,burst,5.536645101152493
147,sun,5.534329587434627
148,nervous,5.512075027140347
149,couch,5.508439529412157
150,wonder,5.487625100669389
151,often,5.4390810300345835
152,closed,5.41498459785484
153,kishi,5.41498459785484
154,piece,5.3910037365373755
155,shouted,5.3910037365373755
156,honest,5.381444736153836
157,spotted,5.3565225371512915
158,tomorrow,5.343384328981097
159,key,5.328432300392739
160,basement,5.328432300392739
161,sighed,5.319743623001367
162,mine,5.296214167814304
163,stepped,5.296214167814304
164,lay,5.28267428579235
165,calling,5.272794921252172
