,term,score
0,sunny,153.35892235126477
1,jeff,130.06890214292108
2,kristy,121.829162700769
3,jill,88.69610115026468
4,mary,73.8191288975304
5,maggie,64.62119299244542
6,california,61.73082441554517
7,jessi,55.40303525799425
8,claudia,54.261384954613945
9,karen,54.00806283872824
10,rosie,48.6372175338651
11,babies,37.08810422570723
12,nicky,36.31301643907625
13,ghost,34.29390838629504
14,beach,31.62772629288394
15,sitters,29.79056428880766
16,mallory,25.811005552657726
17,brewer,25.547094556105304
18,gabbie,25.0465395559131
19,ben,24.53968282970446
20,connecticut,22.344601824264203
21,sun,22.137318349738507
22,lucy,21.578551222309706
23,dinner,21.091179685008687
24,vanessa,20.851456168197757
25,trip,19.289587866612802
26,sam,18.581271734703012
27,andrew,18.497237901472964
28,grabbed,18.08712831820465
29,pop,17.488783663146712
30,surprise,16.173011209612127
31,pike,15.64122127698494
32,man,15.02798455976744
33,claire,14.730436977166052
34,shannon,14.532586157170378
35,stairs,14.26782526174041
36,boys,14.26782526174041
37,pizza,14.262281218559297
38,myriah,13.658277725791748
39,party,13.587215622933007
40,lunch,13.40676109455852
41,jamie,13.367728449288052
42,wide,13.20197091613357
43,picture,12.995963034851615
44,certainly,12.965710198690271
45,ring,12.850877283482218
46,newton,12.848972644211997
47,movie,12.622889847793932
48,milk,12.45224157172791
49,stories,12.220379680064601
50,wondered,12.180619222535485
51,note,12.165283121954907
52,main,11.996447976359114
53,ride,11.578448103674003
54,visit,11.578448103674003
55,awhile,11.526768402089578
56,decide,11.457364702129496
57,warm,11.457364702129496
58,list,11.322679685777505
59,margo,11.120776623038804
60,sitter,10.878162060069167
61,weather,10.871003841716925
62,strange,10.850393174969701
63,bag,10.82996919570968
64,pocket,10.713045074302583
65,street,10.592428335628608
66,pikes,10.20383258308665
67,park,10.158883083359672
68,secret,10.05507082091889
69,cards,10.001668848995529
70,legs,9.865193547452247
71,juice,9.82278613720153
72,waited,9.746972276138711
73,practically,9.49103085825391
74,michael,9.346092569805249
75,rooms,9.047280681217403
76,screamed,9.047280681217403
77,space,9.034453990444486
78,somehow,8.977741061793992
79,grinned,8.819320043424556
80,row,8.78824765002615
81,shoulders,8.710696866889197
82,shouted,8.6256059784598
83,puppy,8.334724040829606
84,gathered,8.325984676923895
85,fingers,8.288651255096358
86,decision,8.262659294118235
87,mansion,8.177830998579593
88,david,8.177830998579593
89,vacation,8.1652162824512
90,super,8.147639797471914
91,wild,8.14127739071153
92,ew,8.082569772695148
93,weeks,8.068737881462704
94,schafer,7.961318893740082
95,lay,7.924011428688525
96,wow,7.855523429069743
97,restaurant,7.803612974553069
98,third,7.7169050379964865
99,seat,7.648611813378933
100,booth,7.638701971021744
101,group,7.6147134420484175
102,crowd,7.6034604286470415
103,others,7.580978436996775
104,eye,7.580978436996775
105,boo,7.55174202447612
106,game,7.547405231152325
107,ahead,7.547405231152325
108,beautiful,7.547405231152325
109,light,7.51399227988372
110,breakfast,7.5003060254048055
111,excuse,7.5003060254048055
112,shrugged,7.480738060573535
113,involved,7.432508693881204
114,ears,7.432508693881204
115,salad,7.430305330707972
116,orange,7.394462883314908
117,headed,7.381912889753041
118,pink,7.365468890292453
119,hug,7.2335954499798
120,whenever,7.10455821865402
121,bought,7.072727905275862
122,pieces,6.983272392130048
123,covered,6.978237763467026
124,john,6.953615088592265
125,charlie,6.947068862204401
126,coffee,6.885549411765196
127,young,6.763381047286761
128,missed,6.733305796345494
129,ball,6.664693320199508
130,summer,6.633923992327617
131,regular,6.585150120803267
132,leaving,6.585150120803267
133,glanced,6.555952982896228
134,handed,6.555952982896228
135,threw,6.526897236041501
136,hit,6.526897236041501
137,candy,6.512705934277654
138,closed,6.497981517425807
139,brothers,6.497981517425807
140,favorite,6.497981517425807
141,triplets,6.4828550993451355
142,mark,6.431606640768692
143,brown,6.3554570013771645
144,taken,6.327353905502607
145,eight,6.327353905502607
146,loved,6.307398500288785
147,sleeping,6.1813507042845375
148,color,6.137890741910378
149,themselves,6.110189840032301
150,backyard,5.9731252564603246
151,neighborhood,5.893939921063218
152,wondering,5.815198136222522
153,quick,5.815198136222522
154,written,5.815198136222522
155,woke,5.775205027406846
156,ate,5.763384201044789
157,moving,5.763384201044789
158,bright,5.737677203542696
159,exciting,5.666354773307307
160,grown,5.636150872738968
161,silly,5.611088163621245
162,named,5.586150456066051
163,loves,5.561336509355406
164,led,5.561336509355406
165,plenty,5.512075027140347
166,president,5.487625100669389
167,wonderful,5.487625100669389
168,its,5.487625100669389
169,rolled,5.463294152413524
170,letters,5.4571567756959105
171,rain,5.446094439852583
172,broke,5.41498459785484
173,box,5.41498459785484
174,window,5.367137342774085
175,crowded,5.3565225371512915
176,spotted,5.3565225371512915
177,tomorrow,5.343384328981097
178,class,5.319743623001367
179,stacey,5.319743623001367
180,edge,5.307139193862094
181,clock,5.272794921252172
182,tea,5.271287715480657
183,send,5.258358101486821
184,science,5.215211316444199
185,noise,5.210164747422123
186,sunday,5.186284079476108
187,yard,5.162545137396849
188,yellow,5.138946248888097
189,music,5.115485771078504
190,oldest,5.092162089835331
191,daddy,5.053009652633372
192,disappeared,5.045918800231028
193,spread,5.000204016936537
194,thursday,5.000204016936537
195,subject,4.955005795920803
196,huh,4.955005795920803
197,truth,4.910312593528302
198,teacher,4.910312593528302
199,ourselves,4.888151872025841
200,mall,4.874233361026635
201,spot,4.8661132487819625
202,information,4.844195385723459
203,store,4.8223969666532005
204,yourself,4.779153302236338
205,yelled,4.736372145769347
206,purple,4.729043738441083
207,bear,4.705514206058007
208,gets,4.652158508978017
209,quietly,4.631379241469601
210,wrote,4.610707360835831
211,loudly,4.610707360835831
212,board,4.590557613151596
213,apple,4.590557613151596
214,kiss,4.590557613151596
215,blood,4.590557613151596
216,bedroom,4.590141762834157
217,jeans,4.590141762834157
218,dress,4.590141762834157
219,watson,4.569681360167075
220,machine,4.545780662501569
221,join,4.529071874311002
222,water,4.529071874311002
223,empty,4.508920698191174
224,reminded,4.508920698191174
225,conversation,4.488870530896996
226,stared,4.488870530896996
227,gotten,4.46892036485284
228,usual,4.46892036485284
229,houses,4.458183198424782
230,evening,4.409660021712278
231,filled,4.409660021712278
232,wonder,4.390100080535511
233,upstairs,4.370635321930819
234,singing,4.352165099088856
235,checked,4.351264824027667
236,scene,4.310785132691848
237,doorbell,4.310785132691848
238,notebook,4.293709874219268
239,admit,4.274707463184877
240,imagine,4.274707463184877
241,liked,4.255794898401094
242,younger,4.255794898401094
243,area,4.24976607998048
244,bet,4.236971334251443
245,continued,4.2182359370017375
246,calling,4.2182359370017375
247,kinds,4.209765487372085
248,hallway,4.189963435278028
249,carrot,4.127652345165388
250,enjoy,4.1120369760682465
251,yup,4.1120369760682465
252,groaned,4.092867581771933
