,term,score
0,claudia,158.52835996544076
1,stacey,111.71461608302872
2,jamie,108.85150308705985
3,karen,108.01612567745649
4,jessi,95.48182672122414
5,mary,94.91030858253909
6,andrew,87.5535927336387
7,watson,78.82700346288205
8,claud,68.41021292905577
9,michael,66.5909095598624
10,david,66.5909095598624
11,shea,61.25607714300409
12,mal,55.90303997363186
13,sam,54.50506375512883
14,mimi,52.774925776677954
15,charlie,50.945171656165606
16,mallory,49.37757583986696
17,jenny,46.5238087410037
18,margo,45.873203570035066
19,matt,45.40417579681927
20,lucy,45.31495756685039
21,sitters,40.43005153481039
22,haley,39.557674855639384
23,emily,38.57594326765216
24,newton,36.71135041203428
25,rodowsky,35.18328385111864
26,nicky,32.12305300379822
27,claire,30.800004588619927
28,charlotte,30.754661533718306
29,jackie,28.02372148065963
30,gabbie,27.829488395459002
31,brothers,25.99192606970323
32,becca,24.544621366479095
33,exclaimed,24.206213644388114
34,present,24.12608181657974
35,suzi,24.05071344142529
36,surprise,23.720416440764453
37,barrett,23.21547814355445
38,buddy,23.097905247292694
39,group,22.84414032614525
40,boo,22.65522607342836
41,johanssen,22.17954329249131
42,myriah,21.853244361266796
43,braddock,21.25088492494161
44,nina,20.905834563509977
45,pike,20.11014164183778
46,twenty,19.595506283552282
47,archie,18.78005766692242
48,kristy,17.09882985273951
49,water,16.98401952866626
50,stace,16.843365508777907
51,daddy,16.843365508777907
52,song,16.52531858823647
53,sitter,16.31724309010375
54,sign,16.03015298694329
55,cookies,15.806212153203443
56,sisters,15.711046858139486
57,weekend,15.324243794764367
58,prezzioso,15.304999462725185
59,train,15.002503273493291
60,ramsey,14.598339746345887
61,singing,14.507216996962853
62,vanessa,13.900970778798506
63,ride,13.894137724408802
64,ate,13.832122082507492
65,bart,13.66440163728452
66,shannon,13.321537310739513
67,jobs,13.170300241606533
68,glanced,13.111905965792456
69,ring,12.850877283482218
70,excited,12.767384695203281
71,purple,12.610783302509557
72,lunch,12.28953100334531
73,loves,12.234940320581892
74,children,11.912966115280646
75,mine,11.651671169191468
76,news,11.651671169191468
77,eight,11.600148826754777
78,round,11.332709546614614
79,meetings,11.073290202304985
80,mommy,10.952490894826177
81,york,10.926588304827048
82,picnic,10.77337311592809
83,spoke,10.73427468554817
84,band,10.542575430961314
85,awhile,10.37409156188062
86,president,9.8777251812049
87,boys,9.8777251812049
88,handed,9.833929474344343
89,cry,9.833929474344343
90,record,9.833929474344343
91,announced,9.79034585406225
92,brewer,9.732226497563925
93,likes,9.703806725767276
94,notebook,9.660847216993353
95,tomorrow,9.618091792165973
96,worked,9.57553852140246
97,younger,9.57553852140246
98,bear,9.411028412116014
99,summer,9.287493589258665
100,skin,9.287493589258665
101,babies,9.272026056426807
102,bedroom,9.180283525668314
103,candy,9.117788307988715
104,families,8.830357900404298
105,eating,8.819320043424556
106,nine,8.702529648055334
107,ears,8.671260142861405
108,kishi,8.663975356567743
109,bag,8.663975356567743
110,glass,8.632044354020715
111,thomas,8.511589796802188
112,games,8.477341925016054
113,trip,8.4391946916431
114,signed,8.123722268377724
115,garage,8.082569772695148
116,tv,7.961318893740082
117,yard,7.743817706095274
118,plenty,7.7169050379964865
119,tears,7.6147134420484175
120,stick,7.6034604286470415
121,box,7.580978436996775
122,spend,7.480738060573535
123,backyard,7.466406570575406
124,page,7.466406570575406
125,pay,7.447641072201915
126,sent,7.432508693881204
127,taken,7.381912889753041
128,faces,7.2335954499798
129,sang,7.150512062467747
130,um,7.072727905275862
131,crying,7.072727905275862
132,logan,7.009569427353936
133,gets,6.978237763467026
134,terrific,6.978237763467026
135,needs,6.916061041253746
136,sleep,6.916061041253746
137,buy,6.885212644251235
138,dress,6.885212644251235
139,begin,6.885212644251235
140,grew,6.854522040250613
141,list,6.7936078114665035
142,marnie,6.7849557477378415
143,married,6.733305796345494
144,ball,6.664693320199508
145,grinned,6.614490032568417
146,wonderful,6.585150120803267
147,ideas,6.585150120803267
148,threw,6.526897236041501
149,ew,6.466055818156118
150,man,6.440564811328903
151,heads,6.423682811110121
152,changed,6.383692347601641
153,lately,6.365202612294164
154,town,6.3554570013771645
155,besides,6.3554570013771645
156,helped,6.3554570013771645
157,monday,6.327353905502607
