,term,score
0,tigger,420.29362818014766
1,logan,181.0805435399767
2,kristy,125.03519329815767
3,myriah,109.26622180633399
4,jamie,106.94182759430441
5,gabbie,91.8373117050147
6,claudia,82.98800051882132
7,jessi,75.44243098960919
8,mary,59.05530311802433
9,suzi,59.03356935622572
10,envelope,52.808363311019214
11,lucy,49.63066781131233
12,pow,46.266973156120095
13,becca,46.20164021925477
14,buddy,46.19581049458539
15,marnie,45.23303831825228
16,pet,41.78408220900842
17,squirt,39.01806487276534
18,claud,38.40573357420675
19,field,37.17982095439768
20,cat,33.948499156132975
21,bruno,33.909367700064216
22,missing,31.204658529042984
23,toys,30.001224101619222
24,rock,26.87906365407146
25,note,26.763622868300793
26,charlotte,26.141462303660557
27,dollars,25.265048263166857
28,sitters,24.47082066580629
29,mal,23.788527648353984
30,neighborhood,21.218183715827585
31,box,19.493944552277423
32,hiding,18.949974797160923
33,closed,17.327950713135486
34,exclaimed,17.290152603134366
35,bike,16.498503748066213
36,mallory,15.711046858139486
37,mimi,15.637015044941617
38,yard,15.487635412190548
39,dead,14.730436977166052
40,private,14.331395070564904
41,poor,14.145455810551724
42,street,13.77015683631719
43,dinner,13.709266795255648
44,closet,13.381811434150396
45,hide,13.267847984655234
46,store,13.261591658296302
47,office,13.20197091613357
48,newton,12.848972644211997
49,barrett,12.500642077298549
50,milk,12.45224157172791
51,calling,11.600148826754777
52,clock,11.600148826754777
53,coach,11.458052956532615
54,loves,11.122673018710811
55,meetings,11.073290202304985
56,jobs,10.975250201338778
57,president,10.975250201338778
58,places,10.948754809759416
59,handed,10.926588304827048
60,eye,10.82996919570968
61,likes,10.782007473074751
62,mail,10.77337311592809
63,tomorrow,10.686768657962194
64,practice,10.614278387724188
65,certainly,10.372568158952216
66,letter,10.252955591697177
67,glanced,9.833929474344343
68,notebook,9.660847216993353
69,bathroom,9.644793933306401
70,yup,9.594752944159241
71,stacey,9.57553852140246
72,barely,9.57553852140246
73,everywhere,9.505579763717234
74,cheese,9.318003292900222
75,christmas,9.280934039022249
76,sleep,9.221414721671662
77,soda,9.136171195928249
78,mommy,9.12707574568848
79,lap,9.117788307988715
80,himself,9.058143748622005
81,space,9.034453990444486
82,hardly,8.858632161843989
83,hundred,8.790243177441402
84,record,8.741270643861638
85,upstairs,8.741270643861638
86,somewhere,8.671260142861405
87,allowed,8.401254219357726
88,um,8.251515889488505
89,tree,8.147639797471914
90,buy,8.032748084959774
91,downstairs,7.996942380292381
92,tv,7.961318893740082
93,gotten,7.82061063849247
94,bottle,7.803612974553069
95,cry,7.648611813378933
96,lately,7.638243134752997
97,sitter,7.6147134420484175
98,junk,7.6147134420484175
99,checked,7.6147134420484175
100,game,7.547405231152325
101,putting,7.480738060573535
102,backyard,7.466406570575406
103,sighed,7.447641072201915
104,ways,7.432508693881204
