,term,score
0,mimi,643.072243723224
1,corrie,427.1497522065107
2,mary,146.58369881081038
3,janine,107.29833250803371
4,kristy,105.79900971382571
5,gabbie,52.8760279513721
6,jamie,51.561238304396774
7,art,50.72535785465071
8,stacey,50.00559005621285
9,sean,46.26702770172899
10,marilyn,42.38672488767134
11,hospital,41.51879307051971
12,claudia,41.49400025941066
13,myriah,38.24317763221689
14,carolyn,38.18451139940302
15,peaches,36.232051411321564
16,class,36.1742566364093
17,basement,35.52288200261827
18,tea,35.141918103204375
19,jessi,33.00606355795402
20,mal,28.546233178024778
21,painting,27.903995604732863
22,mallory,26.933223185381976
23,matt,26.829740243575024
24,ashley,23.892382358297116
25,sitters,21.278974492005467
26,dinner,20.036620700758252
27,jewelry,19.994079960598526
28,children,18.410947632706453
29,nancy,17.818826896295732
30,claud,16.802508438715453
31,drew,15.781222443669108
32,blood,15.301858710505321
33,dead,14.730436977166052
34,mommy,14.603321193101568
35,pizza,14.262281218559297
36,secret,13.40676109455852
37,twins,13.26688851579624
38,steps,13.261591658296302
39,stairs,13.170300241606533
40,upstairs,13.111905965792456
41,exclaimed,12.679445242298536
42,known,12.072775221472655
43,cry,12.019247135309753
44,joke,11.831305728345347
45,nannie,11.774200871152942
46,besides,11.651671169191468
47,mad,11.122673018710811
48,meetings,11.073290202304985
49,grandmother,11.024150054280694
50,spoke,10.73427468554817
51,awful,10.545589842504343
52,watson,10.281783060375918
53,earrings,10.252955591697177
54,teachers,10.20383258308665
55,paint,10.155051897873998
56,wednesday,10.010405716839731
57,arnold,9.948591002144862
58,wonderful,9.8777251812049
59,drive,9.833929474344343
60,tears,9.79034585406225
61,sitter,9.79034585406225
62,signed,9.74846672205327
63,box,9.746972276138711
64,tigger,9.699083727234177
65,hug,9.644793933306401
66,street,9.533185502065747
67,test,9.411028412116014
68,logan,9.346092569805249
69,awhile,9.221414721671662
70,tired,9.09865016427438
71,usual,8.93784072970568
72,lately,8.911283657211829
73,york,8.741270643861638
74,hate,8.702529648055334
75,quite,8.702529648055334
76,birthday,8.692018860740331
77,piece,8.6256059784598
78,fancy,8.621570265383696
79,pleased,8.539936353049026
80,helped,8.473942668502886
81,practically,8.436471874003475
82,daddy,8.421682754388954
83,moments,8.379926870556057
84,crying,8.251515889488505
85,um,8.251515889488505
86,shopping,8.034783805726937
87,bedroom,8.032748084959774
88,shut,7.996942380292381
89,dining,7.765002744083517
90,braddock,7.7275945181605845
91,sick,7.7169050379964865
92,president,7.682675140937144
93,boxes,7.638243134752997
94,picture,7.580978436996775
95,closed,7.580978436996775
96,brothers,7.580978436996775
97,stamford,7.539400567681169
98,lessons,7.539400567681169
99,dressed,7.51399227988372
100,spent,7.480738060573535
101,greeted,7.466406570575406
102,emily,7.466311600190741
103,worked,7.447641072201915
104,barely,7.447641072201915
105,newspaper,7.394462883314908
106,calling,7.381912889753041
107,luckily,6.983272392130048
108,finish,6.916061041253746
109,dress,6.885212644251235
110,eighth,6.885212644251235
111,forgotten,6.823987623205785
112,longer,6.733305796345494
113,green,6.70338054727926
114,cards,6.667779232663685
115,wondered,6.643974121382992
116,hardly,6.643974121382992
117,project,6.603342857240437
118,jobs,6.585150120803267
119,its,6.585150120803267
120,leaving,6.585150120803267
121,pictures,6.572947626858526
122,ice,6.572947626858526
123,nine,6.526897236041501
124,announced,6.526897236041501
125,waited,6.497981517425807
126,favorite,6.497981517425807
127,classes,6.453181421746061
128,light,6.440564811328903
129,sign,6.412061194777316
130,liked,6.383692347601641
131,ones,6.327353905502607
132,clock,6.327353905502607
133,bear,6.2740189414106755
134,restaurant,6.242890379642455
135,ears,6.193757244901004
136,smart,6.193757244901004
137,ways,6.193757244901004
138,teacher,6.137890741910378
139,stories,6.110189840032301
140,ourselves,6.110189840032301
141,bottom,6.110189840032301
