,term,score
0,derek,1393.4909998871765
1,mama,107.3146152395567
2,becca,102.50988923647152
3,kristy,99.3869485190484
4,mallory,86.41075771976718
5,karen,81.61218384518935
6,claudia,80.86010306962078
7,daddy,75.79514478950057
8,john,66.05934334162652
9,lake,60.63594340314257
10,class,59.58112857761532
11,boys,46.09605084562287
12,nicky,44.692943309632305
13,hannie,44.51695355196476
14,ballet,43.7517851481947
15,party,38.49711093164352
16,star,37.67011315307685
17,tv,36.39460065709752
18,jessi,33.00606355795402
19,stage,32.00506867334498
20,squirt,21.850116328748594
21,mary,21.091179685008687
22,science,20.860845265776796
23,information,18.165732696462975
24,list,18.11628749724401
25,shoes,17.681819763189655
26,sitters,17.023179593604375
27,audience,16.61241618692013
28,stamford,16.58668124889857
29,calling,15.818384763756516
30,dance,15.41683874666429
31,game,15.09481046230465
32,homework,14.664455616077522
33,wednesday,14.459474924324056
34,bag,14.078959954422583
35,breakfast,13.750561046575475
36,truth,13.503359632202832
37,ramsey,13.381811434150396
38,news,12.710914002754329
39,jobs,12.072775221472655
40,regular,12.072775221472655
41,rehearsal,11.975916542685683
42,center,11.722870681699778
43,grabbed,11.703435970603008
44,practically,11.600148826754777
45,woman,11.578448103674003
46,awhile,11.526768402089578
47,boxes,11.457364702129496
48,glasses,11.272301745477936
49,names,11.22217632724249
50,teacher,11.04820333543868
51,questions,11.024150054280694
52,sigh,10.998341712058142
53,picnic,10.77337311592809
54,shot,10.561598344006196
55,monday,10.545589842504343
56,question,10.545589842504343
57,triplets,10.372568158952216
58,settled,10.327818966376853
59,yard,10.325090274793698
60,notes,10.302425762258824
61,stared,10.099958694518241
62,cards,10.001668848995529
63,quite,9.79034585406225
64,ahead,9.703806725767276
65,explained,9.533185502065747
66,pushed,9.472744291538694
67,schedule,9.034453990444486
68,picture,8.663975356567743
69,legs,8.632044354020715
70,break,8.6256059784598
71,surprise,8.6256059784598
72,beautiful,8.6256059784598
73,hurried,8.621570265383696
74,obviously,8.49953215996096
75,taken,8.436471874003475
76,eight,8.436471874003475
77,juice,8.41953097474417
78,somebody,8.224073952136493
79,acting,8.109784782312325
80,wrote,8.068737881462704
81,gym,8.001267168336245
82,director,7.99763198423941
83,worse,7.9258757800442545
84,project,7.924011428688525
85,mirror,7.924011428688525
86,gotten,7.82061063849247
87,charge,7.82061063849247
88,lived,7.82061063849247
89,named,7.82061063849247
90,plenty,7.7169050379964865
91,joined,7.7169050379964865
92,nervous,7.7169050379964865
