,term,score
0,laine,263.3289798008113
1,henry,160.48236287872876
2,grace,146.10618182076533
3,kristy,79.08208806892023
4,claud,74.41110880002557
5,apartment,72.42256897621242
6,claudia,64.90087220061667
7,york,57.91091801558335
8,stacey,48.94164133161258
9,mal,41.629923384619474
10,mary,33.7458874960139
11,jessi,31.827275573741378
12,ms,29.577851533259633
13,charlotte,27.679195380346474
14,moving,26.51156732480603
15,fight,20.403045961297337
16,stace,20.212038610533487
17,hot,19.334631599083057
18,connecticut,17.87568145941136
19,problems,17.841395736265486
20,mimi,17.59164192555932
21,divorced,17.560400322142044
22,decision,16.52531858823647
23,awful,15.818384763756516
24,daddy,15.159028957900116
25,dinner,14.763825779506082
26,mommy,14.603321193101568
27,bsc,13.321537310739513
28,sitters,12.767384695203281
29,bedroom,12.622889847793932
30,hallway,12.569890305834086
31,building,12.336110928204738
32,lived,12.28953100334531
33,honey,12.278602745315798
34,dog,12.165283121954907
35,closed,11.912966115280646
36,crying,11.787879842126436
37,spend,11.755445523758413
38,yard,11.61572655914291
39,clock,11.600148826754777
40,moments,11.173235827408076
41,johanssen,11.089771646245655
42,couch,11.016879058824314
43,handed,10.926588304827048
44,sitter,10.878162060069167
45,office,10.801612567745648
46,jewelry,10.663509312319214
47,several,10.281783060375918
48,dr,10.266028787759712
49,doors,10.155051897873998
50,mallory,10.099958694518241
51,jackie,10.00847195737844
52,breakfast,10.000408033873073
53,member,9.921735048852625
54,private,9.921735048852625
55,stayed,9.921735048852625
56,bell,9.910011591841606
57,jeff,9.910011591841606
58,cry,9.833929474344343
59,tears,9.79034585406225
60,likes,9.703806725767276
61,eight,9.49103085825391
62,bought,9.430303873701149
63,whether,9.221414721671662
64,exclaimed,9.221414721671662
65,list,9.058143748622005
66,gotten,8.93784072970568
67,managed,8.898138414968649
68,bag,8.663975356567743
69,pack,8.662807541110269
70,homework,8.55426577604522
71,ramsey,8.515698185368434
72,class,8.511589796802188
73,tiffany,8.511048182448528
74,street,8.473942668502886
75,store,8.4391946916431
76,headed,8.436471874003475
77,mostly,8.325984676923895
78,hugged,8.147639797471914
79,ate,8.068737881462704
80,math,7.855523429069743
81,dogs,7.842523676763344
82,spier,7.682675140937144
83,mcgill,7.580978436996775
84,library,7.539400567681169
85,careful,7.5344941520926305
86,emily,7.466311600190741
87,liked,7.447641072201915
88,changed,7.447641072201915
89,tape,7.430305330707972
90,besides,7.414699834940025
91,helped,7.414699834940025
92,news,7.414699834940025
93,calling,7.381912889753041
94,teacher,7.365468890292453
95,pink,7.365468890292453
96,becca,7.219006284258558
97,fair,7.10455821865402
98,neighborhood,7.072727905275862
99,nearly,7.041065562670798
100,bored,7.016275812286807
101,hoped,7.009569427353936
102,angry,7.009569427353936
103,beat,6.983272392130048
104,weeks,6.916061041253746
105,awhile,6.916061041253746
106,kidding,6.916061041253746
107,coffee,6.885549411765196
108,settled,6.885212644251235
109,buy,6.885212644251235
110,island,6.880218533919479
111,bart,6.83220081864226
112,wished,6.789699831226596
113,james,6.7849557477378415
114,cream,6.758153985260272
115,married,6.733305796345494
116,missed,6.733305796345494
117,usual,6.70338054727926
118,green,6.70338054727926
119,shopping,6.6956531714391145
120,forth,6.6956531714391145
121,wondered,6.643974121382992
122,became,6.643974121382992
123,twice,6.633923992327617
124,ideas,6.585150120803267
125,driveway,6.572947626858526
126,california,6.497981517425807
127,waited,6.497981517425807
128,shouted,6.46920448384485
129,spoke,6.440564811328903
130,paused,6.423682811110121
131,sign,6.412061194777316
132,thomas,6.383692347601641
133,younger,6.383692347601641
134,boxes,6.365202612294164
135,lately,6.365202612294164
136,asleep,6.365202612294164
137,bet,6.3554570013771645
138,stepped,6.3554570013771645
139,alan,6.309140657207926
140,camp,6.309140657207926
141,gray,6.307398500288785
142,hospital,6.150932306743661
143,scared,6.137890741910378
144,snow,6.078257533799541
145,immediately,6.027996208316501
146,allowed,6.000895870969805
147,doctor,5.944244264566377
148,fifteen,5.920465182211684
149,famous,5.887100435576471
150,rodowsky,5.863880641853106
151,michael,5.841307856128281
152,logan,5.841307856128281
