,term,score
0,buddy,366.26678320706986
1,stacey,184.0631293558473
2,kristy,132.5159313587312
3,vanessa,77.84543636127162
4,mary,59.05530311802433
5,jessi,57.76061122641954
6,marnie,56.54129789781535
7,charlotte,55.35839076069295
8,barrett,53.5741803312795
9,mystery,51.94368899818011
10,suzi,50.28785537752561
11,claud,46.806987793564474
12,claudia,38.30215408560984
13,painting,36.11105313553664
14,cards,30.005006546986582
15,emily,28.620861134064505
16,page,26.87906365407146
17,karen,26.40394183226714
18,exclaimed,25.358890484597072
19,mcgill,21.65993839141936
20,ghost,21.22956233437312
21,michael,21.02870828206181
22,david,19.860446710836154
23,ring,19.860446710836154
24,bsc,18.165732696462975
25,bet,18.007128170568635
26,mallory,16.833264490863733
27,claire,16.069567611453873
28,andrew,16.0309395146099
29,downstairs,15.993884760584763
30,boxes,15.276486269505995
31,homework,14.664455616077522
32,stairs,14.26782526174041
33,pencil,14.165886933268268
34,box,14.078959954422583
35,ben,13.38528154347516
36,worked,12.767384695203281
37,town,12.710914002754329
38,dining,12.424004390533629
39,teacher,12.275781483820756
40,desk,11.965978266076084
41,mal,11.894263824176992
42,stace,11.790355856144533
43,wrote,11.526768402089578
44,boo,11.32761303671418
45,writing,11.22217632724249
46,lived,11.172300912132101
47,christmas,11.137120846826697
48,johanssen,11.089771646245655
49,daughter,11.068659174869254
50,york,10.926588304827048
51,spoke,10.73427468554817
52,besides,10.592428335628608
53,clock,10.545589842504343
54,noise,10.420329494844246
55,interesting,10.37409156188062
56,wonder,9.8777251812049
57,moments,9.776581348982067
58,stories,9.776303744051681
59,children,9.746972276138711
60,closed,9.746972276138711
61,notebook,9.660847216993353
62,yup,9.594752944159241
63,sitters,9.57553852140246
64,brown,9.533185502065747
65,pictures,9.202126677601937
66,clue,9.17783760300857
67,triplets,9.075997139083189
68,himself,9.058143748622005
69,james,9.046607663650455
70,cleared,8.993155935554169
71,backyard,8.959687884690487
72,upstairs,8.741270643861638
73,paint,8.704330198177711
74,dr,8.555023989799759
75,card,8.539936353049026
76,brewer,8.515698185368434
77,excited,8.511589796802188
78,news,8.473942668502886
79,mansion,8.177830998579593
80,sounding,8.072167104230754
81,archie,8.048596142966751
82,jewelry,7.99763198423941
83,watson,7.996942380292381
84,drew,7.890611221834554
85,loves,7.785871113097568
86,nervous,7.7169050379964865
87,third,7.7169050379964865
88,pow,7.7111621926866825
89,paused,7.708419373332145
90,wonderful,7.682675140937144
91,ideas,7.682675140937144
92,quite,7.6147134420484175
93,hate,7.6147134420484175
94,brothers,7.580978436996775
95,disappeared,7.568878200346541
96,likes,7.547405231152325
97,window,7.51399227988372
98,pink,7.365468890292453
99,nannie,7.358875544470589
100,immediately,7.2335954499798
101,pleased,7.116613627540854
102,bored,7.016275812286807
103,nicky,6.983272392130048
104,awhile,6.916061041253746
105,sad,6.885212644251235
106,settled,6.885212644251235
107,nope,6.853394960113743
108,nancy,6.853394960113743
109,although,6.733305796345494
110,stared,6.733305796345494
111,silly,6.733305796345494
112,wow,6.733305796345494
113,windows,6.7268059201922945
114,honest,6.7268059201922945
115,secret,6.70338054727926
116,neither,6.673603811226487
117,meetings,6.643974121382992
118,became,6.643974121382992
119,kits,6.572947626858526
120,handed,6.555952982896228
121,record,6.555952982896228
122,announced,6.526897236041501
123,boring,6.512705934277654
124,others,6.497981517425807
125,break,6.46920448384485
126,space,6.453181421746061
127,figure,6.412061194777316
128,spend,6.412061194777316
129,pay,6.383692347601641
130,families,6.307398500288785
131,lines,6.305391651254778
132,careful,6.278745126743859
133,toys,6.250255021170671
134,terrible,6.165745967157655
135,dog,6.082641560977454
136,horse,6.0610408833354255
137,information,6.055244232154324
138,interrupted,6.000895870969805
139,allowed,6.000895870969805
140,greeted,5.9731252564603246
141,problems,5.947131912088496
142,treasurer,5.947131912088496
143,fifteen,5.920465182211684
144,nearly,5.867554635558998
145,byron,5.8588317666841006
146,loud,5.841307856128281
147,played,5.841307856128281
148,jordan,5.830761476049514
149,adam,5.830761476049514
150,absolutely,5.815198136222522
151,becca,5.775205027406846
152,doorbell,5.747713510255798
153,forgot,5.6613398428887525
154,art,5.636150872738968
155,married,5.611088163621245
156,afraid,5.536645101152493
157,milk,5.534329587434627
158,slow,5.534329587434627
159,couch,5.508439529412157
160,president,5.487625100669389
161,enjoy,5.482715968090995
162,somebody,5.482715968090995
163,mommy,5.476245447413088
164,sitter,5.4390810300345835
165,junk,5.4390810300345835
166,beautiful,5.3910037365373755
167,ahead,5.3910037365373755
168,key,5.328432300392739
169,changed,5.319743623001367
170,class,5.319743623001367
171,pile,5.28267428579235
172,student,5.28267428579235
173,mirror,5.28267428579235
174,monday,5.272794921252172
175,born,5.23418884366297
176,whoa,5.210164747422123
177,outfit,5.210164747422123
178,certainly,5.186284079476108
179,schedule,5.162545137396849
180,ballet,5.000204016936537
181,climbed,5.000204016936537
182,confused,4.977541066793827
183,officer,4.977541066793827
184,bell,4.955005795920803
185,sam,4.955005795920803
186,somewhere,4.955005795920803
187,foot,4.932596773726123
188,dues,4.910312593528302
189,kit,4.874233361026635
190,ramsey,4.8661132487819625
191,henry,4.863101905416023
192,games,4.844195385723459
193,hoping,4.8223969666532005
194,learn,4.8223969666532005
195,learned,4.800716696775844
196,whenever,4.736372145769347
197,squirt,4.682167784731842
198,mess,4.673046284902624
199,angry,4.673046284902624
200,wondering,4.652158508978017
201,babies,4.636013028213403
202,moving,4.610707360835831
203,twenty,4.610707360835831
