,term,score
0,marilyn,236.47330726806118
1,carolyn,235.8455115845481
2,kristy,132.5159313587312
3,stacey,82.98800051882132
4,haley,77.1374659684968
5,wedding,65.71494536895706
6,schafer,60.27855733831777
7,jessi,56.581823242206895
8,matt,53.65948048715005
9,twins,53.06755406318496
10,emily,49.77541066793827
11,arnold,49.74295501072431
12,jeff,49.55005795920803
13,sharon,45.38412033210486
14,claud,44.406629445176556
15,karen,43.20645027098259
16,claudia,42.557948984010935
17,mal,38.06164423736637
18,dinner,36.9095644487652
19,tigger,35.563306999858646
20,vanessa,26.41184447971716
21,birthday,26.076056582220993
22,ring,23.365231424513123
23,mary,22.14573866925912
24,logan,21.02870828206181
25,mallory,20.199917389036482
26,claire,20.086959514317343
27,pink,19.64125037411321
28,daddy,18.527702059655695
29,game,18.329412704227074
30,mommy,18.25415149137696
31,sitters,18.08712831820465
32,cake,17.95562185988015
33,charlie,17.367672155511002
34,watson,17.13630510062653
35,triplets,16.85542325829735
36,sisters,16.833264490863733
37,kit,16.24744453675545
38,box,16.24495379356452
39,exclaimed,16.13747576292541
40,dress,16.065496169919548
41,surprise,15.09481046230465
42,patrick,14.849939192680303
43,share,14.0989970517603
44,picture,14.078959954422583
45,bedroom,13.77042528850247
46,bsc,13.321537310739513
47,awhile,12.679445242298536
48,nicky,12.569890305834086
49,flowers,12.241486968404256
50,tree,12.221459696207871
51,ashley,11.946191179148558
52,california,11.912966115280646
53,tape,11.888488529132754
54,salad,11.888488529132754
55,sign,11.755445523758413
56,michael,11.682615712256561
57,david,11.682615712256561
58,grown,11.272301745477936
59,pike,11.172300912132101
60,andrew,11.098342740883778
61,brothers,10.82996919570968
62,shoes,10.609091857913793
63,rooms,10.555160794753636
64,suit,10.555160794753636
65,hoped,10.514354141030905
66,pikes,10.20383258308665
67,party,10.190411717199755
68,rose,10.106019305266743
69,gotten,10.05507082091889
70,secret,10.05507082091889
71,cry,9.833929474344343
72,sitter,9.79034585406225
73,beautiful,9.703806725767276
74,likes,9.703806725767276
75,store,9.644793933306401
76,news,9.533185502065747
77,bet,9.533185502065747
78,cat,9.505579763717234
79,giggling,9.46141557936438
80,ride,9.262758482939201
81,grew,9.13936272033415
82,rain,9.076824066420972
83,married,8.977741061793992
84,connecticut,8.93784072970568
85,meetings,8.858632161843989
86,evening,8.819320043424556
87,president,8.780200161071022
88,explain,8.780200161071022
89,jobs,8.780200161071022
90,desk,8.702529648055334
91,den,8.645935585215712
92,clock,8.436471874003475
93,clients,8.401254219357726
94,roll,8.224073952136493
95,mess,8.177830998579593
96,moving,8.068737881462704
97,barn,7.911534971127877
98,named,7.82061063849247
99,lived,7.82061063849247
100,certain,7.815247121133185
101,neither,7.785871113097568
102,loves,7.785871113097568
103,hardly,7.751303141613491
104,yard,7.743817706095274
105,grinned,7.7169050379964865
106,apart,7.673228656617756
107,york,7.648611813378933
108,often,7.6147134420484175
109,quite,7.6147134420484175
110,waited,7.580978436996775
111,present,7.539400567681169
112,imagine,7.480738060573535
113,shrugged,7.480738060573535
114,greeted,7.466406570575406
115,thomas,7.447641072201915
116,ways,7.432508693881204
117,comes,7.414699834940025
118,brewer,7.299169873172944
119,fit,7.266293078585189
120,fashion,7.253608498481427
121,janine,7.2335954499798
122,problems,7.1365582945061945
123,bought,7.072727905275862
124,however,6.983272392130048
125,gets,6.978237763467026
126,pale,6.885549411765196
127,gorgeous,6.821445969619888
128,hugged,6.789699831226596
129,although,6.733305796345494
130,longer,6.733305796345494
131,jewelry,6.664693320199508
132,sense,6.643974121382992
133,doorway,6.633923992327617
134,neat,6.603342857240437
135,repeated,6.585150120803267
136,stairs,6.585150120803267
137,upstairs,6.555952982896228
138,born,6.542736054578713
139,threw,6.526897236041501
140,announced,6.526897236041501
141,signed,6.4989778147021795
142,others,6.497981517425807
143,ahead,6.46920448384485
144,happily,6.453181421746061
145,recently,6.453181421746061
146,yellow,6.423682811110121
147,mine,6.3554570013771645
148,monday,6.327353905502607
149,ones,6.327353905502607
150,eight,6.327353905502607
151,families,6.307398500288785
152,loved,6.307398500288785
153,restaurant,6.242890379642455
154,officer,6.221926333492283
155,ears,6.193757244901004
156,homework,6.110189840032301
157,places,6.082641560977454
158,closer,6.082641560977454
159,pointing,6.082641560977454
160,proud,6.055244232154324
161,allowed,6.000895870969805
162,softly,6.000895870969805
163,doctor,5.944244264566377
164,planned,5.893939921063218
165,date,5.893939921063218
166,handle,5.893939921063218
167,crying,5.893939921063218
168,nannie,5.887100435576471
169,tonight,5.867554635558998
170,played,5.841307856128281
171,angry,5.841307856128281
172,hiding,5.830761476049514
173,terrific,5.815198136222522
174,braddock,5.795695888620438
175,interesting,5.763384201044789
176,wrote,5.763384201044789
177,twenty,5.763384201044789
178,wall,5.763384201044789
179,loudly,5.763384201044789
180,fancy,5.747713510255798
181,cookies,5.747713510255798
182,several,5.7121017002088434
183,tv,5.686656352671488
184,art,5.636150872738968
185,conversation,5.611088163621245
186,managed,5.561336509355406
187,became,5.536645101152493
188,decision,5.508439529412157
189,seventh,5.508439529412157
190,spier,5.487625100669389
191,ideas,5.487625100669389
192,boys,5.487625100669389
193,regular,5.487625100669389
194,myriah,5.463311090316699
195,record,5.463294152413524
196,slightly,5.4571567756959105
197,tough,5.4571567756959105
198,bag,5.41498459785484
199,piece,5.3910037365373755
200,window,5.367137342774085
201,stepsister,5.331754656159607
202,finger,5.331754656159607
203,liked,5.319743623001367
204,excited,5.319743623001367
205,barely,5.319743623001367
206,hide,5.307139193862094
207,million,5.307139193862094
208,street,5.296214167814304
209,besides,5.296214167814304
210,kits,5.258358101486821
211,science,5.215211316444199
212,responsible,5.186284079476108
213,space,5.162545137396849
214,mood,5.115485771078504
215,numbers,5.068973619098028
216,hungry,5.068973619098028
217,gray,5.045918800231028
218,plastic,5.045918800231028
219,hundred,5.022996101395087
220,toys,5.000204016936537
221,giggled,4.955005795920803
222,associate,4.932596773726123
223,ghost,4.89912976947072
224,mall,4.874233361026635
225,note,4.8661132487819625
226,ramsey,4.8661132487819625
227,closet,4.8661132487819625
228,welcome,4.8661132487819625
229,ew,4.849541863617088
230,shannon,4.844195385723459
231,information,4.844195385723459
232,immediately,4.8223969666532005
233,hug,4.8223969666532005
234,hoping,4.8223969666532005
235,interrupted,4.800716696775844
236,linny,4.790366617074273
237,company,4.779153302236338
238,squirt,4.682167784731842
239,wondering,4.652158508978017
240,receiver,4.613199230057745
241,suppose,4.613199230057745
242,possible,4.610707360835831
243,weeks,4.610707360835831
244,kiss,4.590557613151596
245,sad,4.590141762834157
246,downstairs,4.569681360167075
247,ear,4.54932508213719
248,join,4.529071874311002
249,lessons,4.523640340608702
250,charges,4.5016622203324825
251,missed,4.488870530896996
252,somehow,4.488870530896996
253,station,4.479843942345243
254,lunch,4.46892036485284
255,takes,4.46892036485284
256,carefully,4.4490692074843246
257,mad,4.4490692074843246
258,wondered,4.4293160809219945
259,eating,4.409660021712278
260,lit,4.394123825013075
261,row,4.394123825013075
262,earrings,4.394123825013075
263,wonder,4.390100080535511
264,less,4.370635321930819
265,college,4.352165099088856
266,junk,4.351264824027667
267,hate,4.351264824027667
268,tears,4.351264824027667
269,children,4.3319876782838715
270,kishi,4.3319876782838715
271,favorite,4.3319876782838715
272,makeup,4.310785132691848
273,man,4.293709874219268
274,dressed,4.293709874219268
275,notebook,4.293709874219268
276,figure,4.274707463184877
277,supplies,4.269968176524513
278,changed,4.255794898401094
279,brown,4.236971334251443
280,stepped,4.236971334251443
281,practically,4.2182359370017375
282,awful,4.2182359370017375
283,artist,4.209765487372085
284,yup,4.1120369760682465
285,thrilled,4.092867581771933
286,everywhere,4.073819898735957
287,lips,4.073819898735957
288,jumping,4.036083552115377
289,shopping,4.017391902863468
290,leaning,3.998815992119705
291,summer,3.9803543953965703
292,officers,3.9803543953965703
293,pet,3.979436400857945
294,richard,3.979436400857945
295,pictures,3.943768576115116
296,raced,3.943768576115116
297,dumb,3.943768576115116
298,excitement,3.9256416327472277
299,mimi,3.909253761235404
300,lap,3.9076235605665923
301,outfit,3.9076235605665923
302,hasn,3.871908853047637
303,control,3.8542096866660724
304,crossed,3.836614328308878
305,count,3.836614328308878
306,oldest,3.8191215673764987
307,decide,3.8191215673764987
308,lately,3.8191215673764987
309,crowd,3.8017302143235208
310,carrying,3.7844391001732705
311,boo,3.77587101223806
312,wears,3.7501530127024028
313,happening,3.7331558000953704
314,confused,3.7331558000953704
315,sam,3.716254346940602
316,smart,3.716254346940602
317,low,3.6994475802945925
318,amazing,3.6994475802945925
319,stories,3.6661139040193804
320,forever,3.6661139040193804
321,ourselves,3.6661139040193804
322,dog,3.649584936586472
323,genius,3.649584936586472
324,spot,3.649584936586472
325,bruno,3.6331465392925946
326,trip,3.6167977249899
327,bathroom,3.6167977249899
328,luck,3.6167977249899
329,office,3.6005375225818828
330,learned,3.6005375225818828
331,treasurer,3.5682791472530972
332,including,3.55227910932701
333,um,3.536363952637931
334,step,3.536363952637931
335,neighborhood,3.536363952637931
336,nearly,3.520532781335399
337,nobody,3.504784713676968
338,unless,3.504784713676968
339,mansion,3.504784713676968
340,covered,3.489118881733513
341,works,3.489118881733513
342,quietly,3.4735344311022005
343,jeans,3.4426063221256173
344,junior,3.4426063221256173
345,single,3.4426063221256173
346,movie,3.4426063221256173
347,body,3.4426063221256173
348,eighth,3.4426063221256173
349,water,3.3968039057332517
350,worse,3.3968039057332517
351,extra,3.3968039057332517
352,math,3.366652898172747
353,staring,3.35169027363963
354,plan,3.35169027363963
355,usual,3.35169027363963
356,age,3.35169027363963
