,term,score
0,mary,369.095644487652
1,richard,193.00266544161033
2,kristy,157.09549927204424
3,stacey,95.75538521402461
4,mal,83.25984676923895
5,vanessa,77.84543636127162
6,jeff,73.08633548983184
7,jessi,73.0848550211839
8,claire,61.600009177239855
9,claudia,59.58112857761532
10,claud,55.2082420129222
11,margo,48.65339772579477
12,pike,44.689203648528405
13,doctor,41.60970985196464
14,tigger,37.17982095439768
15,nicky,36.31301643907625
16,pikes,32.06918811827233
17,mallory,26.933223185381976
18,wedding,25.555812087927745
19,logan,22.196969853287467
20,myriah,21.853244361266796
21,bsc,21.798879235755567
22,breakfast,21.25086707198028
23,dinner,21.091179685008687
24,upstairs,19.667858948688686
25,ghost,19.59651907788288
26,triplets,19.448565298035405
27,charlie,18.525516965878403
28,sisters,17.955482123587984
29,stepsister,17.32820263251872
30,clean,17.059969058014463
31,hospital,16.915063843545067
32,jenny,16.283333059351293
33,exclaimed,16.13747576292541
34,clock,15.818384763756516
35,married,15.711046858139486
36,share,15.50889675693633
37,space,15.487635412190548
38,sick,15.433810075992973
39,sitter,15.229426884096835
40,radio,14.766592166151225
41,monday,14.763825779506082
42,secret,14.523991185771731
43,music,14.067585870465885
44,likes,14.016609714997175
45,barn,13.845186199473785
46,bedroom,13.77042528850247
47,desk,13.053794472083002
48,dance,12.847365622220241
49,emergency,12.809904529573538
50,awhile,12.679445242298536
51,gotten,12.28953100334531
52,homework,12.220379680064601
53,immediately,12.055992416633002
54,admit,11.755445523758413
55,tonight,11.735109271117995
56,sitters,11.703435970603008
57,gets,11.630396272445044
58,sleep,11.526768402089578
59,moving,11.526768402089578
60,gabbie,11.1317953581836
61,scared,11.04820333543868
62,eating,11.024150054280694
63,newton,11.013405123610283
64,repeated,10.975250201338778
65,jobs,10.975250201338778
66,driveway,10.516716202973642
67,movie,10.327818966376853
68,van,10.31913086291347
69,watson,10.281783060375918
70,accident,10.155051897873998
71,stairs,9.8777251812049
72,wonder,9.8777251812049
73,mimi,9.77313440308851
74,boyfriend,9.660847216993353
75,spoke,9.660847216993353
76,coffee,9.639769176471274
77,pay,9.57553852140246
78,comes,9.533185502065747
79,cat,9.505579763717234
80,eight,9.49103085825391
81,sleeping,9.272026056426807
82,settled,9.180283525668314
83,tv,9.09865016427438
84,extra,9.058143748622005
85,evening,8.819320043424556
86,president,8.780200161071022
87,sam,8.671260142861405
88,bell,8.671260142861405
89,california,8.663975356567743
90,lucy,8.631420488923883
91,thomas,8.511589796802188
92,besides,8.473942668502886
93,fight,8.401254219357726
94,moments,8.379926870556057
95,shrieked,8.224073952136493
96,ring,8.177830998579593
97,carol,8.120888797703934
98,broken,8.072167104230754
99,ear,7.961318893740082
100,longer,7.855523429069743
101,connecticut,7.82061063849247
102,usual,7.82061063849247
103,catch,7.82061063849247
104,sunday,7.779426119214162
105,afraid,7.751303141613491
106,member,7.7169050379964865
107,york,7.648611813378933
108,boo,7.55174202447612
109,game,7.547405231152325
110,light,7.51399227988372
111,closet,7.299169873172944
112,jordan,7.288451845061893
113,problems,7.1365582945061945
114,fifteen,7.10455821865402
115,pencil,7.082943466634134
116,michael,7.009569427353936
117,david,7.009569427353936
118,however,6.983272392130048
119,yup,6.853394960113743
120,tough,6.821445969619888
121,young,6.763381047286761
122,math,6.733305796345494
123,lived,6.70338054727926
124,mad,6.673603811226487
125,stayed,6.614490032568417
126,neat,6.603342857240437
127,bike,6.5994014992264844
128,leaving,6.585150120803267
129,spier,6.585150120803267
130,kits,6.572947626858526
131,record,6.555952982896228
132,glanced,6.555952982896228
133,drive,6.555952982896228
134,quite,6.526897236041501
135,french,6.4989778147021795
136,favorite,6.497981517425807
137,surprise,6.46920448384485
138,recently,6.453181421746061
139,organized,6.423682811110121
140,spend,6.412061194777316
141,sports,6.39435721384813
142,worked,6.383692347601641
143,boxes,6.365202612294164
144,drove,6.365202612294164
145,lately,6.365202612294164
146,news,6.3554570013771645
147,taken,6.327353905502607
148,climbed,6.250255021170671
149,weather,6.212002195266814
150,giggled,6.193757244901004
151,terrible,6.165745967157655
152,dues,6.137890741910378
153,stupid,6.137890741910378
154,blood,6.120743484202128
155,soda,6.090780797285499
156,places,6.082641560977454
157,fit,6.055244232154324
158,present,6.031520454144935
159,study,6.002216293776644
160,relieved,6.000895870969805
161,office,6.000895870969805
162,karen,6.000895870969805
163,shy,5.973941627795423
164,treasurer,5.947131912088496
165,tape,5.944244264566377
166,fair,5.920465182211684
167,planned,5.893939921063218
168,silence,5.893939921063218
169,byron,5.8588317666841006
170,adam,5.830761476049514
171,woman,5.789224051837001
172,thinks,5.763384201044789
173,needs,5.763384201044789
174,wall,5.763384201044789
175,jamie,5.729026478266308
176,several,5.7121017002088434
177,lucky,5.686656352671488
178,silly,5.611088163621245
179,writing,5.611088163621245
180,dying,5.586617913704038
181,luckily,5.586617913704038
182,charge,5.586150456066051
183,neither,5.561336509355406
184,driving,5.560388311519402
185,meetings,5.536645101152493
186,daughter,5.534329587434627
187,ideas,5.487625100669389
188,nine,5.4390810300345835
189,often,5.4390810300345835
190,announced,5.4390810300345835
191,mcgill,5.41498459785484
192,closed,5.41498459785484
193,kishi,5.41498459785484
194,brothers,5.41498459785484
195,notebook,5.367137342774085
196,forward,5.367137342774085
197,mama,5.365730761977835
198,crowded,5.3565225371512915
199,putting,5.343384328981097
200,imagine,5.343384328981097
201,jewelry,5.331754656159607
202,sighed,5.319743623001367
203,younger,5.319743623001367
204,barely,5.319743623001367
205,mine,5.296214167814304
206,awful,5.272794921252172
207,headed,5.272794921252172
208,practically,5.272794921252172
209,science,5.215211316444199
210,noise,5.210164747422123
211,den,5.1875613511294265
212,pizza,5.186284079476108
213,fault,5.162545137396849
214,yard,5.162545137396849
215,wore,5.092162089835331
216,rose,5.053009652633372
217,families,5.045918800231028
218,careful,5.022996101395087
