,term,score
0,susan,1193.195175585129
1,james,199.02536860031
2,mal,99.91181612308672
3,ben,75.84992874635924
4,mary,72.76456991327997
5,claudia,71.28456454821833
6,jessi,70.72727905275862
7,stacey,61.70902602681586
8,claud,55.2082420129222
9,music,44.760500496936906
10,emily,43.55348433444598
11,song,33.05063717647294
12,karen,31.204658529042984
13,david,30.374800851867057
14,michael,30.374800851867057
15,bsc,29.065172314340757
16,kristy,27.785598510701703
17,boys,26.340600483213066
18,charlie,23.156896207348005
19,nannie,22.076626633411767
20,claire,18.74782888002952
21,jenny,18.60952349640148
22,class,18.08712831820465
23,mallory,17.955482123587984
24,played,17.52392356838484
25,brothers,17.327950713135486
26,teacher,17.186094077349058
27,yard,15.487635412190548
28,watson,14.851464420542994
29,news,14.82939966988005
30,andrew,14.79779032117837
31,teachers,14.576903690123785
32,neighborhood,14.145455810551724
33,exclaimed,13.832122082507492
34,sam,13.626265938782208
35,drew,13.526762094573522
36,children,12.995963034851615
37,street,12.710914002754329
38,eight,12.654707811005213
39,dress,12.622889847793932
40,nicky,12.569890305834086
41,month,12.278602745315798
42,learn,12.055992416633002
43,window,11.807702154102987
44,born,11.776924898241683
45,sitters,11.703435970603008
46,logan,11.682615712256561
47,tall,11.61572655914291
48,awhile,11.526768402089578
49,boo,11.32761303671418
50,sisters,11.22217632724249
51,bell,11.148763040821807
52,vanessa,11.120776623038804
53,wondered,11.073290202304985
54,themselves,10.998341712058142
55,jobs,10.975250201338778
56,shannon,10.899439617877784
57,sitter,10.878162060069167
58,game,10.782007473074751
59,man,10.73427468554817
60,younger,10.639487246002734
61,backyard,10.452969198805569
62,child,10.325090274793698
63,matt,10.31913086291347
64,doorbell,10.058498642947646
65,staring,10.05507082091889
66,led,10.010405716839731
67,became,9.965961182074487
68,record,9.833929474344343
69,piece,9.703806725767276
70,spoke,9.660847216993353
71,continued,9.49103085825391
72,babies,9.272026056426807
73,send,9.202126677601937
74,reach,9.13936272033415
75,himself,9.058143748622005
76,entered,9.034453990444486
77,heads,8.993155935554169
78,feelings,8.952100099387382
79,pike,8.93784072970568
80,repeated,8.780200161071022
81,ears,8.671260142861405
82,others,8.663975356567743
83,den,8.645935585215712
84,pink,8.593047038674529
85,barely,8.511589796802188
86,margo,8.340582467279102
87,date,8.251515889488505
88,yup,8.224073952136493
89,tree,8.147639797471914
90,twenty,8.068737881462704
91,names,7.855523429069743
92,although,7.855523429069743
93,silly,7.855523429069743
94,space,7.743817706095274
95,grinned,7.7169050379964865
96,control,7.708419373332145
97,wonderful,7.682675140937144
98,president,7.682675140937144
99,spier,7.682675140937144
100,desk,7.6147134420484175
101,california,7.580978436996775
102,sweater,7.576301104169282
103,likes,7.547405231152325
104,light,7.51399227988372
105,stepped,7.414699834940025
106,amazing,7.398895160589185
107,sixth,7.365468890292453
108,row,7.323539708355126
109,fit,7.266293078585189
110,immediately,7.2335954499798
111,learned,7.2010750451637655
112,problems,7.1365582945061945
113,um,7.072727905275862
114,strong,7.016275812286807
115,nobody,7.009569427353936
116,gets,6.978237763467026
117,daughter,6.9179119842932835
118,sad,6.885212644251235
119,several,6.854522040250613
120,whose,6.853394960113743
121,tv,6.823987623205785
122,tired,6.823987623205785
123,locker,6.808144511908765
