,term,score
0,emily,247.63266807299289
1,kristy,170.9882985273951
2,stacey,122.35410332903145
3,janine,97.6535385747273
4,gabbie,80.7055163468311
5,myriah,76.48635526443378
6,david,68.92743270231371
7,michael,68.92743270231371
8,mary,55.891626165273024
9,peaches,48.309401881762085
10,mimi,46.911045134824846
11,born,45.79915238205099
12,hannie,39.83095844123163
13,pictures,39.43768576115116
14,claudia,39.366102810210116
15,jessi,30.648487589528735
16,teachers,29.15380738024757
17,krushers,28.80456180601048
18,brewer,27.980151180496286
19,nannie,27.963727068988238
20,doctor,25.263038124407103
21,watson,22.848406800835374
22,desk,22.84414032614525
23,library,22.618201703043507
24,science,20.860845265776796
25,bart,20.49660245592678
26,cookies,20.11699728589529
27,papadakis,19.809245646865612
28,box,19.493944552277423
29,bsc,19.376781542893838
30,teacher,18.413672225731133
31,student,17.168691428825138
32,news,16.947885337005772
33,linny,16.766283159759958
34,charlie,16.2098273451436
35,woman,16.2098273451436
36,key,15.98529690117822
37,dinner,15.818384763756516
38,game,15.09481046230465
39,thomas,14.89528214440383
40,mal,14.273116589012389
41,yellow,14.132102184442266
42,den,13.833496936345139
43,dr,13.688038383679615
44,michelle,13.642891939239776
45,smart,13.626265938782208
46,stace,13.474692407022324
47,green,13.40676109455852
48,chocolate,13.391306342878229
49,problems,13.08369020659469
50,exclaimed,12.679445242298536
51,thirteen,12.454947654355257
52,art,12.399531920025728
53,handed,12.019247135309753
54,claud,12.00179174193961
55,practice,11.94106318618971
56,ring,11.682615712256561
57,awhile,11.526768402089578
58,names,11.22217632724249
59,genius,10.948754809759416
60,shannon,10.899439617877784
61,proud,10.899439617877784
62,karen,10.801612567745648
63,hospital,10.764131536801406
64,forward,10.73427468554817
65,ball,10.663509312319214
66,sitters,10.639487246002734
67,class,10.639487246002734
68,street,10.592428335628608
69,clock,10.545589842504343
70,monday,10.545589842504343
71,certainly,10.372568158952216
72,several,10.281783060375918
73,asleep,10.184324179670663
74,college,10.155051897873998
75,gotten,10.05507082091889
76,bike,9.899102248839727
77,boys,9.8777251812049
78,ideas,9.8777251812049
79,upstairs,9.833929474344343
80,york,9.833929474344343
81,kishi,9.746972276138711
82,brothers,9.746972276138711
83,light,9.660847216993353
84,allowed,9.601433393551687
85,logan,9.346092569805249
