,term,score
0,alex,200.74148179131032
1,vanessa,130.66912532070594
2,stacey,126.60989822743254
3,sea,78.64750812075113
4,jackie,78.06608126755182
5,kristy,73.73870373993914
6,mal,68.98673018022654
7,pike,67.03380547279261
8,beach,65.0125484909281
9,claire,64.2782704458155
10,margo,50.04349480367462
11,pool,49.651562811641334
12,cream,48.658708693873955
13,archie,45.60871147681159
14,jessi,42.43636743165517
15,shea,41.65413245724278
16,carol,37.897481055951694
17,ice,36.80850671040775
18,logan,36.21610870799534
19,sharon,34.4919314523997
20,becca,33.20742890758937
21,counter,28.789944195843272
22,mallory,28.055440818106227
23,mary,26.36397460626086
24,charlotte,24.603729226974643
25,jeff,23.536277530623813
26,nicky,22.346471654816153
27,adam,21.865355535185678
28,pikes,21.865355535185678
29,tonight,21.123196688012392
30,sun,20.75373595287985
31,squirt,20.28939373383798
32,triplets,19.448565298035405
33,jordan,18.949974797160923
34,vacation,17.963475821392638
35,candy,16.9330354291219
36,boys,16.462875302008165
37,rodowsky,15.637015044941617
38,california,15.16195687399355
39,bedroom,14.917960729211009
40,claudia,14.89528214440383
41,headed,14.763825779506082
42,silly,14.588829225415237
43,yelled,14.20911643730804
44,favorite,14.078959954422583
45,water,13.587215622933007
46,evening,13.228980065136835
47,date,12.96666782633908
48,tigger,12.932111636312236
49,weeks,12.679445242298536
50,restaurant,12.48578075928491
51,porch,12.181561594570997
52,suit,12.06304090828987
53,glanced,12.019247135309753
54,cards,11.66861365716145
55,dinner,11.600148826754777
56,wonderful,10.975250201338778
57,hugged,10.863519729962553
58,game,10.782007473074751
59,notebook,10.73427468554817
60,edge,10.614278387724188
61,town,10.592428335628608
62,eight,10.545589842504343
63,paused,10.277892497776193
64,schafer,10.235981434808677
65,stared,10.099958694518241
66,trip,9.644793933306401
67,immediately,9.644793933306401
68,crying,9.430303873701149
69,quick,9.304317017956034
70,garden,9.17783760300857
71,happily,9.034453990444486
72,yellow,8.993155935554169
73,conversation,8.977741061793992
74,station,8.959687884690487
75,asleep,8.911283657211829
76,grinned,8.819320043424556
77,byron,8.78824765002615
78,breakfast,8.75035702963894
79,sitter,8.702529648055334
80,likes,8.6256059784598
81,pink,8.593047038674529
