,term,score
0,charlotte,355.2163407144464
1,kristy,137.8593156877123
2,claud,92.41379641293499
3,gabbie,58.4419256304639
4,myriah,57.36476644832534
5,mystery,41.890071772725896
6,mary,41.12780038576694
7,claudia,39.366102810210116
8,stacey,31.918461738008205
9,dr,29.08708156531918
10,nicky,27.93308956852019
11,mal,27.35680679560708
12,sick,26.45796013027367
13,mallory,24.68878791993348
14,awhile,24.206213644388114
15,library,24.12608181657974
16,scared,23.323984819259437
17,karen,22.803404309685256
18,sitters,22.342923216605744
19,johanssen,20.595290200170503
20,scary,20.310103795747995
21,claire,20.086959514317343
22,jessi,20.039395731614942
23,boo,18.8793550611903
24,war,18.45824020768903
25,gotten,17.87568145941136
26,york,17.482541287723276
27,window,17.174839496877073
28,stories,17.10853155209044
29,town,16.947885337005772
30,weekend,16.50303177897701
31,desk,16.31724309010375
32,favorite,16.24495379356452
33,fire,16.189526197835296
34,game,16.173011209612127
35,watson,15.993884760584763
36,charlie,15.051982534776203
37,man,15.02798455976744
38,dinner,14.763825779506082
39,adam,14.576903690123785
40,jenny,13.95714262230111
41,vanessa,13.900970778798506
42,ground,13.81323927883649
43,emily,13.688237933683023
44,loves,13.347207622452974
45,dream,13.119213321111408
46,jordan,13.119213321111408
47,movie,12.622889847793932
48,margo,12.510873700918655
49,sam,12.387514489802008
50,pike,12.28953100334531
51,doctor,11.888488529132754
52,stace,11.790355856144533
53,pikes,11.661522952099029
54,gets,11.630396272445044
55,sleep,11.526768402089578
56,ghost,11.43130279543168
57,lived,11.172300912132101
58,pink,11.04820333543868
59,couch,11.016879058824314
60,diabetes,10.762889472307672
61,windows,10.762889472307672
62,porch,10.658866395249623
63,david,10.514354141030905
64,michael,10.514354141030905
65,visit,10.420603293306602
66,byron,10.252955591697177
67,laine,10.12803768464659
68,silly,10.099958694518241
69,sang,10.010716887454846
70,train,10.001668848995529
71,meetings,9.965961182074487
72,emergency,9.963259078557195
73,round,9.916120853287788
74,area,9.916120853287788
75,andrew,9.865193547452247
76,sitter,9.79034585406225
77,brothers,9.746972276138711
78,waited,9.746972276138711
79,street,9.533185502065747
80,yelled,9.472744291538694
81,nobody,9.346092569805249
82,woman,9.262758482939201
83,driveway,9.202126677601937
84,flowers,9.181115226303191
85,downstairs,9.13936272033415
86,its,8.780200161071022
87,popcorn,8.738530824051898
88,bag,8.663975356567743
89,woke,8.662807541110269
90,dressed,8.587419748438537
91,pay,8.511589796802188
92,grabbed,8.511589796802188
93,shannon,8.477341925016054
94,strange,8.4391946916431
95,headed,8.436471874003475
96,awful,8.436471874003475
97,played,8.177830998579593
98,major,8.109784782312325
99,ew,8.082569772695148
100,shopping,8.034783805726937
101,settled,8.032748084959774
102,sad,8.032748084959774
103,tv,7.961318893740082
104,sisters,7.855523429069743
105,lap,7.815247121133185
106,filled,7.7169050379964865
107,president,7.682675140937144
108,jobs,7.682675140937144
109,record,7.648611813378933
110,upstairs,7.648611813378933
111,box,7.580978436996775
112,careful,7.5344941520926305
113,spoke,7.51399227988372
114,happening,7.466311600190741
115,helped,7.414699834940025
116,clue,7.342270082406856
117,homework,7.332227808038761
118,lit,7.323539708355126
119,mommy,7.301660596550784
120,throat,7.2335954499798
121,office,7.2010750451637655
122,neighborhood,7.072727905275862
123,bowl,6.983272392130048
124,quietly,6.947068862204401
125,milk,6.9179119842932835
126,building,6.853394960113743
127,tired,6.823987623205785
128,hot,6.823987623205785
129,hugged,6.789699831226596
130,drew,6.763381047286761
131,usual,6.70338054727926
132,teeth,6.6956531714391145
133,ben,6.69264077173758
134,cards,6.667779232663685
135,neat,6.603342857240437
136,stairs,6.585150120803267
137,kits,6.572947626858526
138,checked,6.526897236041501
139,kishi,6.497981517425807
140,children,6.497981517425807
141,mcgill,6.497981517425807
142,sunday,6.4828550993451355
143,triplets,6.4828550993451355
144,spent,6.412061194777316
145,liked,6.383692347601641
146,excited,6.383692347601641
147,warm,6.365202612294164
148,asleep,6.365202612294164
149,wore,6.365202612294164
150,taken,6.327353905502607
151,clock,6.327353905502607
152,loved,6.307398500288785
153,feels,6.250255021170671
154,breakfast,6.250255021170671
155,bottle,6.242890379642455
156,sleeping,6.1813507042845375
157,terrible,6.165745967157655
158,color,6.137890741910378
159,brewer,6.082641560977454
160,spot,6.082641560977454
161,games,6.055244232154324
162,hug,6.027996208316501
163,missing,6.000895870969805
164,allowed,6.000895870969805
165,normal,6.000895870969805
166,houses,5.944244264566377
167,crying,5.893939921063218
168,singing,5.802886798785141
169,dress,5.737677203542696
170,jamie,5.729026478266308
171,card,5.693290902032683
172,forgotten,5.686656352671488
173,hat,5.666354773307307
174,totally,5.6613398428887525
175,carried,5.63959882070412
176,young,5.636150872738968
177,reminded,5.636150872738968
178,kinds,5.613020649829446
179,bus,5.5999743230152355
180,luckily,5.586617913704038
181,carefully,5.561336509355406
182,stayed,5.512075027140347
183,nervous,5.512075027140347
184,questions,5.512075027140347
185,newton,5.506702561805142
186,ideas,5.487625100669389
187,explain,5.487625100669389
188,known,5.487625100669389
189,drive,5.463294152413524
190,cry,5.463294152413524
191,gorgeous,5.4571567756959105
192,history,5.4571567756959105
193,rain,5.446094439852583
194,deal,5.3910037365373755
195,beautiful,5.3910037365373755
196,definitely,5.367137342774085
197,forth,5.3565225371512915
198,figure,5.343384328981097
199,tomorrow,5.343384328981097
200,ball,5.331754656159607
201,class,5.319743623001367
202,worked,5.319743623001367
203,besides,5.296214167814304
204,news,5.296214167814304
205,eight,5.272794921252172
206,ones,5.272794921252172
207,calling,5.272794921252172
208,ice,5.258358101486821
209,dumb,5.258358101486821
210,snack,5.210164747422123
211,recently,5.162545137396849
212,classes,5.162545137396849
213,throw,5.162545137396849
214,lately,5.092162089835331
215,invited,4.977541066793827
216,legs,4.932596773726123
217,dues,4.910312593528302
218,truth,4.910312593528302
219,kit,4.874233361026635
220,note,4.8661132487819625
221,tuesday,4.8223969666532005
222,offered,4.800716696775844
223,relieved,4.800716696775844
224,track,4.779153302236338
225,purple,4.729043738441083
226,logan,4.673046284902624
227,cheese,4.659001646450111
228,clear,4.631379241469601
229,ate,4.610707360835831
230,twenty,4.610707360835831
231,nose,4.590141762834157
232,interested,4.569681360167075
233,grew,4.569681360167075
234,horse,4.545780662501569
235,james,4.523303831825228
236,grown,4.508920698191174
237,missed,4.488870530896996
238,names,4.488870530896996
239,math,4.488870530896996
240,age,4.46892036485284
241,none,4.46892036485284
242,listened,4.4490692074843246
243,wondered,4.4293160809219945
244,hardly,4.4293160809219945
245,nannie,4.415325326682353
246,safe,4.415325326682353
247,member,4.409660021712278
248,plenty,4.409660021712278
249,leaned,4.409660021712278
250,regular,4.390100080535511
251,wonder,4.390100080535511
252,prezzioso,4.372856989350053
253,waved,4.370635321930819
254,seat,4.370635321930819
255,hate,4.351264824027667
256,eye,4.3319876782838715
257,others,4.3319876782838715
258,likes,4.3128029892299
259,imagine,4.274707463184877
260,apartment,4.26015111624779
261,changed,4.255794898401094
262,jacket,4.24976607998048
263,exciting,4.24976607998048
264,explained,4.236971334251443
265,bet,4.236971334251443
266,sun,4.15074719057597
267,coffee,4.131329647059117
268,nancy,4.1120369760682465
269,michelle,4.092867581771933
270,honey,4.092867581771933
271,thrilled,4.092867581771933
272,uncle,4.077016729196808
273,wished,4.073819898735957
274,cream,4.054892391156162
275,horrible,4.054892391156162
276,snow,4.052171689199694
277,spotted,4.017391902863468
278,dead,4.017391902863468
279,finger,3.998815992119705
280,main,3.998815992119705
281,doorway,3.9803543953965703
282,flew,3.9803543953965703
283,officers,3.9803543953965703
284,lay,3.9620057143442624
285,sea,3.932375406037556
286,mimi,3.909253761235404
287,noise,3.9076235605665923
288,paid,3.9076235605665923
289,certain,3.9076235605665923
290,boring,3.9076235605665923
291,gasped,3.889713059607081
292,schedule,3.871908853047637
293,control,3.8542096866660724
294,mood,3.836614328308878
295,count,3.836614328308878
296,thoughts,3.836614328308878
297,drove,3.8191215673764987
298,crowd,3.8017302143235208
299,stick,3.8017302143235208
300,disappeared,3.7844391001732705
301,carrying,3.7844391001732705
302,ballet,3.7501530127024028
303,thursday,3.7501530127024028
304,ears,3.716254346940602
305,somewhere,3.716254346940602
306,seriously,3.6994475802945925
307,audience,3.6916480415378063
308,themselves,3.6661139040193804
309,forever,3.6661139040193804
310,ourselves,3.6661139040193804
311,promised,3.6661139040193804
312,ramsey,3.649584936586472
313,using,3.649584936586472
314,shaking,3.649584936586472
315,bsc,3.6331465392925946
316,proud,3.6331465392925946
317,sight,3.6167977249899
318,faces,3.6167977249899
319,trip,3.6167977249899
320,keeping,3.6167977249899
321,wide,3.6005375225818828
322,picnic,3.5911243719760297
323,drop,3.5843649766772536
324,shy,3.5843649766772536
325,company,3.5843649766772536
326,treasurer,3.5682791472530972
327,problems,3.5682791472530972
328,pushed,3.55227910932701
329,planned,3.536363952637931
330,shoes,3.536363952637931
331,tiny,3.536363952637931
332,calm,3.536363952637931
333,handle,3.536363952637931
334,mention,3.520532781335399
335,hoped,3.504784713676968
336,mansion,3.504784713676968
337,angry,3.504784713676968
338,works,3.489118881733513
339,wild,3.489118881733513
340,terrific,3.489118881733513
341,absolutely,3.489118881733513
342,birthday,3.4768075442961326
343,ride,3.4735344311022005
344,bunch,3.4735344311022005
345,interesting,3.458030520626873
346,kidding,3.458030520626873
347,finish,3.458030520626873
348,bedroom,3.4426063221256173
349,entire,3.4272610201253064
350,completely,3.4272610201253064
351,lucky,3.4119938116028923
352,hanging,3.4119938116028923
353,water,3.3968039057332517
354,pair,3.3968039057332517
355,daddy,3.368673101755581
356,wow,3.366652898172747
357,longer,3.366652898172747
358,stared,3.366652898172747
359,catch,3.35169027363963
360,takes,3.35169027363963
361,secret,3.35169027363963
362,plan,3.35169027363963
363,mad,3.3368019056132434
364,puppy,3.3338896163318426
365,afraid,3.321987060691496
366,became,3.321987060691496
367,starting,3.3072450162842086
368,evening,3.3072450162842086
369,bike,3.2997007496132422
370,raised,3.2925750604016333
371,divorced,3.2925750604016333
372,glanced,3.277976491448114
373,handed,3.277976491448114
374,fortunately,3.26608651298048
375,quite,3.2634486180207505
376,junk,3.2634486180207505
377,guy,3.2489907587129037
378,picture,3.2489907587129037
379,california,3.2489907587129037
380,closed,3.2489907587129037
381,piece,3.234602241922425
382,ahead,3.234602241922425
383,tigger,3.233027909078059
384,notebook,3.2202824056644515
385,forward,3.2202824056644515
386,boyfriend,3.2202824056644515
387,sign,3.206030597388658
388,younger,3.1918461738008204
389,brown,3.1777285006885823
390,mine,3.1777285006885823
391,monday,3.1636769527513033
392,lines,3.152695825627389
393,squirt,3.1214451898212277
394,suppose,3.0754661533718304
395,hospital,3.0754661533718304
396,blood,3.060371742101064
397,soda,3.0453903986427493
398,sweater,3.0305204416677127
399,rooms,3.0157602270724677
400,suit,3.0157602270724677
401,lessons,3.0157602270724677
402,page,2.9865626282301623
403,road,2.9865626282301623
404,excellent,2.9577851533259634
405,shop,2.9435502177882356
406,seats,2.9435502177882356
407,row,2.9294158833420503
408,earrings,2.9294158833420503
409,jump,2.915380738024757
410,doors,2.9014433993925706
411,paint,2.9014433993925706
412,pack,2.887602513703423
413,becca,2.887602513703423
414,example,2.887602513703423
415,supplies,2.8466454510163417
416,waving,2.8331773866536536
417,bored,2.806510324914723
418,beat,2.793308956852019
419,dying,2.793308956852019
420,concerned,2.780194155759701
