,term,score
0,jackie,328.27788020201285
1,cecelia,269.8513107690764
2,aunt,265.11213744245555
3,mama,244.1407496699915
4,becca,141.49252317146772
5,daddy,139.79993372285662
6,kristy,101.52430225064084
7,project,83.20212000122952
8,science,79.96657351881105
9,stacey,71.28456454821833
10,squirt,63.989626391335165
11,mal,61.85017188572036
12,charlotte,59.971589990750694
13,fair,53.28418663990515
14,jessi,44.79394340008046
15,archie,42.92584609582268
16,margo,38.92271818063581
17,mary,34.800446480264334
18,david,33.879585565544026
19,michael,33.879585565544026
20,library,30.157602270724677
21,claudia,29.79056428880766
22,shea,29.402917028641966
23,sitter,28.283221356179837
24,claud,27.6041210064611
25,bsc,25.43202577504816
26,rodowsky,25.410149448030126
27,emily,24.887705333969134
28,music,24.29855741262289
29,nicky,22.346471654816153
30,win,21.63472746499588
31,sign,21.373537315924388
32,vanessa,20.851456168197757
33,exclaimed,20.74818312376124
34,mallory,20.199917389036482
35,box,18.410947632706453
36,charge,15.64122127698494
37,mention,15.255642052453394
38,awhile,14.98479892271645
39,sitters,14.89528214440383
40,driveway,14.460484779088757
41,pike,13.40676109455852
42,boys,13.170300241606533
43,upstairs,13.111905965792456
44,emergency,12.809904529573538
45,himself,12.454947654355257
46,earth,12.221459696207871
47,desk,11.965978266076084
48,rules,11.886017143032788
49,responsible,11.669139178821244
50,jordan,11.661522952099029
51,clock,11.600148826754777
52,eight,11.600148826754777
53,several,11.424203400417687
54,pleased,11.386581804065367
55,building,10.96543193618199
56,rain,10.892188879705166
57,cream,10.813046376416434
58,claire,10.713045074302583
59,rock,10.452969198805569
60,paused,10.277892497776193
61,adam,10.20383258308665
62,sang,10.010716887454846
63,glass,9.865193547452247
64,places,9.732226497563925
65,song,9.639769176471274
66,comes,9.533185502065747
67,everywhere,9.505579763717234
68,johanssen,9.505518553924848
69,dinner,9.49103085825391
70,um,9.430303873701149
71,born,9.159830476410198
72,entered,9.034453990444486
73,lived,8.93784072970568
74,questions,8.819320043424556
75,byron,8.78824765002615
76,president,8.780200161071022
77,ballet,8.75035702963894
78,children,8.663975356567743
79,den,8.645935585215712
80,impressed,8.580614474961298
81,bet,8.473942668502886
82,awful,8.436471874003475
83,kinds,8.41953097474417
84,allowed,8.401254219357726
85,yup,8.224073952136493
86,hoped,8.177830998579593
87,unless,8.177830998579593
88,bunch,8.1049136725718
89,thinks,8.068737881462704
90,soccer,8.006777565902752
91,watson,7.996942380292381
92,gotten,7.82061063849247
93,mimi,7.818507522470808
94,dance,7.708419373332145
95,leaving,7.682675140937144
96,glanced,7.648611813378933
97,announced,7.6147134420484175
98,quite,7.6147134420484175
99,others,7.580978436996775
100,waited,7.580978436996775
101,mcgill,7.580978436996775
102,brothers,7.580978436996775
103,kishi,7.580978436996775
104,likes,7.547405231152325
105,lessons,7.539400567681169
106,excited,7.447641072201915
107,continued,7.381912889753041
108,monday,7.381912889753041
109,nannie,7.358875544470589
110,fire,7.358875544470589
111,homework,7.332227808038761
112,pointing,7.299169873172944
113,pikes,7.288451845061893
114,cookies,7.1846418878197476
115,problems,7.1365582945061945
116,basement,7.104576400523653
117,mess,7.009569427353936
118,works,6.978237763467026
119,moving,6.916061041253746
120,island,6.880218533919479
121,downstairs,6.854522040250613
122,dr,6.8440191918398074
123,ear,6.823987623205785
124,speak,6.7936078114665035
125,although,6.733305796345494
126,upset,6.614490032568417
127,bike,6.5994014992264844
128,repeated,6.585150120803267
129,ideas,6.585150120803267
130,jobs,6.585150120803267
131,york,6.555952982896228
132,california,6.497981517425807
133,picture,6.497981517425807
134,certainly,6.4828550993451355
135,triplets,6.4828550993451355
136,deal,6.46920448384485
137,light,6.440564811328903
138,worked,6.383692347601641
139,mine,6.3554570013771645
140,practically,6.327353905502607
141,giggled,6.193757244901004
142,smart,6.193757244901004
143,matt,6.191478517748083
144,dues,6.137890741910378
145,stories,6.110189840032301
146,rooms,6.031520454144935
147,stamford,6.031520454144935
148,luck,6.027996208316501
149,office,6.000895870969805
150,helping,5.947131912088496
151,haley,5.933651228345908
152,weekend,5.893939921063218
153,logan,5.841307856128281
154,nose,5.737677203542696
155,settled,5.737677203542696
156,buy,5.737677203542696
157,admitted,5.720409649974198
158,completely,5.7121017002088434
159,grew,5.7121017002088434
160,card,5.693290902032683
161,pencil,5.666354773307307
162,jacket,5.666354773307307
163,softball,5.613020649829446
164,connecticut,5.586150456066051
165,meetings,5.536645101152493
166,sun,5.534329587434627
167,third,5.512075027140347
168,wonderful,5.487625100669389
169,wonder,5.487625100669389
170,nancy,5.482715968090995
171,nope,5.482715968090995
172,record,5.463294152413524
173,tough,5.4571567756959105
174,honey,5.4571567756959105
175,prepared,5.431759864981276
176,closed,5.41498459785484
177,game,5.3910037365373755
178,ahead,5.3910037365373755
179,slipped,5.3565225371512915
180,crowded,5.3565225371512915
181,changed,5.319743623001367
182,class,5.319743623001367
183,doorway,5.307139193862094
184,explained,5.296214167814304
185,town,5.296214167814304
186,helped,5.296214167814304
187,ones,5.272794921252172
188,tea,5.271287715480657
189,kits,5.258358101486821
190,john,5.215211316444199
191,space,5.162545137396849
192,hasn,5.162545137396849
193,child,5.162545137396849
194,count,5.115485771078504
195,hundred,5.022996101395087
196,plans,5.000204016936537
197,shoulders,4.977541066793827
198,ways,4.955005795920803
199,ears,4.955005795920803
200,terrible,4.932596773726123
201,themselves,4.888151872025841
202,ramsey,4.8661132487819625
203,welcome,4.8661132487819625
204,closet,4.8661132487819625
205,note,4.8661132487819625
206,proud,4.844195385723459
207,shannon,4.844195385723459
208,immediately,4.8223969666532005
209,trip,4.8223969666532005
210,stage,4.8007603010017466
211,learned,4.800716696775844
212,rehearsal,4.790366617074273
213,company,4.779153302236338
214,gently,4.757705529670797
215,sms,4.729043738441083
216,happens,4.7151519368505745
217,silence,4.7151519368505745
218,date,4.7151519368505745
219,test,4.705514206058007
220,tonight,4.694043708447198
221,nearly,4.694043708447198
222,ring,4.673046284902624
223,wild,4.652158508978017
224,terrific,4.652158508978017
225,mentioned,4.631379241469601
226,possible,4.610707360835831
227,wrote,4.610707360835831
228,begin,4.590141762834157
229,water,4.529071874311002
230,list,4.529071874311002
231,sisters,4.488870530896996
