,term,score
0,mary,168.7294374800695
1,james,144.74572261840729
2,myriah,131.11946616760076
3,kristy,101.52430225064084
4,gabbie,61.2248744700098
5,richard,53.72239141158226
6,karen,46.806987793564474
7,jessi,45.9727313842931
8,stacey,44.68584643321149
9,claudia,41.49400025941066
10,david,26.870016138190092
11,michael,26.870016138190092
12,andrew,24.66298386863062
13,audience,22.149888249226837
14,mal,21.409674883518583
15,logan,21.02870828206181
16,emily,18.66577900047685
17,shopping,17.408698245741697
18,lines,17.33982704095064
19,glanced,16.38988245724057
20,dog,15.814868058541379
21,bsc,14.532586157170378
22,bear,14.11654261817402
23,nearly,14.082131125341595
24,california,14.078959954422583
25,liked,13.831333419803554
26,grinned,13.228980065136835
27,earrings,13.182371475039226
28,boys,13.170300241606533
29,round,12.74929823994144
30,act,12.443852666984567
31,wondered,12.180619222535485
32,store,12.055992416633002
33,rehearsal,11.975916542685683
34,waited,11.912966115280646
35,notebook,11.807702154102987
36,shrugged,11.755445523758413
37,sitters,11.703435970603008
38,grabbed,11.703435970603008
39,terrific,11.630396272445044
40,yard,11.61572655914291
41,stared,11.22217632724249
42,ben,11.154401286229302
43,wonderful,10.975250201338778
44,explain,10.975250201338778
45,luck,10.850393174969701
46,date,10.609091857913793
47,shoes,10.609091857913793
48,practically,10.545589842504343
49,charlie,10.420603293306602
50,interesting,10.37409156188062
51,movie,10.327818966376853
52,interested,10.281783060375918
53,conversation,10.099958694518241
54,silly,10.099958694518241
55,scene,10.058498642947646
56,sense,9.965961182074487
57,sam,9.910011591841606
58,bike,9.899102248839727
59,drive,9.833929474344343
60,seat,9.833929474344343
61,mall,9.74846672205327
62,guy,9.746972276138711
63,brothers,9.746972276138711
64,garage,9.699083727234177
65,light,9.660847216993353
66,imagine,9.618091792165973
67,envelope,9.601520602003493
68,sighed,9.57553852140246
69,thomas,9.57553852140246
70,headed,9.49103085825391
71,yelled,9.472744291538694
72,teeth,9.37391444001476
73,pizza,9.075997139083189
74,himself,9.058143748622005
75,picnic,8.977810929940075
76,age,8.93784072970568
77,seems,8.93784072970568
78,embarrassed,8.830357900404298
79,president,8.780200161071022
80,breakfast,8.75035702963894
81,likes,8.6256059784598
82,pleased,8.539936353049026
83,spot,8.515698185368434
84,younger,8.511589796802188
85,exciting,8.49953215996096
86,keeps,8.251515889488505
87,jeans,8.032748084959774
88,ear,7.961318893740082
89,named,7.82061063849247
90,upset,7.7169050379964865
91,filled,7.7169050379964865
92,paused,7.708419373332145
93,muttered,7.673228656617756
94,upstairs,7.648611813378933
95,coach,7.638701971021744
96,favorite,7.580978436996775
97,picture,7.580978436996775
98,figure,7.480738060573535
99,lawn,7.466406570575406
100,salad,7.430305330707972
101,besides,7.414699834940025
102,dinner,7.381912889753041
103,truth,7.365468890292453
104,promised,7.332227808038761
105,letter,7.323539708355126
106,immediately,7.2335954499798
107,softly,7.2010750451637655
108,makeup,7.1846418878197476
109,gently,7.1365582945061945
110,pushed,7.10455821865402
111,fingers,7.10455821865402
112,slid,7.082943466634134
113,susan,7.0603264827522425
114,nobody,7.009569427353936
115,mentioned,6.947068862204401
116,visit,6.947068862204401
117,wrote,6.916061041253746
118,buy,6.885212644251235
119,gorgeous,6.821445969619888
120,park,6.772588722239782
121,mallory,6.733305796345494
122,married,6.733305796345494
123,sisters,6.733305796345494
124,connecticut,6.70338054727926
125,follow,6.664693320199508
126,afraid,6.643974121382992
127,million,6.633923992327617
128,mirror,6.603342857240437
129,driveway,6.572947626858526
130,york,6.555952982896228
131,record,6.555952982896228
132,game,6.46920448384485
133,tigger,6.466055818156118
134,uh,6.412061194777316
135,changed,6.383692347601641
136,oldest,6.365202612294164
137,brown,6.3554570013771645
138,street,6.3554570013771645
139,clock,6.327353905502607
140,test,6.2740189414106755
141,squirt,6.242890379642455
142,sleeping,6.1813507042845375
143,seriously,6.165745967157655
144,charlotte,6.150932306743661
145,places,6.082641560977454
146,present,6.031520454144935
147,hoping,6.027996208316501
148,jackie,6.005083174427064
149,claud,6.000895870969805
150,problems,5.947131912088496
151,calm,5.893939921063218
152,bought,5.893939921063218
153,tiny,5.893939921063218
154,safe,5.887100435576471
155,blonde,5.841307856128281
156,quick,5.815198136222522
157,quietly,5.789224051837001
158,hurried,5.747713510255798
159,sad,5.737677203542696
160,chairs,5.720409649974198
161,impressed,5.720409649974198
162,watson,5.7121017002088434
163,seeing,5.686656352671488
164,pair,5.6613398428887525
165,math,5.611088163621245
166,bus,5.5999743230152355
167,luckily,5.586617913704038
168,pike,5.586150456066051
169,usual,5.586150456066051
170,loves,5.561336509355406
171,mad,5.561336509355406
172,radio,5.537472062306709
173,hardly,5.536645101152493
174,jobs,5.487625100669389
175,rolled,5.463294152413524
176,thrilled,5.4571567756959105
177,sitter,5.4390810300345835
178,group,5.4390810300345835
179,star,5.381444736153836
180,definitely,5.367137342774085
181,claire,5.3565225371512915
182,spotted,5.3565225371512915
183,air,5.343384328981097
184,admit,5.343384328981097
185,stepsister,5.331754656159607
186,style,5.331754656159607
187,class,5.319743623001367
188,pay,5.319743623001367
189,frowned,5.307139193862094
190,mine,5.296214167814304
191,lifted,5.28267428579235
192,rules,5.28267428579235
193,monday,5.272794921252172
194,taken,5.272794921252172
195,awful,5.272794921252172
196,raced,5.258358101486821
197,birthday,5.215211316444199
198,friendly,5.162545137396849
199,control,5.138946248888097
200,worst,5.138946248888097
201,appeared,5.022996101395087
202,sunny,5.000834424497764
203,excuse,5.000204016936537
204,toys,5.000204016936537
205,american,4.955005795920803
206,sent,4.955005795920803
207,dues,4.910312593528302
208,ramsey,4.8661132487819625
209,proud,4.844195385723459
210,team,4.8223969666532005
211,stage,4.8007603010017466
212,allowed,4.800716696775844
213,track,4.779153302236338
214,johanssen,4.752759276962424
215,whenever,4.736372145769347
216,fifteen,4.736372145769347
217,happens,4.7151519368505745
218,dogs,4.705514206058007
219,mention,4.694043708447198
220,gets,4.652158508978017
221,wondering,4.652158508978017
222,bunch,4.631379241469601
223,hang,4.610707360835831
224,apple,4.590557613151596
225,cars,4.590557613151596
226,begin,4.590141762834157
227,bedroom,4.590141762834157
228,bright,4.590141762834157
229,downstairs,4.569681360167075
230,worse,4.529071874311002
231,thirteen,4.529071874311002
232,totally,4.529071874311002
233,grown,4.508920698191174
234,lived,4.46892036485284
235,takes,4.46892036485284
236,none,4.46892036485284
237,notes,4.415325326682353
238,eating,4.409660021712278
239,quite,4.351264824027667
