,term,score
0,bart,448.64785375750836
1,shannon,182.8683758110606
2,krushers,123.21951439237817
3,stacey,109.58671863382817
4,cokie,106.53456626117563
5,mary,102.29222147229214
6,notes,70.64520522691765
7,halloween,67.38443188129946
8,game,58.222840354603655
9,jessi,55.40303525799425
10,kristy,54.502520155607186
11,mal,48.76648167912567
12,buddy,46.19581049458539
13,david,45.56220127780059
14,michael,45.56220127780059
15,ball,45.319914577356656
16,note,45.01154755123315
17,dance,43.68104311554882
18,haley,41.53555859842135
19,claudia,41.49400025941066
20,gabbie,38.961283753642604
21,vanessa,38.92271818063581
22,envelope,38.40608240801397
23,matt,37.14887110648849
24,letters,36.8358082359474
25,watson,36.5574508813366
26,claud,36.005375225818824
27,suzi,34.982855914800425
28,karen,34.80519605162487
29,mystery,33.51205741818072
30,nannie,32.37905239567059
31,sam,30.968786224505017
32,practice,30.516050364707038
33,charlie,30.103965069552405
34,team,28.9343817999192
35,costume,28.23651684389805
36,jackie,28.02372148065963
37,bat,27.52662784226289
38,emily,26.132090600667592
39,field,25.86422327262447
40,bsc,25.43202577504816
41,nicky,25.139780611668172
42,kuhn,24.584899906425147
43,claire,22.76522078289299
44,myriah,21.853244361266796
45,logan,21.02870828206181
46,andrew,20.963536288336023
47,marnie,20.354867243213526
48,charlotte,19.990529996916898
49,hit,19.5806917081245
50,brothers,19.493944552277423
51,coach,19.09675492755436
52,makeup,18.680068908331343
53,sitters,18.08712831820465
54,mallory,17.955482123587984
55,pike,17.87568145941136
56,band,17.570959051602188
57,softball,16.83906194948834
58,exclaimed,16.13747576292541
59,dress,14.917960729211009
60,alan,14.721328200151827
61,jordan,14.576903690123785
62,jake,14.470872373280624
63,meetings,14.395277262996482
64,rodowsky,13.682388164323914
65,braddock,13.523290406781022
66,letter,13.182371475039226
67,adam,13.119213321111408
68,sms,12.610783302509557
69,barrett,12.500642077298549
70,gotten,12.28953100334531
71,closet,12.165283121954907
72,grinned,12.126565059708764
73,boys,12.072775221472655
74,york,12.019247135309753
75,grace,11.975916542685683
76,dressed,11.807702154102987
77,eight,11.600148826754777
78,maria,11.238468346512246
79,sisters,11.22217632724249
80,beat,11.173235827408076
81,margo,11.120776623038804
82,afraid,11.073290202304985
83,excited,10.639487246002734
84,certainly,10.372568158952216
85,third,9.921735048852625
86,sent,9.910011591841606
87,pants,9.776581348982067
88,air,9.618091792165973
89,gym,9.601520602003493
90,ones,9.49103085825391
91,dead,9.37391444001476
92,jenny,9.30476174820074
93,win,9.272026056426807
94,triplets,9.075997139083189
95,nervous,8.819320043424556
96,jobs,8.780200161071022
97,president,8.780200161071022
98,scary,8.704330198177711
99,listen,8.663975356567743
100,scared,8.593047038674529
101,lying,8.55426577604522
102,clock,8.436471874003475
103,practically,8.436471874003475
104,slow,8.30149438115194
105,yelled,8.288651255096358
106,neighborhood,8.251515889488505
107,played,8.177830998579593
108,angry,8.177830998579593
109,hoped,8.177830998579593
110,usual,7.82061063849247
111,mad,7.785871113097568
112,pizza,7.779426119214162
113,sleeping,7.726688380355672
114,wonder,7.682675140937144
115,flowers,7.650929355252661
116,kiss,7.650929355252661
117,drive,7.648611813378933
