,term,score
0,jessi,148.5272860107931
1,kristy,129.30990076134253
2,pool,114.58052956532616
3,claire,93.7391444001476
4,stacey,81.92405179422106
5,vanessa,80.62563051703133
6,hannie,63.26093399489729
7,linny,57.48439940489128
8,mary,55.891626165273024
9,karen,50.40752531614636
10,margo,44.483106492155216
11,nicky,40.502979874354274
12,claud,39.60591274840071
13,adam,39.35763996333422
14,jordan,36.44225922530946
15,bsc,36.33146539292595
16,michael,33.879585565544026
17,becca,33.20742890758937
18,brothers,32.48990758712904
19,byron,32.223574716762556
20,mal,32.11451232527788
21,claudia,31.918461738008205
22,david,30.374800851867057
23,sisters,26.933223185381976
24,jobs,25.243075463079187
25,mallory,23.56657028720923
26,squirt,23.410838923659206
27,triplets,23.338278357642487
28,daddy,18.527702059655695
29,charlotte,18.45279692023098
30,pay,18.08712831820465
31,exclaimed,17.290152603134366
32,sitters,15.959230869004102
33,news,15.888642503442911
34,upstairs,15.297223626757866
35,sitter,15.229426884096835
36,yup,15.077468912250236
37,buy,14.917960729211009
38,jenny,13.95714262230111
39,pike,13.40676109455852
40,charge,13.40676109455852
41,lunch,13.40676109455852
42,repeated,13.170300241606533
43,company,13.14267158114993
44,children,12.995963034851615
45,likes,12.9384089676897
46,ew,12.932111636312236
47,dinner,12.654707811005213
48,bedroom,12.622889847793932
49,cecelia,12.082894512048197
50,immediately,12.055992416633002
51,lose,11.831305728345347
52,snack,11.722870681699778
53,tv,11.373312705342975
54,water,11.322679685777505
55,hundred,11.301741228138946
56,meetings,11.073290202304985
57,mommy,10.952490894826177
58,spoke,10.73427468554817
59,neighborhood,10.609091857913793
60,step,10.609091857913793
61,street,10.592428335628608
62,driveway,10.516716202973642
63,works,10.467356645200539
64,aunt,10.252955591697177
65,dollars,10.106019305266743
66,although,10.099958694518241
67,secret,10.05507082091889
68,neither,10.010405716839731
69,invited,9.955082133587654
70,homework,9.776303744051681
71,game,9.703806725767276
72,tuesday,9.644793933306401
73,cat,9.505579763717234
74,test,9.411028412116014
75,practice,9.287493589258665
76,christmas,9.280934039022249
77,lawn,8.959687884690487
78,stick,8.870703833421548
79,afraid,8.858632161843989
80,eating,8.819320043424556
81,president,8.780200161071022
82,glanced,8.741270643861638
83,announced,8.702529648055334
84,ways,8.671260142861405
85,lucy,8.631420488923883
86,become,8.6256059784598
87,pink,8.593047038674529
88,changed,8.511589796802188
89,mine,8.473942668502886
90,clock,8.436471874003475
91,office,8.401254219357726
92,hallway,8.379926870556057
93,however,8.379926870556057
94,bill,8.340582467279102
95,yelled,8.288651255096358
96,poor,8.251515889488505
97,bike,8.249251874033106
98,month,8.185735163543866
99,garage,8.082569772695148
100,kits,7.887537152230232
101,silly,7.855523429069743
102,gotten,7.82061063849247
103,usual,7.82061063849247
104,certainly,7.779426119214162
105,paused,7.708419373332145
106,record,7.648611813378933
107,york,7.648611813378933
108,often,7.6147134420484175
109,rooms,7.539400567681169
110,toys,7.5003060254048055
111,bus,7.46663243068698
112,doctor,7.430305330707972
113,shannon,7.266293078585189
114,college,7.253608498481427
115,interrupted,7.2010750451637655
116,cake,7.1822487439520595
117,mostly,7.1365582945061945
118,um,7.072727905275862
119,share,7.04949852588015
120,tonight,7.041065562670798
121,milk,6.9179119842932835
122,couch,6.885549411765196
123,downstairs,6.854522040250613
124,watson,6.854522040250613
125,bart,6.83220081864226
126,himself,6.7936078114665035
127,secretary,6.7936078114665035
128,giggling,6.758153985260272
129,connecticut,6.70338054727926
130,jewelry,6.664693320199508
131,became,6.643974121382992
132,grinned,6.614490032568417
133,third,6.614490032568417
134,explain,6.585150120803267
135,prezzioso,6.55928548402508
136,cry,6.555952982896228
137,desk,6.526897236041501
138,junk,6.526897236041501
139,asking,6.526897236041501
140,others,6.497981517425807
141,hasn,6.453181421746061
142,notebook,6.440564811328903
143,thomas,6.383692347601641
144,worked,6.383692347601641
145,liked,6.383692347601641
146,besides,6.3554570013771645
147,awful,6.327353905502607
148,eight,6.327353905502607
149,ones,6.327353905502607
150,thursday,6.250255021170671
151,ears,6.193757244901004
152,suit,6.031520454144935
153,relieved,6.000895870969805
154,houses,5.944244264566377
155,shouldn,5.920465182211684
156,hoped,5.841307856128281
157,played,5.841307856128281
158,gets,5.815198136222522
159,ride,5.789224051837001
160,charlie,5.789224051837001
161,mentioned,5.789224051837001
162,whether,5.763384201044789
163,needs,5.763384201044789
164,awhile,5.763384201044789
165,cookies,5.747713510255798
166,settled,5.737677203542696
167,chairs,5.720409649974198
168,emergency,5.693290902032683
169,tired,5.686656352671488
170,ear,5.686656352671488
171,pencil,5.666354773307307
172,bags,5.666354773307307
173,join,5.6613398428887525
174,baseball,5.586617913704038
175,wondered,5.536645101152493
176,nope,5.482715968090995
177,slightly,5.4571567756959105
178,hit,5.4390810300345835
179,favorite,5.41498459785484
180,listen,5.41498459785484
181,california,5.41498459785484
182,sounding,5.381444736153836
183,sighed,5.319743623001367
184,edge,5.307139193862094
185,town,5.296214167814304
186,bet,5.296214167814304
187,brown,5.296214167814304
188,helped,5.296214167814304
189,monday,5.272794921252172
190,control,5.138946248888097
191,feelings,5.115485771078504
192,numbers,5.068973619098028
193,climbed,5.000204016936537
194,sam,4.955005795920803
195,somewhere,4.955005795920803
196,seriously,4.932596773726123
197,scared,4.910312593528302
198,sixth,4.910312593528302
199,stories,4.888151872025841
200,french,4.874233361026635
201,ramsey,4.8661132487819625
202,note,4.8661132487819625
203,brewer,4.8661132487819625
204,hoping,4.8223969666532005
205,learned,4.800716696775844
206,fight,4.800716696775844
207,gathered,4.757705529670797
208,bought,4.7151519368505745
209,handle,4.7151519368505745
210,bottle,4.682167784731842
211,mansion,4.673046284902624
212,vice,4.673046284902624
213,nobody,4.673046284902624
214,angry,4.673046284902624
215,logan,4.673046284902624
216,sleeping,4.636013028213403
217,thinks,4.610707360835831
218,sleep,4.610707360835831
219,board,4.590557613151596
220,blood,4.590557613151596
221,eighth,4.590141762834157
222,entire,4.569681360167075
223,several,4.569681360167075
224,clean,4.54932508213719
225,schafer,4.54932508213719
226,horse,4.545780662501569
227,eleven,4.508920698191174
228,greeted,4.479843942345243
229,green,4.46892036485284
230,salad,4.458183198424782
231,wednesday,4.4490692074843246
232,mad,4.4490692074843246
233,led,4.4490692074843246
234,final,4.436677729988945
235,plenty,4.409660021712278
236,sick,4.409660021712278
237,row,4.394123825013075
238,its,4.390100080535511
239,boys,4.390100080535511
240,leaving,4.390100080535511
241,ideas,4.390100080535511
242,bag,4.3319876782838715
243,ahead,4.3128029892299
244,scene,4.310785132691848
245,man,4.293709874219268
246,boyfriend,4.293709874219268
247,dressed,4.293709874219268
248,sang,4.290307237480649
249,pleased,4.269968176524513
250,barely,4.255794898401094
251,explained,4.236971334251443
252,comes,4.236971334251443
253,continued,4.2182359370017375
254,moments,4.189963435278028
255,sun,4.15074719057597
256,smell,4.131329647059117
257,song,4.131329647059117
258,seventh,4.131329647059117
259,prepared,4.073819898735957
260,honest,4.036083552115377
261,chocolate,4.017391902863468
262,following,4.017391902863468
263,stepsister,3.998815992119705
264,project,3.9620057143442624
265,neat,3.9620057143442624
266,rules,3.9620057143442624
267,born,3.9256416327472277
268,lap,3.9076235605665923
269,fault,3.871908853047637
270,entered,3.871908853047637
271,space,3.871908853047637
272,schedule,3.871908853047637
273,heads,3.8542096866660724
274,letting,3.8542096866660724
275,crossed,3.836614328308878
276,decide,3.8191215673764987
277,oldest,3.8191215673764987
278,disappeared,3.7844391001732705
279,families,3.7844391001732705
280,plastic,3.7844391001732705
281,careful,3.7672470760463153
282,wears,3.7501530127024028
283,jeff,3.716254346940602
284,giggled,3.716254346940602
285,bell,3.716254346940602
286,legs,3.6994475802945925
287,teacher,3.6827344451462265
288,newton,3.671135041203428
289,promised,3.6661139040193804
290,forever,3.6661139040193804
291,proud,3.6331465392925946
292,faces,3.6167977249899
293,team,3.6167977249899
294,bathroom,3.6167977249899
295,luck,3.6167977249899
296,janine,3.6167977249899
297,allowed,3.6005375225818828
298,softly,3.6005375225818828
299,problems,3.5682791472530972
300,treasurer,3.5682791472530972
301,key,3.5522882002618266
302,whenever,3.55227910932701
303,listening,3.536363952637931
304,happens,3.536363952637931
305,crying,3.536363952637931
306,mess,3.504784713676968
307,loud,3.504784713676968
308,ring,3.504784713676968
309,expected,3.504784713676968
310,popcorn,3.495412329620759
311,written,3.489118881733513
312,science,3.4768075442961326
313,speaking,3.4735344311022005
314,clear,3.4735344311022005
315,twenty,3.458030520626873
316,jeans,3.4426063221256173
317,grew,3.4272610201253064
318,hot,3.4119938116028923
319,party,3.3968039057332517
320,worse,3.3968039057332517
321,young,3.3816905236433805
322,empty,3.3816905236433805
323,stace,3.368673101755581
324,conversation,3.366652898172747
325,married,3.366652898172747
326,managed,3.3368019056132434
327,loves,3.3368019056132434
328,burst,3.321987060691496
329,private,3.3072450162842086
330,spier,3.2925750604016333
331,known,3.2925750604016333
332,regular,3.2925750604016333
333,less,3.277976491448114
334,waited,3.2489907587129037
335,mcgill,3.2489907587129037
336,kishi,3.2489907587129037
337,field,3.233027909078059
338,tomorrow,3.206030597388658
339,figure,3.206030597388658
340,putting,3.206030597388658
341,sign,3.206030597388658
342,krushers,3.200506867334498
343,gym,3.200506867334498
344,class,3.1918461738008204
345,coat,3.1685061846416156
346,johanssen,3.1685061846416156
347,taken,3.1636769527513033
348,dogs,3.1370094707053378
349,restaurant,3.1214451898212277
350,babies,3.0906753521422687
351,sweater,3.0305204416677127
352,machine,3.0305204416677127
353,stamford,3.0157602270724677
354,charges,3.001108146888322
355,study,3.001108146888322
356,backyard,2.9865626282301623
357,thanksgiving,2.9865477947871395
358,notes,2.9435502177882356
359,fire,2.9435502177882356
360,earrings,2.9294158833420503
361,teachers,2.915380738024757
362,dream,2.915380738024757
363,paint,2.9014433993925706
364,supplies,2.8466454510163417
365,obviously,2.8331773866536536
366,area,2.8331773866536536
367,softball,2.806510324914723
368,juice,2.806510324914723
369,artist,2.806510324914723
370,pants,2.793308956852019
371,concerned,2.780194155759701
372,official,2.7671647937173134
373,daughter,2.7671647937173134
374,guilty,2.7413579840454974
375,myriah,2.7316555451583495
376,gorgeous,2.7285783878479553
377,honey,2.7285783878479553
378,movies,2.715879932490638
379,carol,2.7069629325679783
380,diabetes,2.690722368076918
381,windows,2.690722368076918
382,shopping,2.6782612685756457
383,direction,2.6782612685756457
384,leaning,2.6658773280798034
385,director,2.6658773280798034
386,tossed,2.6658773280798034
387,officers,2.653569596931047
388,skin,2.653569596931047
389,frowned,2.653569596931047
390,student,2.641337142896175
391,pictures,2.6291790507434105
392,noise,2.6050823737110615
393,planning,2.6050823737110615
394,responsible,2.593142039738054
395,yesterday,2.5812725686984246
396,classes,2.5812725686984246
397,cleared,2.5694731244440483
398,muttered,2.557742885539252
399,relief,2.557742885539252
400,lately,2.5460810449176656
401,boxes,2.5460810449176656
402,hungry,2.534486809549014
403,sweet,2.5001020084682684
404,excuse,2.5001020084682684
405,plans,2.5001020084682684
406,breakfast,2.5001020084682684
407,ballet,2.5001020084682684
408,confused,2.4887705333969135
409,happening,2.4887705333969135
410,sent,2.4775028979604015
411,huh,2.4775028979604015
412,terrible,2.4662983868630617
413,glass,2.4662983868630617
414,associate,2.4662983868630617
415,silent,2.4662983868630617
416,dues,2.455156296764151
417,color,2.455156296764151
418,expect,2.455156296764151
419,sigh,2.4440759360129203
420,ourselves,2.4440759360129203
421,themselves,2.4440759360129203
422,lying,2.4440759360129203
423,using,2.4330566243909812
424,closet,2.4330566243909812
425,henry,2.4315509527080117
426,fit,2.4220976928617297
427,games,2.4220976928617297
428,bruno,2.4220976928617297
429,steps,2.4111984833266003
430,trip,2.4111984833266003
431,throat,2.4111984833266003
432,missing,2.400358348387922
433,clients,2.400358348387922
434,drop,2.389576651118169
435,shy,2.389576651118169
436,track,2.389576651118169
437,helping,2.3788527648353983
438,gently,2.3788527648353983
439,fair,2.3681860728846735
440,pushed,2.3681860728846735
441,fifteen,2.3681860728846735
442,fingers,2.3681860728846735
443,including,2.3681860728846735
444,weekend,2.3575759684252873
445,calm,2.3575759684252873
446,nearly,2.347021854223599
447,blonde,2.336523142451312
448,unless,2.336523142451312
449,wondering,2.3260792544890085
450,wild,2.3260792544890085
451,terrific,2.3260792544890085
452,ate,2.3053536804179156
453,wrote,2.3053536804179156
454,interesting,2.3053536804179156
455,loudly,2.3053536804179156
456,dress,2.2950708814170784
457,bright,2.2950708814170784
458,junior,2.2950708814170784
459,reach,2.2848406800835375
460,interested,2.2848406800835375
461,forgotten,2.274662541068595
462,extra,2.264535937155501
463,fall,2.264535937155501
464,art,2.254460349095587
465,wow,2.244435265448498
466,longer,2.244435265448498
467,math,2.244435265448498
468,lived,2.23446018242642
469,none,2.23446018242642
470,age,2.23446018242642
471,seems,2.23446018242642
472,takes,2.23446018242642
473,listened,2.2245346037421623
474,notice,2.2146580404609972
475,ended,2.2146580404609972
476,sense,2.2146580404609972
477,leaned,2.204830010856139
478,grandmother,2.204830010856139
