,term,score
0,janine,135.0271150662896
1,stacey,108.52276990922789
2,test,106.65832200398148
3,kristy,87.63150299528999
4,claudia,64.90087220061667
5,triplets,60.93883793384427
6,jessi,56.581823242206895
7,mallory,53.86644637076395
8,mary,53.782508196772156
9,locker,52.76311996729292
10,adam,46.646091808396115
11,math,42.64427004352146
12,claud,38.40573357420675
13,claire,36.15652712577122
14,susan,35.30163241376121
15,jordan,34.98456885629709
16,byron,32.223574716762556
17,class,31.918461738008205
18,pike,25.696292097903832
19,desk,23.931956532152167
20,study,21.007757028218254
21,pikes,17.492284428148544
22,gotten,16.758451368198152
23,vanessa,16.681164934558204
24,boys,16.462875302008165
25,awhile,16.13747576292541
26,note,15.814868058541379
27,classes,15.487635412190548
28,mal,15.46254297143009
29,window,15.02798455976744
30,figure,14.96147612114707
31,mimi,13.682388164323914
32,lucky,13.64797524641157
33,plan,13.40676109455852
34,gets,12.793435899689547
35,bell,12.387514489802008
36,nancy,12.336110928204738
37,proud,12.110488464308649
38,taylor,12.082894512048197
39,record,12.019247135309753
40,picture,11.912966115280646
41,notebook,11.807702154102987
42,spoke,11.807702154102987
43,notes,11.774200871152942
44,sitters,11.703435970603008
45,teachers,11.661522952099029
46,clock,11.600148826754777
47,numbers,11.405190642970563
48,tired,11.373312705342975
49,teacher,11.04820333543868
50,nervous,11.024150054280694
51,somebody,10.96543193618199
52,guilty,10.96543193618199
53,office,10.801612567745648
54,problems,10.704837441759292
55,admit,10.686768657962194
56,yelled,10.65683732798103
57,shoes,10.609091857913793
58,nobody,10.514354141030905
59,drew,10.145071570930142
60,mystery,10.053617225454214
61,baseball,9.776581348982067
62,broken,9.417528288269212
63,chocolate,9.37391444001476
64,ball,9.330570648279313
65,lay,9.244680000136611
66,radio,9.229120103844515
67,dumb,9.202126677601937
68,watson,9.13936272033415
69,speak,9.058143748622005
70,regular,8.780200161071022
71,kishi,8.663975356567743
72,worked,8.511589796802188
73,headed,8.436471874003475
74,allowed,8.401254219357726
75,nicky,8.379926870556057
76,helping,8.325984676923895
77,cokie,8.194966635475048
78,wild,8.14127739071153
79,acting,8.109784782312325
80,dress,8.032748084959774
81,forgotten,7.961318893740082
82,planning,7.815247121133185
83,sick,7.7169050379964865
84,junk,7.6147134420484175
85,others,7.580978436996775
86,favorite,7.580978436996775
87,boo,7.55174202447612
88,page,7.466406570575406
89,younger,7.447641072201915
90,involved,7.432508693881204
91,ms,7.394462883314908
92,forever,7.332227808038761
93,cookies,7.1846418878197476
94,tiny,7.072727905275862
95,logan,7.009569427353936
96,margo,6.950485389399253
97,completely,6.854522040250613
98,whose,6.853394960113743
99,honey,6.821445969619888
100,earth,6.789699831226596
101,sisters,6.733305796345494
102,married,6.733305796345494
103,takes,6.70338054727926
104,lunch,6.70338054727926
105,listened,6.673603811226487
106,loves,6.673603811226487
107,cards,6.667779232663685
108,frowned,6.633923992327617
109,eating,6.614490032568417
110,student,6.603342857240437
111,rolled,6.555952982896228
112,ghost,6.53217302596096
113,tears,6.526897236041501
114,sitter,6.526897236041501
115,threw,6.526897236041501
116,checked,6.526897236041501
117,brothers,6.497981517425807
118,break,6.46920448384485
119,game,6.46920448384485
120,grinning,6.39435721384813
121,grabbed,6.383692347601641
122,excited,6.383692347601641
123,mine,6.3554570013771645
124,folded,6.336217023872535
125,taken,6.327353905502607
126,dinner,6.327353905502607
127,eight,6.327353905502607
128,continued,6.327353905502607
129,anybody,6.278745126743859
130,homework,6.110189840032301
131,closet,6.082641560977454
132,luck,6.027996208316501
133,bat,5.898563109056334
134,wondering,5.815198136222522
135,quick,5.815198136222522
136,quietly,5.789224051837001
137,example,5.775205027406846
138,interesting,5.763384201044789
139,loudly,5.763384201044789
140,english,5.747713510255798
141,movie,5.737677203542696
142,schafer,5.686656352671488
143,slid,5.666354773307307
144,totally,5.6613398428887525
145,art,5.636150872738968
146,stuffed,5.613020649829446
147,dying,5.586617913704038
148,seems,5.586150456066051
149,catch,5.586150456066051
150,burst,5.536645101152493
151,sense,5.536645101152493
152,hardly,5.536645101152493
153,filled,5.512075027140347
154,questions,5.512075027140347
155,raised,5.487625100669389
156,jobs,5.487625100669389
157,glanced,5.463294152413524
158,seat,5.463294152413524
159,quite,5.4390810300345835
160,hate,5.4390810300345835
161,listen,5.41498459785484
162,california,5.41498459785484
163,broke,5.41498459785484
164,giggling,5.406523188208217
165,cream,5.406523188208217
166,horrible,5.406523188208217
167,cake,5.386686557964045
168,simple,5.3565225371512915
169,imagine,5.343384328981097
170,sign,5.343384328981097
171,spent,5.343384328981097
172,basement,5.328432300392739
173,practice,5.307139193862094
174,mirror,5.28267428579235
175,pile,5.28267428579235
176,lose,5.258358101486821
177,outfit,5.210164747422123
178,disappointed,5.162545137396849
179,worst,5.138946248888097
180,seconds,5.045918800231028
181,wears,5.000204016936537
182,emily,4.977541066793827
183,act,4.977541066793827
184,mall,4.874233361026635
185,shaking,4.8661132487819625
186,genius,4.8661132487819625
187,shannon,4.844195385723459
188,strange,4.8223969666532005
189,interrupted,4.800716696775844
190,silence,4.7151519368505745
191,poor,4.7151519368505745
192,loud,4.673046284902624
193,written,4.652158508978017
194,terrific,4.652158508978017
195,speaking,4.631379241469601
196,clear,4.631379241469601
197,blood,4.590557613151596
198,fall,4.529071874311002
199,water,4.529071874311002
200,silly,4.488870530896996
201,longer,4.488870530896996
202,missed,4.488870530896996
203,backyard,4.479843942345243
204,green,4.46892036485284
205,joined,4.409660021712278
206,upset,4.409660021712278
207,leaned,4.409660021712278
208,earrings,4.394123825013075
209,stairs,4.390100080535511
210,wonderful,4.390100080535511
211,explain,4.390100080535511
212,ideas,4.390100080535511
213,known,4.390100080535511
214,spier,4.390100080535511
215,president,4.390100080535511
216,drawing,4.373071107037136
217,less,4.370635321930819
218,often,4.351264824027667
219,box,4.3319876782838715
220,closed,4.3319876782838715
221,deal,4.3128029892299
222,scene,4.310785132691848
223,definitely,4.293709874219268
224,shrugged,4.274707463184877
225,barely,4.255794898401094
226,pencil,4.24976607998048
227,besides,4.236971334251443
228,ones,4.2182359370017375
229,luckily,4.189963435278028
230,however,4.189963435278028
231,matt,4.127652345165388
232,hugged,4.073819898735957
233,director,3.998815992119705
234,flew,3.9803543953965703
235,pass,3.9620057143442624
236,driveway,3.943768576115116
237,return,3.9256416327472277
238,paid,3.9076235605665923
239,certain,3.9076235605665923
240,months,3.9076235605665923
241,beside,3.889713059607081
242,fault,3.871908853047637
243,cleared,3.8542096866660724
244,mood,3.836614328308878
245,count,3.836614328308878
246,boxes,3.8191215673764987
247,decide,3.8191215673764987
248,carrying,3.7844391001732705
249,careful,3.7672470760463153
250,ballet,3.7501530127024028
251,happening,3.7331558000953704
252,confused,3.7331558000953704
253,ears,3.716254346940602
254,giggled,3.716254346940602
255,jeff,3.716254346940602
256,associate,3.6994475802945925
257,pink,3.6827344451462265
258,dues,3.6827344451462265
259,newton,3.671135041203428
260,cold,3.6661139040193804
261,bottom,3.6661139040193804
262,sigh,3.6661139040193804
263,pointing,3.649584936586472
264,using,3.649584936586472
265,throat,3.6167977249899
266,team,3.6167977249899
267,trip,3.6167977249899
268,faces,3.6167977249899
269,keeping,3.6167977249899
270,softly,3.6005375225818828
271,learned,3.6005375225818828
272,track,3.5843649766772536
273,gathered,3.5682791472530972
274,gently,3.5682791472530972
275,fair,3.55227910932701
276,crying,3.536363952637931
277,listening,3.536363952637931
278,handle,3.536363952637931
279,calm,3.536363952637931
280,unless,3.504784713676968
281,david,3.504784713676968
282,expected,3.504784713676968
283,michael,3.504784713676968
284,absolutely,3.489118881733513
285,charlie,3.4735344311022005
286,hang,3.458030520626873
287,wrote,3.458030520626873
288,thinks,3.458030520626873
289,junior,3.4426063221256173
290,settled,3.4426063221256173
291,begin,3.4426063221256173
292,hot,3.4119938116028923
293,hanging,3.4119938116028923
294,ear,3.4119938116028923
295,stace,3.368673101755581
296,wow,3.366652898172747
297,writing,3.366652898172747
298,secret,3.35169027363963
299,none,3.35169027363963
300,train,3.3338896163318426
301,meetings,3.321987060691496
302,stayed,3.3072450162842086
303,member,3.3072450162842086
304,backpack,3.2997007496132422
305,jill,3.285040783343136
306,upstairs,3.277976491448114
307,mcgill,3.2489907587129037
308,eye,3.2489907587129037
309,ew,3.233027909078059
310,forward,3.2202824056644515
311,putting,3.206030597388658
312,tomorrow,3.206030597388658
313,pay,3.1918461738008204
314,town,3.1777285006885823
315,news,3.1777285006885823
316,explained,3.1777285006885823
317,helped,3.1777285006885823
318,comes,3.1777285006885823
319,coat,3.1685061846416156
320,question,3.1636769527513033
321,monday,3.1636769527513033
322,awful,3.1636769527513033
323,cheese,3.106001097633407
324,charlotte,3.0754661533718304
