,term,score
0,jenny,535.0238005215425
1,logan,272.2049460955779
2,kristy,143.2027000166934
3,jessi,80.15758292645977
4,andrea,67.52025123097725
5,mommy,58.41328477240627
6,karen,56.40842118711616
7,stacey,54.261384954613945
8,mal,53.52418720879646
9,claudia,46.813743882412034
10,claud,43.20645027098259
11,valentine,42.705530183460766
12,mary,34.800446480264334
13,park,33.86294361119891
14,andrew,29.59558064235674
15,michael,29.2065392806414
16,david,29.2065392806414
17,bsc,26.643074621479027
18,prezzioso,26.23714193610032
19,emily,24.887705333969134
20,babies,24.72540281713815
21,fight,24.00358348387922
22,snow,22.286944290598317
23,daddy,21.896375161411278
24,sharon,21.784377759410333
25,cake,16.160059673892135
26,exclaimed,16.13747576292541
27,den,15.562684053388281
28,locker,15.31832515179472
29,married,14.588829225415237
30,mallory,14.588829225415237
31,sitter,14.141610678089918
32,party,13.587215622933007
33,brothers,12.995963034851615
34,man,12.881129622657806
35,sitters,12.767384695203281
36,milk,12.45224157172791
37,grown,12.399531920025728
38,cold,12.220379680064601
39,evening,12.126565059708764
40,present,12.06304090828987
41,box,11.912966115280646
42,halloween,11.230738646883243
43,ears,11.148763040821807
44,pink,11.04820333543868
45,allowed,10.801612567745648
46,jewelry,10.663509312319214
47,date,10.609091857913793
48,besides,10.592428335628608
49,awhile,10.37409156188062
50,watson,10.281783060375918
51,yellow,10.277892497776193
52,aunt,10.252955591697177
53,warm,10.184324179670663
54,sisters,10.099958694518241
55,cecelia,10.069078760040163
56,lunch,10.05507082091889
57,animals,9.84846903696454
58,stuffed,9.82278613720153
59,however,9.776581348982067
60,children,9.746972276138711
61,dressed,9.660847216993353
62,spend,9.618091792165973
63,yup,9.594752944159241
64,dinner,9.49103085825391
65,chocolate,9.37391444001476
66,ice,9.202126677601937
67,bedroom,9.180283525668314
68,paused,8.993155935554169
69,gotten,8.93784072970568
70,fire,8.830650653364707
71,member,8.819320043424556
72,its,8.780200161071022
73,cry,8.741270643861638
74,often,8.702529648055334
75,surprise,8.6256059784598
76,thomas,8.511589796802188
77,shy,8.363518278913592
78,cards,8.334724040829606
79,shoes,8.251515889488505
80,tonight,8.214576489782598
81,gets,8.14127739071153
82,tigger,8.082569772695148
83,sad,8.032748084959774
84,body,8.032748084959774
85,tired,7.961318893740082
86,although,7.855523429069743
87,born,7.851283265494455
88,outfit,7.815247121133185
89,snack,7.815247121133185
