,term,score
0,rehearsal,155.68691505491387
1,pet,153.20830143303087
2,kristy,118.62313210338034
3,dance,95.07050560442978
4,mallory,90.89962825066416
5,suzi,85.27071129232604
6,buddy,75.89311724110458
7,stacey,64.90087220061667
8,becca,57.752050274068466
9,claudia,56.38928240381449
10,boo,52.86219417133284
11,shoes,45.9727313842931
12,jessi,45.9727313842931
13,class,44.68584643321149
14,stage,43.206842709015724
15,bag,40.07088602412581
16,karen,39.60591274840071
17,pow,38.55581096343341
18,linny,38.322932936594185
19,mary,37.96412343301564
20,haley,37.579791112857414
21,hannie,37.487960885865064
22,matt,37.14887110648849
23,emily,34.84278746755679
24,marnie,33.924778738689206
25,mal,33.30393870769558
26,dancing,31.46225307485809
27,carrot,30.95739258874041
28,win,30.906753521422687
29,ballet,30.001224101619222
30,cat,29.87467925739702
31,mama,29.51151919087809
32,notes,27.963727068988238
33,david,26.870016138190092
34,michael,26.870016138190092
35,dog,26.763622868300793
36,cecelia,26.179604776104426
37,sleeping,24.72540281713815
38,rose,23.580711712289066
39,charlie,21.999051396980605
40,note,21.897509619518832
41,pen,21.74200768343385
42,charlotte,21.52826307360281
43,aunt,20.505911183394353
44,andrew,19.730387094904493
45,nicky,19.553162697964133
46,shannon,19.376781542893838
47,squirt,18.728671138927368
48,gotten,17.87568145941136
49,somebody,17.818826896295732
50,steps,16.8783893832862
51,audience,16.61241618692013
52,beautiful,16.173011209612127
53,pink,15.958515928966982
54,mirror,15.84802285737705
55,daddy,15.159028957900116
56,mystery,15.080425838181322
57,barrett,14.2864480883412
58,music,14.067585870465885
59,sign,13.892799255350852
60,act,13.688237933683023
61,locker,13.61628902381753
62,changed,12.767384695203281
63,awhile,12.679445242298536
64,dress,12.622889847793932
65,catch,12.28953100334531
66,wonder,12.072775221472655
67,luck,12.055992416633002
68,claud,12.00179174193961
69,finger,11.996447976359114
70,yelled,11.840930364423368
71,loud,11.682615712256561
72,nobody,11.682615712256561
73,headed,11.600148826754777
74,junior,11.475354407085392
75,french,11.373211175728814
76,pair,11.322679685777505
77,forgot,11.322679685777505
78,kinds,11.226041299658892
79,seems,11.172300912132101
80,plan,11.172300912132101
81,gabbie,11.1317953581836
82,myriah,10.926622180633398
83,costume,10.860198786114633
84,giggling,10.813046376416434
85,figure,10.686768657962194
86,porch,10.658866395249623
87,worked,10.639487246002734
88,step,10.609091857913793
89,stamford,10.555160794753636
90,outfit,10.420329494844246
91,sleep,10.37409156188062
92,completely,10.281783060375918
93,forgotten,10.235981434808677
94,worse,10.190411717199755
95,fall,10.190411717199755
96,paint,10.155051897873998
97,drew,10.145071570930142
98,students,10.106019305266743
99,writing,10.099958694518241
100,married,10.099958694518241
101,scene,10.058498642947646
102,record,9.833929474344343
103,waited,9.746972276138711
104,nancy,9.594752944159241
105,grace,9.580733234148546
106,drop,9.558306604472676
107,michelle,9.550024357467844
108,tiny,9.430303873701149
109,claire,9.37391444001476
110,hoped,9.346092569805249
111,blood,9.181115226303191
112,triplets,9.075997139083189
113,entered,9.034453990444486
114,yard,9.034453990444486
115,led,8.898138414968649
116,nervous,8.819320043424556
117,papadakis,8.804109176384717
118,hundred,8.790243177441402
119,ideas,8.780200161071022
120,hit,8.702529648055334
121,birthday,8.692018860740331
122,listen,8.663975356567743
123,others,8.663975356567743
124,brothers,8.663975356567743
125,likes,8.6256059784598
126,teacher,8.593047038674529
127,spoke,8.587419748438537
128,spot,8.515698185368434
129,bsc,8.477341925016054
130,news,8.473942668502886
131,luckily,8.379926870556057
132,vanessa,8.340582467279102
133,neck,8.30149438115194
134,signed,8.123722268377724
135,simple,8.034783805726937
136,watson,7.996942380292381
137,totally,7.9258757800442545
138,water,7.9258757800442545
139,driveway,7.887537152230232
140,parade,7.841617528505898
141,snack,7.815247121133185
142,notice,7.751303141613491
143,hardly,7.751303141613491
144,classes,7.743817706095274
145,member,7.7169050379964865
146,worst,7.708419373332145
147,paused,7.708419373332145
148,jobs,7.682675140937144
149,flowers,7.650929355252661
150,decide,7.638243134752997
151,lately,7.638243134752997
152,carrying,7.568878200346541
153,sitters,7.447641072201915
154,excited,7.447641072201915
155,helped,7.414699834940025
156,louie,7.350729257160491
157,pointing,7.299169873172944
158,dream,7.288451845061893
159,proud,7.266293078585189
160,hug,7.2335954499798
161,learned,7.2010750451637655
162,missing,7.2010750451637655
163,fight,7.2010750451637655
164,makeup,7.1846418878197476
165,pushed,7.10455821865402
166,waving,7.082943466634134
