,term,score
0,charlotte,206.05623227591263
1,laine,172.176640638992
2,mary,103.34678045654258
3,claud,99.61487145809876
4,hospital,81.4998530643535
5,claudia,79.79615434502051
6,kristy,79.08208806892023
7,stacey,75.54035944661942
8,blood,45.905576131515964
9,york,45.8916708802736
10,doctor,40.12364878582304
11,dr,39.35311035307889
12,becca,37.5388326781445
13,johanssen,33.26931493873696
14,diabetes,32.28866841692302
15,sugar,31.393725633719292
16,jessi,28.290911621103447
17,bsc,26.643074621479027
18,tired,26.15861922228884
19,weekend,25.93333565267816
20,sick,24.253130119417527
21,kit,22.74642235145763
22,train,21.670282506156976
23,cards,21.670282506156976
24,exclaimed,20.74818312376124
25,plastic,20.18367520092411
26,visit,18.525516965878403
27,bathroom,18.0839886249495
28,chocolate,17.408698245741697
29,apartment,17.04060446499116
30,however,16.759853741112114
31,mal,16.65196935384779
32,awhile,16.13747576292541
33,bedroom,16.065496169919548
34,homework,15.886493584083983
35,clock,15.818384763756516
36,mallory,15.711046858139486
37,interrupted,15.602329264521492
38,test,14.11654261817402
39,bag,14.078959954422583
40,tomorrow,13.892799255350852
41,neck,13.835823968586567
42,dinner,13.709266795255648
43,earlier,12.965710198690271
44,card,12.809904529573538
45,monday,12.654707811005213
46,water,12.454947654355257
47,ring,11.682615712256561
48,sunday,11.669139178821244
49,chairs,11.440819299948396
50,tv,11.373312705342975
51,catch,11.172300912132101
52,connecticut,11.172300912132101
53,evening,11.024150054280694
54,box,10.82996919570968
55,flowers,10.711301097353724
56,thomas,10.639487246002734
57,sitters,10.639487246002734
58,news,10.592428335628608
59,famous,10.302425762258824
60,several,10.281783060375918
61,conversation,10.099958694518241
62,although,10.099958694518241
63,handed,9.833929474344343
64,throat,9.644793933306401
65,seventh,9.639769176471274
66,coffee,9.639769176471274
67,comes,9.533185502065747
68,awful,9.49103085825391
69,um,9.430303873701149
70,sleep,9.221414721671662
71,body,9.180283525668314
72,mommy,9.12707574568848
73,party,9.058143748622005
74,asleep,8.911283657211829
75,divorced,8.780200161071022
76,its,8.780200161071022
77,glanced,8.741270643861638
78,often,8.702529648055334
79,brothers,8.663975356567743
80,energy,8.662807541110269
81,notebook,8.587419748438537
82,brown,8.473942668502886
83,practically,8.436471874003475
84,stace,8.421682754388954
85,concerned,8.340582467279102
86,yup,8.224073952136493
87,honey,8.185735163543866
88,slightly,8.185735163543866
89,possible,8.068737881462704
90,doorway,7.960708790793141
91,mirror,7.924011428688525
92,coat,7.9212654616040385
93,gotten,7.82061063849247
94,pike,7.82061063849247
95,loves,7.785871113097568
96,hardly,7.751303141613491
97,hasn,7.743817706095274
98,stayed,7.7169050379964865
99,private,7.7169050379964865
100,soda,7.613475996606873
101,mcgill,7.580978436996775
102,station,7.466406570575406
103,changed,7.447641072201915
104,street,7.414699834940025
105,lying,7.332227808038761
106,cold,7.332227808038761
107,pikes,7.288451845061893
108,teachers,7.288451845061893
109,allowed,7.2010750451637655
110,mail,7.1822487439520595
111,tonight,7.041065562670798
112,stomach,7.009569427353936
113,moments,6.983272392130048
114,speaking,6.947068862204401
115,reach,6.854522040250613
116,watson,6.854522040250613
117,grew,6.854522040250613
118,forgotten,6.823987623205785
119,sisters,6.733305796345494
120,jewelry,6.664693320199508
121,meetings,6.643974121382992
122,hide,6.633923992327617
123,twice,6.633923992327617
124,eating,6.614490032568417
125,questions,6.614490032568417
126,lifted,6.603342857240437
127,opening,6.603342857240437
128,raised,6.585150120803267
129,wonder,6.585150120803267
130,upstairs,6.555952982896228
131,quite,6.526897236041501
132,nine,6.526897236041501
133,candy,6.512705934277654
134,surprise,6.46920448384485
135,game,6.46920448384485
136,window,6.440564811328903
137,dressed,6.440564811328903
138,paused,6.423682811110121
139,spend,6.412061194777316
140,sign,6.412061194777316
141,besides,6.3554570013771645
142,continued,6.327353905502607
143,breakfast,6.250255021170671
144,giggled,6.193757244901004
145,ways,6.193757244901004
146,using,6.082641560977454
147,horse,6.0610408833354255
148,information,6.055244232154324
149,stamford,6.031520454144935
150,rooms,6.031520454144935
151,greeted,5.9731252564603246
152,crying,5.893939921063218
153,bought,5.893939921063218
154,date,5.893939921063218
155,david,5.841307856128281
156,michael,5.841307856128281
157,wondering,5.815198136222522
158,ate,5.763384201044789
159,wall,5.763384201044789
160,whether,5.763384201044789
161,kidding,5.763384201044789
162,nose,5.737677203542696
163,shut,5.7121017002088434
164,completely,5.7121017002088434
165,downstairs,5.7121017002088434
166,clean,5.686656352671488
167,hat,5.666354773307307
168,pair,5.6613398428887525
169,reminded,5.636150872738968
170,empty,5.636150872738968
171,glasses,5.636150872738968
172,art,5.636150872738968
173,wow,5.611088163621245
174,gabbie,5.5658976790918
175,wondered,5.536645101152493
176,member,5.512075027140347
177,smell,5.508439529412157
178,decision,5.508439529412157
179,ideas,5.487625100669389
180,regular,5.487625100669389
181,jobs,5.487625100669389
182,president,5.487625100669389
183,myriah,5.463311090316699
184,sitter,5.4390810300345835
185,wished,5.431759864981276
186,listen,5.41498459785484
187,favorite,5.41498459785484
188,likes,5.3910037365373755
189,spoke,5.367137342774085
190,shopping,5.3565225371512915
191,key,5.328432300392739
192,sighed,5.319743623001367
193,class,5.319743623001367
194,mine,5.296214167814304
195,pile,5.28267428579235
196,lay,5.28267428579235
197,eight,5.272794921252172
198,taken,5.272794921252172
199,question,5.272794921252172
200,headed,5.272794921252172
201,tea,5.271287715480657
202,responsible,5.186284079476108
203,certainly,5.186284079476108
204,entered,5.162545137396849
205,recently,5.162545137396849
206,fault,5.162545137396849
207,yesterday,5.162545137396849
208,promise,5.138946248888097
209,count,5.115485771078504
210,lately,5.092162089835331
211,hungry,5.068973619098028
212,carrying,5.045918800231028
213,gray,5.045918800231028
214,plans,5.000204016936537
215,wears,5.000204016936537
216,smart,4.955005795920803
217,somewhere,4.955005795920803
218,low,4.932596773726123
219,touch,4.888151872025841
220,closer,4.8661132487819625
221,clients,4.800716696775844
222,normal,4.800716696775844
223,yourself,4.779153302236338
224,track,4.779153302236338
225,company,4.779153302236338
226,fair,4.736372145769347
227,museum,4.65238087410037
228,gets,4.652158508978017
229,woman,4.631379241469601
230,charlie,4.631379241469601
231,mentioned,4.631379241469601
232,interesting,4.610707360835831
233,movie,4.590141762834157
234,hot,4.54932508213719
235,himself,4.529071874311002
236,thirteen,4.529071874311002
237,eleven,4.508920698191174
238,somehow,4.488870530896996
239,married,4.488870530896996
240,writing,4.488870530896996
241,age,4.46892036485284
242,usual,4.46892036485284
243,wednesday,4.4490692074843246
244,afraid,4.4293160809219945
245,became,4.4293160809219945
246,plenty,4.409660021712278
247,grinned,4.409660021712278
248,upset,4.409660021712278
249,repeated,4.390100080535511
250,spier,4.390100080535511
251,leaving,4.390100080535511
252,hiding,4.373071107037136
253,drawing,4.373071107037136
254,seat,4.370635321930819
255,record,4.370635321930819
256,cry,4.370635321930819
257,college,4.352165099088856
258,announced,4.351264824027667
259,tears,4.351264824027667
260,desk,4.351264824027667
261,checked,4.351264824027667
262,woke,4.331403770555134
263,pack,4.331403770555134
264,ahead,4.3128029892299
265,beautiful,4.3128029892299
266,break,4.3128029892299
267,hurried,4.310785132691848
268,dancing,4.290307237480649
269,admit,4.274707463184877
270,shrugged,4.274707463184877
271,imagine,4.274707463184877
272,putting,4.274707463184877
273,barely,4.255794898401094
274,pencil,4.24976607998048
275,calling,4.2182359370017375
276,kinds,4.209765487372085
277,bowl,4.189963435278028
278,slow,4.15074719057597
279,pale,4.131329647059117
280,carrot,4.127652345165388
281,guilty,4.1120369760682465
282,building,4.1120369760682465
283,familiar,4.092867581771933
284,everywhere,4.073819898735957
285,earth,4.073819898735957
286,finger,3.998815992119705
287,frowned,3.9803543953965703
288,neat,3.9620057143442624
289,send,3.943768576115116
290,return,3.9256416327472277
291,months,3.9076235605665923
292,paid,3.9076235605665923
293,boring,3.9076235605665923
294,child,3.871908853047637
295,cleared,3.8542096866660724
296,discovered,3.836614328308878
297,apart,3.836614328308878
298,feelings,3.836614328308878
299,booth,3.819350985510872
300,jamie,3.819350985510872
301,numbers,3.8017302143235208
302,aside,3.8017302143235208
303,stick,3.8017302143235208
304,disappeared,3.7844391001732705
305,boo,3.77587101223806
306,feels,3.7501530127024028
307,thursday,3.7501530127024028
308,emily,3.7331558000953704
309,sam,3.716254346940602
310,sent,3.716254346940602
311,bell,3.716254346940602
312,glass,3.6994475802945925
313,truth,3.6827344451462265
314,themselves,3.6661139040193804
315,forever,3.6661139040193804
316,closet,3.649584936586472
317,places,3.649584936586472
318,immediately,3.6167977249899
319,keeping,3.6167977249899
320,hoping,3.6167977249899
321,janine,3.6167977249899
322,tuesday,3.6167977249899
323,relieved,3.6005375225818828
324,picnic,3.5911243719760297
325,mostly,3.5682791472530972
326,gently,3.5682791472530972
327,whenever,3.55227910932701
328,fifteen,3.55227910932701
329,shouldn,3.55227910932701
330,step,3.536363952637931
331,listening,3.536363952637931
332,angry,3.504784713676968
333,unless,3.504784713676968
334,nobody,3.504784713676968
335,wild,3.489118881733513
336,clear,3.4735344311022005
337,twenty,3.458030520626873
338,loudly,3.458030520626873
339,needs,3.458030520626873
340,jeans,3.4426063221256173
341,eighth,3.4426063221256173
342,interested,3.4272610201253064
343,lucky,3.4119938116028923
344,extra,3.3968039057332517
345,drew,3.3816905236433805
346,students,3.368673101755581
347,daddy,3.368673101755581
