,term,score
0,haley,150.31916445142966
1,mary,129.71075506280343
2,kristy,78.01341120312401
3,mal,76.12328847473275
4,ms,72.4657362564861
5,stacey,72.3485132728186
6,claudia,70.22061582361805
7,pen,60.56702140385144
8,charlotte,56.89612383737886
9,adam,42.27302070135898
10,jessi,41.257579447442524
11,vanessa,38.92271818063581
12,jordan,36.44225922530946
13,jackie,34.028804655086695
14,alan,33.6487501717756
15,suzi,32.7964274201254
16,teachers,30.61149774925995
17,richard,29.845773006434587
18,rodowsky,29.31940320926553
19,letter,29.294158833420504
20,gym,25.604054938675983
21,marnie,24.87817107503875
22,matt,24.76591407099233
23,buddy,24.747755622099316
24,pizza,22.04170733777346
25,pikes,21.865355535185678
26,bsc,21.798879235755567
27,barn,21.75672117060166
28,plan,21.22737173305099
29,send,21.033432405947284
30,watson,20.563566120751837
31,pike,20.11014164183778
32,shea,19.60194468576131
33,linny,19.161466468297093
34,teacher,18.413672225731133
35,margo,18.071262012438055
36,david,17.52392356838484
37,michael,17.52392356838484
38,excited,17.023179593604375
39,gabbie,16.6976930372754
40,fire,16.189526197835296
41,sleeping,15.453376760711343
42,cards,15.002503273493291
43,sitters,14.89528214440383
44,byron,14.647079416710252
45,mallory,14.588829225415237
46,carrot,14.446783208078859
47,claud,14.402150090327531
48,barrett,14.2864480883412
49,yard,14.196999127841336
50,shouted,14.016609714997175
51,nicky,13.966544784260096
52,uh,13.892799255350852
53,boys,13.170300241606533
54,justin,13.140163133372544
55,bag,12.995963034851615
56,bags,12.74929823994144
57,drive,12.019247135309753
58,brothers,11.912966115280646
59,box,11.912966115280646
60,houses,11.888488529132754
61,imagine,11.755445523758413
62,boxes,11.457364702129496
63,tired,11.373312705342975
64,jeff,11.148763040821807
65,letters,10.914313551391821
66,games,10.899439617877784
67,claire,10.713045074302583
68,project,10.5653485715847
69,suit,10.555160794753636
70,clock,10.545589842504343
71,sleep,10.37409156188062
72,sisters,10.099958694518241
73,spread,10.000408033873073
74,raised,9.8777251812049
75,dying,9.776581348982067
76,children,9.746972276138711
77,braddock,9.659493147700731
78,whose,9.594752944159241
79,thomas,9.57553852140246
80,jamie,9.54837746377718
81,town,9.533185502065747
82,giggling,9.46141557936438
83,um,9.430303873701149
84,pete,9.2386445403959
85,driveway,9.202126677601937
86,pictures,9.202126677601937
87,hundred,8.790243177441402
88,jobs,8.780200161071022
89,others,8.663975356567743
90,class,8.511589796802188
91,strange,8.4391946916431
92,ones,8.436471874003475
93,practically,8.436471874003475
94,juice,8.41953097474417
95,contest,8.35920663594382
96,fortunately,8.1652162824512
97,uncle,8.154033458393616
98,signed,8.123722268377724
99,honest,8.072167104230754
100,wrote,8.068737881462704
101,triplets,7.779426119214162
102,throw,7.743817706095274
103,questions,7.7169050379964865
104,sitter,7.6147134420484175
105,california,7.580978436996775
106,plastic,7.568878200346541
107,spent,7.480738060573535
108,shrugged,7.480738060573535
109,figure,7.480738060573535
110,sign,7.480738060573535
111,tape,7.430305330707972
112,helped,7.414699834940025
113,audience,7.383296083075613
114,eight,7.381912889753041
115,monday,7.381912889753041
116,truth,7.365468890292453
117,famous,7.358875544470589
118,store,7.2335954499798
119,track,7.168729953354507
120,loud,7.009569427353936
121,wild,6.978237763467026
122,tv,6.823987623205785
123,party,6.7936078114665035
124,totally,6.7936078114665035
125,wished,6.789699831226596
126,somehow,6.733305796345494
127,secret,6.70338054727926
128,green,6.70338054727926
129,seems,6.70338054727926
130,marilyn,6.69264077173758
131,managed,6.673603811226487
132,jewelry,6.664693320199508
133,meetings,6.643974121382992
134,became,6.643974121382992
135,nervous,6.614490032568417
136,starting,6.614490032568417
137,member,6.614490032568417
138,snapped,6.572947626858526
139,record,6.555952982896228
140,group,6.526897236041501
141,announced,6.526897236041501
142,nine,6.526897236041501
143,ew,6.466055818156118
144,garage,6.466055818156118
145,man,6.440564811328903
146,putting,6.412061194777316
147,stage,6.401013734668996
148,barely,6.383692347601641
149,liked,6.383692347601641
