,term,score
0,andrea,324.09720590869085
1,parade,203.88205574115335
2,jenny,179.11666365286425
3,babies,120.53633873354848
4,lucy,86.31420488923882
5,jessi,82.51515889488505
6,mary,82.25560077153388
7,costume,73.84935174557951
8,stacey,71.28456454821833
9,claudia,70.22061582361805
10,claud,63.60949623227993
11,nina,56.74440810095565
12,charlie,49.787326845798205
13,emily,49.77541066793827
14,squirt,48.38240044222903
15,jamie,43.92253633337503
16,mallory,29.177658450830474
17,kristy,28.854275376497924
18,dress,27.54085057700494
19,mal,27.35680679560708
20,watson,26.27566782096068
21,coach,24.825781405820667
22,bottle,23.410838923659206
23,ethan,22.995285483401954
24,rose,21.896375161411278
25,becca,20.21321759592396
26,win,20.08938978892475
27,david,19.860446710836154
28,michael,19.860446710836154
29,prezzioso,19.67785645207524
30,sitter,18.492875502117585
31,class,18.08712831820465
32,woman,17.367672155511002
33,dressed,17.174839496877073
34,gotten,16.758451368198152
35,newton,16.520107685415425
36,example,15.881813825368827
37,favorite,15.16195687399355
38,michelle,15.007181133163755
39,seat,14.20456479627516
40,yard,14.196999127841336
41,cute,13.956475526934051
42,carrying,13.876276700635326
43,ideas,13.170300241606533
44,children,12.995963034851615
45,crying,12.96666782633908
46,sitters,12.767384695203281
47,awhile,12.679445242298536
48,cry,12.019247135309753
49,junk,11.965978266076084
50,nannie,11.774200871152942
51,nobody,11.682615712256561
52,mommy,10.952490894826177
53,bag,10.82996919570968
54,learned,10.801612567745648
55,game,10.782007473074751
56,figure,10.686768657962194
57,hide,10.614278387724188
58,horse,10.606821545836995
59,monday,10.545589842504343
60,wild,10.467356645200539
61,john,10.430422632888398
62,outfit,10.420329494844246
63,happily,10.325090274793698
64,clean,10.235981434808677
65,paint,10.155051897873998
66,loves,10.010405716839731
67,giggled,9.910011591841606
68,ears,9.910011591841606
69,baseball,9.776581348982067
70,others,9.746972276138711
71,eye,9.746972276138711
72,spot,9.732226497563925
73,bsc,9.688390771446919
74,excited,9.57553852140246
75,helped,9.533185502065747
76,yelled,9.472744291538694
77,mess,9.346092569805249
78,terrific,9.304317017956034
79,candy,9.117788307988715
80,halloween,8.984590917506594
81,mad,8.898138414968649
82,anybody,8.790243177441402
83,waved,8.741270643861638
84,sam,8.671260142861405
85,california,8.663975356567743
86,cookies,8.621570265383696
87,grabbed,8.511589796802188
88,round,8.49953215996096
89,shannon,8.477341925016054
90,park,8.465735902799727
91,headed,8.436471874003475
92,calling,8.436471874003475
93,bored,8.41953097474417
94,gabbie,8.3488465186377
95,somebody,8.224073952136493
96,logan,8.177830998579593
97,speaking,8.1049136725718
98,stage,8.001267168336245
99,none,7.82061063849247
100,noise,7.815247121133185
101,wondered,7.751303141613491
102,entered,7.743817706095274
103,third,7.7169050379964865
104,questions,7.7169050379964865
105,member,7.7169050379964865
106,york,7.648611813378933
107,asleep,7.638243134752997
108,loved,7.568878200346541
109,spent,7.480738060573535
110,ones,7.381912889753041
111,color,7.365468890292453
112,pulling,7.299169873172944
113,closet,7.299169873172944
114,pointing,7.299169873172944
115,bent,7.288451845061893
116,clients,7.2010750451637655
117,band,7.028383620640875
118,kinds,7.016275812286807
119,loud,7.009569427353936
120,settled,6.885212644251235
121,bright,6.885212644251235
122,interested,6.854522040250613
123,grew,6.854522040250613
124,tired,6.823987623205785
125,forgotten,6.823987623205785
126,married,6.733305796345494
127,silly,6.733305796345494
128,wow,6.733305796345494
129,lived,6.70338054727926
130,slipped,6.6956531714391145
131,style,6.664693320199508
132,meetings,6.643974121382992
133,burst,6.643974121382992
134,joined,6.614490032568417
135,spier,6.585150120803267
136,president,6.585150120803267
137,jobs,6.585150120803267
138,dumb,6.572947626858526
139,upstairs,6.555952982896228
140,group,6.526897236041501
141,kit,6.4989778147021795
142,classes,6.453181421746061
143,man,6.440564811328903
144,notebook,6.440564811328903
145,worst,6.423682811110121
146,imagine,6.412061194777316
147,envelope,6.401013734668996
148,street,6.3554570013771645
149,brown,6.3554570013771645
150,hungry,6.336217023872535
151,seconds,6.307398500288785
152,plastic,6.307398500288785
153,appeared,6.278745126743859
154,toys,6.250255021170671
155,proud,6.055244232154324
156,fit,6.055244232154324
157,learn,6.027996208316501
158,backyard,5.9731252564603246
159,helping,5.947131912088496
160,earrings,5.8588317666841006
161,hiding,5.830761476049514
162,gets,5.815198136222522
163,needs,5.763384201044789
164,whether,5.763384201044789
165,makeup,5.747713510255798
166,downstairs,5.7121017002088434
167,hanging,5.686656352671488
168,waving,5.666354773307307
169,grown,5.636150872738968
170,strong,5.613020649829446
171,artist,5.613020649829446
172,somehow,5.611088163621245
173,however,5.586617913704038
174,plan,5.586150456066051
175,age,5.586150456066051
176,usual,5.586150456066051
177,named,5.586150456066051
178,wonderful,5.487625100669389
179,rushed,5.4571567756959105
180,often,5.4390810300345835
181,quite,5.4390810300345835
182,picture,5.41498459785484
183,beautiful,5.3910037365373755
184,ahead,5.3910037365373755
185,deal,5.3910037365373755
186,likes,5.3910037365373755
187,thomas,5.319743623001367
188,pay,5.319743623001367
189,younger,5.319743623001367
190,explained,5.296214167814304
191,lifted,5.28267428579235
192,clock,5.272794921252172
193,pictures,5.258358101486821
194,birthday,5.215211316444199
195,lap,5.210164747422123
196,center,5.210164747422123
197,boring,5.210164747422123
198,dance,5.138946248888097
199,grinning,5.115485771078504
200,decide,5.092162089835331
201,embarrassed,5.045918800231028
202,sunny,5.000834424497764
203,twins,4.97508319342359
204,ways,4.955005795920803
205,associate,4.932596773726123
206,pink,4.910312593528302
207,ourselves,4.888151872025841
208,lying,4.888151872025841
209,ramsey,4.8661132487819625
210,shy,4.779153302236338
211,fifteen,4.736372145769347
212,shoes,4.7151519368505745
213,handle,4.7151519368505745
214,neighborhood,4.7151519368505745
215,pull,4.673046284902624
216,ring,4.673046284902624
217,blonde,4.673046284902624
218,stomach,4.673046284902624
219,quick,4.652158508978017
