,term,score
0,cokie,447.99150940596934
1,melody,434.3554671814662
2,logan,290.8971312351884
3,pete,237.89509691519442
4,bill,180.71262012438055
5,kristy,143.2027000166934
6,project,58.109417143715845
7,stacey,45.74979515781176
8,claud,44.406629445176556
9,study,40.514959982992345
10,mary,39.01868241726607
11,claudia,38.30215408560984
12,group,34.810118592221336
13,exclaimed,24.206213644388114
14,english,22.99085404102319
15,jessi,22.39697170004023
16,bsc,21.798879235755567
17,bathroom,21.700786349939403
18,grace,21.556649776834227
19,stage,20.803294637674234
20,hot,20.471962869617354
21,sharon,19.96901294612614
22,closet,19.46445299512785
23,dinner,15.818384763756516
24,sms,15.763479128136947
25,audience,14.766592166151225
26,alan,14.721328200151827
27,missed,14.588829225415237
28,teachers,14.576903690123785
29,nearly,14.082131125341595
30,dog,13.381811434150396
31,mal,13.08369020659469
32,tonight,12.908620198229796
33,eighth,12.622889847793932
34,several,12.566623740459455
35,teacher,12.275781483820756
36,louie,12.251215428600819
37,tomorrow,11.755445523758413
38,written,11.630396272445044
39,question,11.600148826754777
40,slid,11.332709546614614
41,hallway,11.173235827408076
42,became,11.073290202304985
43,stepsister,10.663509312319214
44,sitters,10.639487246002734
45,present,10.555160794753636
46,screamed,10.555160794753636
47,downstairs,10.281783060375918
48,paused,10.277892497776193
49,asleep,10.184324179670663
50,scary,10.155051897873998
51,wondered,9.965961182074487
52,repeated,9.8777251812049
53,share,9.86929793623221
54,however,9.776581348982067
55,homework,9.776303744051681
56,game,9.703806725767276
57,sighed,9.57553852140246
58,mine,9.533185502065747
59,wrote,9.221414721671662
60,watson,9.13936272033415
61,ear,9.09865016427438
62,speak,9.058143748622005
63,water,9.058143748622005
64,silly,8.977741061793992
65,ms,8.87335545997789
66,nervous,8.819320043424556
67,upstairs,8.741270643861638
68,quite,8.702529648055334
69,children,8.663975356567743
70,closed,8.663975356567743
71,listen,8.663975356567743
72,thomas,8.511589796802188
73,locker,8.510180639885956
74,clock,8.436471874003475
75,allowed,8.401254219357726
76,fingers,8.288651255096358
77,speaking,8.1049136725718
78,tigger,8.082569772695148
79,entire,7.996942380292381
80,empty,7.890611221834554
81,raced,7.887537152230232
82,although,7.855523429069743
83,dogs,7.842523676763344
84,responsible,7.779426119214162
85,afraid,7.751303141613491
86,meetings,7.751303141613491
87,hasn,7.743817706095274
88,questions,7.7169050379964865
89,wonder,7.682675140937144
90,glanced,7.648611813378933
91,library,7.539400567681169
92,notebook,7.51399227988372
93,pay,7.447641072201915
94,changed,7.447641072201915
95,liked,7.447641072201915
96,safe,7.358875544470589
97,dream,7.288451845061893
98,bruno,7.266293078585189
99,laughter,7.253608498481427
100,karen,7.2010750451637655
101,fair,7.10455821865402
102,date,7.072727905275862
103,hoped,7.009569427353936
104,moments,6.983272392130048
105,brain,6.950485389399253
106,sleep,6.916061041253746
107,dress,6.885212644251235
108,nope,6.853394960113743
109,students,6.737346203511162
110,mallory,6.733305796345494
111,none,6.70338054727926
112,lunch,6.70338054727926
113,mystery,6.702411483636143
114,eating,6.614490032568417
115,evening,6.614490032568417
116,leaving,6.585150120803267
117,president,6.585150120803267
118,wonderful,6.585150120803267
119,cry,6.555952982896228
120,york,6.555952982896228
121,often,6.526897236041501
122,california,6.497981517425807
123,piece,6.46920448384485
124,surprise,6.46920448384485
125,light,6.440564811328903
126,spoke,6.440564811328903
127,organized,6.423682811110121
128,brown,6.3554570013771645
129,continued,6.327353905502607
130,gray,6.307398500288785
131,thursday,6.250255021170671
132,emily,6.221926333492283
133,confused,6.221926333492283
134,somewhere,6.193757244901004
135,jeff,6.193757244901004
136,seriously,6.165745967157655
137,dues,6.137890741910378
138,stories,6.110189840032301
139,ourselves,6.110189840032301
140,games,6.055244232154324
141,rooms,6.031520454144935
142,missing,6.000895870969805
143,shy,5.973941627795423
144,tiny,5.893939921063218
145,famous,5.887100435576471
146,expected,5.841307856128281
147,hiding,5.830761476049514
148,wondering,5.815198136222522
149,kidding,5.763384201044789
150,whether,5.763384201044789
151,weeks,5.763384201044789
152,movie,5.737677203542696
153,sang,5.720409649974198
154,chairs,5.720409649974198
