,term,score
0,jessi,183.8909255371724
1,claire,136.59132469735792
2,kristy,121.829162700769
3,margo,107.03747499674849
4,mary,91.74663162978779
5,vanessa,75.06524220551192
6,suzi,63.40642634557577
7,buddy,61.04446386784498
8,nicky,60.05614257231841
9,mallory,52.7442287380397
10,marnie,42.97138640233966
11,brothers,37.90489218498388
12,bsc,37.54251423935681
13,stacey,37.23820536100957
14,claud,37.20555440001279
15,claudia,31.918461738008205
16,triplets,31.117704476856648
17,mal,30.92508594286018
18,sisters,30.29987608355472
19,jordan,29.15380738024757
20,writing,28.055440818106227
21,homework,26.88483529614212
22,david,26.870016138190092
23,michael,26.870016138190092
24,barrett,25.001284154597098
25,shouted,23.720416440764453
26,boo,22.65522607342836
27,young,22.544603490955872
28,notebook,22.54197683965116
29,emily,21.154549533873766
30,sitters,20.215025767405194
31,class,20.215025767405194
32,ballet,20.000816067746147
33,stairs,19.7554503624098
34,clock,18.98206171650782
35,hurried,18.680068908331343
36,bag,18.410947632706453
37,board,18.362230452606383
38,byron,17.5764953000523
39,shut,17.13630510062653
40,shoes,16.50303177897701
41,jobs,16.462875302008165
42,foot,16.0309395146099
43,andrew,16.0309395146099
44,grabbed,15.959230869004102
45,murmured,15.731126537429045
46,boys,15.365350281874289
47,sitter,15.229426884096835
48,loud,15.187400425933529
49,finger,14.66232530443892
50,mall,14.622700083079904
51,ew,14.548625590851266
52,karen,14.402150090327531
53,beside,14.262281218559297
54,schedule,14.196999127841336
55,backyard,13.43953182703573
56,lap,13.025411868555308
57,stage,12.802027469337991
58,weeks,12.679445242298536
59,bedroom,12.622889847793932
60,luckily,12.569890305834086
61,several,12.566623740459455
62,ear,12.510643975877272
63,band,12.299671336121532
64,pike,12.28953100334531
65,pink,12.275781483820756
66,closet,12.165283121954907
67,giggling,12.164677173468489
68,taylor,12.082894512048197
69,announced,11.965978266076084
70,favorite,11.912966115280646
71,adam,11.661522952099029
72,explained,11.651671169191468
73,written,11.630396272445044
74,finish,11.526768402089578
75,entire,11.424203400417687
76,watson,11.424203400417687
77,kit,11.373211175728814
78,member,11.024150054280694
79,bear,10.979533147468683
80,wonderful,10.975250201338778
81,steps,10.850393174969701
82,beautiful,10.782007473074751
83,surprise,10.782007473074751
84,library,10.555160794753636
85,contest,10.449008294929776
86,jeans,10.327818966376853
87,dress,10.327818966376853
88,nose,10.327818966376853
89,clean,10.235981434808677
90,teachers,10.20383258308665
91,pair,10.190411717199755
92,stared,10.099958694518241
93,makeup,10.058498642947646
94,led,10.010405716839731
95,breakfast,10.000408033873073
96,bike,9.899102248839727
97,its,9.8777251812049
98,carried,9.86929793623221
99,eye,9.746972276138711
100,children,9.746972276138711
101,store,9.644793933306401
102,faces,9.644793933306401
103,couch,9.639769176471274
104,honey,9.550024357467844
105,continued,9.49103085825391
106,nearly,9.388087416894397
107,teeth,9.37391444001476
108,win,9.272026056426807
109,loudly,9.221414721671662
110,raced,9.202126677601937
111,rain,9.076824066420972
112,pizza,9.075997139083189
113,dance,8.993155935554169
114,page,8.959687884690487
115,ben,8.92352102898344
116,numbers,8.870703833421548
117,meetings,8.858632161843989
118,starting,8.819320043424556
119,earrings,8.78824765002615
120,desk,8.702529648055334
121,ears,8.671260142861405
122,picture,8.663975356567743
123,terrible,8.632044354020715
124,sixth,8.593047038674529
125,dressed,8.587419748438537
126,sign,8.549414926369755
127,worked,8.511589796802188
128,hat,8.49953215996096
129,milk,8.30149438115194
130,step,8.251515889488505
131,tiny,8.251515889488505
132,michelle,8.185735163543866
133,covered,8.14127739071153
134,gets,8.14127739071153
135,needs,8.068737881462704
136,chocolate,8.034783805726937
137,ball,7.99763198423941
138,schafer,7.961318893740082
139,arnold,7.95887280171589
140,glasses,7.890611221834554
141,cover,7.815247121133185
142,listened,7.785871113097568
143,managed,7.785871113097568
144,pen,7.765002744083517
145,filled,7.7169050379964865
146,pow,7.7111621926866825
147,letting,7.708419373332145
148,president,7.682675140937144
149,seat,7.648611813378933
150,cry,7.648611813378933
151,tears,7.6147134420484175
152,counter,7.576301104169282
153,wears,7.5003060254048055
154,spent,7.480738060573535
155,putting,7.480738060573535
156,imagine,7.480738060573535
157,excited,7.447641072201915
158,barely,7.447641072201915
159,stepped,7.414699834940025
160,glass,7.398895160589185
161,final,7.394462883314908
162,newspaper,7.394462883314908
163,eight,7.381912889753041
164,monday,7.381912889753041
165,awful,7.381912889753041
166,clue,7.342270082406856
167,garden,7.342270082406856
168,picnic,7.1822487439520595
169,mumbled,7.116613627540854
170,bags,7.082943466634134
171,weekend,7.072727905275862
172,shot,7.041065562670798
173,pieces,6.983272392130048
174,cute,6.978237763467026
175,downstairs,6.854522040250613
176,water,6.7936078114665035
177,missed,6.733305796345494
178,takes,6.70338054727926
179,carefully,6.673603811226487
180,loves,6.673603811226487
181,leaning,6.664693320199508
182,afraid,6.643974121382992
183,twins,6.63344425789812
184,leaned,6.614490032568417
185,eating,6.614490032568417
186,repeated,6.585150120803267
187,animals,6.565646024643026
188,york,6.555952982896228
189,drive,6.555952982896228
190,handed,6.555952982896228
191,ghost,6.53217302596096
192,checked,6.526897236041501
193,french,6.4989778147021795
194,box,6.497981517425807
195,others,6.497981517425807
196,piece,6.46920448384485
197,yellow,6.423682811110121
198,krushers,6.401013734668996
199,music,6.39435721384813
200,grinning,6.39435721384813
201,changed,6.383692347601641
202,pay,6.383692347601641
203,wore,6.365202612294164
204,brown,6.3554570013771645
205,news,6.3554570013771645
206,besides,6.3554570013771645
207,coat,6.337012369283231
208,plastic,6.307398500288785
209,embarrassed,6.307398500288785
210,toys,6.250255021170671
211,giggled,6.193757244901004
212,associate,6.165745967157655
213,teacher,6.137890741910378
214,dues,6.137890741910378
215,blood,6.120743484202128
216,lying,6.110189840032301
217,brewer,6.082641560977454
218,pulling,6.082641560977454
219,yourself,5.973941627795423
220,lawn,5.9731252564603246
221,gathered,5.947131912088496
222,doctor,5.944244264566377
223,fifteen,5.920465182211684
224,ms,5.915570306651927
225,date,5.893939921063218
226,famous,5.887100435576471
227,nannie,5.887100435576471
228,mimi,5.863880641853106
229,stomach,5.841307856128281
230,hoped,5.841307856128281
231,hiding,5.830761476049514
232,quietly,5.789224051837001
233,bright,5.737677203542696
234,slid,5.666354773307307
235,waving,5.666354773307307
236,round,5.666354773307307
237,worse,5.6613398428887525
238,join,5.6613398428887525
239,share,5.63959882070412
240,math,5.611088163621245
241,silly,5.611088163621245
242,became,5.536645101152493
243,upset,5.512075027140347
244,song,5.508439529412157
245,mommy,5.476245447413088
246,record,5.463294152413524
247,upstairs,5.463294152413524
248,hit,5.4390810300345835
249,lips,5.431759864981276
250,above,5.431759864981276
251,listen,5.41498459785484
252,major,5.406523188208217
253,game,5.3910037365373755
254,forward,5.367137342774085
255,crowded,5.3565225371512915
256,uh,5.343384328981097
257,admit,5.343384328981097
258,tomorrow,5.343384328981097
259,stepsister,5.331754656159607
260,thomas,5.319743623001367
261,doorway,5.307139193862094
262,hide,5.307139193862094
263,student,5.28267428579235
264,dinner,5.272794921252172
265,pictures,5.258358101486821
266,kits,5.258358101486821
267,science,5.215211316444199
268,gasped,5.186284079476108
269,recently,5.162545137396849
270,space,5.162545137396849
271,grin,5.115485771078504
272,decide,5.092162089835331
273,crowd,5.068973619098028
274,students,5.053009652633372
275,climbed,5.000204016936537
276,feels,5.000204016936537
277,stories,4.888151872025841
278,dog,4.8661132487819625
279,shannon,4.844195385723459
280,strange,4.8223969666532005
281,hug,4.8223969666532005
282,immediately,4.8223969666532005
283,missing,4.800716696775844
284,helping,4.757705529670797
285,problems,4.757705529670797
286,fingers,4.736372145769347
287,fair,4.736372145769347
288,yelled,4.736372145769347
289,happens,4.7151519368505745
290,silence,4.7151519368505745
291,planned,4.7151519368505745
292,logan,4.673046284902624
293,angry,4.673046284902624
294,nobody,4.673046284902624
295,mess,4.673046284902624
296,jenny,4.65238087410037
297,charlie,4.631379241469601
298,clear,4.631379241469601
299,ride,4.631379241469601
300,ate,4.610707360835831
301,wall,4.610707360835831
302,possible,4.610707360835831
303,junior,4.590141762834157
304,settled,4.590141762834157
305,grew,4.569681360167075
306,bart,4.554800545761506
307,sweater,4.545780662501569
308,himself,4.529071874311002
309,reminded,4.508920698191174
310,drew,4.508920698191174
311,charge,4.46892036485284
312,usual,4.46892036485284
313,seems,4.46892036485284
314,named,4.46892036485284
315,gotten,4.46892036485284
316,secret,4.46892036485284
317,burst,4.4293160809219945
318,notice,4.4293160809219945
319,shop,4.415325326682353
320,private,4.409660021712278
321,grandmother,4.409660021712278
322,nervous,4.409660021712278
323,row,4.394123825013075
324,ideas,4.390100080535511
325,prezzioso,4.372856989350053
326,singing,4.352165099088856
327,laughter,4.352165099088856
328,accident,4.352165099088856
329,hate,4.351264824027667
330,threw,4.351264824027667
331,quite,4.351264824027667
332,california,4.3319876782838715
333,guy,4.3319876782838715
334,likes,4.3128029892299
335,cookies,4.310785132691848
336,window,4.293709874219268
337,spoke,4.293709874219268
338,chairs,4.290307237480649
339,dancing,4.290307237480649
340,sang,4.290307237480649
341,air,4.274707463184877
342,pleased,4.269968176524513
343,emergency,4.269968176524513
344,sighed,4.255794898401094
345,pencil,4.24976607998048
346,jacket,4.24976607998048
347,helped,4.236971334251443
348,town,4.236971334251443
349,street,4.236971334251443
350,bet,4.236971334251443
351,ones,4.2182359370017375
352,practically,4.2182359370017375
353,headed,4.2182359370017375
354,moments,4.189963435278028
355,neck,4.15074719057597
356,official,4.15074719057597
357,sun,4.15074719057597
358,tough,4.092867581771933
359,slightly,4.092867581771933
360,groaned,4.092867581771933
361,everywhere,4.073819898735957
362,earth,4.073819898735957
363,tree,4.073819898735957
364,wished,4.073819898735957
365,cream,4.054892391156162
366,broken,4.036083552115377
367,shopping,4.017391902863468
368,following,4.017391902863468
369,slipped,4.017391902863468
370,follow,3.998815992119705
371,flew,3.9803543953965703
372,officers,3.9803543953965703
373,born,3.9256416327472277
374,planning,3.9076235605665923
375,candy,3.9076235605665923
376,tall,3.871908853047637
377,plate,3.871908853047637
378,braddock,3.8637972590802923
379,paused,3.8542096866660724
380,feelings,3.836614328308878
381,crossed,3.836614328308878
382,boxes,3.8191215673764987
383,hungry,3.8017302143235208
384,folded,3.8017302143235208
385,loved,3.7844391001732705
386,seconds,3.7844391001732705
387,hundred,3.7672470760463153
388,careful,3.7672470760463153
389,spread,3.7501530127024028
390,shoulders,3.7331558000953704
391,happening,3.7331558000953704
392,jeff,3.716254346940602
393,sam,3.716254346940602
394,war,3.6916480415378063
395,bottom,3.6661139040193804
396,shaking,3.649584936586472
397,throat,3.6167977249899
398,janine,3.6167977249899
399,wide,3.6005375225818828
400,treasurer,3.5682791472530972
401,mostly,3.5682791472530972
402,whenever,3.55227910932701
403,handle,3.536363952637931
404,keeps,3.536363952637931
405,tonight,3.520532781335399
406,blonde,3.504784713676968
407,ring,3.504784713676968
408,vice,3.504784713676968
409,played,3.504784713676968
410,mansion,3.504784713676968
411,terrific,3.489118881733513
412,john,3.4768075442961326
413,den,3.4583742340862846
414,wrote,3.458030520626873
415,awhile,3.458030520626873
416,interesting,3.458030520626873
417,forgot,3.3968039057332517
418,park,3.386294361119891
419,grown,3.3816905236433805
420,andrea,3.3760125615488628
421,married,3.366652898172747
422,names,3.366652898172747
423,staring,3.35169027363963
424,connecticut,3.35169027363963
425,mystery,3.3512057418180716
426,wednesday,3.3368019056132434
427,wondered,3.321987060691496
428,third,3.3072450162842086
429,leaving,3.2925750604016333
430,wonder,3.2925750604016333
431,justin,3.285040783343136
432,waved,3.277976491448114
433,glanced,3.277976491448114
434,rolled,3.277976491448114
435,junk,3.2634486180207505
436,often,3.2634486180207505
437,signed,3.2494889073510898
438,kishi,3.2489907587129037
439,closed,3.2489907587129037
440,turning,3.234602241922425
441,become,3.234602241922425
442,break,3.234602241922425
443,deal,3.234602241922425
444,garage,3.233027909078059
445,light,3.2202824056644515
446,envelope,3.200506867334498
447,liked,3.1918461738008204
448,younger,3.1918461738008204
449,mine,3.1777285006885823
450,comes,3.1777285006885823
451,calling,3.1636769527513033
452,taken,3.1636769527513033
453,restaurant,3.1214451898212277
454,cheese,3.106001097633407
455,hospital,3.0754661533718304
456,flowers,3.060371742101064
457,apple,3.060371742101064
458,porch,3.0453903986427493
459,station,2.9865626282301623
460,tape,2.9721221322831886
461,excellent,2.9577851533259634
462,seats,2.9435502177882356
463,pikes,2.915380738024757
464,scary,2.9014433993925706
465,woke,2.887602513703423
466,english,2.873856755127899
467,lights,2.873856755127899
468,doorbell,2.873856755127899
469,supplies,2.8466454510163417
470,johnson,2.837016060816176
471,exciting,2.8331773866536536
