,term,score
0,danielle,984.417467047734
1,becca,190.58176590442594
2,kristy,132.5159313587312
3,charlotte,106.10358229132815
4,squirt,59.307458606603326
5,mary,59.05530311802433
6,hospital,58.433856914064776
7,claud,55.2082420129222
8,karen,46.806987793564474
9,stacey,45.74979515781176
10,mama,40.24298071483376
11,mal,34.49336509011327
12,jackie,34.028804655086695
13,jessi,30.648487589528735
14,ms,28.09895895659665
15,bsc,27.854123467909893
16,exclaimed,27.664244165014985
17,vanessa,26.41184447971716
18,claudia,25.534769390406563
19,nicky,25.139780611668172
20,children,24.908929150132263
21,cecelia,24.165789024096394
22,margo,23.63165032395746
23,daddy,23.580711712289066
24,sick,23.15071511398946
25,toys,22.500918076214415
26,letters,21.828627102783642
27,aunt,20.505911183394353
28,art,19.16291296731249
29,babies,18.544052112853613
30,teacher,18.413672225731133
31,popcorn,17.477061648103795
32,mallory,15.711046858139486
33,pike,15.64122127698494
34,questions,15.433810075992973
35,ears,14.865017387762409
36,writing,14.588829225415237
37,meetings,14.395277262996482
38,center,14.327953055410838
39,barn,13.845186199473785
40,eight,13.709266795255648
41,yup,13.706789920227486
42,stamford,13.570921021826106
43,raised,13.170300241606533
44,mommy,12.777906043963872
45,sitters,12.767384695203281
46,diabetes,12.108250656346131
47,fair,11.840930364423368
48,spoke,11.807702154102987
49,letter,11.717663533368201
50,clock,11.600148826754777
51,bus,11.199948646030471
52,member,11.024150054280694
53,class,10.639487246002734
54,thomas,10.639487246002734
55,liked,10.639487246002734
56,susan,10.590489724128364
57,moving,10.37409156188062
58,thinks,10.37409156188062
59,several,10.281783060375918
60,paused,10.277892497776193
61,eleven,10.145071570930142
62,third,9.921735048852625
63,desk,9.79034585406225
64,brothers,9.746972276138711
65,ramsey,9.732226497563925
66,faces,9.644793933306401
67,interrupted,9.601433393551687
68,tree,9.505579763717234
69,awhile,9.221414721671662
70,pictures,9.202126677601937
71,settled,9.180283525668314
72,connecticut,8.93784072970568
73,president,8.780200161071022
74,glanced,8.741270643861638
75,drive,8.741270643861638
76,sitter,8.702529648055334
77,picture,8.663975356567743
78,homework,8.55426577604522
79,brown,8.473942668502886
80,trip,8.4391946916431
81,however,8.379926870556057
82,um,8.251515889488505
83,whose,8.224073952136493
84,director,7.99763198423941
85,lucky,7.961318893740082
86,tired,7.961318893740082
87,doorway,7.960708790793141
88,himself,7.9258757800442545
89,johanssen,7.9212654616040385
90,charge,7.82061063849247
91,green,7.82061063849247
92,earlier,7.779426119214162
93,afraid,7.751303141613491
94,became,7.751303141613491
95,jobs,7.682675140937144
96,others,7.580978436996775
97,likes,7.547405231152325
98,beautiful,7.547405231152325
99,man,7.51399227988372
100,wears,7.5003060254048055
101,spend,7.480738060573535
102,besides,7.414699834940025
103,war,7.383296083075613
104,continued,7.381912889753041
105,garden,7.342270082406856
106,paint,7.253608498481427
107,pack,7.219006284258558
108,allowed,7.2010750451637655
109,office,7.2010750451637655
110,mail,7.1822487439520595
111,sang,7.150512062467747
112,chairs,7.150512062467747
113,crying,7.072727905275862
114,hallway,6.983272392130048
115,moments,6.983272392130048
116,gets,6.978237763467026
117,ride,6.947068862204401
118,watson,6.854522040250613
119,month,6.821445969619888
120,pair,6.7936078114665035
121,extra,6.7936078114665035
122,park,6.772588722239782
123,stace,6.737346203511162
124,math,6.733305796345494
125,star,6.7268059201922945
126,gotten,6.70338054727926
127,named,6.70338054727926
128,crowded,6.6956531714391145
129,jewelry,6.664693320199508
130,summer,6.633923992327617
131,ideas,6.585150120803267
132,york,6.555952982896228
133,born,6.542736054578713
134,nine,6.526897236041501
135,tears,6.526897236041501
136,announced,6.526897236041501
137,certain,6.512705934277654
138,control,6.423682811110121
139,envelope,6.401013734668996
140,helped,6.3554570013771645
141,explained,6.3554570013771645
142,town,6.3554570013771645
143,awful,6.327353905502607
144,families,6.307398500288785
145,purple,6.305391651254778
146,legs,6.165745967157655
147,associate,6.165745967157655
148,dues,6.137890741910378
149,blood,6.120743484202128
150,themselves,6.110189840032301
151,dear,6.0610408833354255
152,fight,6.000895870969805
153,company,5.973941627795423
154,backyard,5.9731252564603246
155,problems,5.947131912088496
156,shouldn,5.920465182211684
157,fire,5.887100435576471
158,unless,5.841307856128281
159,teachers,5.830761476049514
160,wild,5.815198136222522
161,interesting,5.763384201044789
162,wrote,5.763384201044789
163,needs,5.763384201044789
164,bedroom,5.737677203542696
165,bags,5.666354773307307
166,hat,5.666354773307307
167,list,5.6613398428887525
168,strong,5.613020649829446
169,kinds,5.613020649829446
170,sisters,5.611088163621245
171,although,5.611088163621245
172,age,5.586150456066051
173,grinned,5.512075027140347
174,upset,5.512075027140347
175,seventh,5.508439529412157
176,wonderful,5.487625100669389
177,spier,5.487625100669389
178,record,5.463294152413524
179,cry,5.463294152413524
180,hate,5.4390810300345835
181,group,5.4390810300345835
182,quite,5.4390810300345835
183,prepared,5.431759864981276
184,california,5.41498459785484
185,bag,5.41498459785484
186,mcgill,5.41498459785484
187,piece,5.3910037365373755
188,surprise,5.3910037365373755
189,uh,5.343384328981097
190,worked,5.319743623001367
191,excited,5.319743623001367
192,mine,5.296214167814304
193,news,5.296214167814304
194,student,5.28267428579235
195,monday,5.272794921252172
196,kits,5.258358101486821
197,return,5.23418884366297
198,fill,5.210164747422123
199,child,5.162545137396849
200,space,5.162545137396849
201,decide,5.092162089835331
202,drove,5.092162089835331
203,students,5.053009652633372
204,ground,5.022996101395087
205,ballet,5.000204016936537
206,giggled,4.955005795920803
207,jeff,4.955005795920803
208,color,4.910312593528302
209,vacation,4.89912976947072
210,signed,4.874233361026635
211,spot,4.8661132487819625
212,garage,4.849541863617088
213,proud,4.844195385723459
214,janine,4.8223969666532005
215,immediately,4.8223969666532005
216,softly,4.800716696775844
217,treasurer,4.757705529670797
218,helping,4.757705529670797
219,mostly,4.757705529670797
220,calm,4.7151519368505745
221,nearly,4.694043708447198
222,mention,4.694043708447198
223,michael,4.673046284902624
224,mess,4.673046284902624
225,david,4.673046284902624
226,pen,4.659001646450111
227,wondering,4.652158508978017
228,wall,4.610707360835831
229,jeans,4.590141762834157
230,grew,4.569681360167075
231,reach,4.569681360167075
232,clean,4.54932508213719
233,schafer,4.54932508213719
234,hot,4.54932508213719
235,lessons,4.523640340608702
236,none,4.46892036485284
237,lived,4.46892036485284
238,seems,4.46892036485284
239,neither,4.4490692074843246
240,loves,4.4490692074843246
241,wondered,4.4293160809219945
242,leaned,4.409660021712278
243,evening,4.409660021712278
244,wonder,4.390100080535511
245,boys,4.390100080535511
246,its,4.390100080535511
247,repeated,4.390100080535511
248,often,4.351264824027667
249,junk,4.351264824027667
250,supplies,4.269968176524513
251,younger,4.255794898401094
252,changed,4.255794898401094
253,obviously,4.24976607998048
254,comes,4.236971334251443
255,bet,4.236971334251443
256,question,4.2182359370017375
257,bored,4.209765487372085
258,luckily,4.189963435278028
259,official,4.15074719057597
260,slow,4.15074719057597
261,van,4.127652345165388
262,wished,4.073819898735957
263,giggling,4.054892391156162
264,honest,4.036083552115377
265,simple,4.017391902863468
266,teeth,4.017391902863468
267,stepsister,3.998815992119705
268,leaning,3.998815992119705
269,twice,3.9803543953965703
270,project,3.9620057143442624
271,lifted,3.9620057143442624
272,rodowsky,3.909253761235404
