,term,score
0,rosie,1293.7499864008116
1,stacey,97.88328266322516
2,janine,83.1863476747677
3,kristy,81.21944180051267
4,uncle,73.38630112554254
5,jessi,69.54849106854597
6,mary,53.782508196772156
7,ms,47.324562453215414
8,claudia,44.68584643321149
9,drawing,34.98456885629709
10,art,34.9441354109816
11,uh,30.99162910809036
12,bsc,24.220976928617297
13,junk,21.756324120138334
14,homework,20.774645456109823
15,van,20.63826172582694
16,practice,19.90177197698285
17,project,19.81002857172131
18,stage,19.203041204006986
19,music,19.183071641544387
20,milk,17.986571159162537
21,letters,17.73575952101171
22,thursday,17.50071405927788
23,york,17.482541287723276
24,den,17.291871170431424
25,alan,16.8243750858878
26,dear,16.66786242917242
27,mal,16.65196935384779
28,daughter,16.60298876230388
29,painting,16.414115061607568
30,garage,16.165139545390296
31,huh,16.10376883674261
32,teachers,16.034594059136165
33,tv,15.922637787480165
34,science,15.645633949332597
35,sitters,14.89528214440383
36,math,14.588829225415237
37,rehearsal,14.37109985122282
38,basement,14.209152801047306
39,kishi,14.078959954422583
40,bag,14.078959954422583
41,tape,13.374549595274349
42,backpack,13.198802998452969
43,audience,12.920768145382322
44,dance,12.847365622220241
45,figure,12.824122389554631
46,teacher,12.275781483820756
47,man,11.807702154102987
48,daddy,11.790355856144533
49,played,11.682615712256561
50,ballet,11.250459038107207
51,pieces,11.173235827408076
52,staring,11.172300912132101
53,expression,11.120776623038804
54,third,11.024150054280694
55,sitter,10.878162060069167
56,barrett,10.714836066255899
57,excited,10.639487246002734
58,liked,10.639487246002734
59,machine,10.606821545836995
60,wall,10.37409156188062
61,downstairs,10.281783060375918
62,lit,10.252955591697177
63,letter,10.252955591697177
64,stared,10.099958694518241
65,scene,10.058498642947646
66,filled,9.921735048852625
67,smart,9.910011591841606
68,mimi,9.77313440308851
69,song,9.639769176471274
70,taken,9.49103085825391
71,clock,9.49103085825391
72,acting,9.46141557936438
73,mention,9.388087416894397
74,simple,9.37391444001476
75,opening,9.244680000136611
76,twenty,9.221414721671662
77,awhile,9.221414721671662
78,loudly,9.221414721671662
79,center,9.117788307988715
80,candy,9.117788307988715
81,station,8.959687884690487
82,marilyn,8.92352102898344
83,salad,8.916366396849565
84,hungry,8.870703833421548
85,upstairs,8.741270643861638
86,singing,8.704330198177711
87,lights,8.621570265383696
88,dancing,8.580614474961298
89,sigh,8.55426577604522
90,changed,8.511589796802188
91,class,8.511589796802188
92,practically,8.436471874003475
93,rose,8.421682754388954
94,artist,8.41953097474417
95,claud,8.401254219357726
96,clients,8.401254219357726
97,contest,8.35920663594382
98,thrilled,8.185735163543866
99,fortunately,8.1652162824512
100,woman,8.1049136725718
101,camera,8.104343378399388
102,ew,8.082569772695148
103,arnold,7.95887280171589
104,drew,7.890611221834554
105,dumb,7.887537152230232
106,pop,7.772792739176317
107,meetings,7.751303141613491
108,schedule,7.743817706095274
109,classes,7.743817706095274
110,friendly,7.743817706095274
111,member,7.7169050379964865
112,grin,7.673228656617756
113,quite,7.6147134420484175
114,group,7.6147134420484175
115,shrugged,7.480738060573535
116,sign,7.480738060573535
117,imagine,7.480738060573535
118,stepped,7.414699834940025
119,dinner,7.381912889753041
120,tuesday,7.2335954499798
121,relieved,7.2010750451637655
122,helping,7.1365582945061945
123,fifteen,7.10455821865402
124,obviously,7.082943466634134
125,bunch,6.947068862204401
126,interesting,6.916061041253746
127,finish,6.916061041253746
128,movie,6.885212644251235
129,sad,6.885212644251235
130,above,6.789699831226596
131,cat,6.789699831226596
132,ha,6.772588722239782
133,glasses,6.763381047286761
134,cream,6.758153985260272
135,carolyn,6.738443188129946
136,conversation,6.733305796345494
137,secret,6.70338054727926
138,age,6.70338054727926
139,chocolate,6.6956531714391145
140,sense,6.643974121382992
141,nervous,6.614490032568417
142,evening,6.614490032568417
143,questions,6.614490032568417
144,repeated,6.585150120803267
145,stairs,6.585150120803267
146,ice,6.572947626858526
147,announced,6.526897236041501
148,desk,6.526897236041501
149,costume,6.516119271668781
150,snack,6.512705934277654
151,box,6.497981517425807
152,piece,6.46920448384485
153,break,6.46920448384485
154,light,6.440564811328903
155,younger,6.383692347601641
156,street,6.3554570013771645
157,comes,6.3554570013771645
158,brown,6.3554570013771645
159,headed,6.327353905502607
160,gray,6.307398500288785
161,subject,6.193757244901004
162,glass,6.165745967157655
163,stupid,6.137890741910378
164,note,6.082641560977454
165,lessons,6.031520454144935
166,luck,6.027996208316501
167,normal,6.000895870969805
168,yourself,5.973941627795423
169,yelled,5.920465182211684
170,shoes,5.893939921063218
171,date,5.893939921063218
172,famous,5.887100435576471
173,loud,5.841307856128281
174,bent,5.830761476049514
175,gets,5.815198136222522
176,college,5.802886798785141
177,weeks,5.763384201044789
178,needs,5.763384201044789
179,exclaimed,5.763384201044789
180,body,5.737677203542696
181,interested,5.7121017002088434
182,watson,5.7121017002088434
183,mumbled,5.693290902032683
184,clean,5.686656352671488
185,hanging,5.686656352671488
186,schafer,5.686656352671488
187,waving,5.666354773307307
188,boo,5.66380651835709
189,wow,5.611088163621245
190,somehow,5.611088163621245
191,mallory,5.611088163621245
192,named,5.586150456066051
193,hardly,5.536645101152493
194,eating,5.512075027140347
195,coffee,5.508439529412157
196,couch,5.508439529412157
197,spier,5.487625100669389
198,president,5.487625100669389
199,regular,5.487625100669389
200,boys,5.487625100669389
201,enjoy,5.482715968090995
202,rolled,5.463294152413524
203,tears,5.4390810300345835
204,hate,5.4390810300345835
205,checked,5.4390810300345835
206,super,5.431759864981276
207,wished,5.431759864981276
208,picture,5.41498459785484
209,star,5.381444736153836
210,spoke,5.367137342774085
211,following,5.3565225371512915
212,putting,5.343384328981097
213,style,5.331754656159607
214,thomas,5.319743623001367
215,million,5.307139193862094
216,besides,5.296214167814304
217,rules,5.28267428579235
218,question,5.272794921252172
219,send,5.258358101486821
220,joke,5.258358101486821
221,picking,5.186284079476108
222,promise,5.138946248888097
223,aside,5.068973619098028
224,american,4.955005795920803
225,buddy,4.949551124419863
226,color,4.910312593528302
227,themselves,4.888151872025841
228,kit,4.874233361026635
229,ramsey,4.8661132487819625
230,shannon,4.844195385723459
231,missing,4.800716696775844
232,gently,4.757705529670797
233,shouldn,4.736372145769347
234,weekend,4.7151519368505745
235,silence,4.7151519368505745
236,um,4.7151519368505745
237,squirt,4.682167784731842
238,logan,4.673046284902624
239,wild,4.652158508978017
240,charlie,4.631379241469601
241,hang,4.610707360835831
242,dress,4.590141762834157
243,bright,4.590141762834157
244,buy,4.590141762834157
245,grew,4.569681360167075
246,tired,4.54932508213719
247,screamed,4.523640340608702
248,study,4.5016622203324825
249,writing,4.488870530896996
250,green,4.46892036485284
251,connecticut,4.46892036485284
252,usual,4.46892036485284
253,neither,4.4490692074843246
254,notice,4.4293160809219945
255,ended,4.4293160809219945
256,afraid,4.4293160809219945
257,shop,4.415325326682353
258,sick,4.409660021712278
259,known,4.390100080535511
260,glanced,4.370635321930819
261,paint,4.352165099088856
262,asking,4.351264824027667
263,children,4.3319876782838715
264,guy,4.3319876782838715
265,brothers,4.3319876782838715
266,others,4.3319876782838715
267,example,4.331403770555134
268,surprise,4.3128029892299
269,likes,4.3128029892299
270,doorbell,4.310785132691848
271,tomorrow,4.274707463184877
272,supplies,4.269968176524513
273,card,4.269968176524513
274,worked,4.255794898401094
275,pencil,4.24976607998048
276,helped,4.236971334251443
277,monday,4.2182359370017375
278,softball,4.209765487372085
279,dying,4.189963435278028
280,brain,4.170291233639551
281,official,4.15074719057597
282,nancy,4.1120369760682465
283,yup,4.1120369760682465
284,tough,4.092867581771933
285,honey,4.092867581771933
286,broken,4.036083552115377
287,shopping,4.017391902863468
288,main,3.998815992119705
289,pass,3.9620057143442624
290,pile,3.9620057143442624
291,pictures,3.943768576115116
292,mood,3.836614328308878
293,warm,3.8191215673764987
294,wore,3.8191215673764987
295,boxes,3.8191215673764987
296,numbers,3.8017302143235208
297,folded,3.8017302143235208
298,seconds,3.7844391001732705
299,insisted,3.7844391001732705
300,sweet,3.7501530127024028
301,invited,3.7331558000953704
302,officer,3.7331558000953704
303,jeff,3.716254346940602
304,bell,3.716254346940602
305,silent,3.6994475802945925
306,legs,3.6994475802945925
307,amazing,3.6994475802945925
