,term,score
0,mary,341.6771108971407
1,stacey,103.20302628622653
2,kristy,87.63150299528999
3,logan,78.27352527211896
4,claudia,73.41246199741887
5,richard,65.66070061415608
6,claud,49.2073461419524
7,picture,41.15388294369678
8,popcorn,40.19724179063873
9,makeup,33.04935268397084
10,jeff,32.20753767348522
11,tape,31.20728238897348
12,boys,28.53565052348082
13,mal,26.16738041318938
14,jessi,25.93333565267816
15,eating,25.355545124845598
16,date,24.754547668465516
17,movie,19.508102492045165
18,bsc,19.376781542893838
19,stairs,18.657925342275924
20,california,17.327950713135486
21,admitted,17.161228949922595
22,bruno,15.743635003601243
23,wore,15.276486269505995
24,letters,15.007181133163755
25,awhile,14.98479892271645
26,sad,14.917960729211009
27,bedroom,14.917960729211009
28,writing,14.588829225415237
29,coat,14.25827783088727
30,snow,14.182600912198929
31,camera,14.182600912198929
32,bag,14.078959954422583
33,likes,14.016609714997175
34,mad,13.347207622452974
35,letter,13.182371475039226
36,fashion,13.056495297266567
37,liked,12.767384695203281
38,insisted,12.61479700057757
39,sent,12.387514489802008
40,super,12.221459696207871
41,eye,11.912966115280646
42,pictures,11.831305728345347
43,cute,11.630396272445044
44,quint,11.566756925432248
45,cookies,11.495427020511595
46,interested,11.424203400417687
47,totally,11.322679685777505
48,pair,11.322679685777505
49,conversation,11.22217632724249
50,bottom,10.998341712058142
51,record,10.926588304827048
52,window,10.73427468554817
53,bought,10.609091857913793
54,counter,10.606821545836995
55,lose,10.516716202973642
56,camp,10.515234428679875
57,expected,10.514354141030905
58,drawing,10.20383258308665
59,water,10.190411717199755
60,evening,9.921735048852625
61,jacket,9.916120853287788
62,upstairs,9.833929474344343
63,teacher,9.820625187056605
64,pop,9.715990923970397
65,boyfriend,9.660847216993353
66,putting,9.618091792165973
67,explained,9.533185502065747
68,clock,9.49103085825391
69,sleeping,9.272026056426807
70,pete,9.2386445403959
71,suppose,9.22639846011549
72,interesting,9.221414721671662
73,dumb,9.202126677601937
74,bart,9.109601091523013
75,beside,9.075997139083189
76,picnic,8.977810929940075
77,rock,8.959687884690487
78,plan,8.93784072970568
79,ben,8.92352102898344
