,term,score
0,laine,1235.6205975268838
1,pete,159.36661832182926
2,valentine,144.541794467098
3,kristy,116.4857783717879
4,dance,100.20945185331789
5,claud,94.81415476132291
6,carolyn,92.09205690444259
7,jessi,77.80000695803449
8,king,75.03541080896807
9,mary,74.87368788178084
10,marilyn,62.46464720288408
11,nicky,57.26283361546639
12,party,54.34886249173203
13,james,52.017994065990116
14,bsc,49.65300270366546
15,mal,42.81934976703717
16,exclaimed,36.88565888668665
17,ben,35.69408411593376
18,barn,33.624023627293475
19,cards,33.338896163318424
20,fight,30.004479354849025
21,bart,29.60620354744979
22,york,29.501788423033027
23,claudia,28.726615564207382
24,boys,27.438125503346946
25,mallory,26.933223185381976
26,card,22.773163608130734
27,stacey,21.278974492005467
28,twins,18.24197170921983
29,gym,17.602787770339738
30,logan,17.52392356838484
31,flowers,16.832044581555852
32,pike,16.758451368198152
33,train,16.669448081659212
34,likes,16.173011209612127
35,coat,15.842530923208077
36,karen,15.602329264521492
37,seventh,15.148208705883432
38,eight,14.763825779506082
39,stace,13.474692407022324
40,conversation,13.466611592690988
41,tonight,12.908620198229796
42,spoke,12.881129622657806
43,sitters,12.767384695203281
44,visit,12.736292914041401
45,band,12.299671336121532
46,pink,12.275781483820756
47,bathroom,12.055992416633002
48,upstairs,12.019247135309753
49,arnold,11.938309202573834
50,date,11.787879842126436
51,shrugged,11.755445523758413
52,vacation,11.43130279543168
53,however,11.173235827408076
54,yup,10.96543193618199
55,brothers,10.82996919570968
56,boyfriend,10.73427468554817
57,claire,10.713045074302583
58,fifteen,10.65683732798103
59,library,10.555160794753636
60,david,10.514354141030905
61,michael,10.514354141030905
62,several,10.281783060375918
63,music,10.230971542157008
64,dancing,10.010716887454846
65,mad,10.010405716839731
66,wonderful,9.8777251812049
67,wonder,9.8777251812049
68,spend,9.618091792165973
69,town,9.533185502065747
70,yelled,9.472744291538694
71,bought,9.430303873701149
72,um,9.430303873701149
73,cute,9.304317017956034
74,charlie,9.262758482939201
75,receiver,9.22639846011549
76,ate,9.221414721671662
77,earrings,8.78824765002615
78,pikes,8.746142214074272
79,popcorn,8.738530824051898
80,dressed,8.587419748438537
81,homework,8.55426577604522
82,supplies,8.539936353049026
83,excited,8.511589796802188
84,younger,8.511589796802188
85,monday,8.436471874003475
86,terrific,8.14127739071153
87,bunch,8.1049136725718
88,awesome,7.9212654616040385
89,grown,7.890611221834554
90,sms,7.881739564068473
91,afraid,7.751303141613491
92,meetings,7.751303141613491
93,joined,7.7169050379964865
94,evening,7.7169050379964865
95,paused,7.708419373332145
96,repeated,7.682675140937144
97,jobs,7.682675140937144
98,president,7.682675140937144
99,quite,7.6147134420484175
100,children,7.580978436996775
101,guy,7.580978436996775
102,suit,7.539400567681169
103,wears,7.5003060254048055
104,pay,7.447641072201915
105,clock,7.381912889753041
106,sixth,7.365468890292453
107,letter,7.323539708355126
108,paint,7.253608498481427
109,interrupted,7.2010750451637655
110,angry,7.009569427353936
111,vanessa,6.950485389399253
112,mentioned,6.947068862204401
113,jeans,6.885212644251235
114,downstairs,6.854522040250613
115,speak,6.7936078114665035
116,eleven,6.763381047286761
117,age,6.70338054727926
118,connecticut,6.70338054727926
119,forth,6.6956531714391145
120,shopping,6.6956531714391145
121,slipped,6.6956531714391145
122,neither,6.673603811226487
123,leaning,6.664693320199508
124,stepsister,6.664693320199508
125,jewelry,6.664693320199508
126,doorway,6.633923992327617
127,member,6.614490032568417
128,its,6.585150120803267
129,divorced,6.585150120803267
130,glanced,6.555952982896228
131,born,6.542736054578713
132,nine,6.526897236041501
133,candy,6.512705934277654
134,signed,6.4989778147021795
135,closed,6.497981517425807
136,certainly,6.4828550993451355
137,break,6.46920448384485
138,sign,6.412061194777316
139,apartment,6.390226674371684
140,drove,6.365202612294164
141,stick,6.336217023872535
142,ones,6.327353905502607
143,taken,6.327353905502607
144,bottle,6.242890379642455
145,closet,6.082641560977454
146,horse,6.0610408833354255
147,faces,6.027996208316501
148,station,5.9731252564603246
149,haley,5.933651228345908
150,mention,5.867554635558998
151,drawing,5.830761476049514
152,awhile,5.763384201044789
153,makeup,5.747713510255798
154,dress,5.737677203542696
155,buy,5.737677203542696
156,list,5.6613398428887525
157,thirteen,5.6613398428887525
158,art,5.636150872738968
159,although,5.611088163621245
160,sisters,5.611088163621245
161,names,5.611088163621245
162,moments,5.586617913704038
163,none,5.586150456066051
164,lived,5.586150456066051
165,margo,5.560388311519402
166,decision,5.508439529412157
167,leaving,5.487625100669389
168,ideas,5.487625100669389
169,regular,5.487625100669389
170,rolled,5.463294152413524
171,record,5.463294152413524
172,honey,5.4571567756959105
173,familiar,5.4571567756959105
174,sitter,5.4390810300345835
175,often,5.4390810300345835
176,junk,5.4390810300345835
177,group,5.4390810300345835
178,checked,5.4390810300345835
179,box,5.41498459785484
180,kishi,5.41498459785484
181,others,5.41498459785484
182,bag,5.41498459785484
183,beautiful,5.3910037365373755
184,surprise,5.3910037365373755
185,notebook,5.367137342774085
186,following,5.3565225371512915
187,figure,5.343384328981097
188,tomorrow,5.343384328981097
189,changed,5.319743623001367
190,liked,5.319743623001367
191,worked,5.319743623001367
192,frowned,5.307139193862094
193,skin,5.307139193862094
194,brown,5.296214167814304
195,mine,5.296214167814304
196,stepped,5.296214167814304
197,street,5.296214167814304
198,neat,5.28267428579235
199,continued,5.272794921252172
200,pictures,5.258358101486821
201,kits,5.258358101486821
202,tall,5.162545137396849
203,control,5.138946248888097
204,muttered,5.115485771078504
205,embarrassed,5.045918800231028
206,carrying,5.045918800231028
207,excuse,5.000204016936537
208,invited,4.977541066793827
209,giggled,4.955005795920803
210,buddy,4.949551124419863
211,painting,4.92423451848227
212,welcome,4.8661132487819625
213,games,4.844195385723459
214,immediately,4.8223969666532005
215,trip,4.8223969666532005
216,team,4.8223969666532005
217,envelope,4.8007603010017466
218,company,4.779153302236338
219,mostly,4.757705529670797
220,purple,4.729043738441083
221,weekend,4.7151519368505745
222,neighborhood,4.7151519368505745
223,ring,4.673046284902624
224,wondering,4.652158508978017
225,ride,4.631379241469601
226,charlotte,4.613199230057745
227,whether,4.610707360835831
228,thinks,4.610707360835831
229,needs,4.610707360835831
230,bright,4.590141762834157
231,watson,4.569681360167075
232,entire,4.569681360167075
233,tv,4.54932508213719
234,forgotten,4.54932508213719
235,hanging,4.54932508213719
236,sweater,4.545780662501569
237,water,4.529071874311002
238,study,4.5016622203324825
239,lunch,4.46892036485284
240,secret,4.46892036485284
241,tape,4.458183198424782
242,wednesday,4.4490692074843246
243,hardly,4.4293160809219945
244,third,4.409660021712278
245,eating,4.409660021712278
246,grinned,4.409660021712278
247,stairs,4.390100080535511
248,teachers,4.373071107037136
249,drive,4.370635321930819
250,doors,4.352165099088856
251,cookies,4.310785132691848
252,forward,4.293709874219268
253,window,4.293709874219268
254,grabbed,4.255794898401094
255,class,4.255794898401094
256,sighed,4.255794898401094
257,bet,4.236971334251443
258,calling,4.2182359370017375
259,stuffed,4.209765487372085
260,slow,4.15074719057597
261,neck,4.15074719057597
262,song,4.131329647059117
263,matt,4.127652345165388
264,nope,4.1120369760682465
265,enjoy,4.1120369760682465
266,snow,4.052171689199694
267,diabetes,4.036083552115377
268,jumping,4.036083552115377
269,simple,4.017391902863468
270,main,3.998815992119705
271,million,3.9803543953965703
272,summer,3.9803543953965703
273,return,3.9256416327472277
274,mimi,3.909253761235404
275,outfit,3.9076235605665923
276,pop,3.8863963695881587
277,child,3.871908853047637
278,disappointed,3.871908853047637
279,space,3.871908853047637
280,braddock,3.8637972590802923
281,quint,3.855585641810749
282,promise,3.8542096866660724
283,letting,3.8542096866660724
284,crossed,3.836614328308878
285,apart,3.836614328308878
286,oldest,3.8191215673764987
287,plans,3.7501530127024028
288,feels,3.7501530127024028
289,officer,3.7331558000953704
290,somewhere,3.716254346940602
291,sam,3.716254346940602
292,subject,3.716254346940602
293,expect,3.6827344451462265
294,promised,3.6661139040193804
295,ourselves,3.6661139040193804
296,note,3.649584936586472
297,rain,3.630729626568389
298,sight,3.6167977249899
299,strange,3.6167977249899
300,keeping,3.6167977249899
301,relieved,3.6005375225818828
302,softly,3.6005375225818828
303,yourself,3.5843649766772536
304,treasurer,3.5682791472530972
305,planned,3.536363952637931
306,shoes,3.536363952637931
307,silence,3.536363952637931
308,nearly,3.520532781335399
309,unless,3.504784713676968
310,mess,3.504784713676968
311,vice,3.504784713676968
312,hoped,3.504784713676968
313,quick,3.489118881733513
314,covered,3.489118881733513
315,absolutely,3.489118881733513
316,birthday,3.4768075442961326
317,speaking,3.4735344311022005
318,wall,3.458030520626873
319,finish,3.458030520626873
320,interesting,3.458030520626873
321,wrote,3.458030520626873
322,weeks,3.458030520626873
323,hang,3.458030520626873
324,eighth,3.4426063221256173
325,junior,3.4426063221256173
326,bedroom,3.4426063221256173
327,shut,3.4272610201253064
328,grew,3.4272610201253064
329,ear,3.4119938116028923
330,secretary,3.3968039057332517
331,join,3.3968039057332517
332,forgot,3.3968039057332517
333,reminded,3.3816905236433805
334,glasses,3.3816905236433805
335,students,3.368673101755581
336,math,3.366652898172747
337,silly,3.366652898172747
338,longer,3.366652898172747
339,charge,3.35169027363963
340,takes,3.35169027363963
341,listened,3.3368019056132434
342,sunny,3.3338896163318426
343,plenty,3.3072450162842086
344,upset,3.3072450162842086
345,grandmother,3.3072450162842086
346,filled,3.3072450162842086
347,explain,3.2925750604016333
348,handed,3.277976491448114
349,cry,3.277976491448114
350,desk,3.2634486180207505
351,california,3.2489907587129037
352,mcgill,3.2489907587129037
353,waited,3.2489907587129037
354,listen,3.2489907587129037
355,uh,3.206030597388658
356,sergeant,3.201659174404085
357,krushers,3.200506867334498
358,thomas,3.1918461738008204
359,johanssen,3.1685061846416156
360,practically,3.1636769527513033
361,test,3.1370094707053378
362,pen,3.106001097633407
363,sleeping,3.0906753521422687
364,apple,3.060371742101064
365,soda,3.0453903986427493
366,charges,3.001108146888322
367,nina,2.9865477947871395
368,safe,2.9435502177882356
369,hiding,2.915380738024757
370,adam,2.915380738024757
371,jump,2.915380738024757
372,singing,2.9014433993925706
373,pack,2.887602513703423
374,becca,2.887602513703423
375,fancy,2.873856755127899
376,admitted,2.860204824987099
377,murmured,2.860204824987099
378,mumbled,2.8466454510163417
379,area,2.8331773866536536
380,pencil,2.8331773866536536
381,obviously,2.8331773866536536
382,jacket,2.8331773866536536
383,bored,2.806510324914723
384,concerned,2.780194155759701
385,pale,2.7542197647060784
386,shrieked,2.7413579840454974
387,roll,2.7413579840454974
388,add,2.7413579840454974
389,history,2.7285783878479553
390,tough,2.7285783878479553
391,gorgeous,2.7285783878479553
392,slightly,2.7285783878479553
393,lips,2.715879932490638
