,term,score
0,logan,150.70574268810964
1,kristy,103.66165598223327
2,babies,78.81222147962785
3,rose,77.47948134037837
4,stacey,69.15666709901778
5,linny,64.66994933050269
6,class,55.32533367921422
7,sharon,52.645579585241634
8,married,48.255358207142706
9,twins,44.775748740812304
10,mal,38.06164423736637
11,hannie,37.487960885865064
12,alan,33.6487501717756
13,claud,33.605016877430906
14,child,33.55654339307952
15,box,31.40691066755807
16,vanessa,29.19203863547686
17,mary,26.36397460626086
18,children,23.825932230561293
19,jessi,22.39697170004023
20,bsc,20.5878303893247
21,claudia,20.215025767405194
22,desk,18.492875502117585
23,bowl,18.156508219538125
24,project,17.168691428825138
25,seat,16.38988245724057
26,exclaimed,16.13747576292541
27,named,15.64122127698494
28,crying,15.324243794764367
29,teacher,14.730937780584906
30,sitter,14.141610678089918
31,popcorn,13.981649318483036
32,nicky,13.966544784260096
33,daughter,13.835823968586567
34,sitters,13.831333419803554
35,movie,13.77042528850247
36,pair,13.587215622933007
37,mallory,13.466611592690988
38,byron,13.182371475039226
39,um,12.96666782633908
40,ring,12.850877283482218
41,bedroom,12.622889847793932
42,margo,12.510873700918655
43,bottle,12.48578075928491
44,empty,12.399531920025728
45,month,12.278602745315798
46,handed,12.019247135309753
47,richard,11.938309202573834
48,stace,11.790355856144533
49,safe,11.774200871152942
50,dress,11.475354407085392
51,gym,11.201774035670743
52,homework,10.998341712058142
53,tears,10.878162060069167
54,dining,10.871003841716925
55,man,10.73427468554817
56,claire,10.713045074302583
57,tonight,10.561598344006196
58,tired,10.235981434808677
59,adam,10.20383258308665
60,pet,9.948591002144862
61,bell,9.910011591841606
62,raised,9.8777251812049
63,bag,9.746972276138711
64,brothers,9.746972276138711
65,become,9.703806725767276
66,tigger,9.699083727234177
67,garage,9.699083727234177
68,spoke,9.660847216993353
69,changed,9.57553852140246
70,pay,9.57553852140246
71,bet,9.533185502065747
72,taken,9.49103085825391
73,awhile,9.221414721671662
74,dear,9.091561325003138
75,yellow,8.993155935554169
76,sisters,8.977741061793992
77,although,8.977741061793992
78,became,8.858632161843989
79,evening,8.819320043424556
80,boys,8.780200161071022
81,explain,8.780200161071022
82,upstairs,8.741270643861638
83,expect,8.593047038674529
84,ourselves,8.55426577604522
85,apartment,8.52030223249558
86,carried,8.45939823105618
87,dinner,8.436471874003475
88,dollars,8.421682754388954
89,learned,8.401254219357726
90,baseball,8.379926870556057
91,gently,8.325984676923895
92,smell,8.262659294118235
93,handle,8.251515889488505
94,cute,8.14127739071153
95,eighth,8.032748084959774
96,grew,7.996942380292381
97,schafer,7.961318893740082
98,thirteen,7.9258757800442545
99,paused,7.708419373332145
100,junk,7.6147134420484175
101,beautiful,7.547405231152325
102,younger,7.447641072201915
103,jeff,7.432508693881204
104,salad,7.430305330707972
105,brown,7.414699834940025
106,seats,7.358875544470589
107,earrings,7.323539708355126
108,jordan,7.288451845061893
109,bruno,7.266293078585189
110,interrupted,7.2010750451637655
111,cake,7.1822487439520595
112,nearly,7.041065562670798
113,hallway,6.983272392130048
114,luckily,6.983272392130048
115,bill,6.950485389399253
116,watson,6.854522040250613
117,reminded,6.763381047286761
118,grown,6.763381047286761
119,conversation,6.733305796345494
120,pike,6.70338054727926
121,forth,6.6956531714391145
122,neither,6.673603811226487
123,lifted,6.603342857240437
124,york,6.555952982896228
125,cry,6.555952982896228
126,quite,6.526897236041501
127,checked,6.526897236041501
128,kit,6.4989778147021795
129,closed,6.497981517425807
130,figure,6.412061194777316
131,sighed,6.383692347601641
132,decide,6.365202612294164
