,term,score
0,jamie,385.7544495365981
1,claudia,145.76097527023745
2,mary,143.42002185805907
3,lucy,118.68203172270339
4,grace,100.59769895855973
5,bike,95.69132173878403
6,kristy,91.90621045847486
7,alan,86.22492231517498
8,melody,79.7795756047591
9,stacey,77.66825689581997
10,pete,62.36085064767232
11,president,61.461401127497155
12,science,53.89051693659005
13,practice,51.744607140155416
14,mal,49.95590806154336
15,cokie,49.16979981285029
16,class,48.94164133161258
17,karen,44.406629445176556
18,jessi,42.43636743165517
19,ball,38.65522125715715
20,david,36.21610870799534
21,michael,36.21610870799534
22,test,36.07560891311138
23,mallory,35.91096424717597
24,bart,31.883603820330546
25,newton,31.204647850229136
26,homework,30.550949200161504
27,driveway,30.23555908354922
28,cream,27.032615941041087
29,ice,26.291790507434104
30,krushers,25.604054938675983
31,emily,24.887705333969134
32,bsc,24.220976928617297
33,shannon,23.009928082186434
34,win,20.08938978892475
35,team,19.289587866612802
36,sms,18.916174953764333
37,matt,18.574435553244246
38,students,16.843365508777907
39,dance,16.701575308886312
40,bill,16.681164934558204
41,study,16.50609480788577
42,ms,16.2678183432928
43,listen,16.24495379356452
44,ride,16.2098273451436
45,notebook,16.101412028322255
46,claire,16.069567611453873
47,sitters,15.959230869004102
48,janine,15.672790141622901
49,claud,15.602329264521492
50,michelle,15.007181133163755
51,art,14.653992269121316
52,definitely,13.954557091212623
53,babies,13.90803908464021
54,tomorrow,13.892799255350852
55,sleep,13.832122082507492
56,lunch,13.40676109455852
57,chocolate,13.391306342878229
58,booth,13.367728449288052
59,nannie,13.24597598004706
60,waited,12.995963034851615
61,stick,12.67243404774507
62,headed,12.654707811005213
63,watson,12.566623740459455
64,stared,12.34439395996674
65,staring,12.28953100334531
66,ideas,12.072775221472655
67,luck,12.055992416633002
68,jackie,12.010166348854128
69,sitter,11.965978266076084
70,notes,11.774200871152942
71,uh,11.755445523758413
72,pizza,11.669139178821244
73,organized,11.562629059998217
74,example,11.550410054813693
75,gray,11.353317300519812
76,fall,11.322679685777505
77,field,11.315597681773205
78,although,11.22217632724249
79,green,11.172300912132101
80,purple,11.034435389695862
81,shrieked,10.96543193618199
82,pulling,10.948754809759416
83,sweater,10.606821545836995
84,susan,10.590489724128364
85,chips,10.503878514109127
86,absolutely,10.467356645200539
87,camera,10.130429222999236
88,puppy,10.001668848995529
89,cards,10.001668848995529
90,slid,9.916120853287788
91,jobs,9.8777251812049
92,seat,9.833929474344343
93,sixth,9.820625187056605
94,louie,9.800972342880655
95,fortunately,9.79825953894144
96,faces,9.644793933306401
97,worked,9.57553852140246
98,report,9.553327571819908
99,super,9.505579763717234
100,ones,9.49103085825391
101,charlie,9.262758482939201
102,rules,9.244680000136611
103,awhile,9.221414721671662
