,term,score
0,nina,447.9821692180709
1,jessi,222.79092901618964
2,horse,163.6481038500565
3,lessons,79.9176460174204
4,pow,79.68200932442905
5,class,73.41246199741887
6,vanessa,69.50485389399252
7,nicky,54.469524658614375
8,ring,52.57177070515453
9,stacey,48.94164133161258
10,margo,48.65339772579477
11,claire,46.8695722000738
12,buddy,46.19581049458539
13,claudia,44.68584643321149
14,sean,42.41144205991824
15,kristy,39.541044034460114
16,mallory,39.277617145348714
17,mary,34.800446480264334
18,claud,30.004479354849025
19,ride,28.946120259185005
20,mal,27.35680679560708
21,dream,24.780736273210437
22,carrot,24.76591407099233
23,bsc,24.220976928617297
24,ears,22.297526081643614
25,neck,22.137318349738507
26,david,21.02870828206181
27,stage,20.803294637674234
28,eight,20.036620700758252
29,murmured,20.021433774909692
30,several,19.42114578071007
31,shouted,19.40761345153455
32,ground,18.836235380231578
33,pocket,18.74782888002952
34,party,18.11628749724401
35,giggled,17.34252028572281
36,beautiful,17.2512119569196
37,continued,16.87294374800695
38,beside,16.85542325829735
39,audience,16.61241618692013
40,announced,16.31724309010375
41,forward,16.101412028322255
42,nose,14.917960729211009
43,bike,14.848653373259591
44,legs,14.79779032117837
45,fall,14.719483591510757
46,pike,14.523991185771731
47,led,14.459474924324056
48,afraid,14.395277262996482
49,grinned,14.331395070564904
50,piece,14.016609714997175
51,tomorrow,13.892799255350852
52,haley,13.845186199473785
53,wonderful,13.170300241606533
54,gasped,12.965710198690271
55,barely,12.767384695203281
56,hat,12.74929823994144
57,stepped,12.710914002754329
58,clock,12.654707811005213
59,luckily,12.569890305834086
60,foot,12.33149193431531
61,pink,12.275781483820756
62,tears,11.965978266076084
63,backyard,11.946250512920649
64,brothers,11.912966115280646
65,loud,11.682615712256561
66,hurried,11.495427020511595
67,crowd,11.405190642970563
68,ear,11.373312705342975
69,gray,11.353317300519812
70,jacket,11.332709546614614
71,sisters,11.22217632724249
72,coat,11.089771646245655
73,suzi,10.932142473375134
74,barrett,10.714836066255899
75,shrugged,10.686768657962194
76,explained,10.592428335628608
77,quick,10.467356645200539
78,triplets,10.372568158952216
79,entire,10.281783060375918
80,byron,10.252955591697177
81,english,10.058498642947646
82,named,10.05507082091889
83,sugar,10.045992202790174
84,wednesday,10.010405716839731
85,hardly,9.965961182074487
86,mumbled,9.963259078557195
87,leaned,9.921735048852625
88,raised,9.8777251812049
89,terrible,9.865193547452247
90,waved,9.833929474344343
91,listen,9.746972276138711
92,waited,9.746972276138711
93,luck,9.644793933306401
94,mine,9.533185502065747
95,fingers,9.472744291538694
96,giggling,9.46141557936438
