,term,score
0,kristy,206.25463509867032
1,alan,147.21328200151825
2,pool,127.94825801461421
3,mal,126.07919653627611
4,stacey,97.88328266322516
5,claudia,82.98800051882132
6,ms,81.339091716464
7,mama,80.48596142966753
8,becca,67.85865907203045
9,mary,63.27353905502606
10,charlotte,61.50932306743661
11,daddy,57.26744272984488
12,class,51.069538780813126
13,jessi,42.43636743165517
14,andrew,38.22762499637746
15,sports,37.087271840319154
16,jordan,36.44225922530946
17,linny,31.137383010982774
18,gym,28.80456180601048
19,ballet,28.751173097385085
20,sms,28.374262430646503
21,water,28.306699214443764
22,taylor,26.179604776104426
23,squirt,23.410838923659206
24,bsc,23.009928082186434
25,contest,20.89801658985955
26,starting,19.84347009770525
27,uh,19.236183584331947
28,track,19.116613208945353
29,hannie,18.743980442932532
30,huh,18.581271734703012
31,legs,18.497237901472964
32,cecelia,18.124341768072295
33,backyard,17.919375769380974
34,mallory,16.833264490863733
35,dance,16.701575308886312
36,summer,15.921417581586281
37,yelled,15.393209473750378
38,lessons,15.078801135362339
39,weeks,14.98479892271645
40,air,14.96147612114707
41,sitters,14.89528214440383
42,melody,14.773995482362796
43,pike,14.523991185771731
44,claud,14.402150090327531
45,gray,13.876276700635326
46,james,13.569911495475683
47,jumping,13.453611840384589
48,buddy,13.198802998452969
49,boys,13.170300241606533
50,jump,13.119213321111408
51,field,12.932111636312236
52,yard,12.906362843492122
53,ground,12.557490253487718
54,shoulders,12.443852666984567
55,carrot,12.382957035496165
56,team,12.055992416633002
57,jackie,12.010166348854128
58,aunt,11.717663533368201
59,classes,11.61572655914291
60,beat,11.173235827408076
61,official,11.068659174869254
62,tree,10.863519729962553
63,karen,10.801612567745648
64,ahead,10.782007473074751
65,style,10.663509312319214
66,thomas,10.639487246002734
67,screamed,10.555160794753636
68,clock,10.545589842504343
69,body,10.327818966376853
70,entered,10.325090274793698
71,watson,10.281783060375918
72,music,10.230971542157008
73,locker,10.212216767863147
74,crowd,10.137947238196055
75,became,9.965961182074487
76,exciting,9.916120853287788
77,announced,9.79034585406225
78,ourselves,9.776303744051681
79,shouted,9.703806725767276
80,forward,9.660847216993353
81,excited,9.57553852140246
82,brown,9.533185502065747
83,step,9.430303873701149
84,shot,9.388087416894397
85,loud,9.346092569805249
86,ball,9.330570648279313
87,weather,9.318003292900222
88,jenny,9.30476174820074
89,lifted,9.244680000136611
90,moving,9.221414721671662
91,finish,9.221414721671662
92,hot,9.09865016427438
93,suit,9.047280681217403
94,tea,8.785479525801094
95,suzi,8.745713978700106
96,group,8.702529648055334
97,worked,8.511589796802188
98,steps,8.4391946916431
99,awful,8.436471874003475
100,neck,8.30149438115194
101,stomach,8.177830998579593
102,garage,8.082569772695148
103,exclaimed,8.068737881462704
104,edge,7.960708790793141
105,practice,7.960708790793141
106,driveway,7.887537152230232
107,ice,7.887537152230232
108,braddock,7.7275945181605845
109,eating,7.7169050379964865
110,worst,7.708419373332145
111,regular,7.682675140937144
112,coach,7.638701971021744
113,surprise,7.547405231152325
114,hundred,7.5344941520926305
115,figure,7.480738060573535
116,grabbed,7.447641072201915
117,comes,7.414699834940025
118,lit,7.323539708355126
119,brewer,7.299169873172944
120,ramsey,7.299169873172944
121,using,7.299169873172944
122,bent,7.288451845061893
123,teachers,7.288451845061893
124,strange,7.2335954499798
125,energy,7.219006284258558
126,fancy,7.1846418878197476
127,strong,7.016275812286807
128,david,7.009569427353936
129,michael,7.009569427353936
130,vanessa,6.950485389399253
131,bill,6.950485389399253
132,tough,6.821445969619888
133,students,6.737346203511162
134,stace,6.737346203511162
135,lived,6.70338054727926
136,following,6.6956531714391145
137,ended,6.643974121382992
138,papadakis,6.603081882288538
139,brothers,6.497981517425807
140,deal,6.46920448384485
141,definitely,6.440564811328903
142,paused,6.423682811110121
143,tomorrow,6.412061194777316
144,shrugged,6.412061194777316
145,putting,6.412061194777316
146,sighed,6.383692347601641
147,warm,6.365202612294164
148,helped,6.3554570013771645
149,besides,6.3554570013771645
150,johanssen,6.337012369283231
151,eight,6.327353905502607
152,practically,6.327353905502607
153,test,6.2740189414106755
154,matt,6.191478517748083
155,win,6.1813507042845375
156,teacher,6.137890741910378
157,tuesday,6.027996208316501
158,lawn,5.9731252564603246
159,mostly,5.947131912088496
160,doctor,5.944244264566377
161,tape,5.944244264566377
162,shouldn,5.920465182211684
163,um,5.893939921063218
164,rodowsky,5.863880641853106
165,mansion,5.841307856128281
166,logan,5.841307856128281
167,wild,5.815198136222522
168,gets,5.815198136222522
169,laughter,5.802886798785141
170,cookies,5.747713510255798
171,single,5.737677203542696
172,shut,5.7121017002088434
173,seeing,5.686656352671488
174,tv,5.686656352671488
175,schafer,5.686656352671488
176,himself,5.6613398428887525
177,forgot,5.6613398428887525
178,pair,5.6613398428887525
179,conversation,5.611088163621245
180,sisters,5.611088163621245
181,nicky,5.586617913704038
182,burst,5.536645101152493
183,sense,5.536645101152493
184,nervous,5.512075027140347
185,jobs,5.487625100669389
186,spier,5.487625100669389
187,yup,5.482715968090995
188,record,5.463294152413524
189,hate,5.4390810300345835
190,wished,5.431759864981276
191,bag,5.41498459785484
192,others,5.41498459785484
193,favorite,5.41498459785484
194,admit,5.343384328981097
195,sign,5.343384328981097
196,imagine,5.343384328981097
197,younger,5.319743623001367
198,stepped,5.296214167814304
199,dinner,5.272794921252172
200,raced,5.258358101486821
201,yesterday,5.162545137396849
202,throw,5.162545137396849
203,grin,5.115485771078504
204,plastic,5.045918800231028
205,seconds,5.045918800231028
206,climbed,5.000204016936537
207,involved,4.955005795920803
208,pulling,4.8661132487819625
209,proud,4.844195385723459
210,keeping,4.8223969666532005
211,learn,4.8223969666532005
212,hug,4.8223969666532005
213,learned,4.800716696775844
214,whenever,4.736372145769347
215,fifteen,4.736372145769347
216,neighborhood,4.7151519368505745
217,expected,4.673046284902624
218,charlie,4.631379241469601
219,receiver,4.613199230057745
220,awhile,4.610707360835831
221,sad,4.590141762834157
222,horse,4.545780662501569
223,worse,4.529071874311002
224,longer,4.488870530896996
225,catch,4.46892036485284
226,lunch,4.46892036485284
227,staring,4.46892036485284
228,marilyn,4.46176051449172
229,managed,4.4490692074843246
230,meetings,4.4293160809219945
231,hardly,4.4293160809219945
232,famous,4.415325326682353
233,stayed,4.409660021712278
234,upset,4.409660021712278
235,evening,4.409660021712278
236,third,4.409660021712278
237,byron,4.394123825013075
238,divorced,4.390100080535511
239,ideas,4.390100080535511
240,dream,4.373071107037136
241,adam,4.373071107037136
242,prezzioso,4.372856989350053
243,less,4.370635321930819
244,york,4.370635321930819
245,seat,4.370635321930819
246,sitter,4.351264824027667
247,junk,4.351264824027667
248,guy,4.3319876782838715
249,broke,4.3319876782838715
250,example,4.331403770555134
251,dancing,4.290307237480649
252,mumbled,4.269968176524513
253,card,4.269968176524513
254,changed,4.255794898401094
255,bet,4.236971334251443
256,softball,4.209765487372085
257,camp,4.20609377147195
258,dying,4.189963435278028
259,pants,4.189963435278028
260,margo,4.170291233639551
261,slow,4.15074719057597
262,familiar,4.092867581771933
263,rushed,4.092867581771933
264,hugged,4.073819898735957
265,above,4.073819898735957
266,giggling,4.054892391156162
267,claire,4.017391902863468
268,forth,4.017391902863468
269,arnold,3.979436400857945
270,abby,3.979436400857945
271,haley,3.9557674855639386
272,dumb,3.943768576115116
273,born,3.9256416327472277
