,term,score
0,kristy,208.39198883026276
1,jackie,188.15927279871465
2,mary,144.4745808423095
3,band,121.2396174560551
4,jessi,120.23637438968964
5,shea,107.81069577168721
6,archie,72.43736528670077
7,stacey,62.772974751416136
8,children,57.3988367372613
9,karen,56.40842118711616
10,jamie,51.561238304396774
11,myriah,43.70648872253359
12,gabbie,41.7442325931885
13,rehearsal,40.71811624513132
14,mal,39.25107061978407
15,audience,35.07065639460916
16,bsc,32.69831885363335
17,sitter,32.6344861802075
18,claudia,31.918461738008205
19,hannie,30.458968219765364
20,linny,28.74219970244564
21,claire,28.12174332004428
22,rodowsky,27.364776328647828
23,marilyn,26.77056308695032
24,charlotte,26.141462303660557
25,yard,25.812725686984244
26,song,24.787977882354706
27,andrew,24.66298386863062
28,mallory,23.56657028720923
29,sitters,23.406871941206017
30,exclaimed,21.9008599639702
31,janine,20.495187108276102
32,music,20.461943084314015
33,becca,20.21321759592396
34,boys,19.7554503624098
35,david,18.692185139610498
36,michael,18.692185139610498
37,dress,18.360567051336627
38,claud,18.002687612909412
39,kit,17.872188990430992
40,tomorrow,17.09882985273951
41,mommy,16.428736342239265
42,brothers,16.24495379356452
43,papadakis,15.407191058673256
44,um,15.324243794764367
45,watson,14.851464420542994
46,brewer,14.598339746345887
47,nicky,13.966544784260096
48,jeans,13.77042528850247
49,nancy,13.706789920227486
50,nannie,13.24597598004706
51,ring,12.850877283482218
52,bet,12.710914002754329
53,emily,12.443852666984567
54,art,12.399531920025728
55,sisters,12.34439395996674
56,glanced,12.019247135309753
57,dumb,11.831305728345347
58,played,11.682615712256561
59,blonde,11.682615712256561
60,several,11.424203400417687
61,american,11.148763040821807
62,announced,10.878162060069167
63,clients,10.801612567745648
64,lucy,10.789275611154853
65,stepsister,10.663509312319214
66,lessons,10.555160794753636
67,fault,10.325090274793698
68,paused,10.277892497776193
69,pike,10.05507082091889
70,thursday,10.000408033873073
71,joined,9.921735048852625
72,wonder,9.8777251812049
73,ideas,9.8777251812049
74,junk,9.79034585406225
75,moments,9.776581348982067
76,places,9.732226497563925
77,spoke,9.660847216993353
78,office,9.601433393551687
79,neighborhood,9.430303873701149
80,grew,9.13936272033415
81,lawn,8.959687884690487
82,charge,8.93784072970568
83,president,8.780200161071022
84,sam,8.671260142861405
85,themselves,8.55426577604522
86,welcome,8.515698185368434
87,round,8.49953215996096
88,street,8.473942668502886
89,steps,8.4391946916431
90,clock,8.436471874003475
91,learned,8.401254219357726
92,beat,8.379926870556057
93,yelled,8.288651255096358
94,carrot,8.255304690330776
95,yup,8.224073952136493
96,tonight,8.214576489782598
97,nearly,8.214576489782598
98,tigger,8.082569772695148
99,forgot,7.9258757800442545
100,lived,7.82061063849247
101,receiver,7.688665383429576
102,spier,7.682675140937144
103,repeated,7.682675140937144
104,hate,7.6147134420484175
105,quite,7.6147134420484175
106,others,7.580978436996775
107,boo,7.55174202447612
108,notebook,7.51399227988372
109,shrugged,7.480738060573535
110,sign,7.480738060573535
111,backyard,7.466406570575406
112,liked,7.447641072201915
113,giggled,7.432508693881204
114,war,7.383296083075613
115,eight,7.381912889753041
116,ones,7.381912889753041
117,newton,7.342270082406856
118,chairs,7.150512062467747
119,barrett,7.1432240441706
120,pleased,7.116613627540854
121,logan,7.009569427353936
122,angry,7.009569427353936
123,terrific,6.978237763467026
124,margo,6.950485389399253
125,whether,6.916061041253746
126,loudly,6.916061041253746
127,seventh,6.885549411765196
128,settled,6.885212644251235
129,begin,6.885212644251235
130,shrieked,6.853394960113743
131,bart,6.83220081864226
132,none,6.70338054727926
133,forth,6.6956531714391145
134,managed,6.673603811226487
135,sense,6.643974121382992
136,frowned,6.633923992327617
137,member,6.614490032568417
138,grinned,6.614490032568417
139,often,6.526897236041501
140,listen,6.497981517425807
141,closed,6.497981517425807
142,likes,6.46920448384485
143,garage,6.466055818156118
144,dressed,6.440564811328903
145,changed,6.383692347601641
146,younger,6.383692347601641
147,awesome,6.337012369283231
