,term,score
0,stacey,202.15025767405194
1,kristy,118.62313210338034
2,melody,112.28236566595726
3,mary,99.12854451954082
4,suzi,87.45713978700107
5,project,79.24011428688524
6,class,73.41246199741887
7,claud,69.61039210324974
8,jessi,68.36970308433334
9,booth,63.019291260929386
10,bill,56.99398019307387
11,students,52.21443307721151
12,buddy,51.14536161900526
13,green,50.27535410459445
14,claudia,50.00559005621285
15,mal,46.38762891429027
16,nicky,44.692943309632305
17,barrett,39.2877322429383
18,center,37.77369441881039
19,vanessa,37.53262110275596
20,fair,35.5227910932701
21,water,33.96803905733252
22,linny,33.532566319519916
23,bsc,30.27622116077162
24,erica,28.12228319941161
25,charlotte,27.679195380346474
26,earth,27.158799324906383
27,bag,25.99192606970323
28,shouted,25.8768179353794
29,david,25.701754566964436
30,michael,25.701754566964436
31,sms,25.221566605019113
32,animals,24.621172592411348
33,richard,23.876618405147667
34,hannie,23.429975553665663
35,tree,23.084979426170424
36,lunch,22.344601824264203
37,plastic,21.445154900981866
38,report,20.698876405609802
39,letter,20.505911183394353
40,mallory,20.199917389036482
41,explained,20.125613837694353
42,pike,18.99291155062457
43,hurried,18.680068908331343
44,bags,18.415653013248747
45,air,18.16750671853573
46,raised,17.560400322142044
47,science,17.384037721480663
48,becca,17.325615082220537
49,glass,17.26408870804143
50,student,17.168691428825138
51,cokie,16.389933270950095
52,milk,15.219406365445224
53,excited,14.89528214440383
54,several,14.851464420542994
55,andrew,14.79779032117837
56,clean,14.785306516945868
57,list,14.719483591510757
58,classes,14.196999127841336
59,throw,14.196999127841336
60,written,13.956475526934051
61,giggled,13.626265938782208
62,marnie,13.569911495475683
63,marilyn,13.38528154347516
64,papadakis,13.206163764577076
65,karen,13.20197091613357
66,president,13.170300241606533
67,desk,13.053794472083002
68,pow,12.851936987811136
69,spent,12.824122389554631
70,announced,11.965978266076084
71,box,11.912966115280646
72,tomorrow,11.755445523758413
73,candy,11.722870681699778
74,beside,11.669139178821244
75,pizza,11.669139178821244
76,gets,11.630396272445044
77,continued,11.600148826754777
78,promise,11.562629059998217
79,jamie,11.458052956532615
80,impressed,11.440819299948396
81,carolyn,11.230738646883243
