,term,score
0,buddy,155.0859352318224
1,suzi,102.76213924972625
2,mal,98.72238974066903
3,mary,83.31015975578431
4,haley,77.1374659684968
5,kristy,69.46399627675426
6,jake,69.46018739174698
7,matt,68.1062636952289
8,claud,67.21003375486181
9,pike,65.91657538157939
10,dinner,51.67339022827129
11,marnie,47.49469023416489
12,stacey,46.813743882412034
13,barrett,44.645150276066246
14,mail,43.09349246371236
15,vanessa,41.702912336395514
16,jessi,37.721215494804596
17,york,31.687106083998437
18,nicky,29.3297440469462
19,margo,29.19203863547686
20,braddock,28.97847944310219
21,exclaimed,28.816921005223943
22,bsc,27.854123467909893
23,weekend,27.112123636890804
24,claire,26.782612685756458
25,sick,26.45796013027367
26,kuhn,24.584899906425147
27,outfit,23.445741363399556
28,train,23.3372273143229
29,arnold,21.886900204718696
30,adam,21.865355535185678
31,sam,21.05877463266341
32,stace,20.212038610533487
33,claudia,19.15107704280492
34,honey,19.10004871493569
35,mallory,19.077699756312235
36,bought,18.860607747402298
37,tomorrow,18.16750671853573
38,pikes,17.492284428148544
39,jewelry,17.32820263251872
40,triplets,16.85542325829735
41,jordan,16.034594059136165
42,company,15.532248232268099
43,brothers,15.16195687399355
44,spoke,15.02798455976744
45,road,14.932813141150811
46,station,14.932813141150811
47,apartment,14.910528906867263
48,sitters,14.89528214440383
49,office,14.402150090327531
50,evening,14.331395070564904
51,leaving,14.26782526174041
52,um,14.145455810551724
53,hospital,13.839597690173237
54,twenty,13.832122082507492
55,sleep,13.832122082507492
56,ate,13.832122082507492
57,dollars,13.474692407022324
58,sisters,13.466611592690988
59,president,13.170300241606533
60,neighborhood,12.96666782633908
61,breakfast,12.500510042341341
62,math,12.34439395996674
63,fifteen,11.840930364423368
64,nearly,11.735109271117995
65,thomas,11.703435970603008
66,yesterday,11.61572655914291
67,buy,11.475354407085392
68,dress,11.475354407085392
69,asleep,11.457364702129496
70,homework,10.998341712058142
71,yup,10.96543193618199
72,prezzioso,10.932142473375134
73,nine,10.878162060069167
74,mcgill,10.82996919570968
75,bag,10.82996919570968
76,mine,10.592428335628608
77,lawn,10.452969198805569
78,byron,10.252955591697177
79,carrying,10.091837600462055
80,fancy,10.058498642947646
81,upstairs,9.833929474344343
82,often,9.79034585406225
83,kishi,9.746972276138711
84,store,9.644793933306401
85,decision,9.639769176471274
86,monday,9.49103085825391
87,sleeping,9.272026056426807
88,awhile,9.221414721671662
89,settled,9.180283525668314
90,several,9.13936272033415
91,tired,9.09865016427438
92,paused,8.993155935554169
93,although,8.977741061793992
94,thanksgiving,8.959643384361419
95,doctor,8.916366396849565
96,spier,8.780200161071022
97,fashion,8.704330198177711
98,desk,8.702529648055334
99,children,8.663975356567743
100,pack,8.662807541110269
101,class,8.511589796802188
102,pay,8.511589796802188
103,eight,8.436471874003475
104,song,8.262659294118235
105,date,8.251515889488505
106,planned,8.251515889488505
107,david,8.177830998579593
108,michael,8.177830998579593
109,cream,8.109784782312325
110,charlie,8.1049136725718
111,bedroom,8.032748084959774
112,envelope,8.001267168336245
113,driveway,7.887537152230232
114,married,7.855523429069743
115,lived,7.82061063849247
116,entered,7.743817706095274
117,divorced,7.682675140937144
118,jobs,7.682675140937144
119,wonder,7.682675140937144
120,less,7.648611813378933
121,drive,7.648611813378933
122,decide,7.638243134752997
123,closed,7.580978436996775
124,boo,7.55174202447612
125,man,7.51399227988372
126,study,7.502770367220805
127,spend,7.480738060573535
128,giggled,7.432508693881204
129,bell,7.432508693881204
130,news,7.414699834940025
131,clock,7.381912889753041
132,calling,7.381912889753041
133,treasurer,7.1365582945061945
134,emergency,7.116613627540854
135,round,7.082943466634134
136,tea,7.028383620640875
137,daughter,6.9179119842932835
138,coffee,6.885549411765196
139,downstairs,6.854522040250613
140,bart,6.83220081864226
141,pair,6.7936078114665035
142,shopping,6.6956531714391145
143,led,6.673603811226487
144,became,6.643974121382992
145,ended,6.643974121382992
146,ice,6.572947626858526
147,handed,6.555952982896228
148,junk,6.526897236041501
149,fill,6.512705934277654
150,signed,6.4989778147021795
151,become,6.46920448384485
152,likes,6.46920448384485
153,break,6.46920448384485
154,dance,6.423682811110121
155,sign,6.412061194777316
156,awesome,6.337012369283231
157,taken,6.327353905502607
158,headed,6.327353905502607
159,test,6.2740189414106755
160,spread,6.250255021170671
161,bottle,6.242890379642455
162,ears,6.193757244901004
163,glass,6.165745967157655
164,ourselves,6.110189840032301
165,lying,6.110189840032301
166,counter,6.0610408833354255
167,greeted,5.9731252564603246
168,problems,5.947131912088496
169,salad,5.944244264566377
170,tiny,5.893939921063218
171,tonight,5.867554635558998
172,earrings,5.8588317666841006
173,vice,5.841307856128281
174,doors,5.802886798785141
175,woke,5.775205027406846
176,energy,5.775205027406846
177,finish,5.763384201044789
178,hurried,5.747713510255798
179,junior,5.737677203542696
180,admitted,5.720409649974198
181,watson,5.7121017002088434
182,secretary,5.6613398428887525
183,juice,5.613020649829446
184,moments,5.586617913704038
185,baseball,5.586617913704038
186,hallway,5.586617913704038
187,gotten,5.586150456066051
188,named,5.586150456066051
189,wednesday,5.561336509355406
190,managed,5.561336509355406
191,filled,5.512075027140347
192,joined,5.512075027140347
193,ideas,5.487625100669389
194,glanced,5.463294152413524
195,seat,5.463294152413524
196,sitter,5.4390810300345835
197,cat,5.431759864981276
198,box,5.41498459785484
199,shouted,5.3910037365373755
200,piece,5.3910037365373755
201,boyfriend,5.367137342774085
202,light,5.367137342774085
203,spent,5.343384328981097
204,worked,5.319743623001367
205,sighed,5.319743623001367
206,explained,5.296214167814304
207,student,5.28267428579235
208,practically,5.272794921252172
209,born,5.23418884366297
210,snack,5.210164747422123
211,sunday,5.186284079476108
212,grinning,5.115485771078504
213,sports,5.115485771078504
214,plans,5.000204016936537
215,officer,4.977541066793827
216,dues,4.910312593528302
217,pink,4.910312593528302
218,kit,4.874233361026635
219,ramsey,4.8661132487819625
220,interrupted,4.800716696775844
221,coat,4.752759276962424
222,crying,4.7151519368505745
223,happens,4.7151519368505745
224,ring,4.673046284902624
225,mess,4.673046284902624
226,visit,4.631379241469601
227,ride,4.631379241469601
228,moving,4.610707360835831
229,wall,4.610707360835831
230,whether,4.610707360835831
231,needs,4.610707360835831
232,entire,4.569681360167075
233,grew,4.569681360167075
234,schafer,4.54932508213719
235,thirteen,4.529071874311002
236,himself,4.529071874311002
237,wow,4.488870530896996
238,longer,4.488870530896996
239,plan,4.46892036485284
240,charge,4.46892036485284
241,carefully,4.4490692074843246
242,leaned,4.409660021712278
243,known,4.390100080535511
244,raised,4.390100080535511
245,stairs,4.390100080535511
246,hiding,4.373071107037136
247,waved,4.370635321930819
248,rolled,4.370635321930819
249,singing,4.352165099088856
250,checked,4.351264824027667
251,quite,4.351264824027667
252,waited,4.3319876782838715
253,others,4.3319876782838715
254,broke,4.3319876782838715
255,listen,4.3319876782838715
256,california,4.3319876782838715
257,beautiful,4.3128029892299
258,doorbell,4.310785132691848
259,english,4.310785132691848
260,dressed,4.293709874219268
261,window,4.293709874219268
262,putting,4.274707463184877
263,mumbled,4.269968176524513
264,slid,4.24976607998048
265,pencil,4.24976607998048
266,brown,4.236971334251443
267,share,4.22969911552809
268,awful,4.2182359370017375
269,question,4.2182359370017375
270,continued,4.2182359370017375
271,seventh,4.131329647059117
272,couch,4.131329647059117
273,whose,4.1120369760682465
274,slightly,4.092867581771933
275,rushed,4.092867581771933
276,groaned,4.092867581771933
277,earth,4.073819898735957
278,diabetes,4.036083552115377
279,honest,4.036083552115377
280,direction,4.017391902863468
281,twice,3.9803543953965703
282,mirror,3.9620057143442624
283,lay,3.9620057143442624
284,raced,3.943768576115116
285,excitement,3.9256416327472277
286,whoa,3.9076235605665923
287,lap,3.9076235605665923
288,certainly,3.889713059607081
289,recently,3.871908853047637
290,classes,3.871908853047637
291,happily,3.871908853047637
292,control,3.8542096866660724
293,jamie,3.819350985510872
294,boxes,3.8191215673764987
295,drove,3.8191215673764987
296,embarrassed,3.7844391001732705
297,hundred,3.7672470760463153
298,sugar,3.7672470760463153
299,thursday,3.7501530127024028
300,wears,3.7501530127024028
301,confused,3.7331558000953704
302,somewhere,3.716254346940602
303,sent,3.716254346940602
304,large,3.716254346940602
305,subject,3.716254346940602
306,amazing,3.6994475802945925
307,audience,3.6916480415378063
308,radio,3.6916480415378063
309,expect,3.6827344451462265
310,color,3.6827344451462265
311,newton,3.671135041203428
312,mommy,3.650830298275392
313,wedding,3.650830298275392
314,information,3.6331465392925946
315,immediately,3.6167977249899
316,team,3.6167977249899
317,keeping,3.6167977249899
318,trip,3.6167977249899
319,hoping,3.6167977249899
320,clients,3.6005375225818828
321,karen,3.6005375225818828
322,track,3.5843649766772536
323,drop,3.5843649766772536
324,shouldn,3.55227910932701
325,shoes,3.536363952637931
326,silence,3.536363952637931
327,handle,3.536363952637931
328,blonde,3.504784713676968
329,nobody,3.504784713676968
330,stomach,3.504784713676968
331,angry,3.504784713676968
332,gets,3.489118881733513
333,absolutely,3.489118881733513
334,speaking,3.4735344311022005
335,woman,3.4735344311022005
336,interesting,3.458030520626873
337,loudly,3.458030520626873
338,jeans,3.4426063221256173
339,nose,3.4426063221256173
340,single,3.4426063221256173
341,body,3.4426063221256173
342,reach,3.4272610201253064
343,completely,3.4272610201253064
344,ear,3.4119938116028923
345,locker,3.4040722559543823
346,party,3.3968039057332517
347,forgot,3.3968039057332517
348,water,3.3968039057332517
349,park,3.386294361119891
350,art,3.3816905236433805
351,drew,3.3816905236433805
352,eleven,3.3816905236433805
353,andrea,3.3760125615488628
354,daddy,3.368673101755581
355,missed,3.366652898172747
356,somehow,3.366652898172747
357,conversation,3.366652898172747
358,catch,3.35169027363963
359,connecticut,3.35169027363963
360,none,3.35169027363963
361,mystery,3.3512057418180716
362,hardly,3.321987060691496
363,afraid,3.321987060691496
364,wondered,3.321987060691496
365,meetings,3.321987060691496
366,notice,3.321987060691496
367,twins,3.31672212894906
368,grinned,3.3072450162842086
369,eating,3.3072450162842086
370,repeated,3.2925750604016333
371,wonderful,3.2925750604016333
372,regular,3.2925750604016333
373,ghost,3.26608651298048
374,announced,3.2634486180207505
375,threw,3.2634486180207505
376,ahead,3.234602241922425
377,garage,3.233027909078059
378,figure,3.206030597388658
379,uh,3.206030597388658
380,younger,3.1918461738008204
381,grabbed,3.1918461738008204
382,barely,3.1918461738008204
383,liked,3.1918461738008204
384,report,3.1844425239399694
385,street,3.1777285006885823
386,ones,3.1636769527513033
387,lines,3.152695825627389
388,dining,3.106001097633407
389,apple,3.060371742101064
390,blood,3.060371742101064
391,soda,3.0453903986427493
392,stamford,3.0157602270724677
393,library,3.0157602270724677
394,page,2.9865626282301623
395,final,2.9577851533259634
396,famous,2.9435502177882356
397,lights,2.873856755127899
398,card,2.8466454510163417
399,area,2.8331773866536536
400,luckily,2.793308956852019
401,however,2.793308956852019
402,bowl,2.793308956852019
403,bill,2.780194155759701
404,concerned,2.780194155759701
405,official,2.7671647937173134
406,pale,2.7542197647060784
407,shrieked,2.7413579840454974
408,enjoy,2.7413579840454974
409,myriah,2.7316555451583495
410,tough,2.7285783878479553
411,horrible,2.7032615941041085
412,windows,2.690722368076918
413,sounding,2.690722368076918
414,rather,2.690722368076918
415,following,2.6782612685756457
416,forth,2.6782612685756457
417,director,2.6658773280798034
418,doorway,2.653569596931047
419,rules,2.641337142896175
420,project,2.641337142896175
421,pictures,2.6291790507434105
422,send,2.6291790507434105
423,planning,2.6050823737110615
424,boring,2.6050823737110615
425,responsible,2.593142039738054
426,picking,2.593142039738054
427,gasped,2.593142039738054
428,schedule,2.5812725686984246
429,space,2.5812725686984246
430,child,2.5812725686984246
431,yard,2.5812725686984246
432,yellow,2.5694731244440483
433,grin,2.557742885539252
434,warm,2.5460810449176656
435,oldest,2.5460810449176656
436,hungry,2.534486809549014
437,folded,2.534486809549014
438,numbers,2.534486809549014
439,loved,2.522959400115514
440,disappeared,2.522959400115514
441,families,2.522959400115514
442,appeared,2.5114980506975435
443,realize,2.5114980506975435
444,ground,2.5114980506975435
445,climbed,2.5001020084682684
446,excuse,2.5001020084682684
447,toys,2.5001020084682684
448,emily,2.4887705333969135
449,jeff,2.4775028979604015
450,huh,2.4775028979604015
451,smart,2.4775028979604015
452,ways,2.4775028979604015
453,associate,2.4662983868630617
454,andrew,2.4662983868630617
455,sixth,2.455156296764151
456,themselves,2.4440759360129203
457,stories,2.4440759360129203
458,cold,2.4440759360129203
459,forever,2.4440759360129203
460,dog,2.4330566243909812
461,brewer,2.4330566243909812
462,bruno,2.4220976928617297
463,shannon,2.4220976928617297
464,proud,2.4220976928617297
465,steps,2.4111984833266003
466,tuesday,2.4111984833266003
467,throat,2.4111984833266003
468,bathroom,2.4111984833266003
469,missing,2.400358348387922
470,normal,2.400358348387922
471,relieved,2.400358348387922
472,fight,2.400358348387922
473,allowed,2.400358348387922
474,shy,2.389576651118169
475,yourself,2.389576651118169
476,mostly,2.3788527648353983
477,gathered,2.3788527648353983
478,fair,2.3681860728846735
479,including,2.3681860728846735
480,listening,2.3575759684252873
481,keeps,2.3575759684252873
482,shot,2.347021854223599
483,unless,2.336523142451312
484,hoped,2.336523142451312
485,logan,2.336523142451312
486,written,2.3260792544890085
487,wild,2.3260792544890085
488,covered,2.3260792544890085
489,clear,2.3156896207348003
490,bunch,2.3156896207348003
491,quietly,2.3156896207348003
492,weeks,2.3053536804179156
493,wrote,2.3053536804179156
494,possible,2.3053536804179156
495,movie,2.2950708814170784
496,interested,2.2848406800835375
497,tv,2.274662541068595
498,lucky,2.274662541068595
499,hot,2.274662541068595
500,clean,2.274662541068595
501,fall,2.264535937155501
502,extra,2.264535937155501
503,james,2.261651915912614
504,glasses,2.254460349095587
505,grown,2.254460349095587
506,empty,2.254460349095587
507,halloween,2.2461477293766485
508,carolyn,2.2461477293766485
509,age,2.23446018242642
510,green,2.23446018242642
511,lunch,2.23446018242642
512,takes,2.23446018242642
513,marilyn,2.23088025724586
514,neither,2.2245346037421623
515,loves,2.2245346037421623
516,member,2.204830010856139
517,starting,2.204830010856139
518,plenty,2.204830010856139
519,grandmother,2.204830010856139
520,nervous,2.204830010856139
521,questions,2.204830010856139
522,explain,2.1950500402677555
523,boys,2.1950500402677555
524,record,2.1853176609654095
525,cry,2.1853176609654095
526,hit,2.1756324120138335
527,group,2.1756324120138335
528,asking,2.1756324120138335
529,costume,2.172039757222927
530,eye,2.1659938391419358
531,shrugged,2.1373537315924387
532,imagine,2.1373537315924387
533,air,2.1373537315924387
534,changed,2.127897449200547
535,helped,2.1184856671257215
536,stepped,2.1184856671257215
537,comes,2.1184856671257215
538,van,2.063826172582694
539,carrot,2.063826172582694
540,snow,2.026085844599847
541,taylor,2.013815752008033
542,cecelia,2.013815752008033
543,coach,1.909675492755436
544,booth,1.909675492755436
545,john,1.7384037721480663
546,birthday,1.7384037721480663
547,dr,1.7110047979599519
548,students,1.6843365508777906
549,rose,1.6843365508777906
550,sunny,1.6669448081659213
551,puppy,1.6669448081659213
552,bike,1.6498503748066211
553,mall,1.6247444536755449
554,sheet,1.6165139545390295
555,ew,1.6165139545390295
556,tigger,1.6165139545390295
557,krushers,1.600253433667249
558,sms,1.5763479128136946
559,bear,1.5685047353526689
560,squirt,1.5607225949106138
561,restaurant,1.5607225949106138
562,cheese,1.5530005488167036
563,babies,1.5453376760711344
564,win,1.5453376760711344
565,suppose,1.5377330766859152
566,board,1.530185871050532
567,porch,1.5226951993213746
568,dear,1.5152602208338564
569,horse,1.5152602208338564
570,suit,1.5078801135362339
571,backyard,1.4932813141150811
572,rock,1.4932813141150811
573,tape,1.4860610661415943
574,orange,1.4788925766629817
575,newspaper,1.4788925766629817
576,safe,1.4717751088941178
577,seats,1.4717751088941178
578,shop,1.4717751088941178
579,aunt,1.4647079416710251
580,row,1.4647079416710251
