,term,score
0,ben,194.08658238038984
1,gym,115.21824722404192
2,ms,106.48026551973469
3,boys,104.26487691271839
4,jessi,97.83940268964942
5,jamie,72.56766872470656
6,kristy,70.53267314255048
7,ball,61.31517854583548
8,lucy,56.10423317800524
9,team,53.04636663318521
10,brothers,49.817858300264525
11,james,49.7563421500775
12,logan,49.06698599147756
13,game,43.128029892299004
14,claudia,40.43005153481039
15,pike,37.98582310124914
16,squirt,37.457342277854735
17,vanessa,33.36232986911641
18,hit,32.6344861802075
19,becca,31.763627650737654
20,mary,31.63676952751303
21,claire,29.460873954332104
22,nicky,26.53643509009418
23,class,25.534769390406563
24,mallory,24.68878791993348
25,stacey,24.47082066580629
26,margo,23.63165032395746
27,locker,22.126469663703485
28,jordan,21.865355535185678
29,bsc,21.798879235755567
30,cake,21.54674623185618
31,mail,19.751184045868165
32,adam,16.034594059136165
33,mal,15.46254297143009
34,sports,15.346457313235511
35,shouted,15.09481046230465
36,newton,14.684540164813711
37,young,14.653992269121316
38,sisters,14.588829225415237
39,games,14.532586157170378
40,cookies,14.369283775639495
41,cecelia,14.096710264056231
42,michael,14.019138854707872
43,david,14.019138854707872
44,worse,13.587215622933007
45,aunt,13.182371475039226
46,stairs,13.170300241606533
47,triplets,12.965710198690271
48,monday,12.654707811005213
49,clean,12.510643975877272
50,emily,12.443852666984567
51,andrew,12.33149193431531
52,hospital,12.301864613487322
53,suit,12.06304090828987
54,luck,12.055992416633002
55,field,11.315597681773205
56,notice,11.073290202304985
57,charlotte,10.764131536801406
58,video,10.599447894688575
59,besides,10.592428335628608
60,eight,10.545589842504343
61,byron,10.252955591697177
62,tv,10.235981434808677
63,ha,10.158883083359672
64,insisted,10.091837600462055
65,upstairs,9.833929474344343
66,pieces,9.776581348982067
67,homework,9.776303744051681
68,eye,9.746972276138711
69,deal,9.703806725767276
70,milk,9.685076778010597
71,dressed,9.660847216993353
72,everywhere,9.505579763717234
73,horrible,9.46141557936438
74,shot,9.388087416894397
75,dining,9.318003292900222
76,bunch,9.262758482939201
77,snapped,9.202126677601937
78,movie,9.180283525668314
79,noise,9.117788307988715
80,picking,9.075997139083189
81,happily,9.034453990444486
82,math,8.977741061793992
83,discovered,8.952100099387382
84,mood,8.952100099387382
85,muttered,8.952100099387382
86,plan,8.93784072970568
87,sense,8.858632161843989
88,sweet,8.75035702963894
89,act,8.710696866889197
90,sighed,8.511589796802188
91,news,8.473942668502886
92,concerned,8.340582467279102
93,yelled,8.288651255096358
94,loud,8.177830998579593
95,chocolate,8.034783805726937
96,entire,7.996942380292381
97,doorway,7.960708790793141
98,bear,7.842523676763344
99,rodowsky,7.818507522470808
100,wednesday,7.785871113097568
101,ended,7.751303141613491
102,meetings,7.751303141613491
103,worst,7.708419373332145
104,machine,7.576301104169282
105,spread,7.5003060254048055
106,greeted,7.466406570575406
107,changed,7.447641072201915
108,sitters,7.447641072201915
109,stepped,7.414699834940025
110,continued,7.381912889753041
111,headed,7.381912889753041
112,clock,7.381912889753041
113,fire,7.358875544470589
114,sigh,7.332227808038761
115,stories,7.332227808038761
116,cold,7.332227808038761
117,teachers,7.288451845061893
118,fit,7.266293078585189
119,paint,7.253608498481427
120,admitted,7.150512062467747
121,heading,7.150512062467747
122,mostly,7.1365582945061945
123,crying,7.072727905275862
124,wild,6.978237763467026
125,interesting,6.916061041253746
126,wall,6.916061041253746
127,downstairs,6.854522040250613
128,tough,6.821445969619888
129,water,6.7936078114665035
130,earth,6.789699831226596
131,green,6.70338054727926
132,usual,6.70338054727926
133,cards,6.667779232663685
134,flew,6.633923992327617
135,spier,6.585150120803267
136,dumb,6.572947626858526
137,raced,6.572947626858526
138,return,6.542736054578713
139,threw,6.526897236041501
140,box,6.497981517425807
141,beside,6.4828550993451355
142,break,6.46920448384485
143,air,6.412061194777316
144,thomas,6.383692347601641
145,wore,6.365202612294164
146,lately,6.365202612294164
147,asleep,6.365202612294164
148,street,6.3554570013771645
149,plastic,6.307398500288785
150,purple,6.305391651254778
151,ballet,6.250255021170671
152,win,6.1813507042845375
153,foot,6.165745967157655
154,terrible,6.165745967157655
155,glass,6.165745967157655
156,suppose,6.150932306743661
157,truth,6.137890741910378
158,sixth,6.137890741910378
159,teacher,6.137890741910378
160,bottom,6.110189840032301
161,ramsey,6.082641560977454
162,bruno,6.055244232154324
163,bathroom,6.027996208316501
164,fingers,5.920465182211684
165,nearly,5.867554635558998
166,letter,5.8588317666841006
167,played,5.841307856128281
168,clear,5.789224051837001
169,mentioned,5.789224051837001
170,example,5.775205027406846
171,sleep,5.763384201044789
172,kidding,5.763384201044789
173,watson,5.7121017002088434
174,ear,5.686656352671488
175,round,5.666354773307307
176,drew,5.636150872738968
177,glasses,5.636150872738968
178,names,5.611088163621245
179,hallway,5.586617913704038
180,luckily,5.586617913704038
181,seems,5.586150456066051
182,gotten,5.586150456066051
183,charge,5.586150456066051
184,named,5.586150456066051
185,afraid,5.536645101152493
186,evening,5.512075027140347
187,its,5.487625100669389
188,guilty,5.482715968090995
189,cry,5.463294152413524
190,rushed,5.4571567756959105
191,thrilled,5.4571567756959105
192,michelle,5.4571567756959105
193,checked,5.4390810300345835
194,super,5.431759864981276
195,closed,5.41498459785484
196,favorite,5.41498459785484
197,giggling,5.406523188208217
198,turning,5.3910037365373755
199,piece,5.3910037365373755
200,spoke,5.367137342774085
201,dead,5.3565225371512915
202,pocket,5.3565225371512915
203,imagine,5.343384328981097
204,style,5.331754656159607
205,key,5.328432300392739
206,younger,5.319743623001367
207,comes,5.296214167814304
208,dinner,5.272794921252172
209,kits,5.258358101486821
210,paid,5.210164747422123
211,outfit,5.210164747422123
212,center,5.210164747422123
213,den,5.1875613511294265
214,yard,5.162545137396849
215,schedule,5.162545137396849
216,letting,5.138946248888097
217,warm,5.092162089835331
218,rose,5.053009652633372
219,ground,5.022996101395087
220,wears,5.000204016936537
221,toys,5.000204016936537
222,american,4.955005795920803
223,stupid,4.910312593528302
224,pink,4.910312593528302
225,shea,4.900486171440328
226,lying,4.888151872025841
227,touch,4.888151872025841
228,pulling,4.8661132487819625
229,shannon,4.844195385723459
230,strange,4.8223969666532005
231,tuesday,4.8223969666532005
232,karen,4.800716696775844
233,fight,4.800716696775844
234,weekend,4.7151519368505745
235,calm,4.7151519368505745
236,mess,4.673046284902624
237,works,4.652158508978017
238,gets,4.652158508978017
239,written,4.652158508978017
240,moving,4.610707360835831
241,nose,4.590141762834157
242,begin,4.590141762834157
243,bedroom,4.590141762834157
244,several,4.569681360167075
245,shut,4.569681360167075
246,tired,4.54932508213719
247,schafer,4.54932508213719
248,lucky,4.54932508213719
249,hanging,4.54932508213719
250,sweater,4.545780662501569
251,himself,4.529071874311002
252,rooms,4.523640340608702
253,marnie,4.523303831825228
254,eleven,4.508920698191174
255,silly,4.488870530896996
256,wow,4.488870530896996
257,somehow,4.488870530896996
258,none,4.46892036485284
259,staring,4.46892036485284
260,mad,4.4490692074843246
261,orange,4.436677729988945
262,wondered,4.4293160809219945
263,member,4.409660021712278
264,filled,4.409660021712278
265,leaving,4.390100080535511
266,regular,4.390100080535511
267,dream,4.373071107037136
268,suzi,4.372856989350053
269,handed,4.370635321930819
270,glanced,4.370635321930819
271,rolled,4.370635321930819
272,record,4.370635321930819
273,laughter,4.352165099088856
274,listen,4.3319876782838715
275,waited,4.3319876782838715
276,guy,4.3319876782838715
277,picture,4.3319876782838715
278,likes,4.3128029892299
279,notebook,4.293709874219268
280,chairs,4.290307237480649
281,tomorrow,4.274707463184877
282,mumbled,4.269968176524513
283,brown,4.236971334251443
284,explained,4.236971334251443
285,helped,4.236971334251443
286,mine,4.236971334251443
287,carried,4.22969911552809
288,question,4.2182359370017375
289,juice,4.209765487372085
290,slow,4.15074719057597
291,couch,4.131329647059117
292,decision,4.131329647059117
293,somebody,4.1120369760682465
294,gorgeous,4.092867581771933
295,honest,4.036083552115377
296,broken,4.036083552115377
297,jackie,4.003388782951376
298,pile,3.9620057143442624
299,lifted,3.9620057143442624
300,pass,3.9620057143442624
301,send,3.943768576115116
302,joke,3.943768576115116
303,fill,3.9076235605665923
304,pop,3.8863963695881587
305,tall,3.871908853047637
306,throw,3.871908853047637
307,entered,3.871908853047637
308,control,3.8542096866660724
309,crossed,3.836614328308878
310,count,3.836614328308878
311,oldest,3.8191215673764987
312,boxes,3.8191215673764987
313,aside,3.8017302143235208
314,disappeared,3.7844391001732705
315,excuse,3.7501530127024028
316,breakfast,3.7501530127024028
317,huh,3.716254346940602
318,subject,3.716254346940602
319,amazing,3.6994475802945925
320,expect,3.6827344451462265
321,scared,3.6827344451462265
322,forever,3.6661139040193804
323,spot,3.649584936586472
324,pointing,3.649584936586472
325,learn,3.6167977249899
326,sight,3.6167977249899
327,hoping,3.6167977249899
328,office,3.6005375225818828
329,claud,3.6005375225818828
330,allowed,3.6005375225818828
331,relieved,3.6005375225818828
332,drop,3.5843649766772536
333,fifteen,3.55227910932701
334,happens,3.536363952637931
335,keeps,3.536363952637931
336,shoes,3.536363952637931
337,neighborhood,3.536363952637931
338,poor,3.536363952637931
339,step,3.536363952637931
340,nobody,3.504784713676968
341,pull,3.504784713676968
342,speaking,3.4735344311022005
343,loudly,3.458030520626873
344,finish,3.458030520626873
345,possible,3.458030520626873
346,ate,3.458030520626873
347,bright,3.4426063221256173
348,settled,3.4426063221256173
349,single,3.4426063221256173
350,jeans,3.4426063221256173
351,junior,3.4426063221256173
352,interested,3.4272610201253064
353,hot,3.4119938116028923
354,pair,3.3968039057332517
355,extra,3.3968039057332517
356,speak,3.3968039057332517
357,longer,3.366652898172747
358,although,3.366652898172747
359,married,3.366652898172747
360,lived,3.35169027363963
361,became,3.321987060691496
362,upset,3.3072450162842086
363,nervous,3.3072450162842086
364,buddy,3.2997007496132422
365,ideas,3.2925750604016333
366,explain,3.2925750604016333
367,wonderful,3.2925750604016333
368,president,3.2925750604016333
369,jobs,3.2925750604016333
370,animals,3.282823012321513
371,waved,3.277976491448114
372,york,3.277976491448114
373,less,3.277976491448114
374,ghost,3.26608651298048
375,tears,3.2634486180207505
376,quite,3.2634486180207505
377,hate,3.2634486180207505
378,french,3.2494889073510898
379,children,3.2489907587129037
380,ahead,3.234602241922425
381,boyfriend,3.2202824056644515
382,forward,3.2202824056644515
383,admit,3.206030597388658
384,shrugged,3.206030597388658
385,putting,3.206030597388658
386,barely,3.1918461738008204
387,bet,3.1777285006885823
388,johanssen,3.1685061846416156
389,coat,3.1685061846416156
390,awful,3.1636769527513033
391,pen,3.106001097633407
392,sleeping,3.0906753521422687
393,babies,3.0906753521422687
394,receiver,3.0754661533718304
395,blood,3.060371742101064
396,board,3.060371742101064
397,screamed,3.0157602270724677
398,library,3.0157602270724677
399,chips,3.001108146888322
400,doctor,2.9721221322831886
401,nannie,2.9435502177882356
402,lit,2.9294158833420503
403,bent,2.915380738024757
404,fashion,2.9014433993925706
405,english,2.873856755127899
406,scene,2.873856755127899
407,dancing,2.860204824987099
408,pleased,2.8466454510163417
409,johnson,2.837016060816176
410,jacket,2.8331773866536536
411,obviously,2.8331773866536536
412,slid,2.8331773866536536
413,total,2.81979941035206
414,softball,2.806510324914723
415,moments,2.793308956852019
416,pants,2.793308956852019
417,brain,2.780194155759701
418,bill,2.780194155759701
419,seventh,2.7542197647060784
420,nope,2.7413579840454974
421,enjoy,2.7413579840454974
422,shrieked,2.7413579840454974
423,history,2.7285783878479553
424,wished,2.715879932490638
425,movies,2.715879932490638
426,major,2.7032615941041085
427,acting,2.7032615941041085
428,jumping,2.690722368076918
429,archie,2.6828653809889174
430,teeth,2.6782612685756457
431,tossed,2.6658773280798034
432,officers,2.653569596931047
433,summer,2.653569596931047
434,million,2.653569596931047
435,rules,2.641337142896175
436,opening,2.641337142896175
437,mistake,2.641337142896175
438,lose,2.6291790507434105
439,certain,2.6050823737110615
440,cover,2.6050823737110615
441,classes,2.5812725686984246
442,yesterday,2.5812725686984246
443,hasn,2.5812725686984246
444,dance,2.5694731244440483
445,promise,2.5694731244440483
446,grin,2.557742885539252
447,decide,2.5460810449176656
448,seconds,2.522959400115514
449,appeared,2.5114980506975435
450,realize,2.5114980506975435
451,sugar,2.5114980506975435
452,hundred,2.5114980506975435
453,thursday,2.5001020084682684
454,feels,2.5001020084682684
455,happening,2.4887705333969135
456,ears,2.4775028979604015
457,sent,2.4775028979604015
458,ways,2.4775028979604015
459,jeff,2.4775028979604015
460,bell,2.4775028979604015
461,seriously,2.4662983868630617
462,low,2.4662983868630617
463,legs,2.4662983868630617
464,dues,2.455156296764151
465,shaking,2.4330566243909812
466,closet,2.4330566243909812
467,henry,2.4315509527080117
468,information,2.4220976928617297
469,immediately,2.4111984833266003
470,faces,2.4111984833266003
471,keeping,2.4111984833266003
472,learned,2.400358348387922
473,offered,2.400358348387922
474,normal,2.400358348387922
475,yourself,2.389576651118169
476,helping,2.3788527648353983
477,gathered,2.3788527648353983
478,pushed,2.3681860728846735
479,fair,2.3681860728846735
480,whenever,2.3681860728846735
481,including,2.3681860728846735
482,listening,2.3575759684252873
483,bought,2.3575759684252873
484,handle,2.3575759684252873
485,tonight,2.347021854223599
486,expected,2.336523142451312
487,blonde,2.336523142451312
488,mansion,2.336523142451312
489,stomach,2.336523142451312
490,angry,2.336523142451312
491,covered,2.3260792544890085
492,visit,2.3156896207348003
493,charlie,2.3156896207348003
494,quietly,2.3156896207348003
495,pete,2.309661135098975
496,awhile,2.3053536804179156
497,hang,2.3053536804179156
498,whether,2.3053536804179156
499,dress,2.2950708814170784
500,eighth,2.2950708814170784
501,secretary,2.264535937155501
502,totally,2.264535937155501
503,party,2.264535937155501
504,fall,2.264535937155501
505,reminded,2.254460349095587
506,missed,2.244435265448498
507,writing,2.244435265448498
508,secret,2.23446018242642
509,takes,2.23446018242642
510,hardly,2.2146580404609972
511,plenty,2.204830010856139
512,joined,2.204830010856139
513,third,2.204830010856139
514,questions,2.204830010856139
515,starting,2.204830010856139
516,stayed,2.204830010856139
517,eating,2.204830010856139
518,wonder,2.1950500402677555
519,repeated,2.1950500402677555
520,sitter,2.1756324120138335
521,asking,2.1756324120138335
522,junk,2.1756324120138335
523,nine,2.1756324120138335
524,broke,2.1659938391419358
525,kishi,2.1659938391419358
526,california,2.1659938391419358
527,mcgill,2.1659938391419358
528,beautiful,2.15640149461495
529,surprise,2.15640149461495
530,definitely,2.146854937109634
531,mark,2.1438688802562305
532,grabbed,2.127897449200547
533,pay,2.127897449200547
534,ones,2.1091179685008687
535,practically,2.1091179685008687
536,taken,2.1091179685008687
537,camp,2.103046885735975
538,carrot,2.063826172582694
539,camera,2.026085844599847
540,taylor,2.013815752008033
541,soccer,2.001694391475688
542,pet,1.9897182004289724
543,barn,1.9778837427819693
544,coach,1.909675492755436
545,boo,1.88793550611903
546,christmas,1.8561868078044497
547,war,1.8458240207689032
548,barrett,1.78580601104265
549,basement,1.7761441001309133
550,popcorn,1.7477061648103795
551,john,1.7384037721480663
552,birthday,1.7384037721480663
553,dr,1.7110047979599519
554,police,1.6843365508777906
555,backpack,1.6498503748066211
556,ew,1.6165139545390295
557,krushers,1.600253433667249
558,report,1.5922212619699847
559,sms,1.5763479128136946
560,lines,1.5763479128136946
561,bottle,1.5607225949106138
562,cheese,1.5530005488167036
563,flowers,1.530185871050532
564,horse,1.5152602208338564
565,stamford,1.5078801135362339
566,present,1.5078801135362339
567,lessons,1.5078801135362339
568,study,1.500554073444161
569,station,1.4932813141150811
