,term,score
0,mary,223.5665046610921
1,kristy,188.0871283801346
2,class,125.54594950283227
3,shannon,94.46181002160746
4,stacey,89.37169286642298
5,claudia,64.90087220061667
6,quint,53.97819898535049
7,hannie,53.88894377343103
8,ballet,52.50214217783363
9,dance,51.389462488880966
10,linny,47.90366617074273
11,watson,37.699871221378366
12,karen,36.005375225818824
13,snow,30.391287668997705
14,jessi,27.112123636890804
15,melody,23.638392771780474
16,king,23.582557682818535
17,group,22.84414032614525
18,emily,22.39893480057222
19,cecelia,22.151973272088362
20,tuesday,21.700786349939403
21,classes,20.650180549587397
22,students,20.212038610533487
23,michael,18.692185139610498
24,david,18.692185139610498
25,warm,17.822567314423658
26,dancing,17.161228949922595
27,mallory,16.833264490863733
28,aunt,16.111787358381278
29,bsc,15.743635003601243
30,worked,14.89528214440383
31,bell,14.865017387762409
32,jump,14.576903690123785
33,named,14.523991185771731
34,music,14.067585870465885
35,maria,14.048085433140308
36,game,14.016609714997175
37,bill,13.900970778798506
38,michelle,13.642891939239776
39,stamford,13.570921021826106
40,andrew,13.564641127746839
41,boys,13.170300241606533
42,blonde,12.850877283482218
43,stage,12.802027469337991
44,jacket,12.74929823994144
45,soda,12.181561594570997
46,brewer,12.165283121954907
47,others,11.912966115280646
48,letter,11.717663533368201
49,audience,11.074944124613419
50,ideas,10.975250201338778
51,nancy,10.96543193618199
52,janine,10.850393174969701
53,steps,10.850393174969701
54,children,10.82996919570968
55,company,10.75309493003176
56,practice,10.614278387724188
57,comes,10.592428335628608
58,explained,10.592428335628608
59,besides,10.592428335628608
60,bent,10.20383258308665
61,seems,10.05507082091889
62,became,9.965961182074487
63,large,9.910011591841606
64,french,9.74846672205327
65,dressed,9.660847216993353
66,man,9.660847216993353
67,claud,9.601433393551687
68,brown,9.533185502065747
69,mal,9.515411059341593
70,super,9.505579763717234
71,skin,9.287493589258665
72,mirror,9.244680000136611
73,speak,9.058143748622005
74,apart,8.952100099387382
75,doctor,8.916366396849565
76,nannie,8.830650653364707
77,insisted,8.830357900404298
78,regular,8.780200161071022
79,shoulders,8.710696866889197
80,confused,8.710696866889197
81,bag,8.663975356567743
82,spoke,8.587419748438537
83,forward,8.587419748438537
84,touch,8.55426577604522
85,sign,8.549414926369755
86,tiffany,8.511048182448528
87,learn,8.4391946916431
88,couch,8.262659294118235
89,movies,8.147639797471914
90,works,8.14127739071153
91,charlie,8.1049136725718
92,speaking,8.1049136725718
93,mama,8.048596142966751
94,begin,8.032748084959774
